b111.	DIGOXIN 62.5micrograms tablets
bl7y.	NICARDIPINE 20mg capsules
bl84.	ADALAT RETARD 10mg m/r tablets
bl85.	NIFEDIPINE 5mg capsules
bl8x.	NIFEDIPINE 30mg m/r tablets
bl8z.	NIFEDIPINE 20mg m/r tablets
blb3.	ISTIN 5mg tablets
blb4.	ISTIN 10mg tablets
blc5.	FELODIPINE 2.5mg m/r tablets
ble1.	LACIDIPINE 2mg tablets
blf1.	NICORANDIL 10mg tablets
blf3.	IKOREL 10mg tablets
blh1.	LERCANIDIPINE HYDROCHLORIDE 10mg tablets
blzA.	GLYCERYL TRINITRATE 400micrograms spray
bo1z.	CO-DERGOCRINE MESYL 4.5mg tablets
bo4y.	NAFTIDROFURYL 100mg capsules
br2C.	DALTEPARIN SODIUM 10,000iu/0.4mL prefilled syringe
br2D.	DALTEPARIN SODIUM 12,500iu/0.5mL prefilled syringe
br2E.	DALTEPARIN SODIUM 18,000iu/0.72mL prefilled syringe
br2H.	FRAGMIN 18,000iu/0.72mL prefilled syringe
br2I.	DALTEPARIN SODIUM 15,000iu/0.6mL prefilled syringe
br2j.	FRAGMIN 12,500iu/mL prefilled syringe 0.2mL
br2J.	FRAGMIN 15,000iu/0.6mL prefilled syringe
br2K.	FRAGMIN 10,000iu/1mL prefilled syringe
br2l.	DALTEPARIN SODIUM 10,000iu/1mL subcutaneous injection
br2L.	DALTEPARIN SODIUM 7500iu/0.3mL prefilled syringe
br2M.	FRAGMIN 7500iu/0.3mL prefilled syringe
br2o.	DALTEPARIN SODIUM 25,000iu/mL prefilled syringe 0.2mL
br62.	ENOXAPARIN 40mg/0.4mL prefilled syringe
br63.	CLEXANE 20mg/0.2mL prefilled syringe
br64.	CLEXANE 40mg/0.4mL prefilled syringe
br67.	ENOXAPARIN 100mg/1mL prefilled syringe
br69.	CLEXANE 80mg/0.8mL prefilled syringe
br6A.	CLEXANE 100mg/1mL prefilled syringe
br6B.	CLEXANE 120mg/0.8mL prefilled syringe
br6C.	CLEXANE 150mg/1mL prefilled syringe
br6y.	ENOXAPARIN 120mg/0.8mL prefilled syringe
bs11.	MAREVAN 1mg tablets
bs12.	MAREVAN 3mg tablets
bs17.	WARFARIN SODIUM 1mg tablets
bs18.	WARFARIN SODIUM 3mg tablets
bs19.	WARFARIN SODIUM 5mg tablets
bs21.	SINTHROME 1mg tablets
bs4x.	DABIGATRAN ETEXILATE 150mg capsules
bs4y.	DABIGATRAN ETEXILATE 110mg capsules
bs6x.	RIVAROXABAN 20mg tablets
bs6y.	RIVAROXABAN 15mg tablets
bs71.	ELIQUIS 2.5mg tablets
bs72.	APIXABAN 2.5mg tablets
bs74.	APIXABAN 5mg tablets
bs85.	EDOXABAN 30mg tablets
bu1C.	DIPYRIDAMOLE 200mg m/r capsules
bu23.	ASPIRIN 75mg dispersible tablets
bu24.	*ANGETTES 75mg tablets
bu25.	*ASPIRIN 75mg tablets
bu2A.	NU-SEALS ASPIRIN 75mg e/c tablets
bu2B.	ASPIRIN 75mg e/c tablets
bu2F.	*CAPRIN 75mg e/c tablets
bu41.	DIPYRIDAMOLE+ASPIRIN 200mg/25mg m/r capsules
bu52.	PLAVIX 75mg tablets
bu54.	CLOPIDOGREL 300mg tablets
buBz.	TICAGRELOR 90mg tablets
bw34.	TRANEXAMIC ACID 500mg tablets
bx43.	COLESTID ORANGE granules 5g sachet
bxc4.	FENOFIBRATE 200mg capsules
bxd1.	SIMVASTATIN 10mg tablets
bxd2.	SIMVASTATIN 20mg tablets
bxd5.	SIMVASTATIN 40mg tablets
bxdC.	SIMVADOR 40mg tablets
bxdz.	SIMVASTATIN 80mg tablets
bxe5.	PRAVASTATIN SODIUM 10mg tablets
bxe6.	PRAVASTATIN SODIUM 20mg tablets
bxe7.	PRAVASTATIN SODIUM 40mg tablets
bxi5.	LIPITOR 20mg tablets
bxiB.	ATORVASTATIN 20mg chewable tablets
bxk1.	CRESTOR 10mg tablets
bxkw.	ROSUVASTATIN 5mg tablets
bxkx.	ROSUVASTATIN 10mg tablets
bxky.	ROSUVASTATIN 20mg tablets
bxkz.	ROSUVASTATIN 40mg tablets
bxl1.	EZETIMIBE 10mg tablets
bxlz.	EZETROL 10mg tablets
bxo4.	EVOLOCUMAB 140mg/1mL solution for injection prefilled pen
