readcode	description
dnbR.00	EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbS.00	EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbT.00	EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbU.00	EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnba.00	*ORLEPT 200mg e/c tablets
dnbb.00	*ORLEPT 500mg e/c tablets
dnbc.00	EPILIM CHRONO 200 m/r tablets
dnbd.00	EPILIM CHRONO 300 m/r tablets
dnbe.00	EPILIM CHRONO 500 m/r tablets
dnbn.00	SODIUM VALPROATE 50mg/sachet m/r granules
dnbo.00	SODIUM VALPROATE 100mg/sachet m/r granules
dnbp.00	SODIUM VALPROATE 250mg/sachet m/r granules
dnbq.00	SODIUM VALPROATE 750mg/sachet m/r granules
dnbr.00	SODIUM VALPROATE 200mg m/r tablets
dnbs.00	SODIUM VALPROATE 300mg m/r tablets
dnbt.00	SODIUM VALPROATE 500mg m/r tablets
dnbu.00	SODIUM VALPROATE 400mg/4mL injection
dnbv.00	SODIUM VALPROATE 100mg crushable tablets
dnbw.00	SODIUM VALPROATE 200mg crushable tablets
dnbx.00	SODIUM VALPROATE 500mg tablets
dnby.00	SODIUM VALPROATE 200mg/5mL sugar free liquid
dnbz.00	SODIUM VALPROATE 200mg/5mL syrup
dnc..00	CLOBAZAM [EPILEPSY ONLY]
dnc1.00	*CLOBAZAM SLS 10mg capsules
dne..00	VIGABATRIN
dne1.00	VIGABATRIN 500mg tablets
dne2.00	SABRIL 500mg tablets
dne3.00	VIGABATRIN 500mg powder sachets
dne4.00	SABRIL 500mg powder sachets
dnf..00	LAMOTRIGINE
dnf1.00	LAMOTRIGINE 50mg tablets
dnf2.00	LAMOTRIGINE 100mg tablets
dnf3.00	LAMICTAL 50mg tablets
dnf4.00	LAMICTAL 100mg tablets
dnf5.00	LAMOTRIGINE 25mg tablets
dnf6.00	LAMICTAL 25mg tablets
dnf7.00	LAMICTAL 5mg dispersible tablets
dnf8.00	LAMICTAL 25mg dispersible tablets
dnf9.00	LAMICTAL 100mg dispersible tablets
dnfA.00	LAMOTRIGINE 5mg dispersible tablets
dnfB.00	LAMOTRIGINE 25mg dispersible tablets
dnfC.00	LAMOTRIGINE 100mg dispersible tablets
dnfD.00	LAMICTAL 200mg tablets
dnfE.00	LAMOTRIGINE 200mg tablets
dnfF.00	LAMICTAL MONOTHERAPY 25mg starter pack
dnfG.00	LAMICTAL VALPROATE ADD-ON 25mg starter pack
dnfH.00	LAMICTAL NON-VALPROATE ADD-ON 50mg starter pack
dnfJ.00	LAMICTAL 2mg dispersible tablets
dnfz.00	LAMOTRIGINE 2mg dispersible tablets
dng..00	PIRACETAM
dng1.00	NOOTROPIL 800mg tablets
dng2.00	NOOTROPIL 1.2g tablets
dng3.00	NOOTROPIL 33% oral solution
dng4.00	PIRACETAM 800mg tablets
dng5.00	PIRACETAM 1.2g tablets
dng6.00	PIRACETAM 333.3mg/mL oral solution
dnh..00	VALPROIC ACID
dnh1.00	CONVULEX 150mg e/c capsules
dnh2.00	CONVULEX 300mg e/c capsules
dnh3.00	CONVULEX 500mg e/c capsules
dnh4.00	VALPROIC ACID 150mg e/c capsules
dnh5.00	VALPROIC ACID 300mg e/c capsules
dnh6.00	VALPROIC ACID 500mg e/c capsules
dnh7.00	DEPAKOTE 250mg e/c tablets
dnh8.00	DEPAKOTE 500mg e/c tablets
dnhy.00	VALPROIC ACID 500mg e/c tablets
dnhz.00	VALPROIC ACID 250mg e/c tablets
dni2.00	PRO-EPANUTIN 750mg/10mL injection concentrate
dnj..00	GABAPENTIN
dnj1.00	GABAPENTIN 100mg capsules
dnj2.00	GABAPENTIN 300mg capsules
dnj3.00	GABAPENTIN 400mg capsules
dnj4.00	NEURONTIN 100mg capsules
dnj5.00	NEURONTIN 300mg capsules
dnj6.00	NEURONTIN 400mg capsules
dnj7.00	NEURONTIN 600mg tablets
dnj8.00	NEURONTIN 800mg tablets
dnj9.00	NEURONTIN 300mg capsules/600mg tablets titration pack
dnjA.00	GABAPENTIN 50mg/mL oral solution
dnjx.00	GABAPENTIN 300mg capsules/600mg tablets titration pack
dnjy.00	GABAPENTIN 600mg tablets
dnjz.00	GABAPENTIN 800mg tablets
dnk..00	TOPIRAMATE
dnk1.00	TOPIRAMATE 50mg tablets
dnk2.00	TOPIRAMATE 100mg tablets
dnk3.00	TOPIRAMATE 200mg tablets
dnk4.00	TOPAMAX 50mg tablets
dnk5.00	TOPAMAX 100mg tablets
dnk6.00	TOPAMAX 200mg tablets
dnk7.00	TOPIRAMATE 25mg tablets
dnk8.00	TOPAMAX 25mg tablets
dnk9.00	TOPIRAMATE 15mg beads in capsules
dnkA.00	TOPIRAMATE 25mg beads in capsules
dnkB.00	TOPAMAX SPRINKLE 15mg capsules
dnkC.00	TOPAMAX SPRINKLE 25mg capsules
dnkD.00	TOPIRAMATE 50mg beads in capsules
dnkE.00	TOPAMAX SPRINKLE 50mg capsules
dnl..00	TIAGABINE
dnl1.00	TIAGABINE 5mg tablets
dnl2.00	TIAGABINE 10mg tablets
dnl3.00	TIAGABINE 15mg tablets
dnl4.00	GABITRIL 5mg tablets
dnl5.00	GABITRIL 10mg tablets
dnl6.00	GABITRIL 15mg tablets
dnm..00	OXCARBAZEPINE
dnm1.00	TRILEPTAL 150 tablets
dnm2.00	TRILEPTAL 300 tablets
dnm3.00	TRILEPTAL 600 tablets
dnm4.00	TRILEPTAL 60mg/mL sugar free oral suspension
dnmw.00	OXCARBAZEPINE 60mg/mL sugar free oral suspension
dnmx.00	OXCARBAZEPINE 150mg tablets
dnmy.00	OXCARBAZEPINE 300mg tablets
dnmz.00	OXCARBAZEPINE 600mg tablets
dno..00	LEVETIRACETAM
dno1.00	KEPPRA 250mg tablets
dno2.00	KEPPRA 500mg tablets
dno3.00	KEPPRA 1g tablets
dno4.00	KEPPRA 750mg tablets
dno5.00	KEPPRA 100mg/mL s/f oral solution
dno6.00	KEPPRA 500mg/5mL solution for injection
dno7.00	DESITREND 250mg/sachet granules
dno8.00	DESITREND 500mg/sachet granules
dno9.00	DESITREND 1g/sachet granules
dnoA.00	DESITREND 100mg/mL oral solution
dnoB.00	DESITREND 500mg/5mL concentrate for solution for infusion
dnor.00	LEVETIRACETAM 1g/sachet granules
dnos.00	LEVETIRACETAM 500mg/sachet granules
dnot.00	LEVETIRACETAM 250mg/sachet granules
dnou.00	LEVETIRACETAM 500mg/5mL solution for injection
dnov.00	LEVETIRACETAM 100mg/mL s/f oral solution
dnow.00	LEVETIRACETAM 750mg tablets
dnox.00	LEVETIRACETAM 1g tablets
dnoy.00	LEVETIRACETAM 500mg tablets
dnoz.00	LEVETIRACETAM 250mg tablets
dnp..00	PREGABALIN
dnp1.00	LYRICA 25mg capsules
dnp2.00	LYRICA 50mg capsules
dnp3.00	LYRICA 75mg capsules
dnp4.00	LYRICA 100mg capsules
dnp5.00	LYRICA 150mg capsules
dnp6.00	LYRICA 200mg capsules
dnp7.00	LYRICA 300mg capsules
dnp8.00	LYRICA 225mg capsules
dnp9.00	LYRICA 20mg/1mL oral solution
dnpA.00	LECAENT 25mg capsules
dnpB.00	LECAENT 50mg capsules
dnpC.00	LECAENT 75mg capsules
dnpD.00	LECAENT 100mg capsules
dnpE.00	LECAENT 150mg capsules
dnpF.00	LECAENT 200mg capsules
dnpG.00	LECAENT 225mg capsules
dnpH.00	LECAENT 300mg capsules
dnpI.00	REWISCA 25mg capsules
dnpJ.00	REWISCA 50mg capsules
dnpK.00	REWISCA 75mg capsules
dnpL.00	REWISCA 100mg capsules
dnpM.00	REWISCA 150mg capsules
dnpN.00	REWISCA 200mg capsules
dnpO.00	REWISCA 225mg capsules
dnpP.00	REWISCA 300mg capsules
dnpr.00	PREGABALIN 20mg/1mL oral solution
dnps.00	PREGABALIN 225mg capsules
dnpt.00	PREGABALIN 300mg capsules
dnpu.00	PREGABALIN 200mg capsules
dnpv.00	PREGABALIN 100mg capsules
dnpw.00	PREGABALIN 150mg capsules
dnpx.00	PREGABALIN 75mg capsules
dnpy.00	PREGABALIN 50mg capsules
dnpz.00	PREGABALIN 25mg capsules
dnq..00	ZONISAMIDE
dnq1.00	ZONISAMIDE 25mg capsules
dnq2.00	ZONISAMIDE 50mg capsules
dnq3.00	ZONISAMIDE 100mg capsules
dnq4.00	ZONEGRAN 25mg capsules
dnq5.00	ZONEGRAN 50mg capsules
dnq6.00	ZONEGRAN 100mg capsules
do1..00	DIAZEPAM [EPILEPSY USE]
do18.00	DIAZEPAM 5mg/2.5mL RecTubes
do19.00	DIAZEPAM 10mg/2.5mL RecTubes
do1A.00	DIAZEPAM 2.5mg/1.25mL RecTubes
do1B.00	*DIAZEPAM 20mg/5mL RecTubes
do1t.00	DIAZEPAM 2.5mg/1.25mL rectal solution
do1u.00	DIAZEPAM 20mg/5mL rectal solution
do1v.00	DIAZEPAM 10mg/2mL emulsion injection
do1w.00	DIAZEPAM 10mg/2mL injection
do1x.00	DIAZEPAM 5mg/2.5mL rectal solution
do1y.00	DIAZEPAM 10mg/2.5mL rectal solution
do1z.00	*DIAZEPAM 20mg/4mL injection
do2..00	CLONAZEPAM [STATUS EPILEPSY]
do21.00	*RIVOTRIL 1mg/1mL injection
do2z.00	*CLONAZEPAM 1mg/1mL injection
do6..00	PHENYTOIN SODIUM [STATUS EPILEPSY]
do61.00	EPANUTIN [EP] 250mg/5mL injection
do6z.00	PHENYTOIN SODIUM 250mg/5mL injection
k81..00	ACETAZOLAMIDE [GLAUCOMA]
k811.00	DIAMOX SUSTETS 500mg m/r capsules
k812.00	DIAMOX 250mg tablets
k813.00	*DIAMOX powder
k814.00	DIAMOX PARENTERAL 500mg injection
k815.00	DIAMOX SR 250mg m/r capsules
k81v.00	*ACETAZOLAMIDE powder
k81w.00	ACETAZOLAMIDE 250mg m/r capsules
k81x.00	ACETAZOLAMIDE 500mg m/r capsules
k81y.00	ACETAZOLAMIDE 250mg tablets
k81z.00	ACETAZOLAMIDE 500mg injection
o57..00	MIDAZOLAM
o57r.00	MIDAZOLAM 10mg/2mL oromucosal soln pre-filled oral syringe
o57s.00	MIDAZOLAM 5mg/1mL oromucosal soln pre-filled oral syringe
o57t.00	MIDAZOLAM 7.5mg/1.5mL oromucosal soln prefilled oral syringe
o57u.00	MIDAZOLAM 2.5mg/0.5mL oromucosal soln prefilled oral syringe
o57v.00	MIDAZOLAM 100mg/50mL injection
o57w.00	MIDAZOLAM 50mg/50mL injection
o57y.00	MIDAZOLAM 10mg/5mL injection
o57z.00	MIDAZOLAM 10mg/2mL injection
