B627E00	Diffuse large B-cell lymphoma
BBgS.00	[M]Malignant lymphoma, large cell, cleaved, diffuse
BBgV.	[M]Malignant lymphoma, small cell, noncleaved, diffuse
BBgV.00	[M]Malignant lymphoma, small cell, noncleaved, diffuse
BBk0.	[M]Malignant lymphoma, nodular NOS
BBk0.00	[M]Malignant lymphoma, nodular NOS
BBk0.11	[M]Brill - Symmers' disease
BBk0.12	[M]Follicular lymphosarcoma NOS
BBk0.13	[M]Giant follicular lymphoma
BBk0.14	[M]Nodular lymphosarcoma NOS
BBk2.	[M]Malignant lymphoma, centroblastic-centrocytic, follicular
BBk2.00	[M]Malignant lymphoma, centroblastic-centrocytic, follicular
BBk2.11	[M]Germinoblastoma, follicular
BBk3.	[M]Malignant lymphoma, lymphocytic, well differentiated, nodular
BBk3.00	[M]Malignant lymphoma, lymphocytic, well differentiated, nodular
BBk4.	[M]Malignant lymphoma, lymphocytic, intermediate differentiation, nodular
BBk4.00	[M]Malignant lymphoma, lymphocytic, intermediate differentiation, nodular
BBk5.	[M]Malignant lymphoma, follicular centre cell, cleaved, follicular
BBk5.00	[M]Malignant lymphoma, follicular centre cell, cleaved, follicular
BBk6.	[M]Malignant lymphoma, lymphocytic, poorly differentiated, nodular
BBk6.00	[M]Malignant lymphoma, lymphocytic, poorly differentiated, nodular
BBk8.	[M]Malignant lymphoma, follicular centre cell, noncleaved, follicular
BBk8.00	[M]Malignant lymphoma, follicular centre cell, noncleaved, follicular
BBmH.	[M] Large cell lymphoma
BBmH.00	[M] Large cell lymphoma
ByuD1	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD100	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD3	[X]Other specified types of non-Hodgkin's lymphoma
ByuD300	[X]Other specified types of non-Hodgkin's lymphoma
ByuDC	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDC00	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDF	[X]Non-Hodgkin's lymphoma, unspecified type
ByuDF00	[X]Non-Hodgkin's lymphoma, unspecified type
ByuDF11	[X]Non-Hodgkin's lymphoma NOS
