A10..00	Primary tuberculous infection
Ayu1600	[X]Tuberculosis of other specified organs
Ayu1700	[X]Acute miliary tuberculosis, unspecified
Ayu1800	[X]Other miliary tuberculosis
Ayu1900	[X]Miliary tuberculosis, unspecified
G532000	Concato's disease
H510.00	Pleurisy without effusion or active tuberculosis
H510z00	Pleurisy without effusion or active tuberculosis NOS
A1...00	Tuberculosis
A120000	Tuberculosis of pleura
A125X00	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A13..00	Tuberculosis of meninges and central nervous system
A13y.00	Other specified tuberculosis of central nervous system
A13z.00	Tuberculosis of central nervous system NOS
A14z.00	Tuberculosis of gastrointestinal tract NOS
A15y.00	Tuberculosis of other specified joint
A166.00	Tuberculous oophoritis or salpingitis
A168.00	Tuberculosis of urinary tract
A170000	Tuberculosis - lupus exedens
A170100	Tuberculosis - lupus vulgaris
A170400	Tuberculosis colliquativa
A171100	Tuberculous erythema nodosum
A172.00	Tuberculosis of peripheral lymph nodes
Ayu1.00	[X]Tuberculosis
Jyu9300	[X]Tuberculous disorders of intestine and mesentery
N018.00	Tuberculous arthritis
65Y2.00	Streptomycin resistant tuberculosis
65Y3.00	Rifampicin resistant tuberculosis
65Y4.00	Pyrazinamide resistant tuberculosis
65Y5.00	Isoniazid resistant tuberculosis
65Y6.00	Ethionamide resistant tuberculosis
65Y7.00	Ethambutol resistant tuberculosis
65Y8.00	Ciprofloxacin resistant tuberculosis
A112.00	Tuberculosis of lung with cavitation
A114.00	Tuberculous fibrosis of lung
A130.00	Tuberculous meningitis
A130000	Tuberculosis of cerebral meninges
A130100	Tuberculosis of spinal meninges
A130200	Tuberculous leptomeningitis
A130300	Tuberculous meningoencephalitis
A130z00	Tuberculous meningitis NOS
A131.00	Tuberculoma of meninges
A132.00	Tuberculoma of brain
A134.00	Tuberculoma of spinal cord
A136000	Tuberculous encephalitis
A140.00	Tuberculous peritonitis
A14y000	Tuberculosis of anus
A14y100	Tuberculosis of large intestine
A14y300	Tuberculosis of mesenteric lymph glands
A14y400	Tuberculosis of rectum
A150.00	Tuberculosis of vertebral column - Pott's
A151.00	Tuberculosis of hip
A152.00	Tuberculosis of knee
A154.00	Tuberculous mastoiditis
A15x.00	Tuberculosis of other specified bones
A160.00	Tuberculosis of kidney
A160000	Tuberculous nephropathy
A160100	Tuberculous pyelitis
A160200	Tuberculous pyelonephritis
A160z00	Tuberculosis of kidney NOS
A161.00	Tuberculosis of bladder
A162.00	Tuberculosis of ureter
A164.00	Tuberculosis of epididymis
A165000	Tuberculosis of prostate
A165100	Tuberculosis seminal vesicle
A165200	Tuberculosis of testis
A166000	Tuberculous oophoritis
A166100	Tuberculous salpingitis
A166z00	Tuberculous oophoritis or salpingitis NOS
A167000	Tuberculous cervicitis
A167100	Tuberculous endometritis
A170500	Tuberculosis cutis
A172200	Tuberculous adenitis
A173000	Tuberculous chorioretinitis
A173100	Tuberculous episcleritis
A173200	Tuberculous interstitial keratitis
A173300	Tuberculous chronic iridocyclitis
A173400	Tuberculous keratoconjunctivitis
A175.00	Tuberculosis of thyroid gland
A176.00	Tuberculosis of adrenal glands - Addison's disease
A177.00	Tuberculosis spleen
A178.00	Tuberculosis oesophagus
A17y000	Tuberculosis endocardium
A17y100	Tuberculosis myocardium
A17y200	Tuberculosis pericardium
A17y300	Tuberculosis of stomach
A17y400	Tuberculosis of liver
A19..00	Disseminated tuberculosis
A1A..00	Multidrug resistant tuberculosis
A1A0.00	Extensively drug resistant tuberculosis
F004.00	Meningitis - tuberculous
F033300	Encephalitis due to tuberculosis
F4A5500	Keratitis due to tuberculosis
G500300	Acute pericarditis - tuberculous
G520600	Acute myocarditis - tuberculous
J550200	Peritonitis - tuberculous
K154800	Cystitis in tuberculosis
K214300	Prostatitis in tuberculosis
K43..00	Female tuberculous pelvic inflammatory disease
L173.00	Maternal tuberculosis during pregnancy, childbirth and the puerperium
L173000	Maternal tuberculosis, unspecified whether during pregnancy or the puerperium
L173z00	Maternal tuberculosis during pregnancy, childbirth or the puerperium NOS
N22yD00	Tuberculous infection of tendon sheath
N304.00	Tuberculosis of spine (Pott's)
N304000	Tuberculosis of cervical spine
N304100	Tuberculosis of thoracic spine
N304200	Tuberculosis of lumbar spine
N305.00	Tuberculosis of limb bones
N305000	Tuberculosis of unspecified limb bone
N305100	Tuberculosis of the upper arm bone
N305200	Tuberculosis of the forearm bone
N305400	Tuberculosis of the lower leg bone
N305500	Tuberculosis of other limb bones
N305600	Tuberculosis of multiple limb bones
N305z00	Tuberculosis of limb bones NOS
N306.00	Tuberculosis of other bones
N306000	Tuberculosis of bone, site unspecified
N306100	Tuberculosis of the bones of the shoulder region
N306200	Tuberculosis of the bones of the hand
N306300	Tuberculosis of the bones of the ankle and foot
N306400	Tuberculosis of the bones of other sites
N306500	Tuberculosis of the bones of multiple sites
N306z00	Tuberculosis of bone NOS
Q402400	Congenital tuberculosis
A170.00	Tuberculosis of skin and subcutaneous tissue
