emis	description
OMCA36316MGEMIS	Omeprazole  Capsules  40 mg (W
OMCA36317MGEMIS	Omeprazole  Capsules  40 mg (U
OMCA36318MGEMIS	Omeprazole  Capsules  40 mg (K
OMCA36319MGEMIS	Omeprazole  Capsules  40 mg (R
OMCA36320MGEMIS	Omeprazole  Capsules  40 mg (S
OMCA36321MGEMIS	Omeprazole  Capsules  40 mg (G
OMCA36322MGEMIS	Omeprazole  Capsules  40 mg (I
OMCA36323MGEMIS	Omeprazole  Capsules  40 mg (T
OMCA36324MGEMIS	Omeprazole  Capsules  40 mg (A
OMCA36325MGEMIS	Omeprazole  Capsules  40 mg (S
OMCA36326MGEMIS	Omeprazole  Capsules  40 mg (P
OMCA36327MGEMIS	Omeprazole  Capsules  40 mg (W
OMCA36328MGEMIS	Omeprazole  Capsules  10 mg (R
OMCA36329MGEMIS	Omeprazole  Capsules  10 mg (I
OMCA36330MGEMIS	Omeprazole  Capsules  10 mg (A
OMCA36331MGEMIS	Omeprazole  Capsules  10 mg (W
OMCA36332MGEMIS	Omeprazole  Capsules  10 mg (T
OMCA36333MGEMIS	Omeprazole  Capsules  10 mg (K
OMCA36334MGEMIS	Omeprazole  Capsules  10 mg (U
OMCA36335MGEMIS	Omeprazole  Capsules  10 mg (S
OMCA36336MGEMIS	Omeprazole  Capsules  10 mg (G
OMCA36337MGEMIS	Omeprazole  Capsules  10 mg (A
OMCA36338MGEMIS	Omeprazole  Capsules  10 mg (S
OMCA36339MGEMIS	Omeprazole  Capsules  10 mg (P
OMCA36340MGEMIS	Omeprazole  Capsules  10 mg (W
OMDI13049NEMIS	Omeprazole  Dispersible (Gastr
OMDI13050NEMIS	Omeprazole  Dispersible (Gastr
OMDI13051NEMIS	Omeprazole  Dispersible (Gastr
OMIN931NEMIS	Omeprazole  Powder for solutio
OMOR22068NEMIS	Omeprazole  Oral suspension  2
OMOR23126NEMIS	Omeprazole  Oral suspension  1
OMOR46512NEMIS	Omeprazole  Oral solution  40 
OMOR46513NEMIS	Omeprazole  Oral suspension  4
OMPO4912NEMIS	Omeprazole  Powder with solven
OMTA1186NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA1187NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA1188NEMIS	Omeprazole  Tablets (Gastro-Re
OMTA14454NEMIS	Omeran  Tablets  10 mg
OMTA14455NEMIS	Omeran  Tablets  20 mg
OMTA14456NEMIS	Omeran  Tablets  40 mg
PATA199NEMIS	Pantoprazole  Gastro-resistant
PATA29719EMIS	Pantoprazole  Gastro-resistant
PATA34090EMIS	Pariet  E/c tablets  10 mg
PATA34091EMIS	Pariet  E/c tablets  20 mg
PRTA200NEMIS	Protium  E/c tablets  20 mg
PRTA29717EMIS	Protium  E/c tablets  40 mg
RATA34094EMIS	Rabeprazole Sodium  E/c tablet
RATA34095EMIS	Rabeprazole Sodium  E/c tablet
ZATA17254NEMIS	Zanprol  Tablets (Gastro-Resis
ZOCA24444EMIS	Zoton  Capsules (Gastro-Resist
ZOCA28115EMIS	Zoton  Capsules (Gastro-Resist
ZOOR14902NEMIS	Zoton Fastab  Orodispersible t
ZOOR14903NEMIS	Zoton Fastab  Orodispersible t
ZOSU34193EMIS	Zoton  Granules for Oral Suspe
LAOR42925NEMIS	Lansoprazole  Oral suspension  5 mg/5 ml
OMOR45586NEMIS	Omeprazole 5mg/5ml oral suspension
