medcode	readcode	Description	CodingSystem
28798	J63y100	Nonspecific reactive hepatitis	readcode
28929	G857.00	Gastric varices	readcode
30586	A707200	Chronic viral hepatitis C	readcode
30655	G851.00	Oesophageal varices without bleeding	readcode
30729	141E.00	History of hepatitis B	readcode
31008	J630.00	Chronic passive liver congestion	readcode
31897	J62..00	Liver abscess and sequelae of chronic liver disease	readcode
32277	A707X00	"Chronic viral hepatitis, unspecified"	readcode
33597	J61yz00	Other non-alcoholic chronic liver disease NOS	readcode
34642	Q48yz11	Congenital hepatic fibrosis	readcode
39351	J635500	Toxic liver disease with chronic active hepatitis	readcode
40567	J615600	Capsular portal cirrhosis	readcode
40963	J61y300	Portal fibrosis without cirrhosis	readcode
41096	A707100	Chronic viral hepatitis B without delta-agent	readcode
41237	J631.00	Hepatitis in viral diseases EC	readcode
42843	J61y.00	Other non-alcoholic chronic liver disease	readcode
43404	7609300	Local ligation of oesophageal varices	readcode
44120	J635600	Toxic liver disease with fibrosis and cirrhosis of liver	readcode
44424	G852.00	Oesophageal varices in diseases EC	readcode
44676	J615400	Fatty portal cirrhosis	readcode
46647	760F400	Rigid oesophagoscopic banding of oesophageal varices	readcode
47214	760F300	Rigid oesophagoscopic injection sclerotherapy oesoph varices	readcode
47257	J615.11	Portal cirrhosis	readcode
48102	J62y.00	Other sequelae of chronic liver disease	readcode
48928	J615H00	Infectious cirrhosis NOS	readcode
50245	Q409100	Congenital hepatitis B infection	readcode
53480	J614300	Recurrent hepatitis	readcode
53704	J600200	Acute yellow atrophy	readcode
53877	J614y00	Chronic hepatitis unspecified	readcode
55454	J615y00	Portal cirrhosis unspecified	readcode
58184	J615812	Indian childhood cirrhosis	readcode
58630	J616z00	Biliary cirrhosis NOS	readcode
60104	J61y500	Hepatic sclerosis	readcode
62582	G852z00	Oesophageal varices in diseases EC NOS	readcode
64750	J635400	Toxic liver disease with chronic lobular hepatitis	readcode
65050	A704000	Viral hepatitis C with coma	readcode
66534	J614400	Chronic lobular hepatitis	readcode
68376	J612.11	Florid cirrhosis	readcode
69053	A702.00	Viral hepatitis B with coma	readcode
69204	J615100	Multilobular portal cirrhosis	readcode
69313	J601200	Subacute yellow atrophy	readcode
71453	J615z15	Hepatic fibrosis	readcode
73139	G852100	Oesophageal varices without bleeding in diseases EC	readcode
73482	J615D00	Bacterial portal cirrhosis	readcode
91591	J616200	Biliary cirrhosis of children	readcode
92909	J615500	Hypertrophic portal cirrhosis	readcode
96085	9kV..00	Hepatitis C screening positive - enhanced services admin	readcode
96664	J615800	Juvenile portal cirrhosis	readcode
96756	G852000	Oesophageal varices with bleeding in diseases EC	readcode
98148	J61y800	Nonalcoholic steatohepatitis	readcode
99898	9kR..00	Chronic hepatitis annual review - enhanced services admin	readcode
100253	J615C00	Xanthomatous portal cirrhosis	readcode
100474	J612.12	Laennec's cirrhosis	readcode
100592	J61y600	Hepatic fibrosis with hepatic sclerosis	readcode
102922	C370800	Cystic fibrosis related cirrhosis	readcode
104572	9NgR.00	On hepatitis C treatment plan	readcode
105611	Gyu9400	[X]Oesophageal varices in diseases classified elsewhere	readcode
108800	J62z.00	Liver abscess and chronic liver disease causing sequelae NOS	readcode
