medcode	readcode	Description	CodingSystem
63001	J112.00	Anti-platelet induced gastric ulcer	readcode
63482	J14y.00	Unspecified gastrojejunal ulcer	readcode
63582	J111100	Chronic gastric ulcer with haemorrhage	readcode
63718	761D600	Endoscopic injection haemostasis of gastric ulcer	readcode
64014	761J100	Closure of gastric ulcer NEC	readcode
64111	J13y200	Unspecified peptic ulcer with perforation	readcode
64165	J110000	Acute gastric ulcer without mention of complication	readcode
64556	J111y00	Chronic gastric ulcer unspecified	readcode
64710	7612500	Resection of gastric ulcer by cautery	readcode
64913	J14..12	Gastrocolic ulcer	readcode
65737	J12yz00	Unspecified duodenal ulcer NOS	readcode
66092	J14yz00	Unspecified gastrojejunal ulcer NOS	readcode
67082	J13y000	Unspecified peptic ulcer without mention of complication	readcode
67356	J111400	Chronic gastric ulcer with obstruction	readcode
67711	J130y00	Acute peptic ulcer unspecified	readcode
68661	J130000	Acute peptic ulcer without mention of complication	readcode
69663	J131z00	Chronic peptic ulcer NOS	readcode
70005	761J111	Suture of ulcer of stomach NEC	readcode
70390	J131y00	Chronic peptic ulcer unspecified	readcode
70456	J13y100	Unspecified peptic ulcer with haemorrhage	readcode
71150	J12y000	Unspecified duodenal ulcer without mention of complication	readcode
71403	J110300	Acute gastric ulcer with haemorrhage and perforation	readcode
71881	J121300	Chronic duodenal ulcer with haemorrhage and perforation	readcode
71897	J111300	Chronic gastric ulcer with haemorrhage and perforation	readcode
71904	J12y400	Unspecified duodenal ulcer with obstruction	readcode
73338	J11y000	Unspecified gastric ulcer without mention of complication	readcode
73417	J120400	Acute duodenal ulcer with obstruction	readcode
73697	J11y400	Unspecified gastric ulcer with obstruction	readcode
74496	5329		readcode
74539	5329PT		readcode
74848	5320		readcode
75354	5319TM		readcode
75550	5319PP		readcode
75673	5339		readcode
76394	5339DB		readcode
77740	5329BD		readcode
79977	5310		readcode
82043	5349MR		readcode
82405	5330		readcode
83017	5319PT		readcode
83963	5310PT		readcode
84227	K4271		readcode
88061	5349GJ		readcode
88070	5320PT		readcode
88195	5310TM		readcode
90208	5340GJ		readcode
90899	K458 PT		readcode
92695	7612111	Balfour excision of gastric ulcer	readcode
93436	J12y300	Unspecified duodenal ulcer with haemorrhage and perforation	readcode
94104	761Jy00	Other specified operation on gastric ulcer	readcode
94397	J11yy00	Unspec gastric ulcer; unspec haemorrhage and/or perforation	readcode
96090	J141.00	Chronic gastrojejunal ulcer	readcode
96622	J13y300	Unspecified peptic ulcer with haemorrhage and perforation	readcode
96628	J140100	Acute gastrojejunal ulcer with haemorrhage	readcode
99430	J131000	Chronic peptic ulcer without mention of complication	readcode
99670	J13y400	Unspecified peptic ulcer with obstruction	readcode
102177	J140200	Acute gastrojejunal ulcer with perforation	readcode
106330	J140300	Acute gastrojejunal ulcer with haemorrhage and perforation	readcode
109546	J110400	Acute gastric ulcer with obstruction	readcode
110244	J141300	Chronic gastrojejunal ulcer with haemorrhage and perforation	readcode
