a815.	Kaodene mixture
djA2.	MABRON 150mg m/r tablets
djA3.	MABRON 200mg m/r tablets
djA4.	ZERIDAME SR 100mg m/r tablets
djA5.	ZERIDAME SR 150mg m/r tablets
djA6.	ZERIDAME SR 200mg m/r tablets
djA7.	NOBLIGAN RETARD 100mg m/r tablets
djAb.	MAXITRAM SR 50mg m/r capsules
djAc.	MAXITRAM SR 100mg m/r capsules
djAd.	MAXITRAM SR 150mg m/r capsules
djAe.	MAXITRAM SR 200mg m/r capsules
djAf.	MAROL 100mg m/r tablets
djAg.	MAROL 150mg m/r tablets
djAh.	MAROL 200mg m/r tablets
djAp.	MANEO 100mg m/r tablets
djAq.	MANEO 150mg m/r tablets
djAr.	MANEO 200mg m/r tablets
djB1.	PALEXIA SR 50mg m/r tablets
djB2.	PALEXIA SR 100mg m/r tablets
djB3.	PALEXIA SR 150mg m/r tablets
djB4.	PALEXIA SR 200mg m/r tablets
djB5.	PALEXIA SR 250mg m/r tablets
djB6.	PALEXIA 50mg tablets
djB7.	PALEXIA 75mg tablets
djB8.	PALEXIA 20mg/mL oral solution
djBS.	TAPENTADOL 20mg/mL oral solution
djBT.	TAPENTADOL 75mg tablets
djBU.	TAPENTADOL 50mg tablets
djBV.	TAPENTADOL 250mg m/r tablets
djBW.	TAPENTADOL 200mg m/r tablets
djBX.	TAPENTADOL 150mg m/r tablets
djBY.	TAPENTADOL 100mg m/r tablets
djBZ.	TAPENTADOL 50mg m/r tablets
djd3.	Nalbuphine hydrochloride 10mg/1mL injection
djdz.	Nalbuphine hydrochloride 20mg/2mL injection
djf1.	Pentazocine hydrochloride 50mg capsule
djf2.	Pentazocine hydrochloride 25mg tablet
djf3.	Pentazocine 30mg/1mL injection
djf5.	Pentazocine 50mg suppository
djf7.	Fortral 25mg tablet
djf8.	Fortral 30mg/1mL injection
djf9.	Fortral 60mg/2mL injection
djfa.	Fortral 50mg suppository
djg2.	Pethidine hydrochloride 50mg tablet
djg5.	Pamergan P100 injection
dji1.	Tramadol hydrochloride 100mg/2mL injection
dji2.	Tramadol hydrochloride 50mg capsule
dji3.	Zydol 100mg/2mL injection
dji4.	Zydol 50mg capsule
dji5.	Tramadol hydrochloride 100mg m/r tablet
dji6.	Tramadol hydrochloride 150mg m/r tablet
dji7.	Tramadol hydrochloride 200mg m/r tablet
dji8.	Zydol SR 100mg m/r tablet
dji9.	Zydol SR 150mg m/r tablet
djia.	Dromadol XL 150mg m/r tablet
djiA.	Zydol SR 200mg m/r tablet
djib.	Dromadol XL 200mg m/r tablet
djiB.	Tramake 50mg capsule
djic.	Dromadol XL 300mg m/r tablet
djiC.	Tramadol hydrochloride 50mg soluble tablet
djid.	Dromadol XL 400mg m/r tablet
djiD.	Zydol Soluble 50mg tablet
djie.	Zamadol Melt 50mg oro-dispersible tablet
djiE.	Zamadol 50mg capsule
djif.	Larapam SR 100mg m/r tablet
djiF.	Tramadol hydrochloride 50mg m/r capsule
djig.	Larapam SR 150mg m/r tablet
djiG.	Tramadol hydrochloride 100mg m/r capsule
djiH.	Tramadol hydrochloride 150mg m/r capsule
djii.	Zamadol 24hr 150mg m/r tablet
djiI.	Tramadol hydrochloride 200mg m/r capsule
djij.	Zamadol 24hr 200mg m/r tablet
djiJ.	Zamadol SR 50mg m/r capsule
djik.	Zamadol 24hr 300mg m/r tablet
djiK.	Zamadol SR 100mg m/r capsule
djil.	Zamadol 24hr 400mg m/r tablet
djiL.	Zamadol SR 150mg m/r capsule
djim.	TRADOREC XL 100mg m/r tablets
djiM.	Zamadol SR 200mg m/r capsule
djin.	TRADOREC XL 200mg m/r tablets
djiN.	Zamadol 100mg/2mL injection
djio.	TRADOREC XL 300mg m/r tablets
djiO.	Tramadol hydrochloride 50mg/sachet powder
djiP.	Tramadol hydrochloride 100mg/sachet powder
djiQ.	Tramake Insts 50mg/sachet powder
djiR.	Tramake Insts 100mg/sachet powder
djiS.	Zydol XL 150mg m/r tablet
djit.	ZYDOL SR 50mg m/r tablets
djiT.	Zydol XL 200mg m/r tablet
djiU.	Zydol XL 300mg m/r tablet
djiv.	TRAMADOL HYDROCHLORIDE 50mg m/r tablets
djiV.	Zydol XL 400mg m/r tablet
djiw.	Tramadol hydrochloride 50mg oro-dispersible tablet
djiW.	Dromadol SR 100mg m/r tablet
djix.	Tramadol hydrochloride 75mg m/r tablet
djiX.	Dromadol SR 150mg m/r tablet
djiy.	Tramadol hydrochloride 300mg m/r tablet
djiY.	Dromadol SR 200mg m/r tablet
djiz.	Tramadol hydrochloride 400mg m/r tablet
djiZ.	Dromadol SR 75mg m/r tablet
djj1.	Hydromorphone hydrochloride 1.3mg capsule
djj2.	Palladone 1.3mg capsule
djj3.	Hydromorphone hydrochloride 2.6mg capsule
djj4.	Palladone 2.6mg capsule
djj5.	Hydromorphone hydrochloride 2mg m/r capsule
djj6.	Hydromorphone hydrochloride 4mg m/r capsule
djj7.	Hydromorphone hydrochloride 8mg m/r capsule
djj8.	Hydromorphone hydrochloride 16mg m/r capsule
djj9.	Hydromorphone hydrochloride 24mg m/r capsule
djjA.	Palladone-SR 2mg m/r capsule
djjB.	Palladone-SR 4mg m/r capsule
djjC.	Palladone-SR 8mg m/r capsule
djjD.	Palladone-SR 16mg m/r capsule
djjE.	Palladone-SR 24mg m/r capsule
djk1.	OxyNorm 5mg capsule
djk2.	OxyNorm 10mg capsule
djk3.	OxyNorm 20mg capsule
djk4.	OxyContin 10mg m/r tablet
djk5.	OxyContin 20mg m/r tablet
djk6.	OxyContin 40mg m/r tablet
djk7.	OxyContin 80mg m/r tablet
djk8.	OxyNorm 5mg/5mL liquid
djk9.	OxyNorm 10mg/mL concentrate liquid
djka.	SHORTEC 20mg capsules
djkA.	OxyNorm 10mg/mL injection solution 1mL ampoule
djkb.	RELTEBON 5mg m/r tablets
djkB.	OxyNorm 10mg/mL injection solution 2mL ampoule
djkc.	RELTEBON 10mg m/r tablets
djkC.	TARGINACT 10mg/5mg m/r tablets
djkd.	RELTEBON 20mg m/r tablets
djkD.	TARGINACT 20mg/10mg m/r tablets
djke.	OXYCODONE HYDROCHLORIDE 120mg m/r tablets
djkE.	OXYNORM 50mg/1mL solution for injection ampoules
djkf.	OXYCODONE HYDROCHLORIDE 60mg m/r tablets
djkF.	TARGINACT 5mg/2.5mg m/r tablets
djkg.	OXYCODONE HYDROCHLORIDE 30mg m/r tablets
djkG.	TARGINACT 40mg/20mg m/r tablets
djkh.	OXYCODONE HYDROCHLORIDE 15mg m/r tablets
djkH.	OXYCONTIN 15mg m/r tablets
djki.	OXYCODONE HCL+NALOXONE HCL 40mg/20mg m/r tablets
djkI.	OXYCONTIN 30mg m/r tablets
djkj.	OXYCODONE HCL+NALOXONE HCL 5mg/2.5mg m/r tablets
djkJ.	OXYCONTIN 60mg m/r tablets
djkk.	OXYCODONE HYDROCHLORIDE 50mg/1mL soln for injection ampoules
djkK.	OXYCONTIN 120mg m/r tablets
djkl.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 20mg/10mg m/r tablets
djkL.	LONGTEC 5mg m/r tablets
djkm.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 10mg/5mg m/r tablets
djkM.	LONGTEC 10mg m/r tablets
djkn.	Oxycodone hydrochloride 10mg/mL injection solution 2mL ampoule
djkN.	LONGTEC 20mg m/r tablets
djko.	Oxycodone hydrochloride 10mg/mL injection solution 1mL ampoule
djkO.	LONGTEC 40mg m/r tablets
djkp.	OxyContin 5mg m/r tablet
djkP.	LONGTEC 80mg m/r tablets
djkq.	Oxycodone hydrochloride 5mg m/r tablet
djkQ.	OXYLAN 5mg m/r tablets
djkr.	Oxycodone hydrochloride 5mg/5mL s/f liquid
djkR.	OXYLAN 10mg m/r tablets
djks.	Oxycodone hydrochloride 10mg/mL concentrate s/f liquid
djkS.	OXYLAN 20mg m/r tablets
djkt.	Oxycodone hydrochloride 5mg capsule
djkT.	OXYLAN 40mg m/r tablets
djku.	Oxycodone hydrochloride 10mg capsule
djkU.	OXYLAN 80mg m/r tablets
djkv.	Oxycodone hydrochloride 20mg capsule
djkV.	LYNLOR 5mg capsules
djkw.	Oxycodone hydrochloride 10mg m/r tablet
djkW.	LYNLOR 10mg capsules
djkx.	Oxycodone hydrochloride 20mg m/r tablet
djkX.	LYNLOR 20mg capsules
djky.	Oxycodone hydrochloride 40mg m/r tablet
djkY.	SHORTEC 5mg capsules
djkz.	Oxycodone hydrochloride 80mg m/r tablet
djkZ.	SHORTEC 10mg capsules
djm1.	RELTEBON 40mg m/r tablets
djm2.	RELTEBON 80mg m/r tablets
djm7.	RELTEBON 15mg m/r tablets
djm8.	RELTEBON 30mg m/r tablets
djm9.	RELTEBON 60mg m/r tablets
djmA.	OXELTRA 5mg m/r tablets
djmB.	OXELTRA 10mg m/r tablets
djmC.	OXELTRA 15mg m/r tablets
djmD.	OXELTRA 20mg m/r tablets
djmE.	OXELTRA 30mg m/r tablets
djmF.	OXELTRA 40mg m/r tablets
djmG.	OXELTRA 60mg m/r tablets
djmH.	OXELTRA 80mg m/r tablets
djmI.	LONGTEC 15mg m/r tablets
djmJ.	LONGTEC 30mg m/r tablets
djmK.	LONGTEC 60mg m/r tablets
djmL.	LONGTEC 120mg m/r tablets
djmM.	ABTARD 5mg m/r tablets
djmN.	ABTARD 10mg m/r tablets
djmO.	ABTARD 15mg m/r tablets
djmP.	ABTARD 20mg m/r tablets
djmQ.	ABTARD 30mg m/r tablets
djmR.	ABTARD 40mg m/r tablets
djmS.	ABTARD 60mg m/r tablets
djmT.	ABTARD 80mg m/r tablets
djy6.	Filnarine SR 10mg m/r tablet
djy7.	Filnarine SR 30mg m/r tablet
djy8.	Filnarine SR 60mg m/r tablet
djy9.	Filnarine SR 100mg m/r tablet
djyA.	Morphgesic SR 10mg m/r tablet
djyB.	Morphgesic SR 30mg m/r tablet
djyC.	Morphgesic SR 60mg m/r tablet
djyD.	Morphgesic SR 100mg m/r tablet
djz1.	Morphine sulphate 10mg tablet
djz2.	Morphine sulphate 20mg tablet
djz3.	Morphine sulphate 5mg m/r tablet
djz4.	Morphine sulphate 10mg m/r tablet
djz5.	Morphine sulphate 15mg m/r tablet
djz6.	Morphine sulphate 30mg m/r tablet
djz7.	Morphine sulphate 60mg m/r tablet
djz8.	Morphine sulphate 100mg m/r tablet
djz9.	Morphine sulphate 200mg m/r tablet
djza.	Morphine sulphate 50mg m/r capsule
djzA.	Morphine sulphate 60mg/sachet granules for suspension
djzb.	Morcap SR 20mg m/r capsule
djzB.	Morphine sulphate 100mg/sachet granules for suspension
djzc.	Morcap SR 50mg m/r capsule
djzC.	Morphine sulphate 200mg/sachet granules for suspension
djzD.	Morphine sulphate 10mg m/r capsule
djzE.	Morphine sulphate 30mg m/r capsule
djzF.	Morphine sulphate 60mg m/r capsule
djzG.	Morphine sulphate 100mg m/r capsule
djzj.	Zomorph 10mg m/r capsule
djzk.	Zomorph 30mg m/r capsule
djzl.	Zomorph 60mg m/r capsule
djzL.	Morphine sulphate 50mg tablet
djzm.	Zomorph 100mg m/r capsule
djzM.	Sevredol 50mg tablet
djzn.	Zomorph 200mg m/r capsule
djzO.	Morphine sulphate 90mg m/r capsule
djzP.	Morphine sulphate 120mg m/r capsule
djzQ.	Morphine sulphate 150mg m/r capsule
djzR.	Morphine sulphate 200mg m/r capsule
djzS.	MXL 30mg m/r capsule
djzT.	MXL 60mg m/r capsule
djzU.	MXL 90mg m/r capsule
djzV.	MXL 120mg m/r capsule
djzW.	MXL 150mg m/r capsule
djzX.	MXL 200mg m/r capsule
djzY.	Morcap SR 100mg m/r capsule
djzZ.	Morphine sulphate 20mg m/r capsule
dl12.	Migraleve pink tablet
dl13.	Migraleve yellow tablet
j28H.	Codafen Continus m/r tablet
j28I.	Nurofen Plus tablet
j28U.	Solpaflex tablet
j28z.	Ibuprofen+codeine phosphate 300mg/20mg m/r tablet
j2pM.	Cuprofen PLUS tablet
o415.	Alfentanil 5mg/1mL injection
o416.	Rapifen Intensive Care 5mg/1mL injection
o421.	Sublimaze 100micrograms/2mL injection
o424.	Fentanyl 25micrograms/hour patch
o425.	Fentanyl 50micrograms/hour patch
o426.	Fentanyl 75micrograms/hour patch
o427.	Fentanyl 100micrograms/hour patch
o428.	Durogesic 25micrograms/hour patch
o429.	Durogesic 50micrograms/hour patch
o42a.	MEZOLAR MATRIX 75micrograms/hour patches
o42A.	Durogesic 75micrograms/hour patch
o42b.	MEZOLAR MATRIX 100micrograms/hour patches
o42B.	Durogesic 100micrograms/hour patch
o42c.	IONSYS 40micrograms/dose iontophoretic transdermal system
o42C.	Actiq 200micrograms lozenge
o42d.	OSMACH 25micrograms/hour patches
o42D.	Actiq 400micrograms lozenge
o42e.	OSMACH 50micrograms/hour patches
o42E.	Actiq 600micrograms lozenge
o42f.	OSMACH 75micrograms/hour patches
o42F.	Actiq 800micrograms lozenge
o42g.	OSMACH 100micrograms/hour patches
o42G.	Actiq 1200micrograms lozenge
o42h.	FENTALIS RESERVOIR 100micrograms/hr patches
o42H.	Actiq 1600micrograms lozenge
o42i.	FENTALIS RESERVOIR 25micrograms/hr patches
o42I.	Durogesic DTrans 25micrograms/hour patch
o42j.	FENTALIS RESERVOIR 50micrograms/hr patches
o42J.	Durogesic DTrans 50micrograms/hour patch
o42k.	FENTALIS RESERVOIR 75micrograms/hr patches
o42K.	Durogesic DTrans 75micrograms/hour patch
o42l.	EFFENTORA 100micrograms buccal tablets
o42L.	Durogesic DTrans 100micrograms/hour patch
o42m.	FENTANYL 100micrograms buccal tablets
o42M.	Tilofyl 25micrograms/hour patch
o42n.	EFFENTORA 200micrograms buccal tablets
o42N.	Tilofyl 50micrograms/hour patch
o42o.	FENTANYL 200micrograms buccal tablets
o42O.	Tilofyl 75micrograms/hour patch
o42P.	Tilofyl 100micrograms/hour patch
o42q.	Fentanyl 1600micrograms lozenge
o42Q.	Durogesic DTrans 12micrograms/hour patch
o42r.	Fentanyl 1200micrograms lozenge
o42R.	Fentanyl 12micrograms/hour patch
o42s.	Fentanyl 800micrograms lozenge
o42S.	MATRIFEN 12micrograms/hr patches
o42t.	Fentanyl 600micrograms lozenge
o42T.	MATRIFEN 25micrograms/hr patches
o42u.	Fentanyl 400micrograms lozenge
o42U.	MATRIFEN 50micrograms/hr patches
o42v.	Fentanyl 200micrograms lozenge
o42V.	MATRIFEN 75micrograms/hr patches
o42W.	MATRIFEN 100micrograms/hr patches
o42x.	Fentanyl 100micrograms/2mL injection
o42X.	MEZOLAR MATRIX 12micrograms/hour patches
o42y.	Fentanyl 500micrograms/10mL injection
o42Y.	MEZOLAR MATRIX 25micrograms/hour patches
o42Z.	MEZOLAR MATRIX 50micrograms/hour patches
o441.	Meptid 200mg tablet
o442.	Meptid 100mg/1mL injection
o443.	Meptazinol 200mg tablet
o44z.	Meptazinol 100mg/1mL injection
o461.	Nubain 10mg/1mL injection
o462.	Nubain 20mg/2mL injection
o478.	Papaveretum BP 15.4mg/1mL injection
o47A.	Papaveretum BP 7.7mg/1mL injection
o481.	Pethidine hydrochloride 50mg/5mL injection
o482.	Pethidine hydrochloride 100mg/10mL injection
o483.	Pethidine hydrochloride 50mg/1mL injection
o484.	Pethidine hydrochloride 100mg/2mL injection
o4c1.	Remifentanil 1mg injection (pdr for recon)
o4c2.	Remifentanil 2mg injection (pdr for recon)
o4c3.	Remifentanil 5mg injection (pdr for recon)
o4c4.	Ultiva 1mg injection (pdr for recon)
o4c5.	Ultiva 2mg injection (pdr for recon)
o4c6.	Ultiva 5mg injection (pdr for recon)
o4d1.	EFFENTORA 400micrograms buccal tablets
o4d2.	FENTANYL 400micrograms buccal tablets
o4d3.	EFFENTORA 600micrograms buccal tablets
o4d4.	FENTANYL 600micrograms buccal tablets
o4d5.	EFFENTORA 800micrograms buccal tablets
o4d6.	FENTANYL 800micrograms buccal tablets
o4d7.	ABSTRAL 100micrograms sublingual tablets
o4d8.	FENTANYL 100micrograms sublingual tablets
o4d9.	ABSTRAL 200micrograms sublingual tablets
o4da.	FENTANYL 200micrograms sublingual tablets
o4dA.	FENTANYL 400micrograms nasal spray
o4db.	ABSTRAL 300micrograms sublingual tablets
o4dB.	FENCINO 12micrograms/hr patches
o4dc.	FENTANYL 300micrograms sublingual tablets
o4dC.	FENCINO 25micrograms/hr patches
o4dd.	ABSTRAL 400micrograms sublingual tablets
o4dD.	FENCINO 50micrograms/hr patches
o4de.	FENTANYL 400micrograms sublingual tablets
o4dE.	FENCINO 75micrograms/hr patches
o4df.	ABSTRAL 600micrograms sublingual tablets
o4dF.	FENCINO 100micrograms/hr patches
o4dg.	FENTANYL 600micrograms sublingual tablets
o4dG.	BREAKYL 200micrograms buccal film
o4dh.	ABSTRAL 800micrograms sublingual tablets
o4dH.	FENTANYL 200micrograms buccal film
o4di.	FENTANYL 800micrograms sublingual tablets
o4dI.	BREAKYL 400micrograms buccal film
o4dj.	OSMANIL 25micrograms/hr patches
o4dJ.	FENTANYL 400micrograms buccal film
o4dk.	OSMANIL 50micrograms/hr patches
o4dK.	BREAKYL 800micrograms buccal film
o4dl.	OSMANIL 75micrograms/hr patches
o4dL.	FENTANYL 800micrograms buccal film
o4dm.	OSMANIL 100micrograms/hr patches
o4dn.	VICTANYL 25micrograms/hour patches
o4do.	VICTANYL 50micrograms/hour patches
o4dO.	RECIVIT 133micrograms sublingual tablets
o4dp.	VICTANYL 75micrograms/hour patches
o4dP.	FENTANYL 133micrograms sublingual tablets
o4dq.	VICTANYL 100micrograms/hour patches
o4dQ.	RECIVIT 267micrograms sublingual tablets
o4dr.	OSMANIL 12micrograms/hr patches
o4dR.	FENTANYL 267micrograms sublingual tablets
o4ds.	INSTANYL 50micrograms nasal spray
o4dS.	RECIVIT 400micrograms sublingual tablets
o4dt.	FENTANYL 50micrograms nasal spray
o4dT.	RECIVIT 533micrograms sublingual tablets
o4du.	INSTANYL 100micrograms nasal spray
o4dU.	FENTANYL 533micrograms sublingual tablets
o4dv.	FENTANYL 100micrograms nasal spray
o4dw.	INSTANYL 200micrograms nasal spray
o4dW.	OPIODUR 12micrograms/hour transdermal patches
o4dx.	FENTANYL 200micrograms nasal spray
o4dX.	OPIODUR 25micrograms/hour transdermal patches
o4dy.	PECFENT 100micrograms nasal spray
o4dY.	OPIODUR 50micrograms/hour transdermal patches
o4dz.	PECFENT 400micrograms nasal spray
o4dZ.	OPIODUR 75micrograms/hour transdermal patches
o4e1.	OPIODUR 100micrograms/hour transdermal patches
o4e2.	MEZOLAR MATRIX 37.5micrograms/hour patches
o4e3.	FENTANYL 37.5micrograms/hour transdermal patches
o4e4.	YEMEX 12micrograms/hour transdermal patches
o4e5.	YEMEX 25micrograms/hour transdermal patches
o4e6.	YEMEX 50micrograms/hour transdermal patches
o4e7.	YEMEX 75micrograms/hour transdermal patches
o4e8.	YEMEX 100micrograms/hour transdermal patches
x00EP	Oramorph 100mg/5mL concentrated oral solution
x00g3	Uniflu plus Gregovite C tablet
x00Xv	Oramorph 10mg/5mL oral solution
x025k	Cyclimorph 10 injection
x025l	Cyclimorph 15 injection
x04wf	Sevredol 10mg/5mL oral solution
x04wg	Sevredol 20mg/mL concentrated oral solution
