C10..00	Diabetes mellitus
C10EF12	Insulin dependent diabetes mellitus with diabetic cataract
C10EG00	Type 1 diabetes mellitus with peripheral angiopathy
C10EG11	Type I diabetes mellitus with peripheral angiopathy
C10EG12	Insulin dependent diabetes mellitus with peripheral angiopathy
C10EH00	Type 1 diabetes mellitus with arthropathy
C10EH11	Type I diabetes mellitus with arthropathy
C10EH12	Insulin dependent diabetes mellitus with arthropathy
C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy
C10EJ11	Type I diabetes mellitus with neuropathic arthropathy
C10EJ12	Insulin dependent diabetes mellitus with neuropathic arthropathy
C10EK00	Type 1 diabetes mellitus with persistent proteinuria
C10EK11	Type I diabetes mellitus with persistent proteinuria
C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria
C10EL11	Type I diabetes mellitus with persistent microalbuminuria
C10EM00	Type 1 diabetes mellitus with ketoacidosis
C10EM11	Type I diabetes mellitus with ketoacidosis
C10EN00	Type 1 diabetes mellitus with ketoacidotic coma
C10EN11	Type I diabetes mellitus with ketoacidotic coma
C10EP00	Type 1 diabetes mellitus with exudative maculopathy
C10EP11	Type I diabetes mellitus with exudative maculopathy
C10EQ00	Type 1 diabetes mellitus with gastroparesis
C10EQ11	Type I diabetes mellitus with gastroparesis
C10ER00	Latent autoimmune diabetes mellitus in adult
C10F.00	Type 2 diabetes mellitus
C10F.11	Type II diabetes mellitus
C10F000	Type 2 diabetes mellitus with renal complications
C10F011	Type II diabetes mellitus with renal complications
C10F100	Type 2 diabetes mellitus with ophthalmic complications
C10F111	Type II diabetes mellitus with ophthalmic complications
C10F200	Type 2 diabetes mellitus with neurological complications
C10F211	Type II diabetes mellitus with neurological complications
C10F300	Type 2 diabetes mellitus with multiple complications
C10F311	Type II diabetes mellitus with multiple complications
C10F400	Type 2 diabetes mellitus with ulcer
C10F411	Type II diabetes mellitus with ulcer
C10F500	Type 2 diabetes mellitus with gangrene
C10F511	Type II diabetes mellitus with gangrene
C10F600	Type 2 diabetes mellitus with retinopathy
C10F611	Type II diabetes mellitus with retinopathy
C10F700	Type 2 diabetes mellitus - poor control
C10F711	Type II diabetes mellitus - poor control
C10F900	Type 2 diabetes mellitus without complication
C10F911	Type II diabetes mellitus without complication
C10FA00	Type 2 diabetes mellitus with mononeuropathy
C10FA11	Type II diabetes mellitus with mononeuropathy
C10FB00	Type 2 diabetes mellitus with polyneuropathy
C10FB11	Type II diabetes mellitus with polyneuropathy
C10FC00	Type 2 diabetes mellitus with nephropathy
C10FC11	Type II diabetes mellitus with nephropathy
C10FD00	Type 2 diabetes mellitus with hypoglycaemic coma
C10FD11	Type II diabetes mellitus with hypoglycaemic coma
C10FE00	Type 2 diabetes mellitus with diabetic cataract
C10FE11	Type II diabetes mellitus with diabetic cataract
C10FF00	Type 2 diabetes mellitus with peripheral angiopathy
C10FF11	Type II diabetes mellitus with peripheral angiopathy
C10FG00	Type 2 diabetes mellitus with arthropathy
C10FG11	Type II diabetes mellitus with arthropathy
C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy
C10FH11	Type II diabetes mellitus with neuropathic arthropathy
C10FJ00	Insulin treated Type 2 diabetes mellitus
C10FJ11	Insulin treated Type II diabetes mellitus
C10FK00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus
C10FK11	Hyperosmolar non-ketotic state in type II diabetes mellitus
C10FL00	Type 2 diabetes mellitus with persistent proteinuria
C10FL11	Type II diabetes mellitus with persistent proteinuria
C10FM00	Type 2 diabetes mellitus with persistent microalbuminuria
C10FM11	Type II diabetes mellitus with persistent microalbuminuria
C10FN00	Type 2 diabetes mellitus with ketoacidosis
C10FN11	Type II diabetes mellitus with ketoacidosis
C10FP00	Type 2 diabetes mellitus with ketoacidotic coma
C10FP11	Type II diabetes mellitus with ketoacidotic coma
C10FQ00	Type 2 diabetes mellitus with exudative maculopathy
C10FQ11	Type II diabetes mellitus with exudative maculopathy
C10FR00	Type 2 diabetes mellitus with gastroparesis
C10FR11	Type II diabetes mellitus with gastroparesis
C10FS00	Maternally inherited diabetes mellitus
C10G.00	Secondary pancreatic diabetes mellitus
C10G000	Secondary pancreatic diabetes mellitus without complication
C10M.00	Lipoatrophic diabetes mellitus
C10M000	Lipoatrophic diabetes mellitus without complication
C10N.00	Secondary diabetes mellitus
C10N000	Secondary diabetes mellitus without complication
C10N100	Cystic fibrosis related diabetes mellitus
C10Q.00	Maturity onset diabetes of the young type 5
C10y.00	Diabetes mellitus with other specified manifestation
C10y000	Diabetes mellitus, juvenile type, with other specified manifestation
C10y100	Diabetes mellitus, adult onset, with other specified manifestation
C10yy00	Other specified diabetes mellitus with other specified complications
C10yz00	Diabetes mellitus NOS with other specified manifestation
C10z.00	Diabetes mellitus with unspecified complication
C10z000	Diabetes mellitus, juvenile type, with unspecified complication
C10z100	Diabetes mellitus, adult onset, with unspecified complication
C10zy00	Other specified diabetes mellitus with unspecified complications
C10zz00	Diabetes mellitus NOS with unspecified complication
Cyu2.00	[X]Diabetes mellitus
Cyu2000	[X]Other specified diabetes mellitus
Cyu2100	[X]Malnutrition-related diabetes mellitus with other specified complications
Cyu2200	[X]Malnutrition-related diabetes mellitus with unspecified complications
Cyu2300	[X]Unspecified diabetes mellitus with renal complications
