ff11.	Ethinylestradiol 10micrograms tablet
fh1H.	Elleste Duet 2mg tablet
fh1I.	Novofem tablet
fh1j.	Climagest 2mg tablet
fh1k.	Premique 0.625mg/5mg tablet
fh1K.	Estradiol valerate+norethisterone 2mg/0.7mg tablet
fh1L.	Climesse tablet
fh1m.	Femapak 80 patch+tablet
fh1M.	Elleste Duet 1mg tablet
fh1n.	Femapak 40 patch+tablet
fh1N.	Evorel Sequi patch
fh1o.	Adgyn Combi 2mg tablet
fh1O.	Evorel Conti patch
fh1p.	FemSeven Conti patch
fh1Q.	Elleste Duet Conti tablet
fh1R.	Estradiol+norethisterone acetate 1mg/0.5mg tablet
fh1s.	FemTab Sequi tablet
fh1S.	Kliovance 1mg/0.5mg tablet
fh1t.	FemTab Continuous tablet
fh1T.	Nuvelle Continuous tablet
fh1U.	Femoston-conti tablet
fh1v.	Premique Low Dose 0.3mg/1.5mg tablet
fh1V.	Indivina 1mg/2.5mg tablet
fh1W.	Indivina 1mg/5mg tablet
fh1x.	Drospirenone 2mg / estradiol 1mg tablet
fh1X.	Indivina 2mg/5mg tablet
fh1y.	Angeliq 2mg/1mg tablet
fh1Y.	FemSeven Sequi patch
fh1z.	Clinorette tablet
fh1Z.	FEMOSTON-CONTI 0.5mg/2.5mg tablets
x025q	Estracombi TTS patch
