^ESCTCU402444	Cutaneous malignant melanoma
^ESCTMA559106	Malignant melanoma of anus
^ESCTMA559108	Malignant melanoma of rectum
^ESCTMA560062	Malignant melanoma of meninges
^ESCTMA597037	Malignant blue naevus of skin
^ESCTMA597038	Malignant blue nevus of skin
^ESCTMA597039	Malignant melanoma in blue naevus
^ESCTMA597040	Malignant melanoma in blue nevus
^ESCTMA636575	Malignant melanoma
^ESCTMA666708	Malignant melanoma (vertical growth phase)
^ESCTMA666710	Materno-foetal metastatic malignant melanoma
^ESCTMA666711	Materno-fetal metastatic malignant melanoma
^ESCTMA666712	Malignant melanoma of soft tissues
^ESCTMA666714	Malignant melanoma animal-type
^ESCTMA668967	Malignant melanoma of oral cavity
^ESCTMA668968	Malignant melanoma of nail apparatus
^ESCTMA700476	Malignant melanoma of skin of canthus of eye
^ESCTMA700757	Malignant melanoma of skin of lower eyelid
^ESCTMA700853	Malignant melanoma of skin of upper eyelid
^ESCTMA701178	Malignant melanoma of retina
^ESCTMA702161	Malignant melanoma of unknown origin
^ESCTMA702162	Malignant melanoma of unknown primary
^ESCTMA702375	Malignant melanoma of skin of lower lip
^ESCTMA702730	Malignant melanoma of skin of upper lip
^ESCTMA734490	Malignant melanoma of skin of anus
^ESCTMA735244	Malignant melanoma of skin of scrotum
^ESCTMA735278	Malignant melanoma of skin of penis
^ESCTMA735280	Malignant melanoma of skin of vulva
^ESCTMA737316	Malignant melanoma of skin of lower leg
^ESCTMA737317	Malignant melanoma of skin of upper arm
^ESCTMA750370	Malignant melanoma of nasal cavity
^ESCTMA750371	Malignant melanoma of vestibule of mouth
^ESCTMA750372	Malignant melanoma of tongue
^ESCTMA750373	Malignant melanoma of floor of mouth
^ESCTMA750374	Malignant melanoma of palatine arch
^ESCTMA750375	Malignant melanoma of tonsillar pillar
^ESCTMA750376	Malignant melanoma of buccal mucosa
^ESCTMA750710	Malignant melanoma of ethmoid sinus
^ESCTMA750711	Malignant melanoma of ethmoidal sinus
^ESCTMA750713	Malignant melanoma of palate
^ESCTMA750714	Malignant melanoma of gum
^ESCTMA750715	Malignant melanoma of gingiva
^ESCTMA750716	Malignant melanoma of maxillary sinus
^ESCTMA761577	Malignant melanoma of accessory sinus
^ESCTMA761601	Malignant melanoma of frontal sinus
^ESCTMA761603	Malignant melanoma of sphenoidal sinus
^ESCTMA782054	Malignant melanoma of oesophagus
^ESCTMA782055	Malignant melanoma of esophagus
^ESCTMA845661	Malignant melanoma of left choroid
^ESCTMA845666	Malignant melanoma of right choroid
^ESCTMA845672	Malignant melanoma of skin of left lower limb
^ESCTME636576	Melanosarcoma
^ESCTME666715	Metastatic malignant melanoma with diffuse hypermelanosis
^ESCTME701180	Melanoma of retina
^ESCTME727838	Metastatic malignant melanoma
^ESCTME750712	Melanoma of ethmoidal sinus
^ESCTME750717	Melanoma of maxillary sinus
^ESCTME761578	Melanoma of accessory sinus
^ESCTME761602	Melanoma of frontal sinus
^ESCTME761604	Melanoma of sphenoidal sinus
^ESCTME776514	Melanoma and neural system tumour syndrome
^ESCTME776515	Melanoma and neural system tumor syndrome
^ESCTMM556001	MM - Malignant melanoma of eye
^ESCTMU666716	Multiple primary malignant melanomata
^ESCTNE668966	Neurotropic malignant melanoma
^ESCTNM534934	NM - Nodular melanoma of skin
^ESCTNO534932	Nodular malignant melanoma of skin
^ESCTNO534933	Nodular melanoma of skin
^ESCTPR781959	Primary malignant melanoma of vagina
^ESCTPR783310	Primary malignant melanoma of anal canal
^ESCTPR783498	Primary malignant melanoma of cornea
^ESCTPR784224	Primary malignant melanoma of anus
^ESCTPS668571	Psoralen and long-wave ultraviolet radiation (PUVA) therapy-associated malignant melanoma
^ESCTPS668572	Psoralen and long-wave ultraviolet radiation therapy-associated malignant melanoma
^ESCTPU668570	PUVA therapy-associated malignant melanoma
^ESCTRE701179	Retinal melanoma
^ESCTRI662631	Ring melanoma of ciliary body
^ESCTSM534931	SMM - Superficial spreading melanoma of skin
^ESCTSP668963	Spindle cell malignant melanoma
^ESCTSP668964	Spitzoid malignant melanoma
^ESCTSS534930	SSMM - Superficial spreading malignant melanoma of skin
^ESCTSU534928	Superficial spreading malignant melanoma of skin
^ESCTSU534929	Superficial spreading melanoma of skin
^ESCTSU668969	Subungual malignant melanoma
EMISNQMA25	Malignant melanoma of choroid
EMISNQMA27	Malignant melanoma of iris
