13Y2.00	Schizophrenia association member
Eu30211	[X]Mania with mood-congruent psychotic symptoms
Eu30212	[X]Mania with mood-incongruent psychotic symptoms
Eu30213	[X]Manic stupor
Eu31.12	[X]Manic-depressive psychosis
Eu31200	"[X]Bipolar affective disorder, current episode manic with psychotic symptoms"
Eu31500	"[X]Bipolar affective disorder, current episode severe depression with psychotic symptoms"
Eu32300	[X]Severe depressive episode with psychotic symptoms
Eu32900	"[X]Single major depressive episode, severe, with psychosis, psychosis in remission"
Eu32A00	"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission"
Eu33300	"[X]Recurrent depressive disorder, current episode severe with psychotic symptoms"
Eu33312	"[X]Manic-depressive psychosis, depressed type with psychotic symptoms"
Eu33314	[X]Recurrent severe episodes of psychogenic depressive psychosis
Eu33316	[X]Recurrent severe episodes of reactive depressive psychosis
Eu3z.11	[X]Affective psychosis NOS
Eu41y11	[X]Anxiety hysteria
Eu44.11	[X]Conversion hysteria
Eu44.13	[X]Hysteria
Eu44.14	[X]Hysterical psychosis
Eu45212	[X]Dysmorphophobia nondelusional
Eu53111	[X]Puerperal psychosis NOS
Eu60000	[X]Paranoid personality disorder
Eu60011	[X]Expansive paranoid personality disorder
Eu60012	[X]Fanatic paranoid personality disorder
Eu60014	[X]Sensitive paranoid personality disorder
Eu60100	[X]Schizoid personality disorder
Eu84013	[X]Infantile psychosis
Eu84111	[X]Atypical childhood psychosis
Eu84312	[X]Disintegrative psychosis
Eu84314	[X]Symbiotic psychosis
Eu84512	[X]Schizoid disorder of childhood
F481K00	Visual hallucinations
R001.00	[D]Hallucinations
R001000	"[D]Hallucinations, auditory"
R001100	"[D]Hallucinations, gustatory"
R001200	"[D]Hallucinations, olfactory"
R001300	"[D]Hallucinations, tactile"
R001400	[D]Visual hallucinations
R001z00	[D]Hallucinations NOS
Ryu5300	[X]Other hallucinations
ZV11000	[V]Personal history of schizophrenia
ZV11111	[V]Personal history of manic-depressive psychosis
ZV11112	[V]Personal history of manic-depressive psychosis
E1104	Single manic episode, severe, with psychosis
E02y.	Other drug psychoses
E0y..	Other specified organic psychoses
E1134	Recurrent major depressive episodes, severe, with psychosis
E1174	Unspecified bipolar affective disorder, severe, with psychosis
E010.	Delirium tremens
Eu125	[X]Mental and behavioural disorders due to use of cannabinoids: psychotic disorder
Eu135	[X]Mental and behavioural disorders due to use of sedatives or hypnotics: psychotic disorder
Eu23.	[X]Acute and transient psychotic disorders
Eu195	[X]Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: psychotic disorder
E0210	Drug-induced paranoid state
E03y.	Other transient organic psychoses
E0z..	Organic psychoses NOS
Eu106	[X]Mental and behavioural disorders due to use of alcohol: amnesic syndrome
Eu107	[X]Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder
Eu115	[X]Mental and behavioural disorders due to use of opioids: psychotic disorder
E0111	Korsakov's alcoholic psychosis with peripheral neuritis
E0211	Drug-induced hallucinosis
E03..	Transient organic psychoses
E1154	Bipolar affective disorder, currently depressed, severe, with psychosis
Eu106	[X]Korsakov's psychosis, alcohol induced
Eu155	[X]Mental and behavioural disorders due to use of other stimulants, including caffeine: psychotic disorder
E021.	Drug-induced paranoia or hallucinatory states
E021z	Drug-induced paranoia or hallucinatory state NOS
E02y4	Drug-induced personality disorder
E04y.	Other specified chronic organic psychoses
E02z.	Drug psychosis NOS
E03z.	Transient organic psychoses NOS
E04z.	Chronic organic psychosis NOS
Eu145	[X]Mental and behavioural disorders due to use of cocaine: psychotic disorder
E0...	Organic psychotic conditions
E00..	Senile and presenile organic psychotic conditions
E00y.	Other senile and presenile organic psychoses
E010.	DTs - delirium tremens
E0112	Wernicke-Korsakov syndrome
E02y0	Drug-induced delirium
E1114	Recurrent manic episodes, severe, with psychosis
Eu104	[X]Delirium tremens, alcohol induced
E02..	Drug psychoses
E1144	Bipolar affective disorder, currently manic, severe, with psychosis
E1164	Mixed bipolar affective disorder, severe, with psychosis
E04..	Other chronic organic psychoses
Eu104	[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium
