SnomedCT_ConceptID	FullDescription
191567000	Schizoaffective schizophrenia NOS
191577003	Cenesthopathic schizophrenia
58214004	Other schizophrenia
191577003	Schizophrenia: [other] or [cenesthopathic]
111484002	Atypical schizophrenia
111484002	Undifferentiated schizophrenia
191577003	Cenesthopathic schizophrenia
191577003	Coenesthopathic schizophrenia
58214004	Other schizophrenia NOS
58214004	Schizophrenia NOS
191667009	Paranoid disorder
191668004	Simple paranoid state
26472000	Paraphrenia
191670008	Folie a deux
191670008	Shared paranoid disorder
191667009	Other paranoid states
191667009	Other paranoid states NOS
191667009	Paranoid psychosis NOS
191525009	Other nonorganic psychoses
231437006	Psychoses: [other nonorganic] or [reactive]
231437006	Reactive psychoses
63204009	Bouffee delirante
191680007	Psychogenic paranoid psychosis
231437006	Other reactive psychoses
231437006	Other reactive psychoses NOS
191525009	Nonorganic psychosis NOS
191525009	Psychosis: [nonorganic NOS] or [episode NOS]
69322001	Psychotic episode NOS
191525009	Other specified non-organic psychoses
31027006	Schizoptypal disorder
31027006	Schizotypal personality disorder
5510009	[X] (Organic delusional (schizophrenia-like) disorder) or (paranoid organic state) or (schizophrenia-like psychosis in epilepsy)
5510009	[X]Organic delusional [schizophrenia-like] disorder
5510009	[X]Paranoid organic state
5510009	[X]Schizophrenia-like psychosis in epilepsy
58214004	Schizophrenia
191542003	[X] (Catatonic schizophrenia) or (catatonic stupor) or (schizophrenic catalepsy) or (schizophrenic catatonia) or (schizophrenic flexibilatis cerea)
191542003	[X]Catatonic schizophrenia
191542003	[X]Schizophrenic catalepsy
191542003	[X]Schizophrenic catatonia
191542003	[X]Schizophrenic flexibilatis cerea
111484002	[X]Undifferentiated schizophrenia
58214004	[X] (Schizophrenia: [cenesthopathic] or [other]) or (schizophreniform disorder [including psychosis] NOS)
191577003	[X]Cenesthopathic schizophrenia
58214004	[X]Other schizophrenia
58214004	"[X]Schizophrenia, unspecified"
274952002	[X]Borderline schizophrenia
191559008	[X]Latent schizophrenia
191559008	[X]Latent schizophrenic reaction
247804008	[X]Prepsychotic schizophrenia
247804008	[X]Prodromal schizophrenia
31027006	[X]Pseudoneurotic schizophrenia
31027006	[X]Pseudopsychopathic schizophrenia
31027006	[X]Schizotypal disorder
31027006	[X]Schizotypal personality disorder
48500005	[X]Delusional disorder
191667009	[X]Paranoia
191667009	[X]Paranoid psychosis
191667009	[X]Paranoid state
38295006	[X]Paraphrenia - late
41189006	[X]Sensitiver Beziehungswahn
191667009	Paranoid state
41189006	Sensitiver Beziehungswahm
231487004	[X] (Other persistent delusional disorders) or (delusional dysmorphophobia) or (involutional paranoid state) or (paranoia querulans)
231487004	[X]Other persistent delusional disorders
231487004	"[X]Persistent delusional disorder, unspecified"
712824002	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
63204009	[X]Bouffee delirante
307417003	[X]Cycloid psychosis
712850003	[X]Acute polymorphic psychotic disorder with symptoms of schizophrenia
278853003	[X] Acute schizophrenia-like psychotic disorder (& [brief schizophreniform disorder] or [brief schizophrenifrm psych] or [oneirophrenia] or [schizophrenic reaction])
278853003	[X]Acute schizophrenia-like psychotic disorder
307504004	[X]Oneirophrenia
231489001	[X] (Other acute predominantly delusional psychotic disorders) or (psychogenic paranoid psychosis)
231489001	[X]Other acute predominantly delusional psychotic disorders
191680007	[X]Psychogenic paranoid psychosis
231489001	[X]Other acute and transient psychotic disorders
231489001	"[X]Acute and transient psychotic disorder, unspecified"
231437006	"[X]Acute and transient psychotic disorder, unspecified (& [reactive psychosis (including brief NOS)])"
231437006	[X]Reactive psychosis
231437006	Reactive psychoses
61831009	Induced delusional disorder
61831009	Induced paranoid disorder
61831009	Induced psychosis
61831009	Symbiotic psychosis
68890003	Schizoaffective disorder
270901009	"[X](Schizoaffective disorder, mixed type) or (cyclic schizophrenia) or (mixed schizophrenic and affective psychosis)"
191567000	[X]Cyclic schizophrenia
270901009	[X]Mixed schizophrenic and affective psychosis
270901009	"[X]Schizoaffective disorder, mixed type"
68890003	[X]Other schizoaffective disorders
68890003	"[X]Schizoaffective disorder, unspecified"
480111000000107	[X] (Other nonorganic psychotic disorders) or (chronic hallucinatory psychosis)
480111000000107	[X] Chronic hallucinatory psychosis
480111000000107	[X]Chronic hallucinatory psychosis
191525009	[X]Other nonorganic psychotic disorders
191525009	[X] Psychosis NOS
191525009	[X] Psychosis: [unspecified nonorganic] or [NOS]
69322001	[X]Psychosis NOS
191525009	[X]Unspecified nonorganic psychosis
69322001	Psychotic episode NOS
231437006	Reactive psychoses
69322001	Psychotic
69322001	Psychotic disorder
231485007	Post-schizophrenic depression
231487004	Persistent delusional disorder
231489001	Acute transient psychotic disorder
2073000	Delusion
2073000	Delusional ideas
2073000	Delusional thoughts
2073000	Delusions
8330006	Delusional jealousy
247804008	Prepsychotic schizophrenia
247804008	Prodromal schizophrenia
247804008	Schizophrenic prodrome
247917007	Catatonia
278853003	Acute schizophrenia-like psychotic disorder
38295006	Late paraphrenia
8330006	Delusion of infidelity
41189006	Ideas of reference
63204009	Bouffee delirante
307417003	Cycloid psychosis
307504004	Oneirophrenia
417233008	Paranoid ideation
64905009	Paranoid schizophrenia
64905009	Schizophrenic psychoses
64905009	Schizophrenic psychoses (& [paranoid schizophrenia])
64905009	Paranoid schizophrenia
26472000	Paraphrenia
48500005	(Paranoid state(s)) or (delusion(s): [paranoid] or [persecution])
48500005	Delusions - paranoid
48500005	Paranoid state
48500005	Paranoid states
48500005	Persecution delusion
58214004	Other schizophrenia
191525009	Other non-organic psychoses
191525009	Non-organic psychosis NOS
58214004	[X]Other schizophrenia
31027006	[X]Schizotypal disorder
48500005	Delusional disorder
191667009	Paranoid psychosis
41189006	Sensitiver Beziehungswahm
231487004	[X]Other persistent delusional disorders
712824002	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
231489001	[X]Other acute predominantly delusional psychotic disorders
231489001	"[X]Acute and transient psychotic disorder, unspecified"
191525009	[X]Other non-organic psychotic disorders
191525009	[X] Psychosis NOS
191525009	[X]Unspecified nonorganic psychosis
270901009	Mixed schizophrenic and affective pschosis
270901009	"Schizoaffective disorder, mixed type"
84760002	"Schizoaffective disorder, depressive type"
84760002	"Schizophreniform psychosis, depressive type"
271428004	"Schizoaffective disorder, manic type"
271428004	"Schizophreniform psychosis, manic type"
274952002	Borderline schizophrenia
5510009	Organic delusional [schizophrenia-like] disorder
64905009	Paranoid schizophrenia
35252006	Hebephrenic schizophrenia
247917007	Catatonic schizophrenia
111484002	Undifferentiated schizophrenia
231485007	Post-schizophrenic depression
26025008	Residual schizophrenia
191527001	Simple schizophrenia
268691004	Other schizophrenia
58214004	"Schizophrenia, unspecified"
2073000	Delusional disorder
268693001	Other persistent delusional disorders
8330006	"Persistent delusional disorder, unspecified"
307417003	Acute polymorphic psychotic disorder without symptoms of schizop
192335000	Acute polymorphic psychotic disorder with symptoms of schizophre
307504004	Acute schizophrenia-like psychotic disorder
268695008	Other acute predominantly delusional psychotic disorders
470311000000103	Other acute and transient psychotic disorders
231437006	"Acute and transient psychotic disorder, unspecified"
271428004	"Schizoaffective disorder, manic type"
84760002	"Schizoaffective disorder, depressive type"
270901009	"Schizoaffective disorder, mixed type"
410341000000107	Other schizoaffective disorders
68890003	"Schizoaffective disorder, unspecified"
162313000	Morbid jealousy
2073000	Delusion
2073000	Delusions
41189006	Ideas of reference
417233008	Paranoid ideation
5510009	Organic delusional syndrome
191525009	Non-organic psychoses
191527001	Schizophrenia simplex
191527001	Simple schizophrenia
58214004	Unspecified schizophrenia
16990005	Subchronic schizophrenia
111482003	Acute exacerbation of subchronic schizophrenia
191531007	Acute exacerbation of chronic schizophrenia
4926007	Schizophrenia in remission
191527001	Simple schizophrenia NOS
35252006	Hebephrenic schizophrenia
35252006	Unspecified hebephrenic schizophrenia
27387000	Subchronic hebephrenic schizophrenia
12939007	Chronic hebephrenic schizophrenia
14291003	Acute exacerbation of subchronic hebephrenic schizophrenia
191539009	Acute exacerbation of chronic hebephrenic schizophrenia
31373002	Hebephrenic schizophrenia in remission
35252006	Hebephrenic schizophrenia NOS
191542003	Catatonic schizophrenia
191542003	Unspecified catatonic schizophrenia
42868002	Subchronic catatonic schizophrenia
68995007	Chronic catatonic schizophrenia
191547009	Acute exacerbation of subchronic catatonic schizophrenia
191548004	Acute exacerbation of chronic catatonic schizophrenia
111483008	Catatonic schizophrenia in remission
191542003	Catatonic schizophrenia NOS
64905009	Paranoid schizophrenia
64905009	Unspecified paranoid schizophrenia
79866005	Subchronic paranoid schizophrenia
31658008	Chronic paranoid schizophrenia
191554003	Acute exacerbation of subchronic paranoid schizophrenia
191555002	Acute exacerbation of chronic paranoid schizophrenia
63181006	Paranoid schizophrenia in remission
64905009	Paranoid schizophrenia NOS
307504004	Oneirophrenia
191559008	Latent schizophrenia
191559008	Unspecified latent schizophrenia
191561004	Subchronic latent schizophrenia
191562006	Chronic latent schizophrenia
191563001	Acute exacerbation of subchronic latent schizophrenia
191564007	Acute exacerbation of chronic latent schizophrenia
191565008	Latent schizophrenia in remission
191559008	Latent schizophrenia NOS
26025008	Residual schizophrenia
26025008	Restzustand - schizophrenia
191567000	Cyclic schizophrenia
191567000	Schizo-affective schizophrenia
191567000	Unspecified schizo-affective schizophrenia
191569002	Subchronic schizo-affective schizophrenia
191570001	Chronic schizo-affective schizophrenia
191571002	Acute exacerbation of subchronic schizo-affective schizophrenia
191572009	Acute exacerbation of chronic schizo-affective schizophrenia
191574005	Schizo-affective schizophrenia in remission
191567000	Schizo-affective schizophrenia NOS
191577003	Cenesthopathic schizophrenia
58214004	Other schizophrenia
111484002	Atypical schizophrenia
191577003	Coenesthopathic schizophrenia
58214004	Other schizophrenia NOS
58214004	Schizophrenia NOS
191667009	Paranoid states
191668004	Simple paranoid state
26472000	Paraphrenia
191670008	Folie a deux
191670008	Shared paranoid disorder
191667009	Other paranoid states
191667009	Other paranoid states NOS
191667009	Paranoid psychosis NOS
191525009	Other nonorganic psychoses
231437006	Reactive psychoses
63204009	Bouffee delirante
191680007	Psychogenic paranoid psychosis
231437006	Other reactive psychoses
231437006	Other reactive psychoses NOS
191525009	Nonorganic psychosis NOS
69322001	Psychotic episode NOS
191525009	Other specified non-organic psychoses
191525009	Non-organic psychosis NOS
31027006	Schizotypal personality
5510009	[X]Organic delusional [schizophrenia-like] disorder
5510009	[X]Paranoid organic state
5510009	[X]Schizophrenia-like psychosis in epilepsy
58214004	[X]Schizophrenia
64905009	[X]Paranoid schizophrenia
64905009	[X]Paraphrenic schizophrenia
35252006	[X]Disorganised schizophrenia
35252006	[X]Hebephrenic schizophrenia
191542003	[X]Catatonic schizophrenia
191542003	[X]Catatonic stupor
191542003	[X]Schizophrenic catalepsy
191542003	[X]Schizophrenic catatonia
191542003	[X]Schizophrenic flexibilatis cerea
111484002	[X]Atypical schizophrenia
111484002	[X]Undifferentiated schizophrenia
231485007	[X]Post-schizophrenic depression
111484002	[X]Chronic undifferentiated schizophrenia
26025008	[X]Residual schizophrenia
26025008	[X]Restzustand schizophrenic
191527001	[X]Simple schizophrenia
58214004	[X]Cenesthopathic schizophrenia
58214004	[X]Other schizophrenia
58214004	[X]Schizophreniform disord NOS
58214004	[X]Schizophrenifrm psychos NOS
58214004	"[X]Schizophrenia, unspecified"
274952002	[X]Borderline schizophrenia
191559008	[X]Latent schizophrenia
191559008	[X]Latent schizophrenic reaction
247804008	[X]Prepsychotic schizophrenia
247804008	[X]Prodromal schizophrenia
31027006	[X]Pseudoneurotic schizophrenia
31027006	[X]Pseudopsychopathic schizophrenia
31027006	[X]Schizotypal disorder
31027006	[X]Schizotypal personality disorder
231487004	[X]Persistent delusional disorders
48500005	[X]Delusional disorder
417233008	[X]Paranoia
191667009	[X]Paranoid psychosis
191667009	[X]Paranoid state
38295006	[X]Paraphrenia - late
41189006	[X]Sensitiver Beziehungswahn
231487004	[X]Delusional dysmorphophobia
231487004	[X]Involutional paranoid state
231487004	[X]Other persistent delusional disorders
231487004	[X]Paranoia querulans
231487004	"[X]Persistent delusional disorder, unspecified"
231489001	[X]Acute and transient psychotic disorders
712824002	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
63204009	[X]Bouffee delirante
307417003	[X]Cycloid psychosis
712850003	[X]Acute polymorphic psychotic disorder with symptoms of schizophrenia
712850003	[X]Bouffee delirante with symptoms of schizophrenia
307417003	[X]Cycloid psychosis with symptoms of schizophrenia
278853003	[X]Acute schizophrenia-like psychotic disorder
278853003	[X]Brief schizophreniform disorder
278853003	[X]Brief schizophrenifrm psych
278853003	[X]Oneirophrenia
278853003	[X]Schizophrenic reaction
231489001	[X]Other acute predominantly delusional psychotic disorders
191680007	[X]Psychogenic paranoid psychosis
231489001	[X]Other acute and transient psychotic disorders
231489001	"[X]Acute and transient psychotic disorder, unspecified"
231489001	[X]Brief reactive psychosis NOS
231437006	[X]Reactive psychosis
191670008	[X]Folie a deux
61831009	[X]Induced delusional disorder
61831009	[X]Induced paranoid disorder
61831009	[X]Induced psychotic disorder
68890003	[X]Schizoaffective disorders
271428004	"[X]Schizoaffective disorder, manic type"
271428004	"[X]Schizoaffective psychosis, manic type"
271428004	"[X]Schizophreniform psychosis, manic type"
84760002	"[X]Schizoaffective disorder, depressive type"
84760002	"[X]Schizoaffective psychosis, depressive type"
84760002	"[X]Schizophreniform psychosis, depressive type"
270901009	[X]Cyclic schizophrenia
270901009	[X]Mixed schizophrenic and affective psychosis
270901009	"[X]Schizoaffective disorder, mixed type"
68890003	[X]Other schizoaffective disorders
68890003	"[X]Schizoaffective disorder, unspecified"
68890003	[X]Schizoaffective psychosis NOS
480111000000107	[X]Chronic hallucinatory psychosis
191525009	[X]Other nonorganic psychotic disorders
69322001	[X]Psychosis NOS
191525009	[X]Unspecified nonorganic psychosis
