bk3..00	LOSARTAN
bk5z.00	IRBESARTAN+HYDROCHLOROTHIAZIDE 150mg/12.5mg tablets
bk7..00	CANDESARTAN CILEXETIL
bk71.00	CANDESARTAN CILEXETIL 2mg tablets
bk72.00	CANDESARTAN CILEXETIL 4mg tablets
bk73.00	CANDESARTAN CILEXETIL 8mg tablets
bk74.00	CANDESARTAN CILEXETIL 16mg tablets
bk75.00	AMIAS 2mg tablets
bk76.00	AMIAS 4mg tablets
bk77.00	AMIAS 8mg tablets
bk78.00	AMIAS 16mg tablets
bk79.00	AMIAS 32mg tablets
bk7z.00	CANDESARTAN CILEXETIL 32mg tablets
bk8..00	TELMISARTAN
bk81.00	TELMISARTAN 40mg tablets
bk82.00	TELMISARTAN 80mg tablets
bk83.00	MICARDIS 40mg tablets
bk84.00	MICARDIS 80mg tablets
bk85.00	MICARDIS 20mg tablets
bk86.00	MICARDISPLUS 40mg/12.5mg tablets
bk87.00	MICARDISPLUS 80mg/12.5mg tablets
bk88.00	MICARDISPLUS 80mg/25mg tablets
bk8w.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets
bk8x.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bk8y.00	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk8z.00	TELMISARTAN 20mg tablets
bk9..00	EPROSARTAN
bk91.00	TEVETEN 300mg tablets
bk92.00	*TEVETEN 400mg tablets
bk93.00	TEVETEN 600mg tablets
bk9x.00	EPROSARTAN 300mg tablets
bk9y.00	EPROSARTAN 400mg tablets
bk9z.00	EPROSARTAN 600mg tablets
bkB..00	OLMESARTAN
bkB1.00	OLMESARTAN MEDOXOMIL 10mg tablets
bkB2.00	OLMESARTAN MEDOXOMIL 20mg tablets
bkB3.00	OLMESARTAN MEDOXOMIL 40mg tablets
bkB4.00	OLMETEC 10mg tablets
bkB5.00	OLMETEC 20mg tablets
bkB6.00	OLMETEC 40mg tablets
bkC..00	HYDROCHLOROTHIAZIDE + OLMESARTAN
bkC1.00	OLMETEC PLUS 20mg/12.5mg tablets
bkC2.00	OLMETEC PLUS 20mg/25mg tablets
bkC3.00	OLMETEC PLUS 40mg/12.5mg tablets
bkCx.00	OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bkCy.00	OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/25mg tablets
bkCz.00	OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bkD..00	AMLODIPINE + VALSARTAN
bkD1.00	AMLODIPINE+VALSARTAN 5mg/80mg tablets
bkD2.00	AMLODIPINE+VALSARTAN 5mg/160mg tablets
bkD3.00	AMLODIPINE+VALSARTAN 10mg/160mg tablets
bkDx.00	EXFORGE 10mg/160mg tablets
bkDy.00	EXFORGE 5mg/160mg tablets
bkDz.00	EXFORGE 5mg/80mg tablets
bkH..00	OLMESARTAN+AMLODIPINE
bkH1.00	SEVIKAR 20mg/5mg tablets
bkH2.00	SEVIKAR 40mg/5mg tablets
bkH3.00	SEVIKAR 40mg/10mg tablets
bkHx.00	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets
bkHy.00	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets
bkHz.00	OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets
bkI..00	OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
bkI1.00	SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.00	SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.00	SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.00	SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.00	SEVIKAR HCT 40mg/10mg/25mg tablets
bkJ..00	AZILSARTAN
bkJ1.00	EDARBI 20mg tablets
bkJ2.00	AZILSARTAN MEDOXOMIL 20mg tablets
bkJ3.00	EDARBI 40mg tablets
bkJ4.00	AZILSARTAN MEDOXOMIL 40mg tablets
bkJ5.00	EDARBI 80mg tablets
bkJ6.00	AZILSARTAN MEDOXOMIL 80mg tablets
bkL..00	SACUBITRIL+VALSARTAN
bkL1.00	ENTRESTO 24mg/26mg tablets
bkL2.00	SACUBITRIL+VALSARTAN 24mg/26mg tablets
bkL3.00	ENTRESTO 49mg/51mg tablets
bkL4.00	SACUBITRIL+VALSARTAN 49mg/51mg tablets
bkL5.00	ENTRESTO 97mg/103mg tablets
bkL6.00	SACUBITRIL+VALSARTAN 97mg/103mg tablets
