bk3..	Losartan
bkCz.	Olmesartan + hydrochlorothiazide 20mg/12.5mg tablet
bkD..	AMLODIPINE + VALSARTAN
bkD1.	AMLODIPINE+VALSARTAN 5mg/80mg tablets
bkD2.	AMLODIPINE+VALSARTAN 5mg/160mg tablets
bkD3.	AMLODIPINE+VALSARTAN 10mg/160mg tablets
bkDx.	EXFORGE 10mg/160mg tablets
bkDy.	EXFORGE 5mg/160mg tablets
bkDz.	EXFORGE 5mg/80mg tablets
bkH..	OLMESARTAN+AMLODIPINE
bkH1.	SEVIKAR 20mg/5mg tablets
bkH2.	SEVIKAR 40mg/5mg tablets
bkH3.	SEVIKAR 40mg/10mg tablets
bkHx.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets
bkHy.	OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets
bkHz.	OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets
bkI..	OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
bkI1.	SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.	SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.	SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.	SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.	SEVIKAR HCT 40mg/10mg/25mg tablets
bkJ..	AZILSARTAN
bkJ1.	EDARBI 20mg tablets
bkJ2.	AZILSARTAN MEDOXOMIL 20mg tablets
bkJ3.	EDARBI 40mg tablets
bkJ4.	AZILSARTAN MEDOXOMIL 40mg tablets
bkJ5.	EDARBI 80mg tablets
bkJ6.	AZILSARTAN MEDOXOMIL 80mg tablets
bkL..	SACUBITRIL+VALSARTAN
bkL1.	ENTRESTO 24mg/26mg tablets
bkL2.	SACUBITRIL+VALSARTAN 24mg/26mg tablets
bkL3.	ENTRESTO 49mg/51mg tablets
bkL4.	SACUBITRIL+VALSARTAN 49mg/51mg tablets
bkL5.	ENTRESTO 97mg/103mg tablets
bkL6.	SACUBITRIL+VALSARTAN 97mg/103mg tablets
x02YE	Cozaar
x03j2	Angiotensin II receptor antagonist
x03ls	Angiotensin II receptor antagonist+diuretic
x03lt	Cozaar-Comp
x03qX	Aprovel
x03xa	Diovan
x03zU	Cozaar Half Strength
x04bR	Amias
x052v	Micardis
x056P	Teveten
x05Dq	CoAprovel
x05j2	MicardisPlus
x05mo	Olmetec
x05u2	Co-Diovan
x060W	Olmetec Plus
