d4ew.	PROMAZINE 50mg/5mL syrup
d4x2.	ASENAPINE 5mg sublingual tabs
d4x4.	ASENAPINE 10mg sublingual tabs
d51..	FLUPENTIXOL DECANOATE
d511.	DEPIXOL 20mg/1mL injection
d512.	*DEPIXOL 20mg/1mL syringe
d513.	DEPIXOL 40mg/2mL injection
d514.	*DEPIXOL 40mg/2mL syringe
d515.	*DEPIXOL 200mg/10mL injection
d516.	DEPIXOL CONC. 100mg/1mL inj
d517.	*DEPIXOL CONC. 500mg/5mL inj
d518.	*DEPIXOL CONC. 50mg/0.5mL inj
d519.	FLUPENTIXOL 50mg/0.5mL inj
d51a.	DEPIXOL LV 200mg/1mL i-m inj
d51u.	FLUPENTIXOL 200mg/1ml i-m inj
d51v.	FLUPENTIXOL DEC 20mg/1mL inj
d51w.	FLUPENTIXOL DEC 40mg/2mL inj
d51y.	FLUPENTIXOL DEC 100mg/1mL inj
d52..	FLUPHENAZINE DECANOATE
d521.	MODECATE 12.5mg/0.5mL inj
d522.	MODECATE 25mg/1mL injection
d523.	*MODECATE 25mg/1mL syringe
d524.	MODECATE 50mg/2mL injection
d525.	*MODECATE 50mg/2mL syringe
d526.	*MODECATE 250mg/10mL injection
d527.	MODECATE CONC 50mg/0.5mL inj
d528.	MODECATE CONC 100mg/1mL inj
d529.	FLUPHENAZINE 50mg/0.5mL inj
d52a.	FLUPHENAZINE DEC 100mg/1mL inj
d52s.	*FLUPHENAZ DEC 25mg/1mL syrnge
d52t.	*FLUPHENAZ DEC 50mg/2mL syrnge
d52u.	FLUPHENAZ DEC 12.5mg/0.5mL inj
d52v.	FLUPHENAZINE DEC 25mg/1mL inj
d52w.	FLUPHENAZINE DEC 50mg/2mL inj
d52x.	*FLUPHENAZINE 250mg/10mL inj
d53..	*FLUPHENAZINE ENANTHATE
d531.	*MODITEN ENANTHATE 25mg/mL inj
d532.	*FLUPHENAZINE ENAN 25mg/1mL in
d55..	HALOPERIDOL DECANOATE
d551.	HALDOL DECANOATE 50mg/1mL inj
d552.	HALDOL DECANOATE 100mg/1mL inj
d553.	HALOPERIDOL 50mg/1mL injection
d554.	HALOPERIDOL 100mg/1mL inj
d56..	PIPOTIAZINE PALMITATE
d561.	PIPORTIL DEPOT 50mg/1mL inj
d562.	PIPORTIL DEPOT 100mg/2mL inj
d563.	PIPOTIAZINE 50mg/1mL injection
dw19.	*TRANQUILYN 5mg tablets
dw1A.	*TRANQUILYN 10mg tablets
dw1B.	*TRANQUILYN 20mg tablets
o42w.	*FENTANYL+DROP 100mcg/5mg inj
o52..	CHLORPROMAZINE HCL [ANAESTH]
o521.	*LARGACTIL 25mg/1mL injection
o522.	LARGACTIL 50mg injection
o52y.	CHLORPROMAZINE 25mg/1mL inj
o52z.	CHLORPROMAZINE 50mg/2mL inj
o54..	*DROPERIDOL [ANAESTHESIA]
o541.	*DROLEPTAN 10mg injection
o58..	*PERPHENAZINE [ANAESTHESIA]
o581.	*FENTAZIN 5mg/1mL injection
o58z.	*PERPHENAZINE 5mg/1mL inj
d4iz.	*TRIFLUPERIDOL 1mg tablets
d4j..	ZUCLOPENTHIXOL DIHYDROCHLORIDE
d4j1.	CLOPIXOL 2mg tablets
d4j2.	CLOPIXOL 10mg tablets
d4j3.	CLOPIXOL 25mg tablets
d4jx.	ZUCLOPENTHIXOL DIHCL 2mg tabs
d4jy.	ZUCLOPENTHIXOL DIHCL 10mg tabs
d4jz.	ZUCLOPENTHIXOL DIHCL 25mg tabs
da1..	FLUPENTIXOL [ANTIDEPRESSANT]
da1y.	FLUPENTIXOL 500mcg tablets
da1z.	FLUPENTIXOL 1mg tablets
dj24.	*DIAMORPH/COCAINE/CHLORPR elix
dj26.	*MORPHINE/COCAINE/CHLORPR elix
d564.	PIPOTIAZINE 100mg/2mL inj
d57..	ZUCLOPENTHIXOL DECANOATE
d571.	CLOPIXOL 200mg/1mL injection
d572.	*CLOPIXOL 2g/10mL injection
d573.	CLOPIXOL CONC. 500mg/1mL inj
d574.	*CLOPIXOL ACUPHASE 50mg/1mL
d575.	*CLOPIXOL ACUPHASE 100mg/2mL
d576.	ZUCLOPENTHIX DEC 200mg/1mL inj
d577.	*ZUCLOPENTHIXOL DEC 50mg/1mL
d578.	*ZUCLOPENTHIXOL DEC 100mg/2mL
d57y.	*ZUCLOPENTHIX DEC 2g/10mL inj
d57z.	ZUCLOPENTHIX DEC 500mg/1mL inj
d58..	OLANZAPINE PAMOATE
d581.	ZYPADHERA 210mg pdr+solv inj
d582.	ZYPADHERA 300mg pdr+solv inj
d583.	ZYPADHERA 405mg pdr+solv inj
d58x.	OLANZAPINE 405mg pdr+solv inj
d58y.	OLANZAPINE 300mg pdr+solv inj
d58z.	OLANZAPINE 210mg pdr+solv inj
d84..	TRANYLCYPROMINE
d84z.	TRANYLCYPROMINE 10mg tablets
d915.	*PARSTELIN tablets
d916.	TRIPTAFEN tablets
d917.	*TRIPTAFEN-M tablets
dh2..	*CHLORPROMAZINE HCL [NAUSEA]
dhd..	*PERPHENAZINE [NO DRUGS HERE]
dhi..	*TRIFLUOPERAZINE [NAUSEA]
ds1..	"*HALOPERIDOL [TICS, CHOREA]"
