^ESCT1204867	ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder
^ESCT1396346	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills
^ESCT1396347	Autism spectrum disorder with disorder of intellectual development and impaired functional language without loss of previously acquired skills
^ESCT1396348	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills
^ESCT1396349	Autism spectrum disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills
^ESCT1396350	Pervasive developmental disorder with disorder of intellectual development and abscence of functional language with loss of previously acquired skills
^ESCT1396351	Autism spectrum disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills
^ESCT1396352	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills
^ESCT1396353	Autism spectrum disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills
^ESCT1396368	Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills
^ESCT1396369	Autism spectrum disorder with severe impairment of functional language with loss of previously acquired skills
^ESCT1396372	Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills
^ESCT1396373	Autism spectrum disorder with severe impairment of functional language without loss of previously acquired skills
^ESCT1396402	Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills
^ESCT1396403	Autism spectrum disorder with complete impairment of functional language with loss of previously acquired skills
^ESCT1396404	Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills
^ESCT1396405	Autism spectrum disorder with complete impairment of functional language without loss of previously acquired skills
^ESCT1396406	Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language
^ESCT1396407	Autism spectrum disorder with disorder of intellectual development and impaired functional language
^ESCT1396408	Pervasive developmental disorder with complete impairment of functional language
^ESCT1396409	Autism spectrum disorder with complete impairment of functional language
^ESCT1396410	Pervasive developmental disorder with abscence of functional language
^ESCT1396411	Autism spectrum disorder with absence of functional language
^ESCT1396412	Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language
^ESCT1396413	Autism spectrum disorder with disorder of intellectual development and complete impairment of functional language
^ESCT1408715	Lindsay Burn syndrome
^ESCT1421528	Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills
^ESCT1P778878	1p21.3 microdeletion syndrome
^ESCTAS287598	Asperger's disorder
^ESCTAS287601	Asperger disorder
^ESCTAS287602	Aspergers disorder
^ESCTAS846578	Assessment using ADI-R (Autism Diagnostic Interview-Revised)
^ESCTAT777171	Atypical Rett syndrome
^ESCTAU638332	Autistic spectrum disorder with isolated skills
^ESCTAU795967	Autism spectrum disorder, epilepsy, arthrogryposis syndrome
^ESCTCD367062	CDD - Childhood disintegrative disorder
^ESCTCE361655	Cerebroatrophic hyperammonemia
^ESCTCE361656	Cerebroatrophic hyperammonaemia
^ESCTCH367058	Childhood disintegrative disorder
^ESCTDE367060	Dementia infantilis
^ESCTDU784270	Duplication/inversion 15q11
^ESCTFO756115	FOXG1 syndrome
^ESCTIN784272	Inverted duplication 15
^ESCTIS784269	Isodicentric chromosome 15 syndrome
^ESCTIS784271	Isodicentric 15 chromosome
^ESCTMO778879	Monosomy 1p21.3
^ESCTNO784273	Non-distal tetrasomy 15q
^ESCTPD769682	PDA (Pathological demand avoidance)
^ESCTPE801639	Pervasive developmental disorder of residual state
^ESCTPP755877	PPM-X syndrome
^ESCTPP755878	PPMX - Mental retardation with psychosis, pyramidal signs, and macroorchidism
^ESCTRE361653	Rett's disorder
^ESCTRE361658	Rett disorder
^ESCTRE361659	Retts syndrome
^ESCTRE762723	Residual Asperger's disorder
^ESCTRT361657	RTS - Rett syndrome
^ESCTSA715284	Savant syndrome
^ESCTSC287599	Schizoid disorder of childhood
^ESCTSL795968	SLC35A3-CDG - solute carrier family 35 member A3 congenital disorder of glycosylation
^ESCTXL755879	X-linked mental retardation, syndromic 13
