^ESCT1199845	Suspected ovarian cancer
^ESCTIN763360	International Federation of Gynaecology and Obstetrics endometrial cancer stage IIIB
^ESCTIN763391	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IIIC1
^ESCTIN763392	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IIIC1
^ESCTIN763393	International Federation of Gynecology and Obstetrics endometrial cancer stage IIIC1
^ESCTIN763394	International Federation of Gynaecology and Obstetrics endometrial cancer stage IIIC1
^ESCTIN763399	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IIIC2
^ESCTIN763400	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IIIC2
^ESCTIN763401	International Federation of Gynaecology and Obstetrics endometrial cancer stage IIIC2
^ESCTIN763402	International Federation of Gynecology and Obstetrics endometrial cancer stage IIIC2
^ESCTIN763415	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IVA
^ESCTIN763416	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IVA
^ESCTIN763421	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IVB
^ESCTIN763422	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IVB
^ESCTIN763569	International Federation of Gynaecology and Obstetrics endometrial cancer (FIGO EC) stage IIIA
^ESCTIN763571	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IIIA
^ESCTKR403685	Krukenburg tumor
^ESCTKR403691	Krukenburg tumour
^ESCTLO605219	Local recurrence of malignant tumour of cervix
^ESCTLO605220	Local recurrence of malignant tumor of cervix
^ESCTMA370769	Mass of pelvic structure
^ESCTMA624309	Malignant tumor of cervix
^ESCTMA624311	Malignant neoplasm of cervix
^ESCTMA624612	Malignant tumor of ovary
^ESCTMA624805	Malignant tumor of female genital organ
^ESCTME403541	Metastatic malignant neoplasm to lymph nodes of neck
^ESCTME403542	Metastasis to cervical lymph nodes
^ESCTME403684	Metastatic malignant neoplasm to ovary
^ESCTME403688	Metastasis to ovary
^ESCTME404206	Metastatic malignant neoplasm to uterine adnexa
^ESCTME475130	Metastatic malignant neoplasm to uterine cervix
^ESCTME475131	Metastatic malignant neoplasm to cervix uteri
^ESCTME605247	Metastasis from malignant tumour of cervix
^ESCTME605248	Metastasis from malignant tumor of cervix
^ESCTNE404442	Neoplasm of uncertain behaviour of uterine cervix
^ESCTNE404443	Neoplasm of uncertain behavior of uterine cervix
^ESCTNE404444	Neoplasm of uncertain behavior of cervix uteri
^ESCTNE404445	Neoplasm of uncertain behaviour of cervix uteri
^ESCTNE404825	Neoplasm of uncertain behavior of ovary
^ESCTNE435657	Neoplasm of uterine cervix
^ESCTNE435662	Neoplasm of ovary
^ESCTNE801501	Neoplasm of low malignant potential behaviour of ovary
^ESCTNE801502	Neoplasm of low malignant potential behavior of ovary
^ESCTOV403687	Ovarian metastasis
^ESCTOV417122	Overlapping malignant neoplasm of uterine cervix
^ESCTOV417123	Overlapping malignant neoplasm of cervix uteri
^ESCTOV431731	Ovarian mature cystic teratoma
^ESCTOV435664	Ovarian tumour
^ESCTOV435665	Ovarian tumor
^ESCTOV624615	Ovarian cancer
^ESCTOV699568	Ovarian cancer, disseminated
^ESCTOV700463	Ovarian cancer stage 4
^ESCTOV700825	Ovarian cancer stage 3
^ESCTOV702728	Ovarian cancer stage 2
^ESCTOV702951	Ovarian cancer stage 1
^ESCTPA786697	Patient refused referral to gynecologist
^ESCTPA786700	Patient refused referral to gynaecologist
^ESCTPE370768	Pelvic lump
^ESCTPM374814	PMB - Postmenopausal bleeding
^ESCTPR402715	Primary malignant neoplasm of ovary
^ESCTPR402929	Primary malignant neoplasm of uterine adnexa
^ESCTPR472843	Private referral to gynecologist
^ESCTPR632595	Primary malignant neoplasm of left ovary
^ESCTPR632608	Primary malignant neoplasm of right ovary
^ESCTPR636302	Primary malignant neoplasm of uterine cervix
^ESCTPR699569	Primary malignant neoplasm of ovary, with widespread metastatic disease
^ESCTRA716187	Raised cancer antigen 125
^ESCTRE472469	Referral to gynaecology service
^ESCTRE472472	Referral to gynecology service
^ESCTRE595195	Referral to obstetrics and gynaecology service
^ESCTRE595196	Referral to obstetrics and gynecology service
^ESCTRE595438	Referral to obstetrician and gynecologist
^ESCTRE597926	Referral to gynecologist
^ESCTRE753131	Referral to pediatric gynecology service
^ESCTRE786695	Referral to gynaecologist declined by subject
^ESCTRE786696	Referral to gynecologist declined by subject
^ESCTSC797919	Screening for malignant neoplasm of cervix not done
^ESCTSE403540	Secondary malignant neoplasm of lymph nodes of neck
^ESCTSE403686	Secondary tumor to ovary
^ESCTSE403689	Secondary cancer of ovary
^ESCTSE403690	Secondary tumour to ovary
^ESCTSE404205	Secondary malignant neoplasm of uterine adnexa
^ESCTSE475132	Secondary malignant neoplasm of uterine cervix
^ESCTSE632596	Secondary malignant neoplasm of left ovary
^ESCTSE632609	Secondary malignant neoplasm of right ovary
^ESCTSU659110	Suspected gynecological cancer
^ESCTSU786698	Subject declined referral to gynecologist
^ESCTSU786699	Subject refused referral to gynecologist
^ESCTSU786701	Subject declined referral to gynaecologist
^ESCTSU786702	Subject refused referral to gynaecologist
^ESCTT3633184	T3 (III): Endometrial tumour with local and/or regional spread as specified in T3a, b, N1 and FIGO IIIA, B, and C below or adnexa (direct extension or metastasis) and/or cancer cells in ascites or peritoneal washings
^ESCTT3633185	T3 (III): Endometrial tumor with local and/or regional spread as specified in T3a, b, N1 and FIGO IIIA, B, and C below or adnexa (direct extension or metastasis) and/or cancer cells in ascites or peritoneal washings
^ESCTTH775303	Theca steroid producing cell malignant neoplasm of ovary
^ESCTTH775304	Theca steroid producing cell malignant tumor of ovary
^ESCTTH775305	Theca steroid producing cell malignant tumour of ovary
^ESCTTU435658	Tumour of cervix
^ESCTTU435659	Tumor of cervix
^ESCTTU435663	Tumour of ovary
^ESCTTU435666	Tumor of ovary
^ESCTUN535181	Undifferentiated carcinoma of ovary
^ESCTUN535182	Undifferentiated ovarian cancer
EMISNQQC5	QCancer ovarian cancer risk score
EMISNQQC8	QCancer cervical cancer risk score
EMISNQQC9	QCancer endometrial cancer risk score
EMISNQSU3	Suspected gynaecological cancer
