B61..	Hodgkin's disease
XaBBc	Hodgkin's disease, nodular sclerosis - cellular phase
B6150	Hodgkin's disease, mixed cellularity of unspecified site
B6151	Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck
B6152	Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes
B6153	Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes
B6154	Hodgkin's disease, mixed cellularity of lymph nodes of axilla and upper limb
B6155	Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb
B6156	Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes
B6157	Hodgkin's disease, mixed cellularity of spleen
B6158	Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites
B615z	Hodgkin's disease, mixed cellularity NOS
B61z0	Hodgkin's disease NOS, unspecified site
B61z1	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z2	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z3	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z4	Hodgkin's disease NOS of lymph nodes of axilla and upper limb
B61z5	Hodgkin's disease NOS of lymph nodes of inguinal region and lower limb
B61z6	Hodgkin's disease NOS of intrapelvic lymph nodes
B61z7	Hodgkin's disease NOS of spleen
B61z8	Hodgkin's disease NOS of lymph nodes of multiple sites
B6100	Hodgkin's paragranuloma of unspecified site
B6101	Hodgkin's paragranuloma of lymph nodes of head, face, and neck
B6102	Hodgkin's paragranuloma of intrathoracic lymph nodes
B6103	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B6104	Hodgkin's paragranuloma of lymph nodes of axilla and upper limb
B6105	Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb
B6106	Hodgkin's paragranuloma of intrapelvic lymph nodes
B6107	Hodgkin's paragranuloma of spleen
B6108	Hodgkin's paragranuloma of lymph nodes of multiple sites
B610z	Hodgkin's paragranuloma NOS
B6110	Hodgkin's granuloma of unspecified site
B6111	Hodgkin's granuloma of lymph nodes of head, face and neck
B6112	Hodgkin's granuloma of intrathoracic lymph nodes
B6113	Hodgkin's granuloma of intra-abdominal lymph nodes
B6114	Hodgkin's granuloma of lymph nodes of axilla and upper limb
B6115	Hodgkin's granuloma of lymph nodes of inguinal region and lower limb
B6116	Hodgkin's granuloma of intrapelvic lymph nodes
B6117	Hodgkin's granuloma of spleen
B6118	Hodgkin's granuloma of lymph nodes of multiple sites
B611z	Hodgkin's granuloma NOS
B6120	Hodgkin's sarcoma of unspecified site
B6121	Hodgkin's sarcoma of lymph nodes of head, face and neck
B6122	Hodgkin's sarcoma of intrathoracic lymph nodes
B6123	Hodgkin's sarcoma of intra-abdominal lymph nodes
B6124	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B6125	Hodgkin's sarcoma of lymph nodes of inguinal region and lower limb
B6126	Hodgkin's sarcoma of intrapelvic lymph nodes
B6127	Hodgkin's sarcoma of spleen
B6128	Hodgkin's sarcoma of lymph nodes of multiple sites
B612z	Hodgkin's sarcoma NOS
BBj..	[M]Hodgkin's disease
BBj1.	[M]Hodgkin's disease, lymphocytic predominance
BBj3.	[M]Hodgkin's disease, lymphocytic depletion NOS
BBj0.	[M]Hodgkin's disease NOS
BBj2.	[M]Hodgkin's disease, mixed cellularity
BBj6.	[M]Hodgkin's disease, nodular sclerosis NOS
XaC2n	[M]Hodgkin's disease NOS
BBj9.	[M]Hodgkin's granuloma
BBjA.	[M]Hodgkin's sarcoma
BBj10	[M]Hodgkin,s disease, lymphocytic predominance, diffuse
BBj11	[M]Hodgkin,s disease, lymphocytic predominance, nodular
BBj8.	[M]Hodgkin's paragranuloma
BBj4.	[M]Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
BBj5.	[M]Hodgkin's disease, lymphocytic depletion, reticular type
BBj62	[M]Hodgkin's disease, nodular sclerosis, lymphocytic depletion
BBj60	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predominance
BBj61	[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity
BBj7.	[M]Hodgkin's disease, nodular sclerosis, cellular phase
