c736.	KETOTIFEN 1mg/5mL elixir
d152.	DALMANE 30mg capsules
d18c.	*SOMNITE 2.5mg/5mL mixture
d1ao.	TEMAZEPAM 10mg/5mL sugar free oral solution
d1f1.	STILNOCT 5mg tablets
d1f4.	STILNOCT 10mg tablets
d21d.	DIAZEMULS 10mg/2mL ampoules
d21G.	*VALCLAIR 10mg suppositories
d21J.	DIAZEPAM 10mg/5mL suspension
d21o.	TENSIUM 10mg tablets
d221.	XANAX 250micrograms tablets
d222.	XANAX 500micrograms tablets
d28z.	HYDROXYZINE HCL 10mg/5mL syrup
d2a7.	ATIVAN 4mg/1mL injection
d2az.	LORAZEPAM 4mg/1mL injection
dn4x.	CLONAZEPAM 2mg/5mL sugar free oral solution
o57r.	MIDAZOLAM 10mg/2mL oromucosal soln pre-filled oral syringe
o57s.	MIDAZOLAM 5mg/1mL oromucosal soln pre-filled oral syringe
o57u.	MIDAZOLAM 2.5mg/0.5mL oromucosal soln prefilled oral syringe
o57w.	MIDAZOLAM 50mg/50mL injection
o57y.	MIDAZOLAM 10mg/5mL injection
o57z.	MIDAZOLAM 10mg/2mL injection
