16C..	Backache symptom
X75rv	Hip pain
X75rx	Fibrositis
X75s4	Facet joint syndrome
XE0VR	Intermittent claudication
XE0rW	Lumbar ache - renal
XE1EY	Joint pain
XE1EZ	Shoulder joint pain
XE1Ea	Arthralgia of the upper arm
XE1Eb	Arthralgia of the forearm
XE1Ec	Arthralgia of the pelvic region and thigh
XE1Ee	Arthralgia of the ankle and foot
XE1En	Other joint symptoms of unspecified site
XE1Eq	Other joint symptoms of the ankle and foot
XE1Ez	Disorder of intervertebral disc
XE1FH	Other back symptoms
XE1H6	Pain in joint - coxalgia
XE1H8	Shoulder joint pain
XE1HQ	Slipped disc
XE1Hs	Metatarsalgia
XM092	Loin pain
XM0CD	C/O - a back symptom
XM0Cp	C/O - loin pain
XM0Cr	C/O - renal pain
XM10e	Renal pain
XM1Qu	Claudication
XSDWB	Venous intermittent claudication
Xa0Jr	Rubella arthralgia
Xa0wY	Xiphoidalgia syndrome
Xa0wk	Cervical trigger point syndrome
Xa0wl	Cervical segmental dysfunction
Xa0wq	Thoracic trigger point syndrome
Xa0wv	Lumbar trigger point syndrome
Xa0yA	Myofascial pain
Xa0yD	Lumbar zygapophysial joint pain
Xa0yG	Foot joint pain
Xa0yH	Metatarsophalangeal joint pain
Xa0yK	Muscle tension pain
Xa1hJ	Musculoskeletal chest pain
Xa2CA	Malignant bone pain
Xa34v	Painful tooth socket
Xa3gU	Intervertebral disc lesion NOS
Xa6aA	Rib pain
Xa6sP	Cervical facet joint pain
Xa6sQ	Thoracic facet joint pain
Xa6sR	Pain on joint movement
Xa6tC	Pain on movement of skeletal muscle
Xa6vL	Temporomandibular joint painful on movement
Xa6x0	Cervical spine - painful on movement
Xa6ye	Thoracic spine - painful on movement
Xa70A	Lumbar spine - painful on movement
Xa71A	Pain of sternum
Xa73D	Shoulder joint painful on movement
Xa73E	Shoulder joint - painful arc
Xa74O	Elbow joint - painful on movement
Xa75r	Wrist joint painful on movement
Xa77U	Finger joint painful on movement
Xa78u	Thumb joint painful on movement
Xa7Af	Hip joint painful on movement
Xa7Bq	Knee joint - painful on movement
Xa7DC	Ankle joint - painful on movement
Xa7EJ	Foot joint - painful on movement
Xa7Ex	Subtalar joint - painful on movement
Xa7GF	Toe joint painful on movement
Xa84p	Pain in femur
XaB9L	Bertolotti's syndrome
XaC1M	Pain due to hip joint prosthesis
XaC1N	Pain due to knee joint prosthesis
XaC1O	Pain due to shoulder joint prosthesis
XabU1	Shoulder joint painful on external rotation
Xag7K	Pelvic girdle pain
Zw040	[Q] Central disc prolapse
Zw041	[Q] Posterolateral disc prolapse
Zw042	[Q] Sequestrated disc prolapse
