EMISNQNO10	Non-mechanical back pain
^ESCTFA562109	Facet syndrome of lumbar spine
^ESCTFA585033	Facet syndrome of cervical spine
^ESCTFI514281	Fibrositis and nodular fasciitis
^ESCTFO562112	Foot joint pain
^ESCTFO586787	Foot joint - painful on movement
^ESCTFR796083	Fracture pain
^ESCTGE385030	Generalized body aches
^ESCTGE385031	Generalized pain
^ESCTGE385032	Generalised pain
^ESCTGE385034	Generalised body aches
^ESCTGT262204	GTPS - greater trochanteric pain syndrome
^ESCTHI586527	Hip joint painful on movement
^ESCTIC353266	IC - Intermittent claudication
^ESCTIL701525	Iliotibial band syndrome
^ESCTIL810025	Iliotibial band friction syndrome of right knee
^ESCTIN369651	Intervertebral disc extrusion
^ESCTIN369655	Intervertebral disc protrusion
^ESCTIN947813	Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis
^ESCTIN947815	Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis
^ESCTIN947818	Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis
^ESCTIV369652	IVDP - Intervertebral disc prolapse
^ESCTJA320725	Jaw claudication
^ESCTJO770366	Joint pain of pelvic region
^ESCTKI556152	Kidney pain
^ESCTKN586611	Knee joint painful on movement
^ESCTLA407691	Lame arm
^ESCTLB562068	LBP - Low back pain
^ESCTLE481432	Lesser metatarsophalangeal joint pain
^ESCTLO562069	Low back syndrome
^ESCTLO752564	Localised masticatory muscle soreness
^ESCTLO752565	Localized masticatory muscle soreness
^ESCTLU325897	Lumbago-sciatica due to displacement of lumbar intervertebral disc
^ESCTLU562070	Lumbalgia
^ESCTLU562072	Lumbar pain
^ESCTLU562075	Lumbar trigger point syndrome
^ESCTLU562106	Lumbar facet joint pain
^ESCTLU562107	Lumbar zygapophysial joint pain
^ESCTLU562108	Lumbar facet syndrome
^ESCTLU585721	Lumbar spine painful on movement
^ESCTLU748946	Lumbar discogenic pain
^ESCTMA566858	Malignant bone pain
^ESCTME562114	Metatarsophalangeal joint pain
^ESCTMP787954	MPS - myofascial pain syndrome
^ESCTMU362158	Muscle ache
^ESCTMU562118	Muscle tension pain
^ESCTMY353265	Myasthenia angiosclerotica
^ESCTMY362159	Myodynia
^ESCTMY362160	Myosalgia
^ESCTMY362161	Myoneuralgia
^ESCTMY562104	Myofascial pain
^ESCTMY769493	Myalgia of pelvic floor
^ESCTMY787953	Myofascial pain syndrome
^ESCTMY787955	Myofascial pain dysfunction syndrome
^ESCTMY992173	Myalgia caused by statin
^ESCTNE382832	Neck ache
^ESCTNO382830	Nonspecific pain in the neck region
^ESCTNO562073	Nonspecific pain in the lumbar region
^ESCTOS270029	Osteodynia
^ESCTPA266075	Pain in ball of foot
^ESCTPA283073	Pain in scapula
^ESCTPA343729	Painful joint
^ESCTPA382828	Painful neck
^ESCTPA454512	Pain in back
^ESCTPA570008	Painful tooth socket
^ESCTPA585036	Pain on joint movement
^ESCTPA585091	Pain on movement of skeletal muscle
^ESCTPA585798	Pain of sternum
^ESCTPA589855	Pain in femur
^ESCTPA647490	Painful swelling of joint
^ESCTPA710484	Pain on passive stretch of joint
^ESCTPA717222	Pain in symphysis pubis in pregnancy
^ESCTPA766598	Painful os peroneum syndrome
^ESCTPA766600	Painful os peroneum
^ESCTPA796084	Pain due to fracture
^ESCTPE514532	Persistent prosthetic joint pain
^ESCTPE757888	Pelvic girdle pain
^ESCTPG757889	PGP - pelvic girdle pain
^ESCTPI369650	PID - Prolapsed intervertebral disc
^ESCTPI369654	PIVD - Prolapsed intervertebral disc
^ESCTPO307451	Polyarthralgia
^ESCTPO405629	Polymyalgia
^ESCTPO766599	POPS - painful os peroneum syndrome
^ESCTPR298580	Primary fibrositis
^ESCTPR369649	Prolapsed intervertebral disc
^ESCTPR405632	Primary fibromyalgia syndrome
^ESCTRE556151	Renal pain
^ESCTRU559512	Rubella arthralgia
^ESCTSA255002	Sacrocoxalgia
^ESCTSA390397	Sacralization-scoliosis-sciatica syndrome
^ESCTSA390398	Sacralisation-scoliosis-sciatica syndrome
^ESCTSC283071	Scapulalgia
^ESCTSC283072	Scapulodynia
^ESCTSE317085	Segmental dysfunction
^ESCTSE389586	Secondary fibrositis
^ESCTSE834993	Secondary fibromyalgia
^ESCTSH283074	Shoulder blade pain
^ESCTSH585975	Shoulder joint - painful arc
^ESCTSL369648	Slipped disc
^ESCTSO562105	Soft tissue rheumatism
^ESCTST481403	Sternoclavicular joint pain
^ESCTSU586831	Subtalar joint painful on movement
^ESCTTA759382	Tarsalgia
^ESCTTE284262	Tenalgia
^ESCTTE284263	Tenodynia
^ESCTTE284264	Tendon pain
^ESCTTE585214	Temporomandibular joint painful on movement
^ESCTTH562064	Thoracic trigger point syndrome
^ESCTTH585034	Thoracic facet joint pain
^ESCTTH585035	Thoracic facet syndrome
^ESCTTH585582	Thoracic spine - painful on movement
^ESCTTH586385	Thumb joint painful on movement
^ESCTTH748945	Thoracic discogenic pain
^ESCTTI481421	Tibiofibular joint pain
^ESCTTO586921	Toe joint painful on movement
^ESCTTR668629	Tryptophan induced eosinophilia-myalgia syndrome
^ESCTVE405673	Venous intermittent claudication
^ESCTVE405674	Venous claudication
^ESCTWH262203	Whirlbone lameness
^ESCTWR586172	Wrist joint painful on movement
^ESCTXI395703	Xiphodynia
^ESCTXI396094	Xiphoidalgia syndrome
^ESCTXI396095	Xiphoidalgia
