medcode	readcode	Description	CodingSystem
25697	E113300	"Recurrent major depressive episodes, severe, no psychosis"	readcode
27491	E11y200	Atypical depressive disorder	readcode
27677	E001300	Presenile dementia with depression	readcode
28248	Eu32z13	[X]Prolonged single episode of reactive depression	readcode
28756	Eu33.14	[X]Seasonal depressive disorder	readcode
29342	E113100	"Recurrent major depressive episodes, mild"	readcode
29520	Eu33100	"[X]Recurrent depressive disorder, current episode moderate"	readcode
29784	Eu33000	"[X]Recurrent depressive disorder, current episode mild"	readcode
30405	9H92.00	Depression interim review	readcode
30483	8CAa.00	Patient given advice about management of depression	readcode
32841	8HHq.00	Referral for guided self-help for depression	readcode
32845	Eu92000	[X]Depressive conduct disorder	readcode
33469	Eu33200	[X]Recurr depress disorder cur epi severe without psyc sympt	readcode
34390	E112000	"Single major depressive episode, unspecified"	readcode
35671	E113000	"Recurrent major depressive episodes, unspecified"	readcode
36246	E290z00	Brief depressive reaction NOS	readcode
36616	Eu33z11	[X]Monopolar depression NOS	readcode
41989	Eu32211	[X]Single episode agitated depressn w'out psychotic symptoms	readcode
42931	9HA0.00	On depression register	readcode
43292	E004300	Arteriosclerotic dementia with depression	readcode
43324	E112500	"Single major depressive episode, partial or unspec remission"	readcode
44300	Eu33z00	"[X]Recurrent depressive disorder, unspecified"	readcode
44936	9HA1.00	Removed from depression register	readcode
47731	Eu33y00	[X]Other recurrent depressive disorders	readcode
55384	E113600	"Recurrent major depressive episodes, in full remission"	readcode
56273	E113500	"Recurrent major depressive episodes,partial/unspec remission"	readcode
56609	Eu32y12	[X]Single episode of masked depression NOS	readcode
57409	E112600	"Single major depressive episode, in full remission"	readcode
59386	Eu32213	[X]Single episode vital depression w'out psychotic symptoms	readcode
73991	Eu33214	"[X]Vital depression, recurrent without psychotic symptoms"	readcode
74050	3004A		OXMIS
74079	3004CA		OXMIS
74155	3004ER		OXMIS
74293	3000E		OXMIS
74296	2962R		OXMIS
74352	3004AM		OXMIS
74470	2962A		OXMIS
74624	3004		OXMIS
74775	2962EN		OXMIS
75087	2962B		OXMIS
75612	3004C		OXMIS
76768	2960AD		OXMIS
77005	3091N		OXMIS
77229	2962AF		OXMIS
78918	3004AB		OXMIS
79163	7902DC		OXMIS
79246	3004B		OXMIS
79553	3091PL		OXMIS
80858	3004E		OXMIS
83126	3091PN		OXMIS
83254	3004PP		OXMIS
84210	3091PF		OXMIS
84554	3004M		OXMIS
85574	2960AC		OXMIS
