CTV3Code	Description
E1153	Bipolar affective disorder, currently depressed, severe, without mention of psychosis
E1154	Bipolar affective disorder, currently depressed, severe, with psychosis
E1155	Bipolar affective disorder, currently depressed, in partial or unspecified remission
E1156	Bipolar affective disorder, currently depressed, in full remission
E115z	Bipolar affective disorder, currently depressed, NOS
E116.	Mixed bipolar affective disorder
E1160	Mixed bipolar affective disorder, unspecified
E1161	Mixed bipolar affective disorder, mild
E1162	Mixed bipolar affective disorder, moderate
E1163	Mixed bipolar affective disorder, severe, without mention of psychosis
E1164	Mixed bipolar affective disorder, severe, with psychosis
E1165	Mixed bipolar affective disorder, in partial or unspecified remission
E1166	Mixed bipolar affective disorder, in full remission
E116z	Mixed bipolar affective disorder, NOS
E117.	Unspecified bipolar affective disorder
E1170	Unspecified bipolar affective disorder, unspecified
E1171	Unspecified bipolar affective disorder, mild
E1172	Unspecified bipolar affective disorder, moderate
E1173	Unspecified bipolar affective disorder, severe, without mention of psychosis
E1174	Unspecified bipolar affective disorder, severe, with psychosis
E1175	Unspecified bipolar affective disorder, in partial or unspecified remission
E1176	Unspecified bipolar affective disorder, in full remission
E117z	Unspecified bipolar affective disorder, NOS
E11y.	Other and unspecified manic-depressive psychoses
E11y0	Unspecified manic-depressive psychoses
E11y1	Atypical manic disorder
E11y3	Other mixed manic-depressive psychoses
E11yz	Other and unspecified manic-depressive psychoses NOS
E11z.	Other and unspecified affective psychoses
E11z0	Unspecified affective psychoses NOS
E11zz	Other affective psychosis NOS
E120.	Simple paranoid state
E121.	Chronic paranoid psychosis
E122.	Paraphrenia
E123.	Shared paranoid disorder
E12y.	Other paranoid states
E12y0	Paranoia querulans
E12yz	Other paranoid states NOS
E12z.	Paranoid psychosis NOS
E13..	Reactive psychoses
E131.	Acute hysterical psychosis
E132.	Reactive confusion
E133.	Bouffee delirante
E134.	Psychogenic paranoid psychosis
E13y.	Other reactive psychoses
E13y0	Psychogenic stupor
E13y1	Brief reactive psychosis
E13yz	Other reactive psychoses NOS
E13z.	Nonorganic psychosis NOS
E14..	Psychoses with origin in childhood
E141.	Disintegrative psychosis
E1410	Active disintegrative psychoses
E1411	Residual disintegrative psychoses
E141z	Disintegrative psychosis NOS
E14y.	Other childhood psychoses
E14y0	Atypical childhood psychoses
E14y1	Borderline psychosis of childhood
E14yz	Other childhood psychoses NOS
E14z.	Childhood schizophrenia NOS
E1y..	Other specified non-organic psychoses
E201.	Hysteria
E2010	Hysteria unspecified
E2110	Unspecified affective personality disorder
E2113	Cyclothymia
E211z	Affective personality disorder NOS
E212.	Schizoid personality disorder
E2120	Unspecified schizoid personality disorder
E2122	Schizoptypal disorder
E212z	Schizoid personality disorder NOS
Eu02z	[X]Senile psychosis NOS
Eu04.	[X]Acute / subacute infective psychosis
Eu052	[X]Schizophrenia-like psychosis in epilepsy
Eu2..	[X]Schizophrenia, schizotypal and delusional disorders
Eu20.	Schizophrenia
Eu202	[X]Schizophrenic catalepsy
Eu203	[X]Undifferentiated schizophrenia
Eu20y	[X]Schizophrenifrm psychos NOS
Eu20z	[X]Schizophrenia, unspecified
Eu21.	[X]Latent schizophrenic reaction
Eu220	[X]Paranoid state
Eu22y	[X]Other persistent delusional disorders
Eu22z	[X]Persistent delusional disorder, unspecified
Eu230	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
Eu231	[X]Acute polymorphic psychotic disorder with symptoms of schizophrenia
Eu232	[X]Brief schizophreniform disorder
Eu233	[X]Other acute predominantly delusional psychotic disorders
Eu23z	[X]Reactive psychosis
Eu24.	Symbiotic psychosis
Eu25.	Schizoaffective disorder
Eu252	[X](Schizoaffective disorder, mixed type) or (cyclic schizophrenia) or (mixed schizophrenic and affective psychosis)
Eu25y	[X]Other schizoaffective disorders
Eu25z	[X]Schizoaffective disorder, unspecified
Eu2y.	[X] Chronic hallucinatory psychosis
Eu2z.	[X] Psychosis NOS
Eu30.	[X]Bipolar disorder, single manic episode
Eu301	[X]Mania without psychotic symptoms
Eu302	[X] Mania with mood-incongruent psychotic symptoms
Eu30y	[X]Other manic episodes
Eu30z	[X]Manic episode, unspecified
Eu310	Bipolar affective disorder, current episode hypomanic
Eu311	[X]Bipolar affective disorder, current episode manic without psychotic symptoms
Eu312	[X]Bipolar affective disorder, current episode manic with psychotic symptoms
Eu313	[X]Bipolar affective disorder, current episode mild or moderate depression
Eu314	[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms
Eu316	Bipolar affective disorder , current episode mixed
Eu317	[X]Bipolar affective disorder, currently in remission
Eu31y	[X]Other bipolar affective disorders
Eu31z	[X]Bipolar affective disorder, unspecified
Eu333	[X]Recurrent severe episodes of reactive depressive psychosis
Eu34.	[X]Persistent mood affective disorders
Eu34y	[X]Other persistent mood affective disorders
Eu34z	[X]Persistent mood affective disorder, unspecified
Eu3y.	[X]Other mood affective disorders
Eu3yy	[X]Other specified mood affective disorders
Eu3z.	[X] Affective psychosis NOS
Eu600	[X]Fanatic paranoid personality disorder
F481K	Visual hallucinations
R001.	[D]Hallucinations
R0010	[D]Hallucinations, auditory
R0011	[D]Hallucinations, gustatory
R0012	[D]Hallucinations, olfactory
R0013	[D]Hallucinations, tactile
R0014	[D]Visual hallucinations
R001z	[D]Hallucinations NOS
Ryu53	[X]Other hallucinations
Ua1Fe	Allowing patient to explore hallucinations
Ua1Ff	Allowing patient to talk about hallucinations
Ua1Fg	Avoiding listening to patient talking about hallucinations
Ua1Fh	Avoiding positive reinforcement of hallucinations
Ua1Fi	Clarification of hallucinations
Ua1Fj	Interpretation of hallucinations
Ua1Fk	Clarification of delusions
Ua1Fl	Interpretation of delusions
Ua1WW	Paranoid delusion
Ua1Ws	Hallucinations of bodily sensation
Ub1T7	Schizophrenic language
X00Qx	Psychotic episode NOS
X00Qy	Reactive psychoses
X00RN	Organic manic disorder
X00RO	Organic bipolar disorder
X00RU	Epileptic psychosis
X00RV	Intensive care psychosis
X00S7	Childhood schizophrenia NOS
X00S8	Post-schizophrenic depression
X00SA	Persistent delusional disorder
X00SB	Delusional pain
X00SD	Schizophreniform disorder
X00SJ	Mania
X00SK	Manic stupor
X00SL	Hypomania
X00SM	Bipolar affective disorder
X00SN	Bipolar II disorder
X00Sc	Anxiety hysteria
X00TP	Schizoid disorder of childhood
X40Do	Mild postnatal psychosis
X40Dp	Severe postnatal psychosis
X50GE	Cutaneous monosymptomatic delusional psychosis
X50GF	Delusions of parasitosis
X50GG	Delusions of infestation
X50GH	Delusion of foul odour
X50GJ	Delusional hyperhidrosis
X75Yp	Seizure with structured hallucinations
X75yp	Delusions
X75yq	Grandiose delusions
X75yr	Delusion of grandiose ability
X75ys	Delusion of grandiose identity
X75yt	Delusion of special mission
X75yu	Religious delusion
X75yv	Delusional mood
X75yw	Delusional perplexity
X75yx	Delusion associated with abnormal perception
X75yy	Delusion associated with smell
X75yz	Delusion associated with sexual hallucinations
X75z0	Bizarre delusion associated with bodily sensation
X75z1	Delusion of depersonalisation
X75z2	Nihilistic delusion
X75z3	Delusion concerning appearance
X75z4	Delusion of persecution
X75z5	Delusional jealousy
X75z6	Erotomanic delusion
X75z7	Capgras syndrome
X75z8	Delusion of guilt
X75z9	Delusion of catastrophe
X75zA	Depressive delusion of catastrophe
X75zB	Delusion of poverty
X75zC	Depressive delusion of poverty
X75zD	Hypochondriacal delusion
X75zE	Depressive hypochondriacal delusion
X75zH	Delusion of replacement of will by external force
X75zI	Delusion of control of voice
X75zJ	Delusion of control of handwriting
X75zM	Delusion of own appearance
X75zz	Verbal auditory hallucinations
X7600	Non-verbal auditory hallucinations
X7601	Hallucinations of music
X7603	Unformed visual hallucinations
X7604	Formed visual hallucinations
X7605	Scenic visual hallucinations
X7606	Hallucination of self giving off a smell
X7607	Hallucination of others giving off a smell
X7608	Hallucinations of pain
X7609	Hallucinations of temperature
X760A	Hallucinations in several modalities at once
X760B	Hallucinations of internal bodily sensation
X760C	Hallucinations associated with bereavement
X760D	Sexual hallucinations
X760F	Hypnopompic hallucination
X761M	Schizophrenic prodrome
X79ul	Bipolar diathermy
X9078	Bipolar
XE1Sz	On lithium
XE1Xw	Acute schizophrenic episode
XE1Xx	Other schizophrenia
XE1Y2	Chronic paranoid psychosis
XE1Y4	Acute paranoid reaction
XE1Y5	Non-organic psychosis NOS
XE1Y6	Child psychosis NOS
XE1Y9	Hysteria NOS
XE1YF	Paranoid personality disorder
XE1ZM	[X]Other schizophrenia
XE1ZN	[X]Schizotypal disorder
XE1ZP	[X]Other persistent delusional disorders
XE1ZQ	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
XE1ZR	[X]Other acute predominantly delusional psychotic disorders
XE1ZU	[X] Psychosis NOS
XE1ZV	[X]Mania with psychotic symptoms
XE1ZW	[X]Manic episode, unspecified
XE1ZX	[X]Other bipolar affective disorders
XE1ZY	[X]Severe depressive episode without psychotic symptoms
XE1ZZ	[X]Severe depressive episode with psychotic symptoms
XE1Zd	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms
XE1Ze	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms
XE1Zg	[X]Other single mood affective disorders
XE1Zh	[X]Other recurrent mood affective disorders
XE1Zi	[X]Unspecified mood affective disorder
XE1aI	Korsakov's psychosis
XE1aM	Schizophrenic psychoses
XE1aO	Paranoid schizophrenia
XE1aQ	Manic-depress.psychoses
XE1aS	Hypomania
XE1aU	Delusions - paranoid
XE1gN	[D]Hallucinations NEC
XE1hk	Psychotic condition, insight present
XE2b8	Mixed schizophrenic and affective pschosis
XE2uT	Schizophreniform psychosis, manic type
XE2un	Schizophreniform psychosis, depressive type
XM06V	Auditory hallucinations
XM06W	Hallucinations of taste
XM06X	Olfactory hallucinations
XM06Y	Tactile hallucinations
XM0lB	Lithium
XM1GG	Borderline schizophrenia
XM1Xj	Lithium monitoring
XSKr7	Cotard syndrome
Xa00v	Primary delusions
Xa00w	Retrospective delusions
Xa0RT	Second person verbal auditory hallucinations
Xa0RX	Third person verbal auditory hallucinations
Xa0lD	Involutional paranoid state
Xa0lF	Delusional dysmorphophobia
Xa0s8	Paranoid-hallucinatory epileptic psychosis
Xa0s9	Acute schizophrenia-like psychotic disorder
Xa0tC	Late paraphrenia
Xa1aD	Monosymptomatic hypochondriacal psychosis
Xa2kP	Manic behaviour
Xa33a	Delusion of infidelity
Xa33b	Delusion of unworthiness
Xa3Dz	Hallucinations of simple sounds
Xa3E0	Formed hallucinations of people
Xa3E1	Formed hallucinations of animals
Xa3E2	Formed hallucinations of insects
Xa3E3	Formed hallucinations of objects
Xa3F9	Extracampine hallucinations
Xa3FA	Functional hallucinations
Xa3FB	Reflex hallucinations
Xa3WO	Manic
Xa3Y9	Delusional projection - mental defence mechanism
Xa3YM	Manic defence
Xa3YW	Schizoid fantasy
Xa3b1	Schizoid character
Xa4hZ	Lithium and its derivatives
Xa5J3	Lithium adverse reaction
Xa5hW	Lithium allergy
Xa96U	Guilty ideas of reference
Xa9B0	Puerperal psychosis
XaA5u	Delusions-symptoms-states inventory
XaA6j	Profile of mood states, bipolar
XaA6x	Rust inventory of schizotypal cognitions
XaA9j	Delusional transference
XaA9s	Paranoid schizoid position relationship
XaA9u	Schizoid relationship
XaAyN	Ideas of reference
XaB5u	Bouffee delirante
XaB5v	Cycloid psychosis
XaB8j	Oneirophrenia
XaB95	Other manic-depressive psychos
XaCHo	[X] Manic-depressive psychosis, depressed type without psychotic symptoms
XaIOm	Early intervention in psychosis
XaIWE	Early intervention in psychosis - 24 hour intensive
XaIWF	Early intervention in psychosis - 24 hour not intensive
XaIWG	Early intervention in psychosis - Part day : day care
XaIWH	Early intervention in psychosis - Daily intensive
XaIWI	Early intervention in psychosis - 3-5 contacts/week
XaIWJ	Early intervention in psychosis - 1-2 contacts/week
XaIWK	Early intervention in psychosis - 1-3 contacts/month
XaIWL	Early intervention in psychosis - <1 contact/month
XaIXj	Early intervention in psychosis HRGs
XaIx7	H/O: manic depressive disorder
XaJQO	Early intervention in psychosis team
XaKUl	Paranoid ideation
XaKUm	O/E - paranoid delusions
XaKUn	O/E - delusion of persecution
XaL07	H/O: psychosis
XaL19	Referral to psychosis early intervention service
XaLIa	Psychosis, schizophrenia and bipolar affective disorder resolved
XaMwc	Bipolar affective disorder resolved
XaMwd	Schizophrenia resolved
XaMwe	Psychosis resolved
XaOmz	Analysing hallucinations
XaQmW	Lithium monitoring first letter
XaQmX	Lithium monitoring second letter
XaQmY	Lithium monitoring third letter
XaWz5	Lithium patient information booklet given
XaWz7	Advice given about lithium side-effects and toxicity
XaX3d	Lithium annual review
XaX51	[X]Paranoid state in remission
XaX53	Single major depressive episode, severe, with psychosis, psychosis in remission
XaX54	Recurrent major depressive episodes, severe, with psychosis, psychosis in remission
XaX6k	Lithium therapy record book completed
XaXPE	Lithium therapy record book issued
XaY1Y	Bipolar I disorder
XaaiA	HCL-32-R1 - hypomania checklist 32 item revised
Xad6J	CBTp - cognitive behavioural therapy for psychosis
XafEv	Signposting to Bipolar UK
XagU1	Recurrent reactive depressive episodes, severe, with psychosis
ZV110	[V]Personal history of schizophrenia
ZV111	[V]Personal history of manic-depressive psychosis
