readcode	Description
da7t.00	VENLADEX XL 75mg m/r tablets
da7s.00	SUNVENIZ XL 150mg m/r tablets
da7r.00	SUNVENIZ XL 75mg m/r tablets
da7p.00	VENLALIC XL 37.5mg m/r tablets
da7o.00	DEPEFEX XL 150mg m/r capsules
da7n.00	DEPEFEX XL 75mg m/r capsules
da7m.00	FORAVEN XL 150mg m/r capsules
da7l.00	FORAVEN XL 75mg m/r capsules
da7k.00	TONPULAR XL 150mg m/r capsules
da7j.00	TONPULAR XL 75mg m/r capsules
da7i.00	BONILUX XL 150mg m/r capsules
da7h.00	BONILUX XL 75mg m/r capsules
da7g.00	RANFAXINE XL 75mg m/r capsules
da7f.00	RANFAXINE XL 150mg m/r capsules
da7e.00	ALVENTA XL 150mg m/r capsules
da7d.00	ALVENTA XL 75mg m/r capsules
da7c.00	VAXALIN XL 150mg m/r capsules
da7b.00	VAXALIN XL 75mg m/r capsules
da7a.00	VENAXX XL 150mg m/r capsules
da7Z.00	VENAXX XL 75mg m/r capsules
da7X.00	VENLALIC XL 225mg m/r tablets
da7W.00	VENLALIC XL 150mg m/r tablets
da7V.00	VENLALIC XL 75mg m/r tablets
da7U.00	VEXARIN XL 150mg m/r capsules
da7T.00	VEXARIN XL 75mg m/r capsules
da7S.00	TIFAXIN XL 150mg m/r capsules
da7R.00	TIFAXIN XL 75mg m/r capsules
da7Q.00	VENSIR XL 150mg m/r capsules
da7P.00	VENSIR XL 75mg m/r capsules
da7O.00	VIEPAX 75mg tablets
da7N.00	VIEPAX 37.5mg tablets
da7M.00	*TARDCAPS XL 150mg m/r capsule
da7L.00	*TARDCAPS XL 75mg m/r capsules
da7J.00	VIEPAX XL 150mg m/r tablets
da7H.00	VIEPAX XL 75mg m/r tablets
da7G.00	TRIXAT XL 150mg m/r capsules
da7F.00	TRIXAT XL 75mg m/r capsules
da7E.00	WINFEX XL 150mg m/r capsules
da7D.00	WINFEX XL 75mg m/r capsules
da7C.00	RODOMEL XL 150mg m/r capsules
da7B.00	RODOMEL XL 75mg m/r capsules
da7A.00	EFEXOR XL 150mg m/r capsules
da78.00	EFEXOR XL 75mg m/r capsules
da76.00	*EFEXOR 50mg tablets
da74.00	*EFEXOR 75mg tablets
da73.00	*EFEXOR 37.5mg tablets
da6..00	PAROXETINE HYDROCHLORIDE
da67.00	PAROXETINE 10mg tablets
da65.00	PAROXETINE 10mg/5mL sugar free liquid
da63.00	PAROXETINE 30mg tablets
da61.00	PAROXETINE 20mg tablets
da68.00	SEROXAT 10mg tablets
da66.00	SEROXAT 10mg/5mL sugar free liquid
da64.00	SEROXAT 30mg tablets x30
da62.00	SEROXAT 20mg tablets x30
da4..00	FLUOXETINE HYDROCHLORIDE
da4E.00	FLUOXETINE 20mg dispersible tablets
da46.00	FLUOXETINE 60mg capsules
da43.00	FLUOXETINE 20mg/5mL oral liquid
da41.00	FLUOXETINE 20mg capsules
da4D.00	OLENA 20mg dispersible tablets
da4C.00	PROZEP 20mg/5mL oral solution
da4B.00	PROZIT 20mg/5mL oral solution
da4A.00	RANFLUTIN 20mg capsules
da49.00	OXACTIN 20mg capsules
da48.00	*FELICIUM 20mg capsules
da47.00	*PROZAC 60mg capsules
da45.00	PROZAC 20mg capsules
da44.00	PROZAC 20mg/5mL oral liquid
da42.00	*PROZAC 20mg capsules x30
d7c..00	NORTRIPTYLINE
d7cy.00	*NORTRIPTYLINE 25mg capsules
d7c9.00	*NORTRIPTYLINE 10mg capsules
d7c8.00	NORTRIPTYLINE 25mg tablets
d7c7.00	*NORTRIPTYLINE 10mg/5mL liquid
d7c6.00	NORTRIPTYLINE 10mg tablets
d7c5.00	*AVENTYL 10mg/5mL liquid
d7c4.00	*AVENTYL 25mg capsules
d7c3.00	*AVENTYL 10mg capsules
d7c2.00	*ALLEGRON 25mg tablets
d7c1.00	*ALLEGRON 10mg tablets
d7b..00	MIANSERIN HYDROCHLORIDE
d7b3.00	MIANSERIN 30mg tablets
d7b2.00	MIANSERIN 20mg tablets
d7b1.00	MIANSERIN 10mg tablets
d7b9.00	*NORVAL 30mg tablets
d7b8.00	*NORVAL 20mg tablets
d7b7.00	*NORVAL 10mg tablets
d7b6.00	*BOLVIDON 30mg tablets
d7b5.00	*BOLVIDON 20mg tablets
d7b4.00	*BOLVIDON 10mg tablets
d76..00	DOXEPIN
d76z.00	*DOXEPIN 75mg capsules
d76y.00	DOXEPIN 50mg capsules
d76x.00	DOXEPIN 25mg capsules
d76w.00	*DOXEPIN 10mg capsules
d766.00	*SINEPIN 50mg capsules
d765.00	*SINEPIN 25mg capsules
d764.00	*SINEQUAN 75mg capsules x28CP
d763.00	*SINEQUAN 50mg capsules x28CP
d762.00	*SINEQUAN 25mg capsules x28CP
d761.00	*SINEQUAN 10mg capsules x56CP
d73..00	CLOMIPRAMINE HYDROCHLORIDE
d73z.00	CLOMIPRAMINE HCL 75mg m/r tabs
d73y.00	CLOMIPRAMINE HCL 25mg/2mL injection
d73x.00	CLOMIPRAMINE HYDROCHLORIDE 25mg/5mL syrup
d73w.00	CLOMIPRAMINE HCL 50mg capsules
d73v.00	CLOMIPRAMINE HCL 25mg capsules
d73u.00	CLOMIPRAMINE HCL 10mg capsules
d73t.00	*CLOMIPRAMINE HCL 25mg tablets
d73s.00	*CLOMIPRAMINE HCL 10mg tablets
d73r.00	*CLOMIPRAMINE HCL 50mg tablets
d739.00	TRANQUAX 50mg capsules
d738.00	*TRANQUAX 25mg capsules
d737.00	*TRANQUAX 10mg capsules
d736.00	*ANAFRANIL SR 75mg m/r tablets
d735.00	*ANAFRANIL 25mg/2mL injection
d734.00	*ANAFRANIL 25mg/5mL syrup
d733.00	*ANAFRANIL 50mg capsules
d732.00	*ANAFRANIL 25mg capsules
d731.00	*ANAFRANIL 10mg capsules
d7e..00	TRAZODONE HYDROCHLORIDE
d7ez.00	TRAZODONE HYDROCHLORIDE 50mg/5mL liquid
d7ex.00	TRAZODONE HYDROCHLORIDE 50mg capsules
d7ew.00	TRAZODONE HYDROCHLORIDE 100mg capsules
d7e7.00	TRAZODONE HYDROCHLORIDE 150mg m/r tablets
d7e5.00	TRAZODONE HYDROCHLORIDE 150mg tablets
d7e6.00	MOLIPAXIN CR 150mg m/r tablets x28
d7e4.00	MOLIPAXIN 150mg tablets x28CP
d7e3.00	*MOLIPAXIN 50mg/5mL liquid
d7e2.00	MOLIPAXIN 100mg capsules x56CP
d7e1.00	MOLIPAXIN 50mg capsules x84CP
d77..00	IMIPRAMINE HYDROCHLORIDE [ANTIDEPRESSANT]
d77z.00	IMIPRAMINE HYDROCHLORIDE 25mg/5mL syrup
d77y.00	IMIPRAMINE HYDROCHLORIDE 25mg tablets
d77x.00	IMIPRAMINE HYDROCHLORIDE 10mg tablets
d77w.00	IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d772.00	IMIPRAMINE 25mg tablets
d771.00	IMIPRAMINE 10mg tabs
d777.00	*TOFRANIL 25mg/5mL syrup
d776.00	*TOFRANIL 25mg tablets
d775.00	*TOFRANIL 10mg tablets
d774.00	*PRAMINIL 25mg tablets
d773.00	*PRAMINIL 10mg tablets
d7f..00	TRIMIPRAMINE
d7fz.00	TRIMIPRAMINE 25mg tablets
d7fy.00	TRIMIPRAMINE 10mg tablets
d7fx.00	TRIMIPRAMINE 50mg capsules
d7f3.00	*SURMONTIL 25mg tablets
d7f2.00	*SURMONTIL 10mg tablets
d7f1.00	*SURMONTIL 50mg capsules x28CP
d79..00	LOFEPRAMINE
d79z.00	LOFEPRAMINE 70mg tablets
d79y.00	LOFEPRAMINE 70mg/5mL sugar free suspension
d794.00	*GAMANIL 70mg tablets
d793.00	*FEPRAPAX 70mg tablets
d792.00	LOMONT 70mg/5mL sugar free suspension
d791.00	*GAMANIL 70mg tablets x56CP
d75..11	DOTHIEPIN HYDROCHLORIDE
d75..00	DOSULEPIN HYDROCHLORIDE
d75z.11	DOTHIEPIN HYDROCHLORIDE 75mg tablets
d75z.00	DOSULEPIN HYDROCHLORIDE 75mg tablets
d75y.11	DOTHIEPIN HYDROCHLORIDE 25mg capsules
d75y.00	DOSULEPIN HYDROCHLORIDE 25mg capsules
d75A.00	*THADEN 75mg tablets
d759.00	*THADEN 25mg capsules
d756.00	*DOTHAPAX 75mg tablets
d755.00	*DOTHAPAX 25mg capsules
d754.00	*PREPADINE 75mg tablets
d753.00	*PREPADINE 25mg capsules
d752.00	PROTHIADEN 75mg tablets
d751.00	PROTHIADEN 25mg capsules
d71..00	AMITRIPTYLINE HYDROCHLORIDE [ANTIDEPRESSANT]
d71z.00	AMITRIPTYLINE HYDROCHLORIDE 100mg/10mL injection
d71y.00	*AMITRIPTYLINE 10mg/5mL syrup
d71w.00	AMITRIPTYLINE 75mg m/r capsules
d71v.00	AMITRIPTYLINE 50mg m/r capsules
d71u.00	AMITRIPTYLINE 25mg m/r capsules
d71j.00	AMITRIPTYLINE 10mg/5mL sugar free oral solution
d71i.00	AMITRIPTYLINE 50mg/5mL sugar free solution
d71h.00	AMITRIPTYLINE 25mg/5mL sugar free solution
d713.00	AMITRIPTYLINE 50mg tablets
d712.00	AMITRIPTYLINE 25mg tablets
d711.00	AMITRIPTYLINE 10mg tablets
d71g.00	TRYPTIZOL 100mg/10mL injection
d71f.00	*TRYPTIZOL 10mg/5mL syrup
d71e.00	*TRYPTIZOL 50mg tablets
d71d.00	*TRYPTIZOL 25mg tablets
d71c.00	*TRYPTIZOL 10mg tablets
d71b.00	*TRYPTIZOL 75mg m/r capsules
d71a.00	*LENTIZOL 50mg m/r capsules
d719.00	*LENTIZOL 25mg m/r capsules
d718.00	ELAVIL 25mg tablets
d717.00	ELAVIL 10mg tablets
d716.00	*DOMICAL 50mg tablets
d715.00	*DOMICAL 25mg tablets
d714.00	*DOMICAL 10mg tablets
d83..00	ISOCARBOXAZID
d83z.00	ISOCARBOXAZID 10mg tablets
d831.00	*MARPLAN 10mg tablets
d84..00	TRANYLCYPROMINE
d84z.00	TRANYLCYPROMINE 10mg tablets
d841.00	*PARNATE 10mg tablets
d81..00	PHENELZINE
d81z.00	PHENELZINE 15mg tablets
d811.00	NARDIL 15mg tablets
d85..00	MOCLOBEMIDE
d854.00	MOCLOBEMIDE 300mg tablets
d852.00	MOCLOBEMIDE 150mg tablets
d853.00	MANERIX 300mg tablets
d851.00	MANERIX 150mg tablets
gde..00	DULOXETINE
gdez.00	DULOXETINE 40mg gastro-resistant capsules
gdey.00	DULOXETINE 20mg gastro-resistant capsules
gdex.00	DULOXETINE 30mg gastro-resistant capsules
gdew.00	DULOXETINE 60mg gastro-resistant capsules
gde4.00	CYMBALTA 60mg gastro-resistant capsules
gde3.00	CYMBALTA 30mg gastro-resistant capsules
gde2.00	YENTREVE 40mg gastro-resistant capsules
gde1.00	YENTREVE 20mg gastro-resistant capsules
d912.00	*LIMBITROL 10 capsules
d911.00	*LIMBITROL 5 capsules
d915.00	*PARSTELIN tablets
d917.00	*TRIPTAFEN-M tablets
d916.00	TRIPTAFEN tablets
da12.00	FLUANXOL 1mg tablets
da11.00	FLUANXOL 500micrograms tablets
