#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
N3031	Periostitis without mention of osteomyelitis, of the shoulder region
N3033	Periostitis without osteomyelitis, of the forearm
N3034	Periostitis without osteomyelitis, of the hand
N3035	Periostitis without osteomyelitis, of the pelvic region and thigh
N3036	Periostitis without mention of osteomyelitis, of the lower leg
N3037	Periostitis without mention of osteomyelitis, of the ankle and foot
N3038	Periostitis without mention of osteomyelitis, of other specified site
N3039	Periostitis without mention of osteomyelitis, of multiple sites
N303z	Periostitis without osteomyelitis NOS
N3040	Tuberculosis of cervical spine
N3041	Tuberculosis of thoracic spine
N3042	Tuberculosis of lumbar spine
N3043	Tuberculosis of sacrum/coccyx
N305.	Tuberculosis of limb bones
N3051	Tuberculosis of the upper arm bone
N3052	Tuberculosis of the forearm bone
N3053	Tuberculosis of the pelvic and thigh bones
N3054	Tuberculosis of the lower leg bone
N3055	Tuberculosis of other limb bones
N306.	Tuberculosis of other bones
N3061	Tuberculosis of the bones of the shoulder region
N3063	Tuberculosis of the bones of the ankle and foot
N3064	Tuberculosis of the bones of other sites
N306z	Tuberculosis of bone NOS
N308.	Subacute osteomyelitis
N30z.	Bone infection NOS
N30z2	Bone infection NOS, of the upper arm
N30z4	Bone infection NOS, of the hand
N30z5	Bone infection NOS, of the pelvic/thigh
N30z6	Bone infection NOS, of the lower leg
N30z7	Bone infection NOS, of ankle and foot
N30z9	Bone infection NOS, of multiple sites
N33z3	Diaphysitis
Nyu00	[X]Other streptococcal arthritis and polyarthritis
Nyu01	[X]Arthritis and polyarthritis due to other specified bacterial agents
NyuC1	[X]Other chronic haematogenous osteomyelitis
NyuC2	[X]Other chronic osteomyelitis
NyuC3	[X]Other osteomyelitis
SP060	Prosthetic joint infection
AA26.	Yaws osteitis
A955.	Syphilis of bone
AB614	Sporotrichosis of the bones
AB656	Osseous cryptococcosis
AC230	Echinococcus granulosus infection of bone
F4G04	Orbital osteomyelitis
J065.	Alveolitis of jaw
J065z	Alveolitis of jaw NOS
N0141	Arthropathy associated with other bacterial disease, of the shoulder region
N0142	Arthropathy associated with other bacterial disease, of the upper arm
N0143	Arthropathy associated with other bacterial disease, of the forearm
N0144	Arthropathy associated with other bacterial disease, of the hand
N0145	Arthropathy associated with other bacterial disease, of the pelvic region and thigh
N0146	Arthropathy associated with other bacterial disease, of the lower leg
N014z	Arthropathy associated with other bacterial disease NOS
N01z0	Infective arthritis NOS, of unspecified site
N01z1	Infective arthritis NOS, of the shoulder region
N01z2	Infective arthritis NOS, of the upper arm
N01z3	Infective arthritis NOS, of the forearm
N01z4	Infective arthritis NOS, of the hand
N01z6	Infective arthritis NOS, of the lower leg
N01z9	Infective arthritis NOS, of sternoclavicular joint
N01zA	Infective arthritis NOS, of acromioclavicular joint
N01zC	Infective arthritis NOS, of distal radioulnar joint
N01zD	Infective arthritis NOS, of wrist
N01zE	Infective arthritis NOS, of metacarpophalangeal joint
N01zF	Infective arthritis NOS, of proximal interphalangeal joint of finger
N01zG	Infective arthritis NOS, of distal interphalangeal joint of finger
N01zJ	Infective arthritis NOS, of sacroiliac joint
N01zL	Infective arthritis NOS, of tibiofibular joint
N01zM	Infective arthritis NOS, of ankle
N01zN	Infective arthritis NOS, of subtalar joint
N01zP	Infective arthritis NOS, of talonavicular joint
N01zQ	Infective arthritis NOS, of other tarsal joint
N01zR	Infective arthritis NOS, of 1st metatarsophalangeal joint
N01zS	Infective arthritis NOS, of lesser metatarsophalangeal joint
N01zT	Infective arthritis NOS, of interphalangeal joint of toe
N01zx	Infective arthritis NOS, of multiple sites
N01zy	Infective arthritis NOS, of other specified site
N300G	Acute osteomyelitis-scapula
N300L	Acute osteomyelitis-carpal bone
N300W	Acute osteomyelitis-other tarsal bone
N301B	Chronic osteomyelitis-thoracic spine
N301E	Chronic osteomyelitis-coccyx
N301F	Brodies abscess of cervical spine
N301G	Brodies abscess of thoracic spine
N301H	Brodies abscess of lumbar spine
N301J	Brodies abscess of sacrum
N301K	Brodies abscess of coccyx
N302L	Infection of carpal bone
N302T	Infection of fibula
N302U	Infection of calcaneum
N302V	Infection of talus
N302Z	Infection of multiple bones
N3032	Periostitis without mention of osteomyelitis, of the upper arm
N3050	Tuberculosis of unspecified limb bone
N3056	Tuberculosis of multiple limb bones
N305z	Tuberculosis of limb bones NOS
N3060	Tuberculosis of bone, site unspecified
N3062	Tuberculosis of the bones of the hand
N3065	Tuberculosis of the bones of multiple sites
N3080	Subacute osteomyelitis of cervical spine
N3081	Subacute osteomyelitis of thoracic spine
N3082	Subacute osteomyelitis of lumbar spine
N3083	Subacute osteomyelitis of sacrum
N3084	Subacute osteomyelitis of coccyx
N30z0	Bone infection NOS, of unspecified site
N30z1	Bone infection NOS, of the shoulder region
N30z3	Bone infection NOS, of the forearm
N11y0	Brucella spondylitis
Nyu02	[X]Arthritis in other infectious and parasitic diseases classified elsewhere
Nyu60	[X]Other infective spondylopathies
Nyu66	[X]Spondylopathy in other infectious and parasitic diseases classified elsewhere
NyuC0	[X]Other acute osteomyelitis
X20Sg	Osteomyelitis - jaw
X20Sk	Proliferative Garres osteomyelitis
X20Sl	Neonatal osteomyelitis of jaw
X702V	Synovitis, acne, pustulosis palmaris, hyperostosis, osteomyelitis syndrome
X70Aa	Pelvis acute osteomyelitis
X70Ab	Hip acute osteomyelitis
X70Ae	Foot - chronic osteomyelitis
X70Af	Ankle - chronic osteomyelitis
X70Ag	Thigh - chronic osteomyelitis
X70Ah	Pelvis - chronic osteomyelitis
X70Ai	Chronic multifocal osteomyelitis
X70Aj	Chronic osteomyelitis with draining sinus
X70AX	Foot - acute osteomyelitis
X70AY	Ankle - acute osteomyelitis
X70AZ	Thigh acute osteomyelitis
Xa3h3	Acute osteomyelitis - elbow
Xa3h4	Acute osteomyelitis - wrist
Xa3h5	Acute osteomyelitis - hip
Xa3h6	Chronic osteomyelitis - elbow
Xa3h7	Chronic osteomyelitis - wrist
Xa3h8	Chronic osteomyelitis - hip
Xa3h9	Chronic osteomyelitis - knee
Xa3hA	Osteomyelitis elbow NOS
Xa3hB	Osteomyelitis wrist NOS
Xa3hC	Osteomyelitis hip NOS
Xa3hD	Osteomyelitis knee NOS
Xa416	Acute osteomyelitis - knee
XaEiL	Chronic osteomyelitis of the tibia
XE1Fu	Acute osteomyelitis of the pelvic region and thigh
XE1Fv	Acute osteomyelitis of the ankle and foot
XE1Fw	Chronic osteomyelitis
XE1Fx	Chronic osteomyelitis of the pelvic region and thigh
XE1Fy	Chronic osteomyelitis of the ankle and foot
XE1Fz	Unspecified osteomyelitis
X701H	Infective arthritis
X701I	Ankle pyogenic arthritis
X701J	Knee pyogenic arthritis
X701K	Hip pyogenic arthritis
X701L	Wrist pyogenic arthritis
X701M	Elbow pyogenic arthritis
X701T	Arthritis due to parasitic infection
X70Ak	Brodies abscess
X70AQ	Costochondritis NOS
X70H4	Osteitis cystica tuberculosa multiplex
X70IX	Skeletal actinomycosis
X70IY	Mandibular actinomycosis
X70IZ	Vertebral actinomycosis
X70Pv	Yaws gumma of bone
X70Py	Yaws osteitis
Xa9Cj	Tuberculosis of spine
XaBJK	Costochondritis
XaEiK	Brodies abscess of tibia
XE0Qr	Tuberculosis of bones and joints
XE0Rx	Gonococcal joint infection NOS
XE1DK	Pyogenic arthritis of the upper arm
XE1DL	Pyogenic arthritis of the forearm
XE1DM	Pyogenic arthritis of the pelvic region and thigh
XE1DN	Pyogenic arthritis of the lower leg
XE1DO	Pyogenic arthritis of the ankle and foot
XE1G0	Bone infection NOS, of other specified site
XM1OH	Congenital syphilitic osteochondritis
XM1OL	Secondary syphilis of bone
A2704	Listerial endocarditis
A32y1	Diphtheritic myocarditis
A364.	Meningococcal carditis
A3641	Meningococcal pericarditis
A364z	Meningococcal carditis NOS
A742.	Coxsackie carditis
A7421	Coxsackie pericarditis
A7423	Coxsackie myocarditis
A98y2	Gonococcal pericarditis
G0...	Acute rheumatic fever
G01..	Rheumatic fever with heart involvement
G010.	Acute rheumatic pericarditis
G011.	Acute rheumatic endocarditis
G012.	Acute rheumatic myocarditis
G01y.	Other acute rheumatic heart disease
G01y0	Acute rheumatic pancarditis
G01z.	Acute rheumatic heart disease NOS
G02..	Rheumatic chorea
G020.	Rheumatic chorea with heart involvement
G021.	Rheumatic chorea without mention of heart involvement
G02z.	Rheumatic chorea NOS
G0y..	Other specified acute rheumatic fever
G0z..	Acute rheumatic fever NOS
G100.	Adherent rheumatic pericardium
G14..	Other chronic rheumatic endocardial disease
G1y0.	Rheumatic myocarditis
G1yz.	Other and unspecified rheumatic heart disease
G1yzz	Other rheumatic heart disease NOS
G5000	Acute pericarditis - coxsackie
G5001	Acute meningococcal pericarditis
G50z2	Acute pneumococcal pericarditis
G50z4	Acute streptococcal pericarditis
G5100	Acute bacterial endocarditis
G5101	Subacute bacterial endocarditis
G5102	Chronic bacterial endocarditis
G510z	Acute and subacute bacterial endocarditis NOS
G5207	Acute myocarditis - meningococcal
G5y7.	Sarcoid myocarditis
G5y8.	Rheumatoid myocarditis
G5yA.	Rheumatoid carditis
Gyu11	[X]Other rheumatic aortic valve diseases
H571.	Rheumatic pneumonia
M15y6	Erythema marginatum in acute rheumatic fever
N0001	Libman-Sacks disease
A17y0	Tuberculosis of endocardium
A17y1	Tuberculosis of myocardium
A3640	Meningococcal carditis unspecified
A7420	Other specified coxsackie carditis
A7422	Coxsackie endocarditis
A742z	Unspecified coxsackie carditis
A7A..	Viral carditis
A9320	Syphilitic endocarditis of unspecified valve
A9321	Syphilitic endocarditis of mitral valve
A9323	Syphilitic endocarditis of tricuspid valve
A9324	Syphilitic endocarditis of pulmonary valve
A932z	Syphilitic endocarditis of heart valve NOS
A93y1	Syphilitic myocarditis
AB2y0	Candidal endocarditis
AB404	Histoplasma capsulatum with endocarditis
AB414	Histoplasma duboisii with endocarditis
AB4z4	Histoplasmosis with endocarditis
AD03.	Toxoplasma myocarditis
G01yz	Other acute rheumatic heart disease NOS
G1...	Chronic rheumatic heart disease
G102.	Chronic rheumatic myopericarditis
G12..	Rheumatic aortic valve disease
G12z.	Rheumatic aortic valve disease NOS
G1y..	Other specified chronic rheumatic heart disease
G1yz0	Rheumatic heart disease unspecified
G1z..	Chronic rheumatic heart disease NOS
G5110	Endocarditis - monilial
G5112	Gonococcal endocarditis
G5113	Meningococcal endocarditis
G5114	Endocarditis - typhoid
G5115	Endocarditis - blastomycosis
G5116	Endocarditis - Q fever
G51z0	Acute endocarditis NOS
G51z2	Acute periendocarditis NOS
G52..	Acute myocarditis
G520.	Acute myocarditis in diseases EC
G5200	Acute aseptic myocarditis of the newborn
G5201	Acute myocarditis - coxsackie
G5202	Acute myocarditis - diphtheritic
G5203	Acute myocarditis - influenzal
G5204	Acute myocarditis - syphilitic
G5205	Acute myocarditis - toxoplasmosis
G5206	Acute myocarditis - tuberculous
G520z	Acute myocarditis in diseases EC, NOS
G52y.	Other acute myocarditis
G52y0	Acute myocarditis, unspecified
G52y1	Myocarditis: [isolated - Fiedlers] or [giant cell]
G52y2	Idiopathic myocarditis NOS
G52y3	Septic myocarditis - pneumococcal
G52y4	Septic myocarditis - staphylococcal
G52y5	Septic myocarditis - streptococcal
G52y6	Septic myocarditis NOS
G52y7	Toxic myocarditis
G52yz	Other acute myocarditis NOS
G52z.	Acute myocarditis NOS
G54z.	Endocarditis, valve unspecified
G54z2	Chronic cardiac valvulitis NOS
G54z3	Endocarditis, valve unspecified, OS
G54z4	Endocarditis in disease EC
G54zz	Endocarditis, valve unspecified, NOS
G5583	Sarcoid heart muscle disease
G5y0.	Myocarditis NOS
Gyu00	[X]Other acute rheumatic heart disease
Gyu14	[X]Other specified rheumatic heart diseases
Gyu5E	[X]Endocarditis, valve unspecified, in diseases classified elsewhere
Gyu5F	[X]Other acute myocarditis
Gyu5G	[X]Acute myocarditis, unspecified
Gyu5H	[X]Myocarditis in bacterial diseases classified elsewhere
Gyu5J	[X]Myocarditis in viral diseases classified elsewhere
Gyu5K	[X]Myocarditis in other infectious and parasitic diseases classified elsewhere
Gyu5L	[X]Myocarditis in other diseases classified elsewhere
X200h	Infective endocarditis
X200i	Rickettsial endocarditis
X200j	Fungal endocarditis
X200k	Culture-negative endocarditis
X200l	Non-bacterial thrombotic endocarditis
X200m	Prosthetic valve endocarditis
X201m	Viral pericarditis
X201n	Viral pericarditis NOS
X201Q	Viral myocarditis
X201R	Bacterial myocarditis
X201T	Q fever myocarditis
X201U	Fungal myocarditis
X201V	Parasitic myocarditis
X70ON	Cardiac Q fever
X779D	Myocardial inflammation
Xa0kU	Syphilitic endocarditis of aortic valve
Xa3fK	Chronic rheumatic mitral valve
Xa3fP	Rheumatic endocarditis
Xa3fT	Acute/subacute carditis
Xa3fU	Non-rheumatic endocarditis NOS
Xa7tF	Bacterial endocarditis
Xa8Dm	Tuberculosis of heart
Xaaga	Carditis
Xabnb	Lyme carditis
XaC1J	Systemic lupus erythematosus with pericarditis
XaDo0	Infective myocarditis
XaDyG	Rheumatic heart disease
XaDyH	Endocarditis
XaDyJ	Acute rheumatic heart disease
XaDyL	Myocarditis
XE0Rp	Syphilitic endocarditis
XE0Ua	Rheumatic endocarditis NOS
XE0Us	Acute and subacute bacterial endocarditis
XE0Ut	Isolated (Fiedlers) myocarditis
XE0Vo	Rheumatic heart disease: [chronic] or [valvular]
XE0Vq	Rheumatic mitral valve disease (& [chronic])
XE0Vw	Other chronic rheumatic heart
XE0W2	Rheumatic endocardium disease (& [chronic endocarditis])
XE0W4	Rheumatic myocarditis (& [chronic])
XE0W6	Rheumatic heart disease NOS
XE0WY	(Non-rheumatic endocarditis NOS) or (pulmonary stenosis NOS)
A271z	Erysipelothrix infection NOS
A35..	Erysipelas
F4G01	Orbital cellulitis
J0830	Cellulitis of floor of mouth
J0831	Oral soft tissue cellulitis unspecified
J0833	Ludwigs angina
J0851	Cellulitis of lip
K1703	Periurethral cellulitis
K2723	Cellulitis of penis
K2802	Cellulitis of seminal vesicle
K2843	Cellulitis of scrotum
K4040	Chronic female pelvic cellulitis
K405.	Parametritis and pelvic cellulitis unspecified
K4051	Pelvic cellulitis unspecified
K405z	Parametritis and pelvic cellulitis NOS
M02..	Cellulitis and abscess of finger and toe
M020.	Cellulitis and abscess of finger
M0200	Cellulitis and abscess of finger unspecified
M020z	Cellulitis and abscess of finger NOS
M021.	Cellulitis and abscess of toe
M0210	Cellulitis and abscess of toe unspecified
M03..	(Skin area excluding digits of hand or foot: [abscess] or [acute lymphangitis of skin] or [cellulitis]) or (other cellulitis and abscess)
M030.	Cellulitis and abscess of face
M0300	Cellulitis and abscess of cheek (& external)
M0301	Cellulitis and abscess of nose (& external)
M0302	Cellulitis and abscess of chin
M0303	Cellulitis and abscess of submandibular region
M0304	Cellulitis and abscess of forehead
M0305	Cellulitis and abscess of temple region
M0306	Cellulitis of face
M030z	Cellulitis and abscess of face NOS
M032.	Cellulitis and abscess of trunk
M0320	Cellulitis and abscess of chest wall
M0321	Cellulitis and abscess of breast
M0322	Cellulitis and abscess of back
M0323	Cellulitis and abscess of abdominal wall
M0324	Cellulitis and abscess of umbilicus
M0325	Cellulitis and abscess of flank
M0326	Cellulitis and abscess of groin
M0327	Cellulitis and abscess of perineum
M0328	Cellulitis of trunk
M032z	Cellulitis and abscess of trunk NOS
M033.	Cellulitis and abscess of arm
M0330	Cellulitis and abscess of shoulder
M0331	Cellulitis and abscess of axilla
M0332	Cellulitis and abscess of upper arm
M0333	Cellulitis and abscess of elbow
M0334	Cellulitis and abscess of forearm
M033z	Cellulitis and abscess of arm NOS
M034.	Cellulitis and abscess of hand (& excluding digits)
M0341	Cellulitis and abscess of wrist
M034z	Cellulitis and abscess of hand NOS
M035.	Cellulitis and abscess of buttock
M036.	Cellulitis and abscess of leg (& excluding foot)
M0360	Cellulitis and abscess of hip
M0361	Cellulitis and abscess of thigh
M0362	Cellulitis and abscess of knee
M0363	Cellulitis and abscess of lower leg
M0364	Cellulitis and abscess of ankle
M036z	Cellulitis and abscess of leg NOS
M037.	Cellulitis and abscess of foot (& excluding toe)
M0370	Cellulitis and abscess of foot unspecified
M0371	Cellulitis and abscess of heel
M0372	Cellulitis in diabetic foot
M037z	Cellulitis and abscess of foot NOS
M03y.	Other specified cellulitis and abscess
M03z.	Cellulitis and abscess NOS
M03z0	Cellulitis NOS
M070.	Pyogenic infection of skin and subcutis
M070z	Pyoderma NOS
M081.	[X]Cellulitis of other parts limb
M084.	[X]Cellulitis of breast
M086.	Cellulitis of ankle
M08y.	[X]Cellulitis of other sites
M15y0	Staphylococcal scalded skin syndrome
X00hk	Cellulitis of external ear
X00hm	Cellulitis of pinna
X00YN	Cellulitis of eyelid
X20QZ	Oral soft tissue cellulitis
X500z	Cutaneous cellulitis
X5010	Cellulitis of skin area excluding digits of hand or foot
X5011	Cellulitis of dorsum of hand
X5012	Cellulitis of palm of hand
X5018	Anaerobic cellulitis
X501E	Cellulitis of leg
X501H	Acute lymphangitis of skin excluding digits of hand or foot
X503P	Seal finger
X50FB	Eosinophilic cellulitis
X50Kv	Wound cellulitis
X70HW	Cutaneous erysipeloid
X70HX	Localised cutaneous erysipeloid
X70IC	Facial erysipelas
X70N9	Gonococcal cellulitis
X70SH	Mucormycotic gangrenous cellulitis
Xa0bE	Streptococcal cellulitis
Xa0sz	Oral sinus
Xa1R2	Female pelvic cellulitis
Xa2jn	Cellulitis of arm
Xa3gE	Cellulitis of toe
Xa3gF	Cellulitis of hand excluding finger
Xa3gG	Cellulitis of leg, excluding foot
Xa3gH	Cellulitis of foot excluding toe
Xa40b	Cellulitis - digit NOS
Xa7Ht	Cellulitis of heel
Xa7I2	Periorbital cellulitis
Xa7ld	Cellulitis of scalp
Xa7m0	Infected thumb
Xa83l	Cellulitis of elbow
Xa86C	Cellulitis of abdominal wall
XaB64	Cellulitis - anus or rectum
XaB65	Perianal cellulitis
XaBDy	Cellulitis of axilla
XaBEE	Cellulitis of neck
XaBmh	Cellulitis of skin of back
XaFCr	Cellulitis of thigh
XaR2l	Recurrent cellulitis
XaYO5	Cellulitis of thumb
XE0Qs	Erysipelothrix infection, unspecified
XE19p	(Infective otitis externa (& [cellulitis ear])) or (swimmers ear)
XE1Aa	Cellulitis and abscess of leg
XE1Ab	Cellulitis and abscess of foot excluding toe
XE1Ac	Cellulitis and abscess of head unspecified
XE1Ak	[X]Cellulitis of finger and toe
XE1AS	Cellulitis and abscess of toe NOS
XE1AT	Cellulitis and abscess of digit NOS
XE1AU	Other cellulitis and abscess
XE1AV	Cellulitis and abscess of cheek (external)
XE1AW	Cellulitis and abscess of nose (external)
XE1AX	Cellulitis and abscess of neck
XE1AY	Cellulitis and abscess of hand excluding digits
XE1AZ	Cellulitis and abscess of hand unspecified
XE1Bk	(Cellulitis - finger-paronychia) or (paronychia)
XE1Bo	(Cellulitis/abscess - face) or (cellulitis - lips)
XE1Bs	Cellulitis (&/or abscess): [buttock] or [perirectal]
XM0tp	Cellulitis of hand
XM0tr	Cellulitis of foot
XaB1t	Postoperative wound cellulitis
J511.	Diverticulitis
J5110	Diverticulitis of the duodenum
J5111	Diverticulitis of the jejunum
J5112	Diverticulitis of the ileum
J5113	Diverticulitis of the small intestine unspecified
J5114	Diverticulitis of the small intestine NOS
J5115	Diverticulitis of colon
J5116	Diverticulitis of the large intestine unspecified
J5117	Diverticulitis of the large intestine NOS
J511y	Diverticulitis unspecified
J511z	Diverticulitis NOS
J5128	Diverticular disease of both small and large intestine with perforation and abscess
X304R	Colonic diverticular abscess
Xa1bJ	Diverticulitis of small intestine
Xa1bK	Diverticulitis of large intestine
XaB8Z	Diverticulitis
XE2sg	Diverticulitis of gastrointestinal tract
A000.	Cholera - Vibrio cholerae
A001.	Cholera - Vibrio cholerae O1 El Tor biotype
A00z.	Cholera NOS
A01..	Typhoid and paratyphoid fevers
A010.	Fever: [typhoid] or [enteric]
A011.	Paratyphoid A
A012.	Paratyphoid B
A013.	Paratyphoid C
A01z.	Paratyphoid fever NOS
A02..	Other salmonella infections
A021.	Salmonella septicaemia
A022.	Localised salmonella infection
A0220	Local salmonella infection unspecified
A022z	Other local salmonella infection
A02y.	Other specified salmonella infection
A02z.	Salmonella infection NOS
A03..	Shigellosis
A031.	Shigella flexneri (group B)
A032.	Shigella boydii (group C)
A033.	Shigella sonnei: [group D] or [bacillary dysentery]
A03y.	Other specified shigella infection
A03z.	Shigellosis NOS
A04..	Other bacterial food poisoning
A040.	Staphylococcal food poisoning
A042.	Clostridium perfringens food poisoning
A043.	Other Clostridia causing food poisoning
A044.	Vibrio parahaemolyticus food poisoning
A04y.	Other specified bacterial food poisoning
A070.	Escherichia coli gastrointestinal tract infection
A071.	Arizona paracolon gastrointestinal tract infection
A072.	Aerobacter aerogenes gastrointestinal tract infection
A073.	Proteus gastrointestinal tract infection
A0730	Proteus mirabilis gastrointestinal tract infection
A0731	Morganella morganii gastrointestinal tract infection
A073z	Proteus gastrointestinal tract infection NOS
A074.	Other specified gastrointestinal tract bacterial infection
A0741	Pseudomonas: [GIT infection] or [pyocyanea diarrhoea]
A075.	Unspecified bacterial enteritis
A07y.	Gastrointestinal tract infection due to specified organism NEC
A07z.	Gastrointestinal tract infection due to specified organism NOS
A080.	Infectious colitis, enteritis and gastroenteritis
A0805	Haemorrhagic dysentery
A080z	Infectious colitis, enteritis and gastroenteritis NOS
A0820	Dysenteric diarrhoea
A14..	Tuberculosis of intestines, peritoneum and mesenteric glands
A14y.	Other gastrointestinal tract tuberculosis
A14y0	Tuberculosis of anus
A14y1	Tuberculosis of large intestine
A14y4	Tuberculosis of rectum
A14yz	Other gastrointestinal tract tuberculosis NOS
A14z.	Tuberculosis of gastrointestinal tract NOS
A178.	Tuberculosis of oesophagus
A17y3	Tuberculosis of stomach
A222.	Gastrointestinal anthrax
A270.	Listeriosis
A2701	Listeria septicaemia
A270z	Listeriosis NOS
A3921	Actinomycosis of caecum
A3A2.	Whipples disease
A3Ay2	Clostridium difficile infection
A78A2	Chlamydial infection of anus and rectum
A987.	Gonococcal proctitis
A9870	Gonococcal anal infection
A9871	Gonococcal rectal infection
A987z	Gonococcal proctitis NOS
Ayu00	[X]Cholera, unspecified
Ayu01	[X]Paratyphoid fever, unspecified
Ayu02	[X]Other specified salmonella infections
Ayu03	[X]Salmonella infection, unspecified
Ayu04	[X]Other shigellosis
Ayu05	[X]Shigellosis, unspecified
Ayu06	[X]Other specified bacterial intestinal infections
Ayu07	[X]Bacterial intestinal infection, unspecified
Ayu08	[X]Other specified bacterial food-borne intoxications
Ayu09	[X]Bacterial food-borne intoxication, unspecified
Ayu34	[X]Other forms of listeriosis
Ayu35	[X]Listeriosis, unspecified
H24y6	Typhoid pneumonia
M0050	Carbuncle of anus
M0150	Boil of anus
N0148	Seronegative arthritis secondary to Whipples disease
X001V	Neuro - Whipples disease
X300B	Bacterial oesophagitis
X300M	Bacterial ulcer of oesophagus
X302J	Tuberculous duodenitis
X303u	Pseudomembranous colitis
X30BX	Dysentery
X709m	Intestinal gas gangrene
X70Fv	Bacterial food poisoning
X70Fw	Bacillus cereus food poisoning
X70Fx	Bacillus licheniformis food poisoning
X70Fz	Escherichia coli food poisoning
X70G0	Enterotoxigenic Escherichia coli food poisoning
