#AUTOGENERATED	DONT EDIT
G100.00	Adherent rheumatic pericardium
G5yA.00	Rheumatoid carditis
G01..00	Rheumatic fever with heart involvement
G510z00	Acute and subacute bacterial endocarditis NOS
G012.00	Acute rheumatic myocarditis
G5y8.00	Rheumatoid myocarditis
N000100	Libman-Sacks disease
G1yz.00	Other and unspecified rheumatic heart disease
G500000	Acute pericarditis - coxsackie
G50z400	Acute pericarditis - streptococcal
G1yzz00	Other rheumatic heart disease NOS
G0y..00	Other specified acute rheumatic fever
G500100	Acute pericarditis - meningococcal
G1y0.00	Rheumatic myocarditis
G021.00	Rheumatic chorea without mention of heart involvement
H571.00	Rheumatic pneumonia
A364.00	Meningococcal carditis
G14..00	Other chronic rheumatic endocardial disease
G520700	Acute myocarditis - meningococcal
A742.00	Coxsackie carditis
A364300	Meningococcal myocarditis
G01z.00	Acute rheumatic heart disease NOS
G511100	Endocarditis - coxsackie
G020.00	Rheumatic chorea with heart involvement
G02z.00	Rheumatic chorea NOS
G01y.00	Other acute rheumatic heart disease
Gyu1100	[X]Other rheumatic aortic valve diseases
A364z00	Meningococcal carditis NOS
A98y200	Gonococcal pericarditis
GA...00	Rheumatic heart disease
GA0..00	Carditis due to rheumatic fever
A17y000	Tuberculosis endocardium
A17y100	Tuberculosis myocardium
A364000	Meningococcal carditis unspecified
A742000	Other specified coxsackie carditis
A742200	Coxsackie endocarditis
A742z00	Unspecified coxsackie carditis
A7A..00	Viral carditis
A871200	Lyme carditis
A932000	Syphilitic endocarditis of unspecified valve
A932100	Syphilitic endocarditis of mitral valve
A932200	Syphilitic endocarditis of aortic valve
A932300	Syphilitic endocarditis of tricuspid valve
A932400	Syphilitic endocarditis of pulmonary valve
A932z00	Syphilitic endocarditis of heart valve NOS
A93y100	Syphilitic myocarditis
AB2y000	Candidal endocarditis
AB40400	Histoplasma capsulatum with endocarditis
AB41400	Histoplasma duboisii with endocarditis
AB4z400	Histoplasmosis with endocarditis
AD03.00	Toxoplasma myocarditis
G01yz00	Other acute rheumatic heart disease NOS
G1...00	Chronic rheumatic heart disease
G102.00	Chronic rheumatic myopericarditis
G12..00	Rheumatic aortic valve disease
G12z.00	Rheumatic aortic valve disease NOS
G1y..00	Other specified chronic rheumatic heart disease
G1yz000	Rheumatic heart disease unspecified
G1z..00	Chronic rheumatic heart disease NOS
G511000	Endocarditis - monilial
G511200	Endocarditis - gonococcal
G511300	Endocarditis - meningococcal
G511400	Endocarditis - typhoid
G511500	Endocarditis - blastomycosis
G511600	Endocarditis - Q fever
G51z000	Acute endocarditis NOS
G51z200	Acute periendocarditis NOS
G52..00	Acute myocarditis
G520.00	Acute myocarditis in diseases EC
G520000	Acute aseptic myocarditis of the newborn
G520100	Acute myocarditis - coxsackie
G520200	Acute myocarditis - diphtheritic
G520300	Acute myocarditis - influenzal
G520400	Acute myocarditis - syphilitic
G520500	Acute myocarditis - toxoplasmosis
G520600	Acute myocarditis - tuberculous
G520z00	Acute myocarditis in diseases EC, NOS
G52y.00	Other acute myocarditis
G52y000	Acute myocarditis, unspecified
G52y100	Isolated (Fiedlers) myocarditis
G52y200	Idiopathic myocarditis NOS
G52y300	Septic myocarditis - pneumococcal
G52y400	Septic myocarditis - staphylococcal
G52y500	Septic myocarditis - streptococcal
G52y600	Septic myocarditis NOS
G52y700	Toxic myocarditis
G52yz00	Other acute myocarditis NOS
G52z.00	Acute myocarditis NOS
G54z.00	Endocarditis, valve unspecified
G54z200	Chronic cardiac valvulitis NOS
G54z300	Endocarditis, valve unspecified, OS
G54z400	Endocarditis in disease EC
G54zz00	Endocarditis, valve unspecified, NOS
G558300	Sarcoid heart disease
G5y0.00	Myocarditis NOS
Gyu0.00	[X]Acute rheumatic fever
Gyu0000	[X]Other acute rheumatic heart disease
Gyu1.00	[X]Chronic rheumatic heart disease
Gyu1400	[X]Other specified rheumatic heart diseases
Gyu5E00	[X]Endocarditis, valve unspecified, in diseases classified elsewhere
Gyu5F00	[X]Other acute myocarditis
Gyu5G00	[X]Acute myocarditis, unspecified
Gyu5H00	[X]Myocarditis in bacterial diseases classified elsewhere
Gyu5J00	[X]Myocarditis in viral diseases classified elsewhere
Gyu5K00	[X]Myocarditis in other infectious and parasitic diseases classified elsewhere
Gyu5L00	[X]Myocarditis in other diseases classified elsewhere
A932.00	Syphilitic endocarditis
M038.00	Cellulitis of external ear
M03z.00	Cellulitis and abscess NOS
M036z00	Cellulitis and abscess of leg NOS
A35..00	Erysipelas
M081.00	[X]Cellulitis of other parts of limb
M034.00	Cellulitis and abscess of hand excluding digits
M033100	Cellulitis and abscess of axilla
M032200	Cellulitis and abscess of back
M032600	Cellulitis and abscess of groin
M037000	Cellulitis and abscess of foot unspecified
M036200	Cellulitis and abscess of knee
M030000	Cellulitis and abscess of cheek (external
M031.00	Cellulitis and abscess of neck
M036100	Cellulitis and abscess of thigh
M035.00	Cellulitis and abscess of buttock
M034000	Cellulitis and abscess of hand unspecified
M033300	Cellulitis and abscess of elbow
M021000	Cellulitis and abscess of toe unspecified
M033.00	Cellulitis and abscess of arm
M034100	Cellulitis and abscess of wrist
M020000	Cellulitis and abscess of finger unspecified
M036000	Cellulitis and abscess of hip
M021.00	Cellulitis and abscess of toe
M030.00	Cellulitis and abscess of face
M03z000	Cellulitis NOS
F4G0100	Orbital cellulitis
M032000	Cellulitis and abscess of chest wall
M032700	Cellulitis and abscess of perineum
K284300	Cellulitis of scrotum
M020.00	Cellulitis and abscess of finger
M032300	Cellulitis and abscess of abdominal wall
M033000	Cellulitis and abscess of shoulder
J083000	Cellulitis of floor of mouth
M080.00	[X]Cellulitis of finger and toe
M02..00	Cellulitis and abscess of finger and toe
M085.00	Cellulitis of leg
M08..00	Cutaneous cellulitis
M037200	Cellulitis in diabetic foot
M08B.00	Cellulitis of foot
F4D1400	Cellulitis of eyelid
M036.00	Cellulitis and abscess of leg excluding foot
M082.00	Cellulitis of face
M088.00	Cellulitis of arm
M15y000	Ritters disease
M030100	Cellulitis and abscess of nose (external
M036400	Cellulitis and abscess of ankle
M03zz00	Cellulitis and abscess NOS
M032400	Cellulitis and abscess of umbilicus
M03y.00	Other specified cellulitis and abscess
M030300	Cellulitis and abscess of submandibular region
M030400	Cellulitis and abscess of forehead
M030200	Cellulitis and abscess of chin
M037100	Cellulitis and abscess of heel
M030500	Cellulitis and abscess of temple region
M032100	Cellulitis and abscess of breast
K272300	Cellulitis of penis
M03..00	Other cellulitis and abscess
M08A.00	Cellulitis of axilla
J085100	Cellulitis of lip
J054.00	Orofacial sinus
M021z00	Cellulitis and abscess of toe NOS
M030z00	Cellulitis and abscess of face NOS
M032500	Cellulitis and abscess of flank
M034z00	Cellulitis and abscess of hand NOS
M03y000	Cellulitis and abscess of head unspecified
M083.00	Cellulitis of trunk
M02z.00	Cellulitis and abscess of digit NOS
M036300	Cellulitis and abscess of lower leg
M020z00	Cellulitis and abscess of finger NOS
M030600	Cellulitis of face
M032.00	Cellulitis and abscess of trunk
M037.00	Cellulitis and abscess of foot excluding toe
M033400	Cellulitis and abscess of forearm
M089.00	Cellulitis of neck
M037z00	Cellulitis and abscess of foot NOS
M084.00	[X]Cellulitis of breast
M08y.00	[X]Cellulitis of other sites
M086.00	Cellulitis of ankle
M032z00	Cellulitis and abscess of trunk NOS
A271.00	Erysipelothrix infection, unspecified
A271200	Cutaneous erysipeloid
M033200	Cellulitis and abscess of upper arm
M033z00	Cellulitis and abscess of arm NOS
M032800	Cellulitis of trunk
A271000	Erysipelothrix infection
M08C.00	Cellulitis of toe
A271z00	Erysipelothrix infection NOS
J083100	Oral soft tissue cellulitis unspecified
J083300	Ludwigs angina
K170300	Periurethral cellulitis
K280200	Cellulitis of seminal vesicle
K404000	Chronic female pelvic cellulitis
K405.00	Parametritis and pelvic cellulitis unspecified
K405100	Pelvic cellulitis unspecified
K405z00	Parametritis and pelvic cellulitis NOS
M070.00	Pyoderma
M070z00	Pyoderma NOS
M2y7.00	Eosinophilic cellulitis [Wells]
J511.00	Diverticulitis
J513.00	Diverticular abscess
J511z00	Diverticulitis NOS
J511500	Diverticulitis of the colon
J511000	Diverticulitis of the duodenum
J511y00	Diverticulitis unspecified
J511300	Diverticulitis of the small intestine unspecified
J512800	Divertic disease/both sml+lge intestin with perforat+abscess
J512100	Perforated diverticulum of jejunum
J511600	Diverticulitis of the large intestine unspecified
J511200	Diverticulitis of the ileum
J511100	Diverticulitis of the jejunum
J511700	Diverticulitis of the large intestine NOS
J511400	Diverticulitis of the small intestine NOS
A020.00	Salmonella gastroenteritis
A02..00	Other salmonella infections
A074300	Campylobacter gastrointestinal tract infection
A082000	Dysenteric diarrhoea
A033.00	Shigella sonnei (group D)
A075.00	Unspecified bacterial enteritis
A080z00	Infectious colitis, enteritis and gastroenteritis NOS
A074400	Enteritis due to Yersinia enterocolitica
A030.00	Shigella dysenteriae (group A)
A010.00	Typhoid fever
A01z.00	Paratyphoid fever NOS
A070.00	Escherichia coli gastrointestinal tract infection
A02z.00	Salmonella infection NOS
A3Ay200	Clostridium difficile infection
A074500	Helicobacter pylori gastrointestinal tract infection
A03..00	Shigellosis
A031.00	Shigella flexneri (group B)
J154400	Helicobacter gastritis
A00..00	Cholera
A011.00	Paratyphoid fever A
A07z.00	Gastrointestinal tract infection specified organism NOS
A021.00	Salmonella septicaemia
A042.00	Clostridium perfringens food poisoning
A03y.00	Other specified shigella infection
A04y.00	Other specified bacterial food poisoning
A03z.00	Shigellosis NOS
A012.00	Paratyphoid fever B
A3BXJ00	Helicobacter pylori cause diseases classified other chapters
A270.00	Listeriosis
A04..00	Other bacterial food poisoning
A040.00	Staphylococcal food poisoning
A080500	Haemorrhagic dysentery
A073.00	Proteus gastrointestinal tract infection
A043.00	Other clostridia causing food poisoning
A074000	Staphylococcal gastrointestinal tract infection
A074.00	Other specified gastrointestinal tract bacterial infection
A070300	Enterohaemorrhagic Escherichia coli infection
A070200	Enteroinvasive Escherichia coli infection
A04y000	Foodborne Bacillus cereus intoxication
A01..00	Typhoid and paratyphoid fevers
A270000	Listeria infection
A270100	Listeria septicaemia
A072.00	Aerobacter aerogenes gastrointestinal tract infection
A074100	Pseudomonas gastrointestinal tract infection
A044.00	Vibrio parahaemolyticus food poisoning
A070100	Enterotoxigenic Escherichia coli infection
A022000	Local salmonella infection unspecified
A222.00	Gastrointestinal anthrax
A073z00	Proteus gastrointestinal tract infection NOS
A000.00	Cholera - Vibrio cholerae
A071.00	Arizona paracolon gastrointestinal tract infection
A00z.00	Cholera NOS
A032.00	Shigella boydii (group C)
Ayu0300	[X]Salmonella infection, unspecified
A001.00	Cholera - Vibrio cholerae El Tor
A073000	Proteus mirabilis gastrointestinal tract infection
A392100	Actinomycosis of caecum
Ayu0100	[X]Paratyphoid fever, unspecified
Ayu0700	[X]Bacterial intestinal infection, unspecified
A013.00	Paratyphoid fever C
A022.00	Localised salmonella infection
A022z00	Other local salmonella infection
A023.00	Salmonella sepsis
A02y.00	Other specified salmonella infection
A070000	Enteropathogenic Escherichia coli infection
A073100	Proteus morganii gastrointestinal tract infection
A07y.00	Gastrointestinal tract infection due to specified organism NEC
A080.00	Infectious colitis, enteritis and gastroenteritis
A14..00	Tuberculosis of intestines, peritoneum and mesenteric glands
A14y.00	Other gastrointestinal tract tuberculosis
A14y000	Tuberculosis of anus
A14y100	Tuberculosis of large intestine
A14y400	Tuberculosis of rectum
A14yz00	Other gastrointestinal tract tuberculosis NOS
A14z.00	Tuberculosis of gastrointestinal tract NOS
A178.00	Tuberculosis oesophagus
A17y300	Tuberculosis of stomach
A270600	Sepsis due to Listeria monocytogenes
A270z00	Listeriosis NOS
A3A2.00	Whipples disease
A78A200	Chlamydial infection of anus and rectum
A987.00	Gonococcal proctitis
A987000	Gonococcal anal infection
A987100	Gonococcal rectal infection
A987z00	Gonococcal proctitis NOS
A991100	Rectal lymphogranuloma venereum
Ayu0000	[X]Cholera, unspecified
Ayu0200	[X]Other specified salmonella infections
Ayu0400	[X]Other shigellosis
Ayu0500	[X]Shigellosis, unspecified
Ayu0600	[X]Other specified bacterial intestinal infections
Ayu0800	[X]Other specified bacterial food-borne intoxications
Ayu0900	[X]Bacterial food-borne intoxication, unspecified
Ayu3400	[X]Other forms of listeriosis
Ayu3500	[X]Listeriosis, unspecified
H24y600	Pneumonia with typhoid fever
J434.00	Pseudomembranous colitis
J57yP00	Small bowel bacterial overgrowth syndrome
M005000	Carbuncle of anus
M015000	Boil of anus
N014800	Arthropathy in Whipples disease
N031200	Arthropathy in Whipples disease
A983.00	Chronic gonorrhoea of upper genitourinary tract
K240.00	Orchitis
K404000	Chronic female pelvic cellulitis
K242.00	Epididymo-orchitis
K400300	Acute salpingitis
K420100	Endocervicitis unspecified
K21z.00	Prostatitis NOS
K40z.00	Female pelvic inflammatory diseases NOS
K420000	Cervicitis unspecified
K402600	Salpingitis unspecified
K241.00	Epididymitis
K41z000	Endometritis unspecified
K4...00	Female pelvic inflammatory diseases
K401500	Hydrosalpinx
K403100	Acute pelvic cellulitis
K210.00	Acute prostatitis
K404300	Chronic abscess of the female pelvis
K241400	Acute epididymitis
K405000	Parametritis unspecified
K402200	Tubo-ovarian abscess
K211.00	Chronic prostatitis
K401300	Chronic salpingitis
K241200	Epididymitis unspecified
K409.00	Acute pelvic inflammatory disease
K401600	Salpingitis follicularis
K241500	Chronic epididymitis
K40y100	Female chlamydial pelvic inflammatory disease
K420.00	Cervicitis and endocervicitis
K400.00	Acute salpingitis and oophoritis
A981600	Acute gonococcal endometritis
A78A.00	Chlamydial infection
K410000	Acute endometritis
K44..00	Female gonococcal pelvic inflammatory disease
K410500	Subacute endometritis
K402100	Ovarian abscess
A167100	Tuberculous endometritis
K402500	Salpingo-oophoritis unspecified
K41z400	Pyometra unspecified
K405.00	Parametritis and pelvic cellulitis unspecified
A983700	Chronic gonococcal salpingitis
A720.00	Mumps orchitis
K420900	Chlamydia cervicitis
K400200	Acute salpingo-oophoritis
A983500	Chronic gonococcal cervicitis
K420200	Acute cervicitis
A981200	Acute gonococcal prostatitis
A983200	Chronic gonococcal prostatitis
K402.00	Salpingitis and oophoritis unspecified
A981300	Acute gonococcal epididymo-orchitis
K240200	Orchitis unspecified
K402000	Fallopian tube abscess
K241600	Chlamydial epididymitis
K240z00	Orchitis NOS
K404400	Chronic abscess of the pouch of Douglas
K280.00	Seminal vesiculitis
K241z00	Epididymitis NOS
K400000	Acute oophoritis
K43..00	Female tuberculous pelvic inflammatory disease
K411000	Chronic endometritis
K410.00	Acute uterine inflammatory disease
K242z00	Epididymo-orchitis NOS
K40y000	Female syphilitic pelvic inflammatory disease
K402300	Oophoritis unspecified
K242200	Epididymo-orchitis unspecified
L090000	Endometritis following abortive pregnancy
K401.00	Chronic salpingitis and oophoritis
K280000	Seminal vesiculitis unspecified
K405100	Pelvic cellulitis unspecified
K241000	Epididymitis with abscess
K240000	Orchitis with abscess
K214.00	Prostatitis in diseases EC
A166100	Tuberculous salpingitis
A981500	Acute gonococcal cervicitis
A981700	Acute gonococcal salpingitis
K4z..00	Female pelvic inflammatory disease NOS
K410400	Acute pyometra or uterine abscess
K410100	Acute endomyometritis
A78A500	Chlamydial infection of genital organs NEC
K242100	Epididymo-orchitis with no abscess
K24z.00	Orchitis and epididymitis NOS
Lyu6C00	[X]Cervicitis following delivery
K420z00	Cervicitis and endocervicitis NOS
K40..00	Ovarian, fallopian tube and pelvic inflammatory diseases
K214600	Prostatitis in trichomoniasis
K41z100	Endomyometritis unspecified
K284500	Vasitis
K401200	Chronic salpingo-oophoritis
K404z00	Chronic pelvic inflammatory diseases NOS
K24..00	Orchitis and epididymitis
K242000	Epididymo-orchitis with abscess
K411100	Chronic endomyometritis
K403000	Acute parametritis
K400800	Subacute salpingitis
L090300	Salpingitis following abortive pregnancy
K400700	Subacute salpingo-oophoritis
K404.00	Chronic parametritis and pelvic cellulitis
K4y..00	Other specified female pelvic inflammatory disease
A167000	Tuberculous cervicitis
AD10300	Trichomonal prostatitis
K420700	Endocervicitis with Nabothian cyst
A983300	Chronic gonococcal epididymo-orchitis
L090100	Parametritis following abortive pregnancy
A983600	Chronic gonococcal endometritis
K401000	Chronic oophoritis
A78A300	Chlamydial inf of pelviperitoneum oth genitourinary organs
K411400	Chronic pyometra
K242300	Epididymo-orchitis in diseases EC
K410900	Subacute pyometra
A32y500	Diphtheria of penis
K410200	Acute myometritis
A166.00	Tuberculous oophoritis or salpingitis
K410300	Acute perimetritis
K241100	Epididymitis with no abscess
L090400	Salpingo-oophoritis following abortive pregnancy
K401z00	Chronic salpingitis and oophoritis NOS
A981z00	Acute gonorrhoea upper genitourinary tract NOS
A166z00	Tuberculous oophoritis or salpingitis NOS
K402z00	Unspecified salpingitis and oophoritis NOS
K410z00	Acute uterine inflammatory diseases NOS
K41..00	Uterine inflammatory diseases excluding the cervix
K411.00	Chronic uterine inflammatory disease
