#AUTOGENERATED	DONT EDIT
A029	Salmonella infection, unspecified
A030	Shigellosis due to Shigella dysenteriae
A031	Shigellosis due to Shigella flexneri
A032	Shigellosis due to Shigella boydii
A033	Shigellosis due to Shigella sonnei
A038	Other shigellosis
A039	Shigellosis, unspecified
A040	Enteropathogenic Escherichia coli infection
A041	Enterotoxigenic Escherichia coli infection
A042	Enteroinvasive Escherichia coli infection
A043	Enterohaemorrhagic Escherichia coli infection
A044	Other intestinal Escherichia coli infections
A045	Campylobacter enteritis
A047	Enterocolitis due to Clostridium difficile
A048	Other specified bacterial intestinal infections
A049	Bacterial intestinal infection, unspecified
A050	Foodborne staphylococcal intoxication
A051	Botulism
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053	Foodborne Vibrio parahaemolyticus intoxication
A054	Foodborne Bacillus cereus intoxication
A058	Other specified bacterial foodborne intoxications
A059	Bacterial foodborne intoxication, unspecified
A090	Other and unspecified gastroenteritis and colitis of infectious origin
A183	Tuberculosis of intestines, peritoneum and mesenteric glands
A222	Gastrointestinal anthrax
A327	Listerial sepsis
A328	Other forms of listeriosis
A329	Listeriosis, unspecified
A421	Abdominal actinomycosis
A546	Gonococcal infection of anus and rectum
A563	Chlamydial infection of anus and rectum
B980	Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
K20X	Oesophagitis
K221	Ulcer of oesophagus
K296	Other gastritis
K521	Toxic gastroenteritis and colitis
A181	Tuberculosis of genitourinary system
A510	Primary genital syphilis
A513	Secondary syphilis of skin and mucous membranes
A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542	Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A560	Chlamydial infection of lower genitourinary tract
A561	Chlamydial infection of pelviperitoneum and other genitourinary organs
A562	Chlamydial infection of genitourinary tract, unspecified
A568	Sexually transmitted chlamydial infection of other sites
A590	Urogenital trichomoniasis
A748	Other chlamydial diseases
A749	Chlamydial infection, unspecified
B373	Candidiasis of vulva and vagina
B374	Candidiasis of other urogenital sites
N342	Other urethritis
N410	Acute prostatitis
N411	Chronic prostatitis
N413	Prostatocystitis
N450	Orchitis, epididymitis and epididymo-orchitis with abscess
N459	Orchitis, epididymitis and epididymo-orchitis without abscess
N490	Inflammatory disorders of seminal vesicle
N491	Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens
N492	Inflammatory disorders of scrotum
N498	Inflammatory disorders of other specified male genital organs
N499	Inflammatory disorder of unspecified male genital organ
N700	Acute salpingitis and oophoritis
N701	Chronic salpingitis and oophoritis
N709	Salpingitis and oophoritis, unspecified
N710	Acute inflammatory disease of uterus
N711	Chronic inflammatory disease of uterus
N719	Inflammatory disease of uterus, unspecified
N730	Acute parametritis and pelvic cellulitis
N731	Chronic parametritis and pelvic cellulitis
N732	Unspecified parametritis and pelvic cellulitis
N738	Other specified female pelvic inflammatory diseases
N739	Female pelvic inflammatory disease, unspecified
N742	Female syphilitic pelvic inflammatory disease
N744	Female chlamydial pelvic inflammatory disease
N748	Female pelvic inflammatory disorders in other diseases classified elsewhere
N760	Acute vaginitis
N762	Acute vulvitis
N763	Subacute and chronic vulvitis
N764	Abscess of vulva
N768	Other specified inflammation of vagina and vulva
N770	Ulceration of vulva in infectious and parasitic diseases classified elsewhere
N771	Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere
N778	Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
N952	Postmenopausal atrophic vaginitis
O080	Genital tract and pelvic infection following abortion and ectopic and molar pregnancy
A064	Amoebic liver abscess
B150	Hepatitis A with hepatic coma
B159	Hepatitis A without hepatic coma
B160	Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B161	Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B162	Acute hepatitis B without delta-agent with hepatic coma
B169	Acute hepatitis B without delta-agent and without hepatic coma
B178	Other specified acute viral hepatitis
B179	Acute viral hepatitis, unspecified
B181	Chronic viral hepatitis B without delta-agent
B182	Chronic viral hepatitis C
B188	Other chronic viral hepatitis
B189	Chronic viral hepatitis, unspecified
B190	Unspecified viral hepatitis with hepatic coma
B199	Unspecified viral hepatitis without hepatic coma
B251	Cytomegaloviral hepatitis
B581	Toxoplasma hepatitis
K713	Toxic liver disease with chronic persistent hepatitis
K715	Toxic liver disease with chronic active hepatitis
K730	Chronic persistent hepatitis, not elsewhere classified
K731	Chronic lobular hepatitis, not elsewhere classified
K732	Chronic active hepatitis, not elsewhere classified
K738	Other chronic hepatitis, not elsewhere classified
K739	Chronic hepatitis, unspecified
K750	Abscess of liver
K770	Liver disorders in infectious and parasitic diseases classified elsewhere
K800	Calculus of gallbladder with acute cholecystitis
K801	Calculus of gallbladder with other cholecystitis
K802	Calculus of gallbladder without cholecystitis
K803	Calculus of bile duct with cholangitis
K804	Calculus of bile duct with cholecystitis
K805	Calculus of bile duct without cholangitis or cholecystitis
K810	Acute cholecystitis
K811	Chronic cholecystitis
K818	Other cholecystitis
K819	Cholecystitis, unspecified
K830	Cholangitis
A33X	Tetanus neonatorum
A34X	Obstetrical tetanus
A35X	Other tetanus
A051	Botulism
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A55X	Chlamydial lymphogranuloma (venereum)
A64X	Unspecified sexually transmitted disease
A65X	Nonvenereal syphilis
A071	Giardiasis [lambliasis]
A080	Rotaviral enteritis
A082	Adenoviral enteritis
A083	Other viral enteritis
A084	Viral intestinal infection, unspecified
A89X	Unspecified viral infection of central nervous system
A94X	Unspecified arthropod-borne viral fever
A99X	Unspecified viral haemorrhagic fever
A154	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A155	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A157	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A158	Other respiratory tuberculosis, confirmed bacteriologically and histologically
A159	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
A163	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
A164	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A167	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A169	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A178	Other tuberculosis of nervous system
A180	Tuberculosis of bones and joints
A181	Tuberculosis of genitourinary system
A182	Tuberculous peripheral lymphadenopathy
A183	Tuberculosis of intestines, peritoneum and mesenteric glands
A184	Tuberculosis of skin and subcutaneous tissue
A185	Tuberculosis of eye
A186	Tuberculosis of ear
A187	Tuberculosis of adrenal glands
A188	Tuberculosis of other specified organs
A190	Acute miliary tuberculosis of a single specified site
A191	Acute miliary tuberculosis of multiple sites
A192	Acute miliary tuberculosis, unspecified
A198	Other miliary tuberculosis
A199	Miliary tuberculosis, unspecified
A200	Bubonic plague
A201	Cellulocutaneous plague
A207	Septicaemic plague
A208	Other forms of plague
A209	Plague, unspecified
A220	Cutaneous anthrax
A221	Pulmonary anthrax
A228	Other forms of anthrax
A229	Anthrax, unspecified
A241	Acute and fulminating melioidosis
A242	Subacute and chronic melioidosis
A243	Other melioidosis
A244	Melioidosis, unspecified
A251	Streptobacillosis
A260	Cutaneous erysipeloid
A278	Other forms of leptospirosis
A279	Leptospirosis, unspecified
A280	Pasteurellosis
A282	Extraintestinal yersiniosis
A288	Other specified zoonotic bacterial diseases, not elsewhere classified
A289	Zoonotic bacterial disease, unspecified
A300	Indeterminate leprosy
A301	Tuberculoid leprosy
A305	Lepromatous leprosy
A308	Other forms of leprosy
A309	Leprosy, unspecified
A311	Cutaneous mycobacterial infection
A318	Other mycobacterial infections
A319	Mycobacterial infection, unspecified
A360	Pharyngeal diphtheria
A394	Meningococcaemia, unspecified
A398	Other meningococcal infections
A399	Meningococcal infection, unspecified
A400	Sepsis due to streptococcus, group A
A401	Sepsis due to streptococcus, group B
A403	Sepsis due to Streptococcus pneumoniae
A408	Other streptococcal sepsis
A409	Streptococcal sepsis, unspecified
A410	Sepsis due to Staphylococcus aureus
A411	Sepsis due to other specified staphylococcus
A412	Sepsis due to unspecified staphylococcus
A413	Sepsis due to Haemophilus influenzae
A414	Sepsis due to anaerobes
A415	Sepsis due to other Gram-negative organisms
A418	Other specified sepsis
A419	Sepsis, unspecified
A421	Abdominal actinomycosis
A422	Cervicofacial actinomycosis
A427	Actinomycotic sepsis
A428	Other forms of actinomycosis
A429	Actinomycosis, unspecified
A430	Pulmonary nocardiosis
A431	Cutaneous nocardiosis
A438	Other forms of nocardiosis
A439	Nocardiosis, unspecified
A440	Systemic bartonellosis
A441	Cutaneous and mucocutaneous bartonellosis
A448	Other forms of bartonellosis
A449	Bartonellosis, unspecified
A482	Nonpneumonic Legionnaires disease [Pontiac fever]
A483	Toxic shock syndrome
A488	Other specified bacterial diseases
A490	Staphylococcal infection, unspecified site
A491	Streptococcal and enterococcal infection, unspecified site
A492	Haemophilus influenzae infection, unspecified site
A493	Mycoplasma infection, unspecified site
A498	Other bacterial infections of unspecified site
A499	Bacterial infection, unspecified
A503	Late congenital syphilitic oculopathy
A505	Other late congenital syphilis, symptomatic
A506	Late congenital syphilis, latent
A510	Primary genital syphilis
A511	Primary anal syphilis
A512	Primary syphilis of other sites
A513	Secondary syphilis of skin and mucous membranes
A514	Other secondary syphilis
A515	Early syphilis, latent
A519	Early syphilis, unspecified
A520	Cardiovascular syphilis
A521	Symptomatic neurosyphilis
A527	Other symptomatic late syphilis
A528	Late syphilis, latent
A529	Late syphilis, unspecified
A530	Latent syphilis, unspecified as early or late
A539	Syphilis, unspecified
A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A544	Gonococcal infection of musculoskeletal system
A548	Other gonococcal infections
A549	Gonococcal infection, unspecified
A560	Chlamydial infection of lower genitourinary tract
A600	Herpesviral infection of genitalia and urogenital tract
A601	Herpesviral infection of perianal skin and rectum
A609	Anogenital herpesviral infection, unspecified
A630	Anogenital (venereal) warts
A638	Other specified predominantly sexually transmitted diseases
A662	Other early skin lesions of yaws
A663	Hyperkeratosis of yaws
A664	Gummata and ulcers of yaws
A665	Gangosa
A666	Bone and joint lesions of yaws
A667	Other manifestations of yaws
A668	Latent yaws
A669	Yaws, unspecified
A681	Tick-borne relapsing fever
A689	Relapsing fever, unspecified
A692	Lyme disease
A698	Other specified spirochaetal infections
A699	Spirochaetal infection, unspecified
A710	Initial stage of trachoma
A711	Active stage of trachoma
A719	Trachoma, unspecified
A740	Chlamydial conjunctivitis
A750	Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751	Recrudescent typhus [Brill disease]
A752	Typhus fever due to Rickettsia typhi
A753	Typhus fever due to Rickettsia tsutsugamushi
A759	Typhus fever, unspecified
A771	Spotted fever due to Rickettsia conorii
A772	Spotted fever due to Rickettsia sibirica
A773	Spotted fever due to Rickettsia australis
A779	Spotted fever, unspecified
A791	Rickettsialpox due to Rickettsia akari
A798	Other specified rickettsioses
A835	California encephalitis
A836	Rocio virus disease
A838	Other mosquito-borne viral encephalitis
A880	Enteroviral exanthematous fever [Boston exanthem]
A888	Other specified viral infections of central nervous system
A920	Chikungunya virus disease
A923	West Nile virus infection
A928	Other specified mosquito-borne viral fevers
A929	Mosquito-borne viral fever, unspecified
A932	Colorado tick fever
A938	Other specified arthropod-borne viral fevers
A950	Sylvatic yellow fever
A951	Urban yellow fever
A959	Yellow fever, unspecified
A960	Junin haemorrhagic fever
A961	Machupo haemorrhagic fever
A962	Lassa fever
A968	Other arenaviral haemorrhagic fevers
A969	Arenaviral haemorrhagic fever, unspecified
A972	Severe Dengue
A979	Dengue, unspecified
A981	Omsk haemorrhagic fever
A983	Marburg virus disease
A984	Ebola virus disease
A985	Haemorrhagic fever with renal syndrome
A988	Other specified viral haemorrhagic fevers
B000	Eczema herpeticum
B001	Herpesviral vesicular dermatitis
B002	Herpesviral gingivostomatitis and pharyngotonsillitis
B005	Herpesviral ocular disease
B007	Disseminated herpesviral disease
B07X	Viral warts
B008	Other forms of herpesviral infection
B009	Herpesviral infection, unspecified
B09X	Unspecified viral infection characterized by skin and mucous membrane lesions
B018	Varicella with other complications
B019	Varicella without complication
B022	Zoster with other nervous system involvement
B023	Zoster ocular disease
B24X	Unspecified human immunodeficiency virus [HIV] disease
B027	Disseminated zoster
B028	Zoster with other complications
B029	Zoster without complication
B054	Measles with intestinal complications
B54X	Unspecified malaria
B058	Measles with other complications
B059	Measles without complication
B060	Rubella with neurological complications
B068	Rubella with other complications
B069	Rubella without complication
B72X	Dracunculiasis
B73X	Onchocerciasis
B080	Other orthopoxvirus infections
B082	Exanthema subitum [sixth disease]
B083	Erythema infectiosum [fifth disease]
B084	Enteroviral vesicular stomatitis with exanthem
B088	Other specified viral infections characterized by skin and mucous membrane lesions
B91X	Sequelae of poliomyelitis
B99X	Other and unspecified infectious diseases
B159	Hepatitis A without hepatic coma
B169	Acute hepatitis B without delta-agent and without hepatic coma
B200	HIV disease resulting in mycobacterial infection
B201	HIV disease resulting in other bacterial infections
B202	HIV disease resulting in cytomegaloviral disease
B203	HIV disease resulting in other viral infections
B204	HIV disease resulting in candidiasis
B205	HIV disease resulting in other mycoses
B207	HIV disease resulting in multiple infections
B208	HIV disease resulting in other infectious and parasitic diseases
B209	HIV disease resulting in unspecified infectious or parasitic disease
B210	HIV disease resulting in Kaposi sarcoma
B211	HIV disease resulting in Burkitt lymphoma
B212	HIV disease resulting in other types of non-Hodgkin lymphoma
B213	HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue
B219	HIV disease resulting in unspecified malignant neoplasm
B220	HIV disease resulting in encephalopathy
B221	HIV disease resulting in lymphoid interstitial pneumonitis
B222	HIV disease resulting in wasting syndrome
B227	HIV disease resulting in multiple diseases classified elsewhere
B230	Acute HIV infection syndrome
B231	HIV disease resulting in (persistent) generalized lymphadenopathy
B232	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified
B238	HIV disease resulting in other specified conditions
B258	Other cytomegaloviral diseases
B259	Cytomegaloviral disease, unspecified
B263	Mumps pancreatitis
B268	Mumps with other complications
B269	Mumps without complication
B270	Gammaherpesviral mononucleosis
B278	Other infectious mononucleosis
B279	Infectious mononucleosis, unspecified
B309	Viral conjunctivitis, unspecified
B333	Retrovirus infections, not elsewhere classified
B334	Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B338	Other specified viral diseases
B340	Adenovirus infection, unspecified site
B341	Enterovirus infection, unspecified site
B342	Coronavirus infection, unspecified site
B343	Parvovirus infection, unspecified site
B344	Papovavirus infection, unspecified site
B348	Other viral infections of unspecified site
B349	Viral infection, unspecified
B350	Tinea barbae and tinea capitis
B354	Tinea corporis
B372	Candidiasis of skin and nail
B374	Candidiasis of other urogenital sites
B377	Candidal sepsis
B470	Eumycetoma
B471	Actinomycetoma
B479	Mycetoma, unspecified
B508	Other severe and complicated Plasmodium falciparum malaria
B509	Plasmodium falciparum malaria, unspecified
B510	Plasmodium vivax malaria with rupture of spleen
B518	Plasmodium vivax malaria with other complications
B519	Plasmodium vivax malaria without complication
B528	Plasmodium malariae malaria with other complications
B529	Plasmodium malariae malaria without complication
B530	Plasmodium ovale malaria
B531	Malaria due to simian plasmodia
B538	Other parasitologically confirmed malaria, not elsewhere classified
B550	Visceral leishmaniasis
B551	Cutaneous leishmaniasis
B559	Leishmaniasis, unspecified
B560	Gambiense trypanosomiasis
B569	African trypanosomiasis, unspecified
B571	Acute Chagas disease without heart involvement
B572	Chagas disease (chronic) with heart involvement
B573	Chagas disease (chronic) with digestive system involvement
B575	Chagas disease (chronic) with other organ involvement
B608	Other specified protozoal diseases
B650	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B651	Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B652	Schistosomiasis due to Schistosoma japonicum
B653	Cercarial dermatitis
B658	Other schistosomiases
B659	Schistosomiasis, unspecified
B668	Other specified fluke infections
B669	Fluke infection, unspecified
B670	Echinococcus granulosus infection of liver
B673	Echinococcus granulosus infection, other and multiple sites
B675	Echinococcus multilocularis infection of liver
B676	Echinococcus multilocularis infection, other and multiple sites
B677	Echinococcus multilocularis infection, unspecified
B678	Echinococcosis, unspecified, of liver
B679	Echinococcosis, other and unspecified
B680	Taenia solium taeniasis
B681	Taenia saginata taeniasis
B689	Taeniasis, unspecified
B740	Filariasis due to Wuchereria bancrofti
B741	Filariasis due to Brugia malayi
B742	Filariasis due to Brugia timori
B748	Other filariases
B749	Filariasis, unspecified
B781	Cutaneous strongyloidiasis
B814	Mixed intestinal helminthiases
B818	Other specified intestinal helminthiases
B820	Intestinal helminthiasis, unspecified
B838	Other specified helminthiases
B839	Helminthiasis, unspecified
B900	Sequelae of central nervous system tuberculosis
B901	Sequelae of genitourinary tuberculosis
B902	Sequelae of tuberculosis of bones and joints
B908	Sequelae of tuberculosis of other organs
B909	Sequelae of respiratory and unspecified tuberculosis
B942	Sequelae of viral hepatitis
B950	Streptococcus, group A, as the cause of diseases classified to other chapters
B951	Streptococcus, group B, as the cause of diseases classified to other chapters
B952	Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B953	Streptococcus pneumoniae as the cause of diseases classified to other chapters
B954	Other streptococcus as the cause of diseases classified to other chapters
B955	Unspecified streptococcus as the cause of diseases classified to other chapters
B956	Staphylococcus aureus as the cause of diseases classified to other chapters
B957	Other staphylococcus as the cause of diseases classified to other chapters
B958	Unspecified staphylococcus as the cause of diseases classified to other chapters
B960	Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B961	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B962	Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B963	Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B964	Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B965	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
B966	Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters
B967	Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
B968	Other specified bacterial agents as the cause of diseases classified to other chapters
B970	Adenovirus as the cause of diseases classified to other chapters
B971	Enterovirus as the cause of diseases classified to other chapters
B972	Coronavirus as the cause of diseases classified to other chapters
B973	Retrovirus as the cause of diseases classified to other chapters
B975	Reovirus as the cause of diseases classified to other chapters
B976	Parvovirus as the cause of diseases classified to other chapters
B977	Papillomavirus as the cause of diseases classified to other chapters
B978	Other viral agents as the cause of diseases classified to other chapters
G052	Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere
G933	Postviral fatigue syndrome
H130	Filarial infection of conjunctiva
H830	Labyrinthitis
J019	Acute sinusitis, unspecified
J65X	Pneumoconiosis associated with tuberculosis
J82X	Pulmonary eosinophilia, not elsewhere classified
J950	Tracheostomy malfunction
K120	Recurrent oral aphthae
K753	Granulomatous hepatitis, not elsewhere classified
K758	Other specified inflammatory liver diseases
K759	Inflammatory liver disease, unspecified
K901	Tropical sprue
K930	Tuberculous disorders of intestines, peritoneum and mesenteric glands
L031	Cellulitis of other parts of limb
L080	Pyoderma
L089	Local infection of skin and subcutaneous tissue, unspecified
L122	Chronic bullous disease of childhood
L130	Dermatitis herpetiformis
L304	Erythema intertrigo
L401	Generalized pustular psoriasis
L418	Other parapsoriasis
L503	Dermatographic urticaria
L671	Variations in hair colour
M015	Arthritis in other viral diseases classified elsewhere
M313	Wegener granulomatosis
M764	Tibial collateral bursitis [Pellegrini-Stieda]
M896	Osteopathy after poliomyelitis
N220	Urinary calculus in schistosomiasis [bilharziasis]
O035	Spontaneous abortion
O065	Unspecified abortion
O080	Genital tract and pelvic infection following abortion and ectopic and molar pregnancy
O082	Embolism following abortion and ectopic and molar pregnancy
O264	Herpes gestationis
O695	Labour and delivery complicated by vascular lesion of cord
O753	Other infection during labour
O883	Obstetric pyaemic and septic embolism
O980	Tuberculosis complicating pregnancy, childbirth and the puerperium
O981	Syphilis complicating pregnancy, childbirth and the puerperium
O982	Gonorrhoea complicating pregnancy, childbirth and the puerperium
O985	Other viral diseases complicating pregnancy, childbirth and the puerperium
O986	Protozoal diseases complicating pregnancy, childbirth and the puerperium
P350	Congenital rubella syndrome
P361	Sepsis of newborn due to other and unspecified streptococci
P362	Sepsis of newborn due to Staphylococcus aureus
P363	Sepsis of newborn due to other and unspecified staphylococci
P364	Sepsis of newborn due to Escherichia coli
P368	Other bacterial sepsis of newborn
P369	Bacterial sepsis of newborn, unspecified
P374	Other congenital malaria
P375	Neonatal candidiasis
P378	Other specified congenital infectious and parasitic diseases
P379	Congenital infectious and parasitic disease, unspecified
P398	Other specified infections specific to the perinatal period
P399	Infection specific to the perinatal period, unspecified
P584	Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn
P588	Neonatal jaundice due to other specified excessive haemolysis
P589	Neonatal jaundice due to excessive haemolysis, unspecified
P592	Neonatal jaundice from other and unspecified hepatocellular damage
P598	Neonatal jaundice from other specified causes
P599	Neonatal jaundice, unspecified
R75X	Laboratory evidence of human immunodeficiency virus [HIV]
R572	Septic shock
R650	Systemic Inflammatory Response Syndrome of infectious origin without organ failure
R761	Abnormal reaction to tuberculin test
S152	Injury of external jugular vein
T802	Infections following infusion, transfusion and therapeutic injection
T814	Infection following a procedure, not elsewhere classified
Z21X	Asymptomatic human immunodeficiency virus [HIV] infection status
Z112	Special screening examination for other bacterial diseases
Z204	Contact with and exposure to rubella
Z220	Carrier of typhoid
Z221	Carrier of other intestinal infectious diseases
Z223	Carrier of other specified bacterial diseases
Z224	Carrier of infections with a predominantly sexual mode of transmission
Z226	Carrier of human T-lymphotropic virus type- 1 [HTLV-1] infection
Z228	Carrier of other infectious diseases
Z229	Carrier of infectious disease, unspecified
A150	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A151	Tuberculosis of lung, confirmed by culture only
A152	Tuberculosis of lung, confirmed histologically
A153	Tuberculosis of lung, confirmed by unspecified means
A156	Tuberculous pleurisy, confirmed bacteriologically and histologically
A160	Tuberculosis of lung, bacteriologically and histologically negative
A161	Tuberculosis of lung, bacteriological and histological examination not done
A162	Tuberculosis of lung, without mention of bacteriological or histological confirmation
A165	Tuberculous pleurisy, without mention of bacteriological or histological confirmation
A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A202	Pneumonic plague
A221	Pulmonary anthrax
A310	Pulmonary mycobacterial infection
A420	Pulmonary actinomycosis
A430	Pulmonary nocardiosis
A481	Legionnaires disease
B012	Varicella pneumonia
B052	Measles complicated by pneumonia
B59X	Pneumocystosis
B206	HIV disease resulting in Pneumocystis jirovecii pneumonia
B250	Cytomegaloviral pneumonitis
B371	Pulmonary candidiasis
B583	Pulmonary toxoplasmosis
B671	Echinococcus granulosus infection of lung
B953	Streptococcus pneumoniae as the cause of diseases classified to other chapters
B961	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
J13X	Pneumonia due to Streptococcus pneumoniae
J14X	Pneumonia due to Haemophilus influenzae
J22X	Unspecified acute lower respiratory infection
J40X	Bronchitis, not specified as acute or chronic
J110	Influenza with pneumonia, virus not identified
J120	Adenoviral pneumonia
J121	Respiratory syncytial virus pneumonia
J122	Parainfluenza virus pneumonia
J123	Human metapneumovirus pneumonia
J128	Other viral pneumonia
J129	Viral pneumonia, unspecified
J150	Pneumonia due to Klebsiella pneumoniae
J151	Pneumonia due to Pseudomonas
J152	Pneumonia due to staphylococcus
J153	Pneumonia due to streptococcus, group B
J154	Pneumonia due to other streptococci
J155	Pneumonia due to Escherichia coli
J156	Pneumonia due to other Gram-negative bacteria
J157	Pneumonia due to Mycoplasma pneumoniae
J158	Other bacterial pneumonia
J159	Bacterial pneumonia, unspecified
J160	Chlamydial pneumonia
J168	Pneumonia due to other specified infectious organisms
J170	Pneumonia in bacterial diseases classified elsewhere
J171	Pneumonia in viral diseases classified elsewhere
J172	Pneumonia in mycoses
J178	Pneumonia in other diseases classified elsewhere
J180	Bronchopneumonia, unspecified
J181	Lobar pneumonia, unspecified
J182	Hypostatic pneumonia, unspecified
J188	Other pneumonia, organism unspecified
J189	Pneumonia, unspecified
J200	Acute bronchitis due to Mycoplasma pneumoniae
J201	Acute bronchitis due to Haemophilus influenzae
J202	Acute bronchitis due to streptococcus
J203	Acute bronchitis due to coxsackievirus
J204	Acute bronchitis due to parainfluenza virus
J205	Acute bronchitis due to respiratory syncytial virus
J206	Acute bronchitis due to rhinovirus
J207	Acute bronchitis due to echovirus
J208	Acute bronchitis due to other specified organisms
J209	Acute bronchitis, unspecified
