#AUTOGENERATED	DONT EDIT
^ESCTIN739513	Infectious endocarditis of tricuspid valve
^ESCTIN739514	Infective endocarditis of mitral valve
^ESCTIN739515	Infectious endocarditis of mitral valve
^ESCTIN739516	Infective endocarditis of pulmonary valve
^ESCTIN739517	Infectious endocarditis of pulmonary valve
^ESCTIN739518	Infective endocarditis of truncal valve
^ESCTIN739519	Infectious endocarditis of truncal valve
^ESCTIN739523	Infective endocarditis of left atrioventricular (not morphologically mitral) valve
^ESCTIN739524	Infective endocarditis of left atrioventricular (nonmitral) valve
^ESCTIN739525	Infectious endocarditis of left atrioventricular (not morphologically mitral) valve
^ESCTIN739526	Infective endocarditis of right atrioventricular (not morphologically tricuspid) valve
^ESCTIN739527	Infective endocarditis of right atrioventricular (nontricuspid) valve
^ESCTIN739528	Infectious endocarditis of right atrioventricular (not morphologically tricuspid) valve
^ESCTIN739542	Infective endocarditis at site of ventricular septal defect
^ESCTIN739543	Infectious endocarditis at site of ventricular septal defect
^ESCTIN739546	Infective endocarditis at site of interatrial communication
^ESCTIN739547	Infectious endocarditis at site of interatrial communication
^ESCTIN739553	Infective endocarditis of common atrioventricular valve
^ESCTIN739554	Infectious endocarditis of common atrioventricular valve
^ESCTIN739585	Infective endocarditis at site of patch of ventricular septal defect
^ESCTIN739586	Infectious endocarditis at site of patch of ventricular septal defect
^ESCTIN739624	Infective endocarditis at site of patch of interatrial communication
^ESCTIN739625	Infectious endocarditis at site of patch of interatrial communication
^ESCTIN739910	Infective endocarditis at site of implanted vascular shunt
^ESCTIN739911	Infectious endocarditis at site of implanted vascular shunt
^ESCTIN739937	Infective endocarditis of vascular cardiac conduit
^ESCTIN739938	Infectious endocarditis of vascular cardiac conduit
^ESCTIN784011	Infective periendocarditis
^ESCTIN784860	Infection causing subacute endocarditis
^ESCTIN784862	Infection causing myoendocarditis
^ESCTIN784863	Infective myoendocarditis
^ESCTIS340084	Isolated diffuse granulomatous myocarditis
^ESCTLE701263	Left sided infective endocarditis
^ESCTLI337707	Libman-Sacks endocarditis
^ESCTLY707393	Lymphocytic myocarditis
^ESCTMA320936	Malignant endocarditis
^ESCTMA342924	Marantic endocarditis
^ESCTME371798	Measles myocarditis
^ESCTME398605	Meningococcal myocarditis
^ESCTMU353215	Mumps myocarditis
^ESCTMY263850	Myocarditis due to hypersensitivity state
^ESCTMY286101	Myocarditis due to infectious agent
^ESCTMY339414	Myocarditis due to chemical agent
^ESCTMY367937	Myocarditis due to drug
^ESCTMY367938	Myocarditis caused by drug
^ESCTMY374487	Myocarditis due to acquired toxoplasmosis
^ESCTMY376957	Myocarditis due to influenza virus
^ESCTMY376958	Myocarditis caused by influenza virus
^ESCTMY378626	Myocarditis due to physical agent
^ESCTMY378627	Myocarditis caused by physical agent
^ESCTMY390404	Mycotic endocarditis
^ESCTMY394268	Myocarditis due to radiation
^ESCTMY394269	Myocarditis caused by radiation
^ESCTMY698053	Myocarditis associated with AIDS
^ESCTMY698054	Myocarditis associated with acquired immunodeficiency syndrome
^ESCTMY739567	Myocarditis due to Genus Rickettsia
^ESCTMY739569	Myocarditis caused by Genus Rickettsia
^ESCTMY739572	Myocarditis due to Genus Candida
^ESCTMY739574	Myocarditis caused by Genus Candida
^ESCTMY739575	Myocarditis due to Genus Aspergillus
^ESCTMY739577	Myocarditis caused by Genus Aspergillus
^ESCTMY739578	Myocarditis due to echovirus
^ESCTMY739580	Myocarditis caused by echovirus
^ESCTMY739581	Myocarditis due to Order Spirochaetales
^ESCTMY739584	Myocarditis caused by Order Spirochaetales
^ESCTMY739722	Myocarditis due to Genus Borrelia
^ESCTMY739724	Myocarditis caused by Genus Borrelia
^ESCTMY770240	Myocarditis co-occurrent with human immunodeficiency virus infection
^ESCTMY784859	Myopericarditis
^ESCTMY804539	Myocarditis due to Influenza A virus subtype H1N1
^ESCTMY804540	Myocarditis due to H1N1 influenza
