^ESCTNO581524	Non-steroidal anti-inflammatory overdose
^ESCT1247164	[X]Intentional self harm by other and unspecified firearm discharge, occurrence on farm
^ESCT1247165	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence on farm
^ESCT1247166	[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at home
^ESCT1247175	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence on street and highway
^ESCT1247176	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at trade and service area
^ESCT1247178	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence on street and highway
^ESCT1247179	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at trade and service area
^ESCT1247183	[X]Intentional self poisoning by and exposure to pesticides, occurrence on street and highway
^ESCT1247184	[X]Intentional self poisoning by and exposure to pesticides, occurrence at trade and service area
^ESCT1247198	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence in residential institution
^ESCT1247199	[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at unspecified place
^ESCT1247200	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence in residential institution
^ESCT1247201	[X]Intentional self poisoning by and exposure to nonopioid analgesics, occurrence at unspecified place
^ESCT1247204	[X]Intentional self poisoning by and exposure to pesticides, occurrence in residential institution
^ESCT1247205	[X]Intentional self poisoning by and exposure to pesticides, occurrence at unspecified place
^ESCT1247214	[X]Intentional self poisoning by and exposure to nonopioid analgesics
^ESCT1247216	[X]Intentional self poisoning by and exposure to pesticides
^ESCT1247225	[X]Intentional self harm by handgun discharge, occurrence at home
^ESCT1247226	[X]Intentional self harm by handgun discharge, occurrence on farm
^ESCT1247234	[X]Intentional self harm by drowning and submersion
^ESCT1247236	[X]Intentional self harm by handgun discharge
^ESCT1247241	[X]Intentional self poisoning by and exposure to noxious substances
^ESCT1270375	Self-administered intentional poisoning by analgesic
^ESCT1271614	[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at unspecified place
^ESCT1271826	[X]Intentional self harm by hanging, strangulation and suffocation, occurrence in residential institution
^ESCT1271934	[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at home
^ESCTIN692102	Intentionally harming self
^ESCTSE553227	Self-administered intentional poisoning
^ESCTSE721732	Self-administered intentional poisoning by analgesic
^ESCTSE721733	Self-administered intentional poisoning caused by analgesic
^ESCT1394028	Intentional overdose of methylenedioxymethamphetamine
^ESCT1394029	Intentional overdose of MDMA (methylenedioxymethamphetamine)
^ESCT1394038	Intentional poisoning caused by methylenedioxymethamphetamine
^ESCT1394039	Intentional poisoning caused by MDMA (methylenedioxymethamphetamine)
^ESCTIN517919	Intentional non-opiate analgesic overdose
^ESCTIN517920	Intentional paracetamol overdose
^ESCTIN517921	Intentional aspirin overdose
^ESCTIN517924	Intentional opiate analgesic overdose
^ESCTIN517925	Intentional diamorphine overdose
^ESCTIN517926	Intentional heroin overdose
^ESCTIN517927	Intentional dihydrocodeine overdose
^ESCTIN517928	Intentional methadone overdose
^ESCTIN517929	Intentional benzodiazepine overdose
^ESCTIN517930	Intentional diazepam overdose
^ESCTIN517931	Intentional chlordiazepoxide overdose
^ESCTIN517932	Intentional temazepam overdose
^ESCTIN559503	Intentional non-steroidal anti-inflammatory agent overdose
^ESCTIN575628	Intentional paracetamol poisoning
^ESCTIN575635	Intentional paracetamol and dextropropoxyphene poisoning
^ESCTIN575636	Intentional acetaminophen and dextropropoxyphene poisoning
^ESCTIN575639	Intentional aspirin poisoning
^ESCTIN575642	Intentional salicylic acid salt poisoning
^ESCTIN575644	Intentional pentazocine poisoning
^ESCTIN575648	Intentional phenazocine poisoning
^ESCTIN575654	Intentional dextromoramide poisoning
^ESCTIN575658	Intentional dextropropoxyphene poisoning
^ESCTIN575662	Intentional dipipanone poisoning
^ESCTIN575664	Intentional methadone poisoning
^ESCTIN575669	Intentional buprenorphine poisoning
^ESCTIN575671	Intentional poisoning by codeine
^ESCTIN575672	Intentional poisoning caused by codeine
^ESCTIN575675	Intentional heroin poisoning
^ESCTIN575679	Intentional poisoning by dihydrocodeine
^ESCTIN575680	Intentional poisoning caused by dihydrocodeine
^ESCTIN575686	Intentional nalbuphine poisoning
^ESCTIN575688	Intentional morphine poisoning
^ESCTIN575695	Intentional alfentanil poisoning
^ESCTIN575699	Intentional fentanyl poisoning
^ESCTIN575701	Intentional pethidine poisoning
^ESCTIN575705	Intentional phenoperidine poisoning
^ESCTIN575709	Intentional meptazinol poisoning
^ESCTIN575713	Intentional levorphanol poisoning
^ESCTIN575726	Intentional acemetacin poisoning
^ESCTIN575730	Intentional azapropazone poisoning
^ESCTIN575734	Intentional diclofenac poisoning
^ESCTIN575738	Intentional etodolac poisoning
^ESCTIN575742	Intentional felbinac poisoning
^ESCTIN575748	Intentional fenbufen poisoning
^ESCTIN575752	Intentional fenoprofen poisoning
^ESCTIN575756	Intentional flurbiprofen poisoning
^ESCTIN575758	Intentional ibuprofen poisoning
^ESCTIN575760	Intentional indomethacin poisoning
^ESCTIN575761	Intentional indometacin poisoning
^ESCTIN575765	Intentional ketoprofen poisoning
^ESCTIN575769	Intentional ketorolac poisoning
^ESCTIN575773	Intentional mefenamic acid poisoning
^ESCTIN575777	Intentional nabumetone poisoning
^ESCTIN575779	Intentional naproxen poisoning
^ESCTIN575783	Intentional nefopam poisoning
^ESCTIN575787	Intentional oxyphenbutazone poisoning
^ESCTIN575789	Intentional phenylbutazone poisoning
^ESCTIN575794	Intentional piroxicam poisoning
^ESCTIN575798	Intentional sulindac poisoning
^ESCTIN575802	Intentional tenoxicam poisoning
^ESCTIN575806	Intentional tiaprofenic acid poisoning
^ESCTIN575810	Intentional tolmetin poisoning
^ESCTIN575815	Intentional radiopharmaceutical poisoning
^ESCTIN575823	Intentional magnetic resonance imaging contrast media poisoning
^ESCTIN575831	Intentional diagnostic dye poisoning
^ESCTIN575835	Intentional bismuth compound poisoning
^ESCTIN575839	Intentional sucralfate poisoning
^ESCTIN575843	Intentional misoprostol poisoning
^ESCTIN575847	Intentional cimetidine poisoning
^ESCTIN575851	Intentional famotidine poisoning
^ESCTIN575855	Intentional nizatidine poisoning
^ESCTIN575859	Intentional ranitidine poisoning
^ESCTIN575864	Intentional omeprazole poisoning
^ESCTIN575868	Intentional lansoprazole poisoning
^ESCTIN575872	Intentional carbenoxolone poisoning
^ESCTIN575876	Intentional pirenzepine poisoning
^ESCTIN575880	Intentional 5-aminosalicylic acid poisoning
^ESCTIN575884	Intentional aluminium hydroxide poisoning
^ESCTIN575885	Intentional aluminum hydroxide poisoning
^ESCTIN575889	Intentional magnesium trisilicate poisoning
^ESCTIN575892	Intentional loperamide poisoning
^ESCTIN575895	Intentional kaolin poisoning
^ESCTIN575898	Intentional pectin poisoning
^ESCTIN575903	Intentional cisapride poisoning
^ESCTIN575908	Intentional nabilone poisoning
^ESCTIN575912	Intentional domperidone poisoning
^ESCTIN575916	Intentional metoclopramide poisoning
^ESCTIN575922	Intentional 5-HT3-receptor antagonist poisoning
^ESCTIN575927	Intentional bisacodyl poisoning
^ESCTIN575933	Intentional danthron poisoning
^ESCTIN575934	Intentional dantron poisoning
^ESCTIN575941	Intentional sodium picosulphate poisoning
^ESCTIN575942	Intentional sodium picosulfate poisoning
^ESCTIN575948	Intentional lactulose poisoning
^ESCTIN575952	Intentional magnesium sulphate poisoning
^ESCTIN575953	Intentional magnesium sulfate poisoning
^ESCTIN575958	Intentional bulk-forming laxative poisoning
^ESCTIN575963	Intentional cascara poisoning
^ESCTIN575967	Intentional senna poisoning
^ESCTIN575971	Intentional docusate poisoning
^ESCTIN575974	Intentional castor oil poisoning
^ESCTIN575977	Intentional phenolphthalein poisoning
^ESCTIN575982	Intentional antispasmodic poisoning
^ESCTIN575986	Intentional bile agent poisoning
^ESCTIN575989	Intentional nitrous oxide poisoning
^ESCTIN575995	Intentional etomidate poisoning
^ESCTIN575998	Intentional ketamine poisoning
^ESCTIN576002	Intentional propofol poisoning
^ESCTIN576005	Intentional thiopental sodium poisoning
^ESCTIN576008	Intentional methohexitone poisoning
^ESCTIN576012	Intentional enflurane poisoning
^ESCTIN576014	Intentional ether poisoning
^ESCTIN576017	Intentional halothane poisoning
^ESCTIN576021	Intentional isoflurane poisoning
^ESCTIN576025	Intentional trichloroethylene poisoning
^ESCTIN576029	Intentional desflurane poisoning
^ESCTIN576033	Intentional bupivacaine poisoning
^ESCTIN576037	Intentional cinchocaine poisoning
^ESCTIN576041	Intentional prilocaine poisoning
^ESCTIN576043	Intentional lidocaine poisoning
^ESCTIN576044	Intentional lignocaine poisoning
^ESCTIN576047	Intentional cocaine poisoning
^ESCTIN576051	Intentional benzocaine poisoning
^ESCTIN576055	Intentional oxybuprocaine poisoning
^ESCTIN576057	Intentional procaine poisoning
^ESCTIN576061	Intentional proxymetacaine poisoning
^ESCTIN576065	Intentional peripheral nerve and plexus-blocking anaesthetic poisoning
^ESCTIN576066	Intentional peripheral nerve and plexus-blocking anesthetic poisoning
^ESCTIN576071	Intentional spinal anaesthetic poisoning
^ESCTIN576072	Intentional spinal anesthetic poisoning
^ESCTIN576075	Intentional tetracaine poisoning
^ESCTIN576079	Intentional poisoning by therapeutic gases
^ESCTIN576080	Intentional poisoning caused by therapeutic gases
^ESCTIN576086	Intentional immunostimulant poisoning
^ESCTIN576092	Intentional mitobronitol poisoning
^ESCTIN576096	Intentional busulphan poisoning
^ESCTIN576097	Intentional busulfan poisoning
^ESCTIN576104	Intentional treosulphan poisoning
^ESCTIN576105	Intentional treosulfan poisoning
^ESCTIN576110	Intentional thio-TEPA poisoning
^ESCTIN576111	Intentional triethylene thiophosphoramide poisoning
^ESCTIN576116	Intentional chlorambucil poisoning
^ESCTIN576119	Intentional cyclophosphamide poisoning
^ESCTIN576124	Intentional ethoglucid poisoning
^ESCTIN576128	Intentional ifosfamide poisoning
^ESCTIN576132	Intentional melphalan poisoning
^ESCTIN576136	Intentional estramustine poisoning
^ESCTIN576144	Intentional chlormethine poisoning
^ESCTIN576145	Intentional mustine poisoning
^ESCTIN576146	Intentional mechlorethamine poisoning
^ESCTIN576153	Intentional carmustine poisoning
^ESCTIN576157	Intentional lomustine poisoning
^ESCTIN576162	Intentional dacarbazine poisoning
^ESCTIN576166	Intentional dactinomycin poisoning
^ESCTIN576169	Intentional bleomycin poisoning
^ESCTIN576172	Intentional mitomycin poisoning
^ESCTIN576176	Intentional plicamycin poisoning
^ESCTIN576182	Intentional aclarubicin poisoning
^ESCTIN576188	Intentional mitoxantrone poisoning
^ESCTIN576189	Intentional mitozantrone poisoning
^ESCTIN576194	Intentional doxorubicin poisoning
^ESCTIN576198	Intentional epirubicin poisoning
^ESCTIN576202	Intentional idarubicin poisoning
^ESCTIN576205	Intentional daunorubicin poisoning
^ESCTIN576210	Intentional mercuric oxide poisoning
^ESCTIN576215	Intentional methotrexate poisoning
^ESCTIN576218	Intentional mercaptopurine poisoning
^ESCTIN576224	Intentional thioguanine poisoning
^ESCTIN576225	Intentional tioguanine poisoning
^ESCTIN576231	Intentional pentostatin poisoning
^ESCTIN576234	Intentional cytarabine poisoning
^ESCTIN576237	Intentional fluorouracil poisoning
^ESCTIN576242	Intentional etoposide poisoning
^ESCTIN576246	Intentional amsacrine poisoning
^ESCTIN576250	Intentional carboplatin poisoning
^ESCTIN576254	Intentional cisplatin poisoning
^ESCTIN576260	Intentional hydroxycarbamide poisoning
^ESCTIN576261	Intentional hydroxyurea poisoning
^ESCTIN576267	Intentional procarbazine poisoning
^ESCTIN576271	Intentional razoxane poisoning
^ESCTIN576275	Intentional crisantaspase poisoning
^ESCTIN576279	Intentional paclitaxel poisoning
^ESCTIN576283	Intentional fludarabine poisoning
^ESCTIN576287	Intentional aminoglutethimide poisoning
^ESCTIN576293	Intentional trilostane poisoning
^ESCTIN576297	Intentional tamoxifen poisoning
^ESCTIN576301	Intentional formestane poisoning
^ESCTIN576306	Intentional vinblastine poisoning
^ESCTIN576310	Intentional vincristine poisoning
^ESCTIN576314	Intentional vindesine poisoning
^ESCTIN576321	Intentional cyclosporin poisoning
^ESCTIN576322	Intentional ciclosporin poisoning
^ESCTIN576326	Intentional azathioprine poisoning
^ESCTIN576328	Intentional central appetite depressant poisoning
^ESCTIN576331	Intentional levodopa poisoning
^ESCTIN576333	Intentional amantadine poisoning
^ESCTIN576339	Intentional lysuride poisoning
^ESCTIN576340	Intentional lisuride poisoning
^ESCTIN576345	Intentional bromocriptine poisoning
^ESCTIN576348	Intentional ethopropazine poisoning
^ESCTIN576352	Intentional lithium poisoning
^ESCTIN576355	Intentional amitriptyline poisoning
^ESCTIN576359	Intentional amoxapine poisoning
^ESCTIN576363	Intentional butriptyline poisoning
^ESCTIN576367	Intentional clomipramine poisoning
^ESCTIN576371	Intentional desipramine poisoning
^ESCTIN576377	Intentional dosulepin poisoning
^ESCTIN576378	Intentional dothiepin poisoning
^ESCTIN576383	Intentional doxepin poisoning
^ESCTIN576385	Intentional imipramine poisoning
^ESCTIN576389	Intentional iprindole poisoning
^ESCTIN576393	Intentional lofepramine poisoning
^ESCTIN576397	Intentional nortriptyline poisoning
^ESCTIN576401	Intentional protriptyline poisoning
^ESCTIN576405	Intentional trimipramine poisoning
^ESCTIN576408	Intentional tricyclic antidepressant poisoning
^ESCTIN576412	Intentional phenelzine poisoning
^ESCTIN576416	Intentional iproniazid poisoning
^ESCTIN576420	Intentional isocarboxazid poisoning
^ESCTIN576424	Intentional tranylcypromine poisoning
^ESCTIN576428	Intentional moclobemide poisoning
^ESCTIN576432	Intentional tryptophan poisoning
^ESCTIN576436	Intentional venlafaxine poisoning
^ESCTIN576441	Intentional sertraline poisoning
^ESCTIN576445	Intentional paroxetine poisoning
^ESCTIN576449	Intentional nefazodone poisoning
^ESCTIN576453	Intentional citalopram poisoning
^ESCTIN576458	Intentional fluoxetine poisoning
^ESCTIN576462	Intentional fluvoxamine poisoning
^ESCTIN576467	Intentional maprotiline poisoning
^ESCTIN576471	Intentional mianserin poisoning
^ESCTIN576475	Intentional trazodone poisoning
^ESCTIN576479	Intentional viloxazine poisoning
^ESCTIN576483	Intentional beclamide poisoning
^ESCTIN576487	Intentional lamotrigine poisoning
^ESCTIN576491	Intentional piracetam poisoning
^ESCTIN576495	Intentional gabapentin poisoning
^ESCTIN576499	Intentional poisoning by sodium valproate
^ESCTIN576500	Intentional poisoning caused by sodium valproate
^ESCTIN576508	Intentional methylphenobarbitone poisoning
^ESCTIN576509	Intentional methylphenobarbital poisoning
^ESCTIN576512	Intentional phenobarbitone poisoning
^ESCTIN576513	Intentional phenobarbital poisoning
^ESCTIN576517	Intentional primidone poisoning
^ESCTIN576521	Intentional poisoning by carbamazepine
^ESCTIN576522	Intentional poisoning caused by carbamazepine
^ESCTIN576527	Intentional vigabatrin poisoning
^ESCTIN576530	Intentional phenytoin poisoning
^ESCTIN576532	Intentional succinimide poisoning
^ESCTIN576535	Intentional ethosuximide poisoning
^ESCTIN576538	Intentional phensuximide poisoning
^ESCTIN576542	Intentional clonazepam poisoning
^ESCTIN576546	Intentional zopiclone poisoning
^ESCTIN576550	Intentional zolpidem poisoning
^ESCTIN576554	Intentional chlormezanone poisoning
^ESCTIN576558	Intentional methyprylone poisoning
^ESCTIN576560	Intentional paraldehyde poisoning
^ESCTIN576562	Intentional amylobarbitone poisoning
^ESCTIN576563	Intentional amobarbital poisoning
^ESCTIN576567	Intentional butabarbitone poisoning
^ESCTIN576577	Intentional cyclobarbitone poisoning
^ESCTIN576579	Intentional quinalbarbitone poisoning
^ESCTIN576580	Intentional secobarbital poisoning
^ESCTIN576583	Intentional barbitone poisoning
^ESCTIN576585	Intentional pentobarbitone poisoning
^ESCTIN576589	Intentional flunitrazepam poisoning
^ESCTIN576591	Intentional flurazepam poisoning
^ESCTIN576595	Intentional loprazolam poisoning
^ESCTIN576599	Intentional lormetazepam poisoning
^ESCTIN576601	Intentional nitrazepam poisoning
^ESCTIN576605	Intentional triazolam poisoning
^ESCTIN576609	Intentional alprazolam poisoning
^ESCTIN576613	Intentional bromazepam poisoning
^ESCTIN576615	Intentional chlordiazepoxide poisoning
^ESCTIN576619	Intentional clobazam poisoning
^ESCTIN576625	Intentional potassium clorazepate poisoning
^ESCTIN576626	Intentional dipotassium clorazepate poisoning
^ESCTIN576631	Intentional ketazolam poisoning
^ESCTIN576633	Intentional medazepam poisoning
^ESCTIN576637	Intentional oxazepam poisoning
^ESCTIN576641	Intentional prazepam poisoning
^ESCTIN576645	Intentional midazolam poisoning
^ESCTIN576647	Intentional diazepam poisoning
^ESCTIN576649	Intentional lorazepam poisoning
^ESCTIN576653	Intentional poisoning by temazepam
^ESCTIN576654	Intentional poisoning caused by temazepam
^ESCTIN576657	Intentional meprobamate poisoning
^ESCTIN576660	Intentional chloral hydrate poisoning
^ESCTIN576664	Intentional dichloralphenazone poisoning
^ESCTIN576669	Intentional triclofos sodium poisoning
^ESCTIN576673	Intentional buspirone poisoning
^ESCTIN576679	Intentional chlormethiazole poisoning
^ESCTIN576680	Intentional clomethiazole poisoning
^ESCTIN576687	Intentional sulpiride poisoning
^ESCTIN576691	Intentional loxapine poisoning
^ESCTIN576695	Intentional clozapine poisoning
^ESCTIN576699	Intentional risperidone poisoning
^ESCTIN576703	Intentional tetrabenazine poisoning
^ESCTIN576707	Intentional benperidol poisoning
^ESCTIN576709	Intentional trifluperidol poisoning
^ESCTIN576711	Intentional haloperidol poisoning
^ESCTIN576715	Intentional droperidol poisoning
^ESCTIN576720	Intentional pimozide poisoning
^ESCTIN576724	Intentional fluspirilene poisoning
^ESCTIN576731	Intentional levomeprazine poisoning
^ESCTIN576732	Intentional methotrimeprazine poisoning
^ESCTIN576733	Intentional levomepromazine poisoning
^ESCTIN576739	Intentional pericyazine poisoning
^ESCTIN576741	Intentional fluphenazine poisoning
^ESCTIN576745	Intentional thiethylperazine poisoning
^ESCTIN576747	Intentional chlorpromazine poisoning
^ESCTIN576753	Intentional pipothiazine poisoning
^ESCTIN576754	Intentional pipotiazine poisoning
^ESCTIN576757	Intentional promazine poisoning
^ESCTIN576761	Intentional thioridazine poisoning
^ESCTIN576765	Intentional perphenazine poisoning
^ESCTIN576767	Intentional prochlorperazine poisoning
^ESCTIN576771	Intentional trifluoperazine poisoning
^ESCTIN576776	Intentional chlorprothixene poisoning
^ESCTIN576783	Intentional flupenthixol decanoate poisoning
^ESCTIN576784	Intentional flupentixol decanoate poisoning
^ESCTIN576789	Intentional zuclopenthixol decanoate poisoning
^ESCTIN576793	Intentional zuclopenthixol poisoning
^ESCTIN576799	Intentional flupenthixol poisoning
^ESCTIN576800	Intentional flupentixol poisoning
^ESCTIN576805	Intentional oxypertine poisoning
^ESCTIN576809	Intentional remoxipride poisoning
^ESCTIN576814	Intentional selegiline poisoning
^ESCTIN576816	Intentional amphetamine poisoning
^ESCTIN576817	Intentional amfetamine poisoning
^ESCTIN576821	Intentional cannabis poisoning
^ESCTIN576824	Intentional poisoning by lysergic acid
^ESCTIN576826	Intentional psilocybin poisoning
^ESCTIN576828	Intentional mescaline poisoning
^ESCTIN576839	Intentional poisoning by crack cocaine
