7E08400	Suction termination of pregnancy
L061100	Incomplete illegal abortion + delayed/excessive haemorrhage
L061200	Incomplete illegal abortion + pelvic organ/tissue damage
L061300	Incomplete illegal abortion with renal failure
L061400	Incomplete illegal abortion with metabolic disorder
L061500	Incomplete illegal abortion with shock
L061600	Incomplete illegal abortion with embolism
L061w00	Incomplete illegal abortion + other specified complication
L061x00	Incomplete illegal abortion with complication NOS
L061y00	Incomplete illegal abortion with no mention of complication
L062100	Complete illegal abortion + delayed or excessive haemorrhage
L062200	Complete illegal abortion + pelvic organ/tissue damage
L062300	Complete illegal abortion with renal failure
L062400	Complete illegal abortion with metabolic disorder
L062500	Complete illegal abortion with shock
L062600	Complete illegal abortion with embolism
L062x00	Complete illegal abortion with complication NOS
L062y00	Complete illegal abortion with no mention of complication
L062z00	Complete illegal abortion NOS
L080.00	Failed attempted abortion + genital tract/pelvic infection
L081.00	Failed attempted abortion + delayed or excessive haemorrhage
L082.00	Failed attempted abortion + damage to pelvic organs/tissues
L083.00	Failed attempted abortion with renal failure
L084.00	Failed attempted abortion with metabolic disorder
L085.00	Failed attempted abortion with shock
L086.00	Failed attempted abortion with embolism
L08w.00	Failed attempted abortion with other specified complication
Lyu0300	[X]Failed medical abortion,wth other+unspcfied complications
Lyu0400	[X]Oth+unspcf failed inducd abort,complct gen tract+pelv inf
Lyu0500	[X]Oth+unspc fail induc abortn,complict/delay/exces h'morrhg
Lyu0600	[X]Other+unspcf failed induced abortion,complicated/embolism
Lyu0700	[X]Oth+unspcf failed inducd abortn,wth oth+unspcf complicatn
Lyu0800	[X]Other+unspcf failed induced abortion,without complication
7F09.00	Destruction of fetus
7F09z00	Unspecified destruction of fetus
