^ESCTBU514089	Bullous systemic lupus erythematosus
^ESCTLU668209	Lupus erythematosus-associated hypermelanosis
^ESCTLU668211	Lupus erythematosus-associated nailfold telangiectasia
^ESCTLU668213	Lupus erythematosus-associated urticarial vasculitis
^ESCTLU668215	Lupus erythematosus-associated necrotising vasculitis
^ESCTLU668216	Lupus erythematosus-associated necrotizing vasculitis
^ESCTLU668219	Lupus erythematosus-associated poikiloderma
^ESCTLU668221	Lupus erythematosus-associated nail dystrophy
^ESCTLU761502	Lupus erythematosus of oral mucous membrane
^ESCTLU761503	Lupus erythematosus of oral mucosa
^ESCTLU815524	Lupus cheilitis
^ESCTNA668222	Nail dystrophy due to lupus erythematosus
^ESCTNE668217	Necrotising vasculitis due to lupus erythematosus
^ESCTNE668218	Necrotizing vasculitis due to lupus erythematosus
^ESCTNE809113	Nephropathy co-occurrent and due to systemic lupus erythematosus
^ESCTNE809115	Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus
^ESCTNE809116	Nephrosis co-occurrent and due to systemic lupus erythematosus
^ESCTNE809117	Nephrosis with systemic lupus erythematosus
^ESCTPE290594	Pericarditis secondary to systemic lupus erythematosus
^ESCTPO668220	Poikiloderma due to lupus erythematosus
^ESCTRA405492	Rash of systemic lupus erythematosus
^ESCTRE690505	Retinal vasculitis due to systemic lupus erythematosus
^ESCTSE795182	Secondary autoimmune haemolytic anaemia co-occurrent and due to systemic lupus erythematosus
^ESCTSE795183	Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus
^ESCTSL659382	SLE - Systemic lupus erythematosus-related syndrome
^ESCTSY405618	Systemic lupus erythematosus arthritis
^ESCTSY659381	Systemic lupus erythematosus-related syndrome
^ESCTSY667099	Systemic lupus erythematosus-associated antiphospholipid syndrome
^ESCTSY668184	Systemic lupus erythematosus of childhood
^ESCTSY751150	Systemic lupus erythematosus in remission
^ESCTSY832077	Systemic lupus erythematosus/Sjogren's overlap syndrome
^ESCTTE668212	Telangiectasia of nailfolds due to lupus erythematosus
^ESCTUR668214	Urticarial vasculitis due to lupus erythematosus
^ESCTVA514174	Vasculitis due to lupus erythematosus
