aw11.	Orlistat 120mg capsule
d4hu.	Trifluoperazine 2mg m/r capsule
d4hv.	Trifluoperazine 10mg m/r capsule
d4hw.	Trifluoperazine 15mg m/r capsule
d4hx.	Trifluoperazine 1mg/5mL syrup
d4j1.	Clopixol 2mg tablet
d4j2.	Clopixol 10mg tablet
d4j3.	Clopixol 25mg tablet
d4l1.	Clozapine 25mg tablet
d4l2.	Clozapine 100mg tablet
d4l9.	Zaponex 25mg tablet
d4lA.	Zaponex 100mg tablet
d4lB.	DENZAPINE 50mg/mL oral suspension 100mL
d4lC.	CLOZAPINE 50mg/mL oral suspension
d4lE.	CLOZAPINE 50mg tablets
d4lG.	CLOZAPINE 200mg tablets
d4n3.	Zuclopenthixol acetate 50mg/1mL oily injection
d4n4.	Zuclopenthixol acetate 100mg/2mL oily injection
d4p1.	Risperidone 1mg tablet
d4p2.	Risperidone 2mg tablet
d4p3.	Risperidone 3mg tablet
d4p4.	Risperidone 4mg tablet
d4p5.	Risperdal 1mg tablet
d4p6.	Risperdal 2mg tablet
d4p7.	Risperdal 3mg tablet
d4p8.	Risperdal 4mg tablet
d4p9.	Risperidone 1mg/mL liquid
d4pA.	Risperdal 1mg/mL liquid
d4pB.	Risperidone 6mg tablet
d4pC.	Risperdal 6mg tablet
d4pD.	Risperdal 0.5mg tablet
d4pE.	Risperdal Consta 25mg powder+solvent for suspension for injection
d4pF.	Risperdal Consta 37.5mg powder+solvent for suspension for injection
d4pG.	Risperdal Consta 50mg powder+solvent for suspension for injection
d4pH.	Risperidone 1mg oro-dispersible tablet
d4pJ.	Risperidone 2mg oro-dispersible tablet
d4pK.	Risperdal Quicklet 1mg oro-dispersible tablet
d4pL.	Risperdal Quicklet 2mg oro-dispersible tablet
d4pM.	Risperidone 0.5mg oro-dispersible tablet
d4pN.	Risperdal Quicklet 0.5mg oro-dispersible tablet
d4pO.	RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4pP.	RISPERDAL QUICKLET 4mg oro-dispersible tablets
d4pQ.	RISPERIDONE 3mg oro-dispersible tablets
d4pR.	RISPERIDONE 4mg oro-dispersible tablets
d4pw.	Risperidone 50mg powder+solvent for suspension for injection
d4px.	Risperidone 37.5mg powder+solvent for suspension for injection
d4py.	Risperidone 25mg powder+solvent for suspension for injection
d4pz.	Risperidone 0.5mg tablet
d4q4.	Sertindole 20mg tablet
d4r1.	Olanzapine 5mg tablet
d4r2.	Olanzapine 7.5mg tablet
d4r3.	Olanzapine 10mg tablet
d4r4.	Zyprexa 5mg tablet
d4r5.	Zyprexa 7.5mg tablet
d4r6.	Zyprexa 10mg tablet
d4r7.	Olanzapine 2.5mg tablet
d4r8.	Zyprexa 2.5mg tablet
d4r9.	Zyprexa Velotab 5mg dispersible tablet
d4rA.	Zyprexa Velotab 10mg dispersible tablet
d4rB.	Zyprexa 15mg tablet
d4rE.	Zyprexa Velotab 20mg dispersible tablet
d4ru.	Olanzapine 20mg dispersible tablet
d4rw.	Olanzapine 15mg dispersible tablet
d4rx.	Olanzapine 15mg tablet
d4ry.	Olanzapine 5mg dispersible tablet
d4rz.	Olanzapine 10mg dispersible tablet
d4s1.	Quetiapine 25mg tablet
d4s2.	Quetiapine 100mg tablet
d4s3.	Quetiapine 200mg tablet
d4s5.	Seroquel 25mg tablet
d4s6.	Seroquel 100mg tablet
d4s7.	Seroquel 200mg tablet
d4s9.	Seroquel 150mg tablet
d4sa.	ZALURON XL 400mg m/r tablets
d4sb.	BIQUELLE XL 50mg m/r tablets
d4sB.	Seroquel 300mg tablet
d4sc.	BIQUELLE XL 150mg m/r tablets
d4sC.	SEROQUEL XL 50mg m/r tablets
d4sd.	BIQUELLE XL 200mg m/r tablets
d4sD.	SEROQUEL XL 200mg m/r tablets
d4se.	BIQUELLE XL 300mg m/r tablets
d4sE.	SEROQUEL XL 300mg m/r tablets
d4sf.	BIQUELLE XL 400mg m/r tablets
d4sF.	SEROQUEL XL 400mg m/r tablets
d4sG.	SEROQUEL XL 150mg m/r tablets
d4sH.	SONDATE XL 50mg m/r tablets
d4sI.	SONDATE XL 200mg m/r tablets
d4sJ.	SONDATE XL 300mg m/r tablets
d4sk.	MINTRELEQ XL 400mg m/r tablets
d4sK.	SONDATE XL 400mg m/r tablets
d4ss.	QUETIAPINE 150mg m/r tablets
d4sS.	EBESQUE XL 50mg m/r tablets
d4st.	QUETIAPINE 400mg m/r tablets
d4su.	QUETIAPINE 300mg m/r tablets
d4sU.	EBESQUE XL 300mg m/r tablets
d4sv.	QUETIAPINE 200mg m/r tablets
d4sV.	EBESQUE XL 400mg m/r tablets
d4sw.	QUETIAPINE 50mg m/r tablets
d4sW.	ZALURON XL 50mg m/r tablets
d4sx.	Quetiapine 300mg tablet
d4sX.	ZALURON XL 150mg m/r tablets
d4sY.	ZALURON XL 200mg m/r tablets
d4sZ.	ZALURON XL 300mg m/r tablets
d4t1.	Amisulpride 50mg tablet
d4t2.	Amisulpride 200mg tablet
d4tx.	Amisulpride 100mg tablet
d4ty.	Amisulpride 100mg/mL s/f oral solution
d4tz.	Amisulpride 400mg tablet
d4u1.	Zotepine 25mg tablet
d4v1.	Abilify 10mg tablet
d4v2.	Abilify 15mg tablet
d4v4.	Abilify 5mg tablet
d4v6.	ABILIFY 15mg oro-dispersible tablets
d4v7.	ABILIFY 1mg/mL oral solution
d4v9.	ABILIFY MAINTENA 400mg pdr+solv for suspension for injection
d4vr.	ARIPIPRAZOLE 400mg pdr+solvent for suspension for injection
d4vs.	ARIPIPRAZOLE 9.75mg/1.3mL solution for injection
d4vt.	ARIPIPRAZOLE 1mg/mL oral solution
d4vu.	ARIPIPRAZOLE 10mg oro-dispersible tablets
d4vv.	ARIPIPRAZOLE 15mg oro-dispersible tablets
d4vw.	Aripiprazole 5mg tablet
d4vx.	Aripiprazole 30mg tablet
d4vy.	Aripiprazole 15mg tablet
d4vz.	Aripiprazole 10mg tablet
d4w1.	INVEGA 3mg m/r tablets
d4w2.	INVEGA 6mg m/r tablets
d4ws.	PALIPERIDONE 150mg suspension for injection pfs
d4wt.	PALIPERIDONE 100mg suspension for injection pfs
d4wv.	PALIPERIDONE 50mg suspension for injection prefilled syringe
d4wy.	PALIPERIDONE 6mg m/r tablets
d4wz.	PALIPERIDONE 3mg m/r tablets
d4x2.	ASENAPINE 5mg sublingual tablets
d4y2.	LURASIDONE 18.5mg tablets
d4y4.	LURASIDONE 37mg tablets
d4y6.	LURASIDONE 74mg tablets
d511.	Depixol 20mg/1mL oily injection
d513.	Depixol 40mg/2mL oily injection
d514.	Depixol 40mg/2mL prefilled syringe
d516.	Depixol Conc 100mg/1mL oily injection
d518.	Depixol Conc 50mg/0.5mL oily injection
d519.	Flupenthixol decanoate 50mg/0.5mL oily injection
d519.	Flupentixol decanoate 50mg/0.5mL oily injection
d51a.	Depixol Low Volume 200mg/1mL oily injection
d51t.	Flupenthixol decanoate 40mg/2mL prefilled syringe
d51u.	Flupenthixol decanoate 200mg/1mL oily injection
d51u.	Flupentixol decanoate 200mg/1mL oily injection
d51v.	Flupenthixol decanoate 20mg/1mL oily injection
d51v.	Flupentixol decanoate 20mg/1mL oily injection
d51w.	Flupenthixol decanoate 40mg/2mL oily injection
d51w.	Flupentixol decanoate 40mg/2mL oily injection
d51y.	Flupenthixol decanoate 100mg/1mL oily injection
d51y.	Flupentixol decanoate 100mg/1mL oily injection
d522.	Modecate 25mg/1mL oily injection
d526.	Modecate 250mg/10mL oily injection
d528.	Modecate Concentrate 100mg/1mL oily injection
d52a.	Fluphenazine decanoate 100mg/1mL oily injection
d52s.	Fluphenazine decanoate 25mg/1mL prefilled syringe
d52x.	Fluphenazine decanoate 250mg/10mL oily injection
d551.	Haldol decanoate 50mg/1mL oily injection
d552.	Haldol decanoate 100mg/1mL oily injection
d553.	Haloperidol 50mg/1mL oily injection
d554.	Haloperidol 100mg/1mL oily injection
d563.	Pipothiazine palmitate 50mg/1mL oily injection
d563.	Pipotiazine palmitate 50mg/1mL oily injection
d564.	Pipothiazine palmitate 100mg/2mL oily injection
d564.	Pipotiazine palmitate 100mg/2mL oily injection
d571.	Clopixol 200mg/1mL oily injection
d573.	Clopixol Conc 500mg/1mL oily injection
d576.	Zuclopenthixol decanoate 200mg/1mL oily injection
d57z.	Zuclopenthixol decanoate 500mg/1mL oily injection
d611.	Camcolit 250 tablet
d612.	Camcolit 400 m/r tablet
d613.	Liskonum 450mg m/r tablet
d615.	Priadel 400mg m/r tablet
d616.	Priadel 200mg m/r tablet
d61s.	Lithium carbonate 200mg m/r tablet
d61v.	Lithium carbonate 250mg tablet
d61x.	Lithium carbonate 450mg m/r tablet
d61z.	Lithium carbonate 400mg m/r tablet
d622.	Li-Liquid 5.4mmol/5mL oral solution
d622.	Li-Liquid 509mg/5mL oral solution
d625.	Priadel 5.4mmol/5mL s/f oral liquid
d625.	Priadel 520mg/5mL s/f oral liquid
d62w.	Lithium citrate 5.4mmol/5mL s/f oral liquid
d62w.	Lithium citrate 520mg/5mL s/f oral liquid
d62x.	Lithium citrate 5.4mmol/5mL oral solution
d62x.	Lithium citrate 509mg/5mL oral solution
d711.	Amitriptyline hydrochloride 10mg tablet
d712.	Amitriptyline hydrochloride 25mg tablet
d713.	Amitriptyline hydrochloride 50mg tablet
d719.	Lentizol 25mg m/r capsule
d71a.	Lentizol 50mg m/r capsule
d71h.	Amitriptyline 25mg/5mL s/f oral solution
d71i.	Amitriptyline 50mg/5mL s/f oral solution
d71u.	Amitriptyline hydrochloride 25mg m/r capsule
d71v.	Amitriptyline hydrochloride 50mg m/r capsule
d731.	Anafranil 10mg capsule
d732.	Anafranil 25mg capsule
d733.	Anafranil 50mg capsule
d736.	Anafranil SR 75mg tablet
d73u.	Clomipramine hydrochloride 10mg capsule
d73v.	Clomipramine hydrochloride 25mg capsule
d73w.	Clomipramine hydrochloride 50mg capsule
d73z.	Clomipramine hydrochloride 75mg m/r tablet
d751.	Prothiaden 25mg capsule
d752.	Prothiaden 75mg tablet
d755.	Dothapax 25mg capsule
d756.	Dothapax 75mg tablet
d75y.	Dosulepin hydrochloride 25mg capsule
d75y.	Dothiepin hydrochloride 25mg capsule
d75z.	Dosulepin hydrochloride 75mg tablet
d75z.	Dothiepin hydrochloride 75mg tablet
d761.	Sinequan 10mg capsules x56CP
d762.	Sinequan 25mg capsules x28CP
d763.	Sinequan 50mg capsules x28CP
d766.	SINEPIN 50mg capsules
d76w.	Doxepin 10mg capsule
d76x.	Doxepin 25mg capsule
d76y.	Doxepin 50mg capsule
d76z.	Doxepin 75mg capsule
d771.	Imipramine hydrochloride 10mg tablet
d772.	Imipramine hydrochloride 25mg tablet
d777.	Tofranil 25mg/5mL syrup
d77w.	IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d791.	Gamanil 70mg tablets x56CP
d792.	Lomont 70mg/5mL s/f suspension
d794.	Gamanil 70mg tablet
d79y.	Lofepramine 70mg/5mL s/f suspension
d7ax.	Maprotiline hydrochloride 25mg tablet
d7b1.	Mianserin hydrochloride 10mg tablet
d7b2.	Mianserin hydrochloride 20mg tablet
d7b3.	Mianserin hydrochloride 30mg tablet
d7c2.	Allegron 25mg tablet
d7c9.	Nortriptyline 10mg capsule
d7cy.	Nortriptyline 25mg capsule
d7e1.	Molipaxin 50mg capsules x84CP
d7e2.	Molipaxin 100mg capsules x56CP
d7e4.	Molipaxin 150mg tablets x28CP
d7e5.	Trazodone hydrochloride 150mg tablet
d7ew.	Trazodone hydrochloride 100mg capsule
d7ex.	Trazodone hydrochloride 50mg capsule
d7ez.	Trazodone hydrochloride 50mg/5mL liquid
d7f1.	Surmontil 50mg capsules x28CP
d7f2.	Surmontil 10mg tablet
d7f3.	Surmontil 25mg tablet
d7fx.	Trimipramine 50mg capsule
d7fy.	Trimipramine 10mg tablet
d7fz.	Trimipramine 25mg tablet
d7h3.	Amoxapine 100mg tablet
d811.	Nardil 15mg tablet
d81z.	Phenelzine 15mg tablet
d83z.	Isocarboxazid 10mg tablet
d851.	Manerix 150mg tablet
d852.	Moclobemide 150mg tablet
d853.	Manerix 300mg tablet
d854.	Moclobemide 300mg tablet
d914.	Motival tablet
d916.	Triptafen tablet
d917.	Triptafen-M tablet
da11.	Fluanxol 500micrograms tablet
da12.	Fluanxol 1mg tablet
da21.	Optimax 500mg tablet
da2y.	Tryptophan 500mg tablet
da31.	Faverin 50mg tablet
da32.	Fluvoxamine maleate 50mg tablet
da33.	Faverin 100mg tablet
da34.	Fluvoxamine maleate 100mg tablet
da41.	Fluoxetine 20mg capsule
da43.	Fluoxetine 20mg/5mL oral liquid
da44.	Prozac 20mg/5mL liquid
da46.	Fluoxetine 60mg capsule
da47.	Prozac 60mg capsule
da49.	Oxactin 20mg capsule
da4D.	OLENA 20mg dispersible tablets
da4E.	FLUOXETINE 20mg dispersible tablets
da53.	Lustral 50mg tablet
da54.	Lustral 100mg tablet
da61.	Paroxetine 20mg tablet
da62.	Seroxat 20mg tablets x30
da63.	Paroxetine 30mg tablet
da64.	Seroxat 30mg tablets x30
da65.	Paroxetine 10mg/5mL s/f liquid
da66.	Seroxat 10mg/5mL s/f liquid
da68.	SEROXAT 10mg tablets
da73.	Efexor 37.5mg tablet
da74.	Efexor 75mg tablet
da77.	Venlafaxine 75mg m/r capsule
da78.	Efexor XL 75mg m/r capsule
da79.	Venlafaxine 150mg m/r capsule
da7a.	VENAXX XL 150mg m/r capsules
da7A.	Efexor XL 150mg m/r capsule
da7B.	RODOMEL XL 75mg m/r capsules
da7d.	ALVENTA XL 75mg m/r capsules
da7H.	VIEPAX XL 75mg m/r tablets
da7I.	VENLAFAXINE 75mg m/r tablets
da7j.	TONPULAR XL 75mg m/r capsules
da7J.	VIEPAX XL 150mg m/r tablets
da7K.	VENLAFAXINE 150mg m/r tablets
da7O.	VIEPAX 75mg tablets
da7p.	VENLALIC XL 37.5mg m/r tablets
da7P.	VENSIR XL 75mg m/r capsules
da7q.	VENLAFAXINE 37.5mg m/r tablets
da7Q.	VENSIR XL 150mg m/r capsules
da7R.	TIFAXIN XL 75mg m/r capsules
da7V.	VENLALIC XL 75mg m/r tablets
da7W.	VENLALIC XL 150mg m/r tablets
da7X.	VENLALIC XL 225mg m/r tablets
da7Y.	VENLAFAXINE 225mg m/r tablets
da7Z.	VENAXX XL 75mg m/r capsules
da81.	Nefazodone hydrochloride 100mg tablet
da82.	Nefazodone hydrochloride 200mg tablet
da83.	Dutonin 100mg tablet
da84.	Dutonin 200mg tablet
da91.	Citalopram 20mg tablet
da92.	Cipramil 20mg tablet
da93.	Citalopram 10mg tablet
da94.	Cipramil 10mg tablet
da95.	Citalopram 40mg tablet
da96.	Cipramil 40mg tablet
da9z.	Citalopram 40mg/mL oral drops
daA2.	Edronax 4mg tablet
daB1.	Mirtazapine 30mg tablet
daB2.	Zispin 30mg tablet
daB3.	Mirtazapine 30mg oro-dispersible tablet
daB4.	Zispin SolTab 30mg oro-dispersible tablet
daB5.	Mirtazapine 15mg oro-dispersible tablet
daB6.	Zispin SolTab 15mg oro-dispersible tablet
daB7.	Mirtazapine 45mg oro-dispersible tablet
daB8.	Zispin SolTab 45mg oro-dispersible tablet
daBy.	Mirtazapine 45mg tablet
daBz.	Mirtazapine 15mg tablet
daC1.	Escitalopram 10mg tablet
daC2.	Cipralex 10mg tablet
daC3.	Escitalopram 20mg tablet
daC4.	Cipralex 20mg tablet
daC5.	Escitalopram 5mg tablet
daC6.	Cipralex 5mg tablet
daC7.	ESCITALOPRAM 10mg/mL oral drops
daC9.	CIPRALEX 20mg/mL oral drops
daCA.	ESCITALOPRAM 20mg/mL oral drops
daD1.	VALDOXAN 25mg tablets
daD2.	AGOMELATINE 25mg tablets
daE1.	BRINTELLIX 5mg tablets
daE2.	VORTIOXETINE 5mg tablets
daE3.	BRINTELLIX 10mg tablets
daE4.	VORTIOXETINE 10mg tablets
daE5.	BRINTELLIX 20mg tablets
daE6.	VORTIOXETINE 20mg tablets
dB11.	Memantine hydrochloride 10mg tablet
dB12.	Memantine hydrochloride 10mg/g oral drops
dB13.	Ebixa 10mg tablet
dB15.	EBIXA 20mg tablets
dB16.	MEMANTINE HYDROCHLORIDE 20mg tablets
dB17.	EBIXA TREATMENT INITIATION PACK tablets
dc11.	Dexedrine 5mg tablet
dC1z.	Sodium oxybate 500mg/mL oral solution
df61.	Reductil 15mg capsule
df62.	Reductil 10mg capsule
df71.	RIMONABANT 20mg tablets
df72.	ACOMPLIA 20mg tablets
dh11.	Serc-8 tablet
dh12.	Serc-16 tablet
dh31.	Stugeron 15mg tablet
dh3z.	Cinnarizine 15mg tablet
dh41.	Valoid 50mg tablet
dh42.	Valoid 50mg/1mL injection
dh4y.	Cyclizine hydrochloride 50mg tablet
dh4z.	Cyclizine lactate 50mg/1mL injection
dh71.	Motilium 10mg tablets x30CP
dh72.	Motilium 5mg/5mL suspension
dh73.	Motilium 30mg suppository
dh76.	Motilium 10mg tablet
dh7y.	Domperidone 5mg/5mL suspension
dh7z.	Domperidone 30mg suppository
dh81.	Hyoscine hydrobromide 300micrograms tablet
dh85.	Scopoderm TTS transdermal patch
dh87.	Hyoscine 1.5mg transdermal patch
dh87.	Hyoscine 1mg/72hours transdermal patch
dh89.	KWELLS 300micrograms tablets
dh8A.	KWELLS KIDS 150micrograms tablets
dh8B.	HYOSCINE HYDROBROMIDE 150micrograms tablets
dh8C.	JOY-RIDES 150micrograms chewable tablets
dh94.	Meclozine hydrochloride 12.5mg tablet
dhb1.	Metoclopramide hydrochloride 10mg tablet
dhb2.	Metoclopramide hydrochloride 5mg/5mL oral solution
dhb3.	Metoclopramide hydrochloride 10mg/2mL injection
dhb4.	Maxolon 10mg tablet
dhb5.	Maxolon 5mg/5mL syrup
dhb6.	Maxolon 1mg/mL paediatric liquid
dhb7.	Maxolon 10mg/2mL injection
dhbl.	Metoclopramide hydrochloride 15mg m/r tablet
dhbp.	Metoclopramide hydrochloride 15mg m/r capsule
dhbq.	Metoclopramide hydrochloride 5mg tablet
dhbr.	Maxolon 5mg tablet
dhe1.	Stemetil 5mg tablet
dhe2.	Stemetil 25mg tablet
dhe3.	Stemetil 5mg/5ml syrup
dhe4.	Stemetil 12.5mg/1mL injection
dhe6.	Stemetil 5mg suppository
dhe7.	Stemetil 25mg suppository
dhea.	Buccastem 3mg tablet
dheb.	Stemetil Eff 5mg/sachet granules
dheB.	Buccastem M 3mg buccal tablet
dhed.	Prochlorperazine maleate 3mg buccal tablet
dher.	Prochlorperazine maleate 5mg tablet
dhes.	Prochlorperazine maleate 25mg tablet
dhew.	Prochlorperazine maleate 5mg suppository
dhex.	Prochlorperazine maleate 25mg suppository
dhg1.	Avomine 25mg tablet
dhk1.	Ondansetron 4mg/2mL injection
dhk2.	Ondansetron 4mg tablet
dhk5.	Zofran 4mg tablet
dhk6.	Zofran 8mg tablet
dhkB.	Ondansetron 4mg/5mL sugar free syrup
dhkC.	Zofran 4mg/5mL sugar free syrup
dhkD.	Ondansetron 16mg suppository
dhkE.	Zofran 16mg suppository
dhkF.	Ondansetron 4mg wafer
dhkG.	Ondansetron 8mg wafer
dhkH.	Zofran Melt 4mg wafer
dhkL.	ONDEMET 4mg tablets
dhkO.	SETOFILM 4mg orodispersible film
dhkQ.	ONDANSETRON 4mg orodispersible film
dhkR.	ONDANSETRON 8mg orodispersible film
dhl3.	Granisetron 1mg tablet
dhpz.	Aprepitant 80mg capsule
dhr1.	CINNARIZINE+DIMENHYDRINATE 20mg/40mg tablets
dhr2.	ARLEVERT 20mg/40mg tablets
di1c.	Nu-Seals Aspirin 300mg e/c tablet
di1f.	Aspirin 300mg e/c tablet
di1n.	Aspirin 300mg suppository
di1o.	Aspirin 150mg suppository
di21.	Paracetamol 500mg tablet
di24.	Paracetamol 250mg/5mL mixture
di24.	Paracetamol 250mg/5mL oral suspension
di26.	Calpol Six Plus 250mg/5mL suspension
di27.	Disprol Paediatric 120mg/5mL s/f suspension
di29.	Panadol 500mg capsule
di2A.	Infadrops 100mg/mL oral solution
di2C.	Calpol Six Plus 250mg/5mL s/f suspension
di2E.	Paracetamol 500mg suppository
di2H.	Paradote tablet
di2J.	Paracetamol 240mg suppository
di2L.	Paracetamol 120mg suppository
di2M.	Paracetamol 250mg suppository
di2n.	Paracetamol 120mg/5mL oral suspension
di2N.	Paracetamol 60mg suppository
di2o.	Paracetamol 125mg suppository
di2O.	Alvedon 250mg suppository
di2p.	Alvedon 125mg suppository
di2P.	Alvedon 60mg suppository
di2q.	Paracetamol 500mg capsule
di2r.	Paracetamol 120mg/5mL s/f oral solution
di2t.	Medinol Over Six 250mg/5mL s/f suspension
di2u.	Paracetamol 250mg/5mL s/f oral suspension
di2y.	Calpol 120mg/5mL paediatric s/f suspension
di91.	Acupan 30mg tablet
di9y.	Nefopam hydrochloride 30mg tablet
dia2.	Co-codamol 8mg/500mg tablet
dia2.	Paracetamol+codeine phosphate 500mg/8mg tablet
dia4.	Aspirin+codeine 400mg/8mg tablet
dia4.	Co-codaprin 8mg/400mg tablet
dia6.	Co-dydramol 10mg/500mg tablet
dia6.	Paracetamol+dihydrocodeine tartrate 500mg/10mg tablet
dia9.	Aspav dispersible tablet
diad.	Distalgesic tablet
diaJ.	Kapake Insts 500mg/30mg/sachet powder
diaL.	Kapake Insts 1000mg/60mg/sachet powder
diam.	Kapake tablet
diao.	Kapake capsule
diap.	Co-codamol 8mg/500mg effervescent tablet
diap.	Paracetamol+codeine phosphate 500mg/8mg effervescent tablet
diaq.	Co-codamol 8mg/500mg capsule
diaq.	Paracetamol+codeine phosphate 500mg/8mg capsule
diaT.	Codipar Caplet
diaU.	Paracetamol+codeine phosphate 500mg/15mg tablet
