d12v.	CLOMETHIAZOLE(base) 192mg capsules
d214.	DIAZEPAM 5mg tablets
d22y.	ALPRAZOLAM 250microgram tablets
d267.	TAPCLOB 10mg/5mL oral suspension
d41d.	*LARGACTIL 100mg tablets
d41e.	*LARGACTIL 25mg/5mL syrup
d42z.	BENPERIDOL 250microgram tablets
d48z.	LEVOMEPROMAZINE 25mg tablets
d4e4.	PROMAZINE 25mg tablets
d4fy.	SULPIRIDE 200mg/5mL sugar free solution
d4g1.	*MELLERIL 10mg tablets
d4lE.	CLOZAPINE 50mg tablets
d4p3.	RISPERIDONE 3mg tablets
d4p9.	RISPERIDONE 1mg/mL liquid
d4sE.	SEROQUEL XL 300mg m/r tablets
d4sF.	SEROQUEL XL 400mg m/r tablets
d4st.	QUETIAPINE 400mg m/r tablets
d4vv.	ARIPIPRAZOLE 15mg oro-dispersible tablets
d551.	HALDOL DECANOATE 50mg/1mL injection
d71h.	AMITRIPTYLINE 25mg/5mL sugar free solution
d77w.	IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d79y.	LOFEPRAMINE 70mg/5mL sugar free suspension
d7f2.	*SURMONTIL 10mg tablets
d852.	MOCLOBEMIDE 150mg tablets
d854.	MOCLOBEMIDE 300mg tablets
da21.	*OPTIMAX 500mg tablets
da46.	FLUOXETINE 60mg capsules
da63.	PAROXETINE 30mg tablets
da7a.	VENAXX XL 150mg m/r capsules
da7I.	VENLAFAXINE 75mg m/r tablets
da7J.	VIEPAX XL 150mg m/r tablets
da7p.	VENLALIC XL 37.5mg m/r tablets
da7q.	VENLAFAXINE 37.5mg m/r tablets
da7X.	VENLALIC XL 225mg m/r tablets
da95.	CITALOPRAM 40mg tablets
daB6.	ZISPIN SOLTAB 15mg oro-dispersible tablets
daC4.	CIPRALEX 20mg tablets
dhb5.	*MAXOLON 5mg/5mL syrup
dhbl.	METOCLOPRAMIDE 15mg m/r tablets
dhed.	PROCHLORPERAZINE 3mg bucc.tabs
dhes.	*PROCHLORPERAZINE 25mg tablets
dhl3.	GRANISETRON 1mg tablets
di2q.	PARACETAMOL 500mg capsules
di2r.	PARACETAMOL 120mg/5mL sugar free elixir
dibS.	SOLPADOL capsules
dj1t.	MST CONTINUS 200mg m/r tablets
dj37.	SUBUTEX 2mg sublingual tablets
dj3b.	TRANSTEC 70micrograms/hour patches
dj3J.	HAPOCTASIN 35micrograms/hour patches
dj3t.	BUPRENORPHINE 35micrograms/hour patches
dj3u.	BUPRENORPHINE 2mg sublingual tablets
dj44.	CODEINE PHOSPHATE 25mg/5mL syrup
dj51.	*PALFIUM 5mg tablets
djAc.	MAXITRAM SR 100mg m/r capsules
djB3.	PALEXIA SR 150mg m/r tablets
djB6.	PALEXIA 50mg tablets
djc1.	PHYSEPTONE 5mg tablets
djcC.	METHADONE 1mg/1mL sugar free mixture
dji4.	ZYDOL 50mg capsules
dji8.	ZYDOL SR 100mg m/r tablets
djiD.	ZYDOL SOLUBLE 50mg tablets
djj9.	HYDROMORPHONE HYDROCHLORIDE 24mg m/r capsules
djkg.	OXYCODONE HYDROCHLORIDE 30mg m/r tablets
djkh.	OXYCODONE HYDROCHLORIDE 15mg m/r tablets
dhb1.	METOCLOPRAMIDE 10mg tablets
dhb4.	MAXOLON 10mg tablets
dhe3.	STEMETIL 5mg/5mL syrup
di2p.	ALVEDON 125mg suppositories
di9y.	NEFOPAM HYDROCHLORIDE 30mg tablets
diam.	KAPAKE tablets
dibp.	SYNDOL tablets
dj1f.	MST CONTINUS 10mg m/r tablets
dj1H.	ORAMORPH 30mg/5mL oral unit dose vial
dj1J.	ORAMORPH 100mg/5mL oral unit dose vial
dj1N.	MST CONTINUS 20mg/sachet suspension
dj1X.	MST CONTINUS 100mg/sachet suspension
dj1y.	MST CONTINUS 5mg m/r tablets
djAf.	MAROL 100mg m/r tablets
dji1.	TRAMADOL HCL 100mg/2mL injection
dji2.	TRAMADOL HCL 50mg capsules
djiS.	ZYDOL XL 150mg m/r tablets
djk1.	OXYNORM 5mg capsules
djk3.	OXYNORM 20mg capsules
djk7.	OXYCONTIN 80mg m/r tablets
djkc.	RELTEBON 10mg m/r tablets
djkW.	LYNLOR 10mg capsules
djmK.	LONGTEC 60mg m/r tablets
djmO.	ABTARD 15mg m/r tablets
djzP.	MORPHINE SULFATE 120mg m/r capsules
djzV.	MXL 120mg m/r capsules
dl1C.	MIGRAMAX sachet powder
dl5B.	SUMATRIPTAN 6mg/0.5mL injection refill
dl63.	TOLFENAMIC ACID 200mg tablets
dl84.	ZOMIG RAPIMELT 2.5mg oro-dispersible tablets
dm3y.	PIZOTIFEN 1.5mg tablets
dn5z.	ETHOSUXIMIDE 250mg/5mL syrup
dn9y.	PHENYTOIN SODIUM 50mg capsules
dnb4.	EPILIM 200mg/5mL sugar free liquid
dnbC.	EPIVAL CR 500mg m/r tablets
dnbL.	SODIUM VALPROATE 500mg/sachet m/r granules
dnbM.	SODIUM VALPROATE 1g/sachet m/r granules
dnbr.	SODIUM VALPROATE 200mg m/r tablets
dnhz.	VALPROIC ACID 250mg e/c tablets
dnj7.	NEURONTIN 600mg tablets
dnj9.	NEURONTIN 300mg capsules/600mg tablets titration pack
dnk3.	TOPIRAMATE 200mg tablets
dnkB.	TOPAMAX SPRINKLE 15mg capsules
dnpN.	REWISCA 200mg capsules
dntB.	LACOSAMIDE 150mg tablets
dnv4.	TROBALT 300mg tablets
do18.	DIAZEPAM 5mg/2.5mL RecTubes
dq99.	APO-GO 30mg/3mL prefilled pen
dqB1.	CABERGOLINE 1mg tablets
dqE2.	MIRAPEXIN 180micrograms tablets
dqEz.	PRAMIPEXOLE 700micrograms tablets
dqF1.	AZILECT 1mg tablets
dqGw.	ROTIGOTINE 8mg/24hours transdermal patches
dr1x.	TRIHEXYPHENIDYL HYDROCHLORIDE 5mg tablets
dr6x.	PROCYCLIDINE 5mg/5mL sugar free syrup
dr6y.	PROCYCLIDINE 5mg tablets
du12.	ANTABUSE 200mg tablets
du6z.	BUPROPION HYDROCHLORIDE 150mg m/r tablets
du7a.	NICOTINELL ICEMINT 4mg chewing gum
du7R.	NIQUITIN MINIS MINT 1.5mg lozenges
du7Z.	NICOTINELL ICEMINT 2mg chewing gum
duA2.	NALMEFENE 18mg tablets
duB4.	NICOTINELL SUPPORT ICEMINT 4mg chewing gum
dw1H.	MEDIKINET XL 40mg m/r capsules
dw1N.	MEDIKINET XL 50mg m/r capsules
dw2w.	ATOMOXETINE 40mg capsules
dy2B.	EXELON 4.6mg/24hours transdermal patches
dy2M.	ALZEST 9.5mg/24hours transdermal patches
dy3K.	LUVENTA XL 8mg m/r capsules
gdex.	DULOXETINE 30mg gastro-resistant capsules
o42C.	ACTIQ 200micrograms lozenges
o4dj.	OSMANIL 25micrograms/hr patches
o4dl.	OSMANIL 75micrograms/hr patches
o4e2.	MEZOLAR MATRIX 37.5micrograms/hour patches
o575.	BUCCOLAM 5mg/1mL oromucosal solution pre-filled oral syringe
djkH.	OXYCONTIN 15mg m/r tablets
djkJ.	OXYCONTIN 60mg m/r tablets
djkZ.	SHORTEC 10mg capsules
djmF.	OXELTRA 40mg m/r tablets
djyC.	MORPHGESIC SR 60mg m/r tablets
dl58.	*IMIGRAN 100mg tablets x3
dl5C.	IMIGRAN RADIS 100mg tablets
dl82.	ZOMIG 2.5mg tablets
dn3b.	CARBAMAZEPINE 400mg m/r tabs
dnay.	PRIMIDONE 250mg tablets
dnbs.	SODIUM VALPROATE 300mg m/r tablets
dnf6.	LAMICTAL 25mg tablets
dnfz.	LAMOTRIGINE 2mg dispersible tablets
dng6.	PIRACETAM 333.3mg/mL oral solution
dnm4.	TRILEPTAL 60mg/mL sugar free oral suspension
dnmw.	OXCARBAZEPINE 60mg/mL sugar free oral suspension
dno9.	DESITREND 1g/sachet granules
dnpM.	REWISCA 150mg capsules
dnpu.	PREGABALIN 200mg capsules
dnr3.	INOVELON 400mg tablets
dnsx.	STIRIPENTOL 250mg/sachet powder for oral suspension
dnt3.	VIMPAT 50mg tablets
dntC.	LACOSAMIDE 200mg tablets
do19.	DIAZEPAM 10mg/2.5mL RecTubes
dq3T.	SASTRAVI 200mg/50mg/200mg tablets
dq9z.	APOMORPHINE HYDROCHLORIDE 50mg/10mL prefilled syringe
dqEu.	PRAMIPEXOLE 520micrograms m/r tablets
dqGt.	ROTIGOTINE 3mg/24hours transdermal patches
dr1z.	TRIHEXYPHENIDYL HYDROCHLORIDE 5mg/5mL syrup
du3B.	*NICORETTE 5mg patches x7
du3O.	NIQUITIN CQ 7mg/24hours clear patches
du7g.	NICORETTE COOLS 2mg lozenges
du7H.	NICOPATCH 14mg/24hours patches
du7S.	NIQUITIN MINIS MINT 4mg lozenges
dw1E.	MEDIKINET XL 10mg m/r capsules
dw1F.	MEDIKINET XL 20mg m/r capsules
dw1L.	MEDIKINET 20mg tablets
dw1P.	MATORIDE XL 18mg m/r tablets
dw1v.	METHYLPHENIDATE HYDROCHLORIDE 36mg m/r tablets
dw1y.	METHYLPHENIDATE HYDROCHLORIDE 5mg tablets
dy11.	DONEPEZIL HYDROCHLORIDE 5mg tablets
dy12.	DONEPEZIL HYDROCHLORIDE 10mg tablets
dy13.	ARICEPT 5mg tablets
dy3u.	GALANTAMINE 16mg m/r capsules
dy3w.	GALANTAMINE 4mg/mL sugar free oral solution
dy3x.	*GALANTAMINE 4mg tablets
dz11.	MODAFINIL 100mg tablets
o42I.	DUROGESIC DTRANS 25micrograms/hr patches
d12w.	CLOMETHIAZOLE EDISILATE 250mg/5mL syrup
d141.	*ROHYPNOL 1mg tablets
d15z.	FLURAZEPAM 30mg capsules
d172.	LORMETAZEPAM 1mg tablets
d1a9.	TEMAZEPAM 10mg tablets
d21A.	DIAZEPAM 5mg/5mL oral solution
d243.	CHLORDIAZEPOXIDE HYDROCHLORIDE 5mg tablets
d451.	DEPIXOL 3mg tablets
d47t.	HALOPERIDOL 1mg/mL liquid
d47v.	*HALOPERIDOL 5mg/1mL injection
d4a1.	*NEULACTIL 2.5mg tablets
d4h3.	*STELAZINE 2mg m/r capsules
d4l9.	ZAPONEX 25mg tablets
d4p1.	RISPERIDONE 1mg tablets
d4p4.	RISPERIDONE 4mg tablets
d4r3.	OLANZAPINE 10mg tablets
d4r8.	ZYPREXA 2.5mg tablets
d4rz.	OLANZAPINE 10mg dispersible tablets
d4s2.	QUETIAPINE 100mg tablets
d4ss.	QUETIAPINE 150mg m/r tablets
d4sY.	ZALURON XL 200mg m/r tablets
d4vx.	ARIPIPRAZOLE 30mg tablets
d522.	MODECATE 25mg/1mL injection
d571.	CLOPIXOL 200mg/1mL injection
d62w.	LITHIUM CITRATE 520mg/5mL sugar free liquid
d712.	AMITRIPTYLINE 25mg tablets
d71a.	*LENTIZOL 50mg m/r capsules
d71i.	AMITRIPTYLINE 50mg/5mL sugar free solution
d73w.	CLOMIPRAMINE HCL 50mg capsules
d777.	*TOFRANIL 25mg/5mL syrup
d792.	LOMONT 70mg/5mL sugar free suspension
d7b2.	MIANSERIN 20mg tablets
d7e4.	MOLIPAXIN 150mg tablets x28CP
d81z.	PHENELZINE 15mg tablets
d917.	*TRIPTAFEN-M tablets
da34.	FLUVOXAMINE MALEATE 100mg tablets
da44.	PROZAC 20mg/5mL oral liquid
da79.	VENLAFAXINE 150mg m/r capsules
da7O.	VIEPAX 75mg tablets
daA2.	EDRONAX 4mg tablets
daB1.	MIRTAZAPINE 30mg tablets
daC1.	ESCITALOPRAM 10mg tablets
daE2.	VORTIOXETINE 5mg tablets
dB13.	EBIXA 10mg tablets
dh71.	MOTILIUM 10mg tablets x30CP
dhe1.	STEMETIL 5mg tablets
dhea.	BUCCASTEM 3mg buccal tablets
dheb.	STEMETIL EFF 5mg/sachet granules
dheB.	BUCCASTEM M 3mg buccal tablets
dhex.	PROCHLORPERAZINE 25mg suppositories
dhkG.	ONDANSETRON 8mg wafer
dhpz.	APREPITANT 80mg capsules
di24.	PARACETAMOL 250mg/5mL mixture
di2L.	PARACETAMOL 120mg suppositories
di2P.	ALVEDON 60mg suppositories
dia9.	*ASPAV dispersible tablets
diaL.	KAPAKE INSTS 1000mg/60mg/sachet powder
diaT.	CODIPAR caplets
diaU.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg tablets
dibw.	REMEDEINE FORTE tablets
didH.	PANADOL OA 1000mg tablets
dj1s.	SEVREDOL 20mg tablets
djBU.	TAPENTADOL 50mg tablets
djBZ.	TAPENTADOL 50mg m/r tablets
djf1.	PENTAZOCINE 50mg capsules
djin.	TRADOREC XL 200mg m/r tablets
djiO.	TRAMADOL HYDROCHLORIDE 50mg/sachet powder
djj2.	PALLADONE 1.3mg capsules
djj3.	HYDROMORPHONE HYDROCHLORIDE 2.6mg capsules
djkV.	LYNLOR 5mg capsules
djmC.	OXELTRA 15mg m/r tablets
djmE.	OXELTRA 30mg m/r tablets
djy6.	FILNARINE SR 10mg m/r tablets
djyD.	MORPHGESIC SR 100mg m/r tablets
djz2.	MORPHINE SULFATE 20mg tablets
djz8.	MORPHINE SULFATE 100mg m/r tablets
djzF.	MORPHINE SULFATE 60mg m/r capsules
djzn.	ZOMORPH 200mg m/r capsules
djzZ.	MORPHINE SULPHATE 20mg m/r capsules
dl12.	MIGRALEVE PINK tablets
dl13.	MIGRALEVE YELLOW tablets
dl54.	SUMATRIPTAN 100mg tablets
dl55.	IMIGRAN 100mg tablets
dl92.	NARAMIG 2.5mg tablets
dlA2.	RIZATRIPTAN 10mg tablets
dlA4.	MAXALT 5mg tablets
dlA6.	MAXALT MELT 10mg wafer
dm11.	DIXARIT 25micrograms tablets
dm33.	SANOMIGRAN 250micrograms/5mL sugar free elixir
dn3I.	*TERIL CR 400mg m/r tablets
dn71.	PHENOBARBITAL 15mg tablets
dn83.	PHENYTOIN 50mg chewable tablets
dn9z.	PHENYTOIN SODIUM 100mg capsules
dnb3.	EPILIM 500mg e/c tablets
dnbJ.	SODIUM VALPROATE 150mg m/r capsules
dnbR.	EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbT.	EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnf1.	LAMOTRIGINE 50mg tablets
dnfA.	LAMOTRIGINE 5mg dispersible tablets
dnfE.	LAMOTRIGINE 200mg tablets
dng2.	NOOTROPIL 1.2g tablets
dnkE.	TOPAMAX SPRINKLE 50mg capsules
dnm3.	TRILEPTAL 600 tablets
dnox.	LEVETIRACETAM 1g tablets
dnpI.	REWISCA 25mg capsules
dnpt.	PREGABALIN 300mg capsules
dnq1.	ZONISAMIDE 25mg capsules
dnq2.	ZONISAMIDE 50mg capsules
dnrz.	RUFINAMIDE 100mg tablets
dnsy.	STIRIPENTOL 500mg capsules
dnv1.	TROBALT 50mg tablets
dq3A.	HALF-SINEMET CR m/r tablets
dq3O.	SASTRAVI 75mg/18.75mg/200mg tablets
dq3P.	SASTRAVI 100mg/25mg/200mg tablets
dqAn.	REPINEX XL 4mg m/r tablets
dqAs.	RAPONER XL 4mg m/r tablets
dqEs.	PRAMIPEXOLE 2.1mg m/r tablets
du32.	NICOTINE 4mg chewing gum
du3A.	NICOTINE 21mg/24hours patches
du61.	ZYBAN 150mg m/r tablets
du79.	NIQUITIN CQ 4mg mint lozenges
du81.	CHAMPIX 1mg tablets
du8x.	VARENICLINE 500micrograms+1mg tablets
dw16.	EQUASYM XL 20mg m/r capsules
dw1J.	MEDIKINET 5mg tablets
dw22.	STRATTERA 18mg capsules
dw2x.	ATOMOXETINE 25mg capsules
dw36.	ELVANSE ADULT 70mg capsules
dy21.	RIVASTIGMINE 1.5mg capsules
dy32.	REMINYL 8mg tablets
dz14.	PROVIGIL 200mg tablets
o42b.	MEZOLAR MATRIX 100micrograms/hour patches
o42K.	DUROGESIC DTRANS 75micrograms/hr patches
o42Q.	DUROGESIC DTRANS 12micrograms/hr patches
o4d7.	ABSTRAL 100micrograms sublingual tablets
o4d9.	ABSTRAL 200micrograms sublingual tablets
o4dq.	VICTANYL 100micrograms/hour patches
o4e3.	FENTANYL 37.5micrograms/hour transdermal patches
aw11.	ORLISTAT 120mg capsules
d122.	*HEMINEVRIN 250mg/5mL syrup
d1aa.	TEMAZEPAM 20mg tablets
d21d.	DIAZEMULS 10mg/2mL ampoules
d263.	CLOBAZAM 10mg tablets
d412.	CHLORPROMAZINE 25mg tablets
d41m.	CHLORPROMAZINE 50mg/2mL injection
d46z.	FLUPHENAZINE HYDROCHLORIDE 5mg tablets
d4cx.	*PIMOZIDE 2mg tablets
d4ev.	PROMAZINE 25mg/5mL syrup
d4f6.	SULPOR 200mg/5mL oral solution
d4h1.	*STELAZINE 1mg tablets
d4j1.	CLOPIXOL 2mg tablets
d4p7.	RISPERDAL 3mg tablets
d4pE.	RISPERDAL CONSTA 25mg powder+solvent for suspension for injection
d4pK.	RISPERDAL QUICKLET 1mg oro-dispersible tablets
d4v4.	ABILIFY 5mg tablets
d4vs.	ARIPIPRAZOLE 9.75mg/1.3mL solution for injection
d4vy.	ARIPIPRAZOLE 15mg tablets
d121.	*HEMINEVRIN 192mg capsules
d1d1.	ZOPICLONE 7.5mg tablets
d1f1.	STILNOCT 5mg tablets
d1f3.	ZOLPIDEM TARTRATE 10mg tablets
d1gz.	ZALEPLON 10mg capsules
d215.	DIAZEPAM 10mg tablets
d265.	TAPCLOB 5mg/5mL oral suspension
d46x.	FLUPHENAZINE HYDROCHLORIDE 1mg tablets
d47k.	SERENACE 1.5mg tablets
d4az.	PERICYAZINE 10mg/5mL syrup
d4f1.	DOLMATIL 200mg tablets
d4fz.	SULPIRIDE 200mg tablets
d4g3.	*MELLERIL 50mg tablets
d4gu.	THIORIDAZINE 25mg tablets
d4h2.	*STELAZINE 5mg tablets
d4hv.	*TRIFLUOPERAZINE 10mg m/r caps
d4pB.	RISPERIDONE 6mg tablets
d4pD.	RISPERDAL 0.5mg tablets
d4pP.	RISPERDAL QUICKLET 4mg oro-dispersible tablets
d4ru.	OLANZAPINE 20mg dispersible tablets
d4s9.	SEROQUEL 150mg tablets
o484.	PETHIDINE 100mg/2mL injection
o4d8.	FENTANYL 100micrograms sublingual tablets
o4da.	FENTANYL 200micrograms sublingual tablets
o4dB.	FENCINO 12micrograms/hr patches
o4dd.	ABSTRAL 400micrograms sublingual tablets
o4dF.	FENCINO 100micrograms/hr patches
o4dh.	ABSTRAL 800micrograms sublingual tablets
o4dy.	PECFENT 100micrograms nasal spray
o576.	BUCCOLAM 10mg/2mL oromucosal solution prefilled oral syringe
d4v1.	ABILIFY 10mg tablets
d4wv.	PALIPERIDONE 50mg suspension for injection prefilled syringe
d51a.	DEPIXOL LOW VOLUME 200mg/1mL intramuscular injection
d51u.	FLUPENTIXOL DECANOATE 200mg/1mL intramuscular injection
d52a.	FLUPHENAZINE DECANOATE 100mg/1mL injection
d57z.	ZUCLOPENTHIXOL DECANOATE 500mg/1mL injection
d736.	*ANAFRANIL SR 75mg m/r tablets
d916.	TRIPTAFEN tablets
da62.	SEROXAT 20mg tablets x30
da7A.	EFEXOR XL 150mg m/r capsules
da7W.	VENLALIC XL 150mg m/r tablets
da7Y.	VENLAFAXINE 225mg m/r tablets
da81.	NEFAZODONE HYDROCHLORIDE 100mg tablets
da91.	CITALOPRAM 20mg tablets
daBz.	MIRTAZAPINE 15mg tablets
daC6.	CIPRALEX 5mg tablets
daC7.	ESCITALOPRAM 10mg/mL oral drops
daCA.	ESCITALOPRAM 20mg/mL oral drops
dh11.	SERC 8mg tablets
dh4y.	CYCLIZINE 50mg tablets
dh72.	*MOTILIUM 5mg/5mL suspension
dhbp.	METOCLOPRAMIDE 15mg m/r capsules
dhg1.	AVOMINE 25mg tablets
dhkE.	ZOFRAN 16mg suppositories
dhkO.	SETOFILM 4mg orodispersible film
dhr1.	CINNARIZINE+DIMENHYDRINATE 20mg/40mg tablets
di1c.	NU-SEALS ASPIRIN 300mg e/c tablets
di21.	PARACETAMOL 500mg tablets
di2u.	PARACETAMOL 250mg/5mL sugar free suspension
dia4.	*CO-CODAPRIN tablets
dia6.	CO-DYDRAMOL tablets
dibf.	*PARAMOL tablets
dic3.	ZAPAIN caplets
dj61.	DEXTROPROPOXYPHENE 65mg capsules
