B210.00	Malignant neoplasm of glottis
B56..00	Secondary and unspecified malignant neoplasm of lymph nodes
B525.00	Malignant neoplasm of cauda equina
B3...11	"Carcinoma of bone, connective tissue, skin and breast"
B00..11	Carcinoma of lip
B01..00	Malignant neoplasm of tongue
B057.00	Overlapping lesion of other and unspecified parts of mouth
B222.00	"Malignant neoplasm of upper lobe, bronchus or lung"
B11..11	Gastric neoplasm
B450100	Malignant neoplasm of vaginal vault
B651.00	Chronic myeloid leukaemia
B51..11	Cerebral tumour - malignant
B132.00	Malignant neoplasm of descending colon
B136.00	Malignant neoplasm of ascending colon
B162.00	Malignant neoplasm of ampulla of Vater
B5...00	Malignant neoplasm of other and unspecified sites
B1z..00	Malig neop oth/ill-defined sites digestive tract/peritoneum
B593.00	Primary malignant neoplasm of unknown site
B1z0.11	Cancer of bowel
B454.11	Primary vulval cancer
B621.00	Mycosis fungoides
B6...00	Malignant neoplasm of lymphatic and haemopoietic tissue
B62y.00	Malignant lymphoma NOS
B4A1.00	Malignant neoplasm of renal pelvis
B62x200	Peripheral T-cell lymphoma
B550200	Malignant neoplasm of nose NOS
Byu6.00	[X]Malignant neoplasm of breast
B3...12	Sarcoma of bone and connective tissue
B224100	Malignant neoplasm of lower lobe of lung
B221.00	Malignant neoplasm of main bronchus
B22..00	"Malignant neoplasm of trachea, bronchus and lung"
B4...00	Malignant neoplasm of genitourinary organ
B4A..00	Malig neop of kidney and other unspecified urinary organs
B590.00	Disseminated malignancy NOS
B00..00	Malignant neoplasm of lip
B05..00	Malignant neoplasm of other and unspecified parts of mouth
B11z.00	Malignant neoplasm of stomach NOS
B62yz00	Malignant lymphoma NOS
B626.00	Malignant mast cell tumours
B577.00	Secondary malignant neoplasm of liver
B47..00	Malignant neoplasm of testis
B31z.00	"Malignant neoplasm of connective and soft tissue, site NOS"
B630.12	Myelomatosis
B220.00	Malignant neoplasm of trachea
B4A2.00	Malignant neoplasm of ureter
B62y800	Malignant lymphoma NOS of lymph nodes of multiple sites
B56z.00	Secondary and unspec malig neop lymph nodes NOS
B4A3.00	Malignant neoplasm of urethra
B204.00	Malignant neoplasm of frontal sinus
B1...00	Malignant neoplasm of digestive organs and peritoneum
B510.00	Malignant neoplasm cerebrum (excluding lobes and ventricles)
B16z.00	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS
B552.00	Malignant neoplasm of abdomen
B47z.12	Teratoma of testis
B506.00	Malignant neoplasm of choroid
B30z.00	Malignant neoplasm of bone and articular cartilage NOS
B160.00	Malignant neoplasm of gallbladder
B150000	Primary carcinoma of liver
B572.00	Secondary malignant neoplasm of pleura
B060.00	Malignant neoplasm of tonsil
B550400	Malignant neoplasm of neck NOS
B0z0.00	Malignant neoplasm of pharynx unspecified
B18z.00	Malignant neoplasm of retroperitoneum and peritoneum NOS
B681.00	Chronic leukaemia NOS
B58z.00	Secondary malignant neoplasm of other specified site NOS
B302.00	Malignant neoplasm of vertebral column
B58y000	Secondary malignant neoplasm of breast
B4...11	Carcinoma of genitourinary organ
B151.00	Malignant neoplasm of intrahepatic bile ducts
B432.00	Malignant neoplasm of overlapping lesion of corpus uteri
B6y0.11	Myeloproliferative disease
B627C11	Follicular lymphoma NOS
B221000	Malignant neoplasm of carina of bronchus
B627700	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B300A00	Malignant neoplasm of maxilla
B1z0.00	"Malignant neoplasm of intestinal tract, part unspecified"
B481.00	Malignant neoplasm of glans penis
B181.00	Mesothelioma of peritoneum
B62x.00	Malignant lymphoma otherwise specified
B042.00	"Malignant neoplasm, overlapping lesion of floor of mouth"
B540.11	Phaeochromocytoma
B30..00	Malignant neoplasm of bone and articular cartilage
B3...00	"Malig neop of bone, connective tissue, skin and breast"
B120.00	Malignant neoplasm of duodenum
B58y.00	Secondary malignant neoplasm of other specified sites
B51..00	Malignant neoplasm of brain
B137.00	Malignant neoplasm of splenic flexure of colon
B135.00	Malignant neoplasm of appendix
B562300	Secondary and unspec malig neop common iliac lymph nodes
B585000	Pathological fracture due to metastatic bone disease
B224000	Malignant neoplasm of lower lobe bronchus
B4A..11	Renal malignant neoplasm
B006.00	Malignant neoplasm of overlapping lesion of lip
B630100	Solitary myeloma
B614800	Hodgkin's nodular sclerosis of lymph nodes of multiple sites
B44..00	Malignant neoplasm of ovary and other uterine adnexa
Byu4.00	[X]Melanoma and other malignant neoplasms of skin
B493.00	Malignant neoplasm of anterior wall of urinary bladder
B513.00	Malignant neoplasm of parietal lobe
B112.00	Malignant neoplasm of pyloric antrum of stomach
B311300	Malignant neoplasm of connective and soft tissue of hand
B64..00	Lymphoid leukaemia
B3y..00	"Malig neop of bone, connective tissue, skin and breast OS"
B0...00	"Malignant neoplasm of lip, oral cavity and pharynx"
B35..00	Malignant neoplasm of male breast
B30z000	Osteosarcoma
Byu4100	"[X]Malignant melanoma of skin, unspecified"
B471.00	Malignant neoplasm of descended testis
B582.00	Secondary malignant neoplasm of skin
B660.00	Acute monocytic leukaemia
B04..00	Malignant neoplasm of floor of mouth
B56y.00	Secondary and unspec malig neop lymph nodes multiple sites
B50..00	Malignant neoplasm of eye
B45z.00	Malignant neoplasm of female genital organ NOS
B222.11	Pancoast's syndrome
B02..00	Malignant neoplasm of major salivary glands
B69..00	Myelomonocytic leukaemia
B346.00	Malignant neoplasm of axillary tail of female breast
B630200	Plasmacytoma NOS
B180.00	Malignant neoplasm of retroperitoneum
B602.00	Burkitt's lymphoma
B627C00	Follicular non-Hodgkin's lymphoma
B58y500	Secondary malignant neoplasm of prostate
B111.00	Malignant neoplasm of pylorus of stomach
B221z00	Malignant neoplasm of main bronchus NOS
Byu5011	[X]Mesothelioma of lung
B471000	Seminoma of descended testis
B691.00	Chronic myelomonocytic leukaemia
B581100	Secondary malignant neoplasm of bladder
B630000	"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
B134.11	Carcinoma of caecum
B150300	Hepatocellular carcinoma
B313.00	Malignant neoplasm of connective and soft tissue of thorax
B212.00	Malignant neoplasm of subglottis
B58yz00	Secondary malignant neoplasm of other specified site NOS
B06..00	Malignant neoplasm of oropharynx
B110100	Malignant neoplasm of cardio-oesophageal junction of stomach
B340000	Malignant neoplasm of nipple of female breast
B200.00	Malignant neoplasm of nasal cavities
B344.00	Malignant neoplasm of upper-outer quadrant of female breast
B161.00	Malignant neoplasm of extrahepatic bile ducts
B551100	Malignant neoplasm of chest wall NOS
B180200	Malignant neoplasm of retrocaecal tissue
B524.00	Malig neopl peripheral nerves and autonomic nervous system
B57..12	Secondary carcinoma of respiratory and/or digestive systems
B142.00	Malignant neoplasm of anal canal
B0...11	"Carcinoma of lip, oral cavity and pharynx"
B061.00	Malignant neoplasm of tonsillar fossa
B201.00	"Malig neop auditory tube, middle ear and mastoid air cells"
B07..00	Malignant neoplasm of nasopharynx
B016.00	Malignant neoplasm of lingual tonsil
B68..00	Leukaemia of unspecified cell type
B561300	Secondary and unspec malig neop ant mediastinal lymph nodes
B150.00	Primary malignant neoplasm of liver
B326400	Malignant melanoma of finger
B222100	Malignant neoplasm of upper lobe of lung
B591.00	Other malignant neoplasm NOS
B064000	"Malignant neoplasm of epiglottis, free border"
B211.00	Malignant neoplasm of supraglottis
B152.00	Malignant neoplasm of liver unspecified
B060000	Malignant neoplasm of faucial tonsil
B45X.00	Malignant neoplasm/overlapping lesion/feml genital organs
B20..00	"Malig neop nasal cavities, middle ear and accessory sinuses"
B21y.00	"Malignant neoplasm of larynx, other specified site"
B340.00	Malignant neoplasm of nipple and areola of female breast
B624.00	Leukaemic reticuloendotheliosis
B670.11	Di Guglielmo's disease
B576100	Secondary malignant neoplasm of peritoneum
B601.00	Lymphosarcoma
B554.00	Malignant neoplasm of upper limb NOS
B661.00	Chronic monocytic leukaemia
B240.00	Malignant neoplasm of thymus
B651z00	Chronic myeloid leukaemia NOS
B303.00	"Malignant neoplasm of ribs, sternum and clavicle"
B4A1000	Malignant neoplasm of renal calyces
B45y000	Malignant neoplasm of overlapping lesion of vulva
B58..11	Secondary carcinoma of other specified sites
B65y100	Acute promyelocytic leukaemia
B242.00	Malignant neoplasm of anterior mediastinum
B641.11	Chronic lymphatic leukaemia
B140.00	Malignant neoplasm of rectosigmoid junction
B143.00	Malignant neoplasm of anus unspecified
B420.00	Choriocarcinoma
B560600	Secondary and unspec malig neop of facial lymph nodes
B505.00	Malignant neoplasm of retina
B540.00	Malignant neoplasm of adrenal gland
B13z.00	Malignant neoplasm of colon NOS
B496.00	Malignant neoplasm of ureteric orifice
B675.00	Acute myelofibrosis
B41z.00	Malignant neoplasm of cervix uteri NOS
B08z.00	Malignant neoplasm of hypopharynx NOS
B32z.00	Malignant melanoma of skin NOS
B055z00	Malignant neoplasm of palate NOS
B627000	Follicular non-Hodgkin's small cleaved cell lymphoma
B07z.00	Malignant neoplasm of nasopharynx NOS
B575000	Secondary malignant neoplasm of colon
B521.00	Malignant neoplasm of cerebral meninges
B313000	Malignant neoplasm of connective and soft tissue of axilla
B614.00	"Hodgkin's disease, nodular sclerosis"
B2zy.00	Malignant neoplasm of other site of respiratory tract
B4Az.00	Malignant neoplasm of kidney or urinary organs NOS
B30..12	Osteoma
B342.00	Malignant neoplasm of upper-inner quadrant of female breast
B613z00	"Hodgkin's, lymphocytic-histiocytic predominance NOS"
B18y200	Malignant neoplasm of mesorectum
B050.11	Malignant neoplasm of buccal mucosa
B54..00	Malig neop of other endocrine glands and related structures
Byu5100	"[X]Mesothelioma, unspecified"
B312300	Malig neop of connective and soft tissue of lower leg
B67z.00	Other specified leukaemia NOS
B6y..00	Malignant neoplasm lymphatic or haematopoietic tissue OS
B10z.00	Malignant neoplasm of oesophagus NOS
B49z.00	Malignant neoplasm of urinary bladder NOS
B224.00	"Malignant neoplasm of lower lobe, bronchus or lung"
B150100	Hepatoblastoma of liver
B223.00	"Malignant neoplasm of middle lobe, bronchus or lung"
B626800	Mast cell malignancy of lymph nodes of multiple sites
B050.00	Malignant neoplasm of cheek mucosa
B160.11	Carcinoma gallbladder
B555.00	Malignant neoplasm of lower limb NOS
B341.00	Malignant neoplasm of central part of female breast
B23..00	Malignant neoplasm of pleura
B627B00	Other types of follicular non-Hodgkin's lymphoma
B64y100	Prolymphocytic leukaemia
B43y.00	Malignant neoplasm of other site of uterine body
B222000	Malignant neoplasm of upper lobe bronchus
B651.11	Chronic granulocytic leukaemia
B627W00	Unspecified B-cell non-Hodgkin's lymphoma
B110.00	Malignant neoplasm of cardia of stomach
B030.00	Malignant neoplasm of upper gum
B202.00	Malignant neoplasm of maxillary sinus
B113.00	Malignant neoplasm of fundus of stomach
B302100	Malignant neoplasm of thoracic vertebra
B325100	Malignant melanoma of breast
B41y.00	Malignant neoplasm of other site of cervix
B62..00	Other malignant neoplasm of lymphoid and histiocytic tissue
B65z.00	Myeloid leukaemia NOS
B071000	Malignant neoplasm of adenoid
B560200	Secondary and unspec malig neop superficial cervical LN
B221100	Malignant neoplasm of hilus of lung
B43z.00	Malignant neoplasm of body of uterus NOS
B301.00	Malignant neoplasm of mandible
B583.00	Secondary malignant neoplasm of brain and spinal cord
B122.00	Malignant neoplasm of ileum
B08..00	Malignant neoplasm of hypopharynx
B2...00	Malig neop of respiratory tract and intrathoracic organs
B62y400	Malignant lymphoma NOS of lymph nodes of axilla and arm
B58y600	Secondary malignant neoplasm of testis
B325300	Malignant melanoma of groin
B17z.00	Malignant neoplasm of pancreas NOS
B010000	Malignant neoplasm of base of tongue dorsal surface
B31..00	Malignant neoplasm of connective and other soft tissue
B68y.00	Other leukaemia of unspecified cell type
B23z.00	Malignant neoplasm of pleura NOS
B308300	Malignant neoplasm of medial cuneiform
B625.00	Letterer-Siwe disease
B622.00	Sezary's disease
B163.00	"Malignant neoplasm, overlapping lesion of biliary tract"
B57..00	Secondary malig neop of respiratory and digestive systems
Byu9.00	[X]Malignant neoplasm of urinary tract
Byu1.00	[X]Malignant neoplasm of digestive organs
ByuC.00	"[X]Malignant neoplasm of ill-defined, secondary and unspeci"
ByuA.00	"[X]Malignant neoplasm of eye, brain and other parts of cent"
Byu2.00	[X]Malignant neoplasm of respiratory and intrathoracic orga
B14..00	"Malignant neoplasm of rectum, rectosigmoid junction and anus"
B576000	Secondary malignant neoplasm of retroperitoneum
B173.00	Malignant neoplasm of pancreatic duct
B174.00	Malignant neoplasm of Islets of Langerhans
B66..00	Monocytic leukaemia
B492.00	Malignant neoplasm of lateral wall of urinary bladder
B582200	Secondary malignant neoplasm of skin of neck
B153.00	Secondary malignant neoplasm of liver
B012.00	"Malignant neoplasm of tongue, tip and lateral border"
B575z00	Secondary malig neop of large intestine or rectum NOS
B470300	Teratoma of undescended testis
B225.00	Malignant neoplasm of overlapping lesion of bronchus & lung
B587.00	Secondary malignant neoplasm of adrenal gland
B161211	Carcinoma common bile duct
B04z.00	Malignant neoplasm of floor of mouth NOS
B327800	Malignant melanoma of toe
B49y.00	Malignant neoplasm of other site of urinary bladder
B015.00	"Malignant neoplasm of tongue, junctional zone"
B6...11	Malignant neoplasm of histiocytic tissue
B63..00	Multiple myeloma and immunoproliferative neoplasms
B67..00	Other specified leukaemia
B450.00	Malignant neoplasm of vagina
B64y200	Adult T-cell leukaemia
B671.00	Chronic erythraemia
B054.00	Malignant neoplasm of uvula
B563000	Secondary and unspec malig neop axillary lymph nodes
B05z000	Kaposi's sarcoma of palate
B007.00	"Malignant neoplasm of lip, unspecified"
B052.00	Malignant neoplasm of hard palate
B551000	Malignant neoplasm of axilla NOS
B056.00	Malignant neoplasm of retromolar area
B213100	Malignant neoplasm of cricoid cartilage
B220z00	Malignant neoplasm of trachea NOS
B303000	Malignant neoplasm of rib
B110z00	Malignant neoplasm of cardia of stomach NOS
B327400	Malignant melanoma of lower leg
B05y.00	Malignant neoplasm of other specified mouth parts
B561000	Secondary and unspec malig neop internal mammary lymph nodes
B072000	Malignant neoplasm of pharyngeal recess
B621z00	Mycosis fungoides NOS
B64yz00	Other lymphoid leukaemia NOS
B560700	Secondary and unspec malig neop submental lymph nodes
B34yz00	Malignant neoplasm of other site of female breast NOS
B013z00	Malignant neoplasm of ventral tongue surface NOS
B47z.00	Malignant neoplasm of testis NOS
B325.00	Malignant melanoma of trunk (excluding scrotum)
B5y..00	Malignant neoplasm of other and unspecified site OS
B490.00	Malignant neoplasm of trigone of urinary bladder
B64z.00	Lymphoid leukaemia NOS
B583100	Secondary malignant neoplasm of spinal cord
B4y..00	Malignant neoplasm of genitourinary organ OS
B306z00	"Malignant neoplasm of pelvis, sacrum or coccyx NOS"
B613.00	"Hodgkin's disease, lymphocytic-histiocytic predominance"
B22y.00	Malignant neoplasm of other sites of bronchus or lung
B15z.00	Malignant neoplasm of liver and intrahepatic bile ducts NOS
ByuC000	[X]Malignant neoplasm of other specified sites
B0z2.00	Malignant neoplasm of laryngopharynx
B514.00	Malignant neoplasm of occipital lobe
B631.00	Plasma cell leukaemia
B6y1.00	Myelosclerosis with myeloid metaplasia
B18y500	Malignant neoplasm of pelvic peritoneum
B0zz.00	"Malignant neoplasm of lip, oral cavity and pharynx NOS"
B560500	Secondary and unspec malig neop submandibular lymph nodes
B25..00	"Malig neo, overlapping lesion of heart, mediastinum & pleura"
B063.00	Malignant neoplasm of vallecula
B206.00	"Malignant neoplasm, overlapping lesion of accessory sinuses"
B653100	Granulocytic sarcoma
B627X00	"Diffuse non-Hodgkin's lymphoma, unspecified"
B172.00	Malignant neoplasm of tail of pancreas
B327300	Malignant melanoma of popliteal fossa area
B081.00	Malignant neoplasm of pyriform sinus
B542100	Malignant neoplasm of craniopharyngeal duct
B223100	Malignant neoplasm of middle lobe of lung
B310100	Malignant neoplasm of soft tissue of face
B053.00	Malignant neoplasm of soft palate
B50y.00	Malignant neoplasm of other specified site of eye
B01z.00	Malignant neoplasm of tongue NOS
Byu5.00	[X]Malignant neoplasm of mesothelial and soft tissue
Byu2000	"[X]Malignant neoplasm of bronchus or lung, unspecified"
Byu7.00	[X]Malignant neoplasm of female genital organs
ByuB.00	[X]Malignant neoplasm of thyroid and other endocrine glands
Byu8.00	[X]Malignant neoplasm of male genital organs
ByuD.00	"[X]Malignant neoplasms of lymphoid, haematopoietic and rela"
Byu3.00	[X]Malignant neoplasm of bone and articular cartilage
B171.00	Malignant neoplasm of body of pancreas
B307200	Malignant neoplasm of tibia
B306300	Malignant neoplasm of sacral vertebra
B3z..00	"Malig neop of bone, connective tissue, skin and breast NOS"
B582300	Secondary malignant neoplasm of skin of trunk
B111100	Malignant neoplasm of pyloric canal of stomach
B323000	Malignant melanoma of external surface of cheek
B101.00	Malignant neoplasm of thoracic oesophagus
B60..00	Lymphosarcoma and reticulosarcoma
B327700	Malignant melanoma of foot
ByuA100	"[X]Malignant neoplasm/central nervous system, unspecified"
B51z.00	Malignant neoplasm of brain NOS
B223000	Malignant neoplasm of middle lobe bronchus
B01y.00	Malignant neoplasm of other sites of tongue
B495.00	Malignant neoplasm of bladder neck
B562000	Secondary and unspec malig neop coeliac lymph nodes
B550100	Malignant neoplasm of cheek NOS
B494.00	Malignant neoplasm of posterior wall of urinary bladder
B497.00	Malignant neoplasm of urachus
B345.00	Malignant neoplasm of lower-outer quadrant of female breast
B32y.00	Malignant melanoma of other specified skin site
B115.00	Malignant neoplasm of lesser curve of stomach unspecified
B55y.00	Malignant neoplasm of other specified sites
B105.00	Malignant neoplasm of lower third of oesophagus
B511.00	Malignant neoplasm of frontal lobe
B543.00	Malignant neoplasm of pineal gland
B61zz00	Hodgkin's disease NOS
B670.00	Acute erythraemia and erythroleukaemia
B224z00	"Malignant neoplasm of lower lobe, bronchus or lung NOS"
B2zz.00	Malignant neoplasm of respiratory tract NOS
B62y300	Malignant lymphoma NOS of intra-abdominal lymph nodes
B327500	Malignant melanoma of ankle
B200z00	Malignant neoplasm of nasal cavities NOS
B213.00	Malignant neoplasm of laryngeal cartilage
Byu3300	"[X]Malignant neoplasm/bone+articular cartilage, unspecified"
B06z.00	Malignant neoplasm of oropharynx NOS
B12z.00	Malignant neoplasm of small intestine NOS
B483.00	"Malignant neoplasm of penis, part unspecified"
B03..00	Malignant neoplasm of gum
ByuD000	[X]Other Hodgkin's disease
B010.00	Malignant neoplasm of base of tongue
B41yz00	Malignant neoplasm of other site of cervix NOS
B63z.00	Immunoproliferative neoplasm or myeloma NOS
B325700	Malignant melanoma of back
B310.00	"Malig neop of connective and soft tissue head, face and neck"
B121.00	Malignant neoplasm of jejunum
Byu1100	[X]Other specified carcinomas of liver
B080.00	Malignant neoplasm of postcricoid region
B630.11	Kahler's disease
B114.00	Malignant neoplasm of body of stomach
B30X.00	"Malignant neoplasm/bones+articular cartilage/limb,unspfd"
B011.00	Malignant neoplasm of dorsal surface of tongue
B325600	Malignant melanoma of umbilicus
B451.00	Malignant neoplasm of labia majora
B011z00	Malignant neoplasm of dorsum of tongue NOS
B582000	Secondary malignant neoplasm of skin of head
B431.00	Malignant neoplasm of isthmus of uterine body
B517.00	Malignant neoplasm of brain stem
B18..00	Malignant neoplasm of retroperitoneum and peritoneum
B073.00	Malignant neoplasm of anterior wall of nasopharynx
B222z00	"Malignant neoplasm of upper lobe, bronchus or lung NOS"
B611.00	Hodgkin's granuloma
B623.00	Malignant histiocytosis
B62xX00	Oth and unspecif peripheral & cutaneous T-cell lymphomas
B2z..00	Malig neop other/ill-defined sites resp/intrathoracic organs
B150z00	Primary malignant neoplasm of liver NOS
B300C00	Malignant neoplasm of vomer
B575.00	Secondary malignant neoplasm of large intestine and rectum
B306000	Malignant neoplasm of ilium
B586.00	Secondary malignant neoplasm of ovary
B560800	Secondary and unspec malig neop anterior cervical LN
B312100	Malig neop of connective and soft tissue thigh and upper leg
B4Ay.00	Malignant neoplasm of other urinary organs
B562z00	Secondary and unspec malig neop intra-abdominal LN NOS
B491.00	Malignant neoplasm of dome of urinary bladder
B314.00	Malignant neoplasm of connective and soft tissue of abdomen
B323400	Malignant melanoma of external surface of nose
B516.00	Malignant neoplasm of cerebellum
B343.00	Malignant neoplasm of lower-inner quadrant of female breast
Byu9000	"[X]Malignant neoplasm of urinary organ, unspecified"
Byu8200	"[X]Malignant neoplasm of male genital organ, unspecified"
B620100	"Nodular lymphoma of lymph nodes of head, face and neck"
B55z.00	Malignant neoplasm of other and ill defined site NOS
B324100	Malignant melanoma of neck
B2...11	Carcinoma of respiratory tract and intrathoracic organs
B040.00	Malignant neoplasm of anterior portion of floor of mouth
B430z00	Malignant neoplasm of corpus uteri NOS
B501.00	Malignant neoplasm of orbit
B326200	Malignant melanoma of fore-arm
B325z00	"Malignant melanoma of trunk, excluding scrotum, NOS"
Byu1200	"[X]Malignant neoplasm of intestinal tract, part unspecified"
B430300	Malignant neoplasm of myometrium of corpus uteri
B58y900	Secondary malignant neoplasm of tongue
B508.00	"Malignant neoplasm, overlapping lesion of eye and adnexa"
B041.00	Malignant neoplasm of lateral portion of floor of mouth
B630300	Lambda light chain myeloma
B0z..00	"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
B443.00	Malignant neoplasm of parametrium
B142000	Malignant neoplasm of cloacogenic zone
B327.00	Malignant melanoma of lower limb and hip
B563300	Secondary and unspec malig neop pectoral lymph nodes
B071100	Malignant neoplasm of pharyngeal tonsil
B18y.00	Malignant neoplasm of specified parts of peritoneum
B064.00	Malignant neoplasm of anterior epiglottis
B515000	Malignant neoplasm of choroid plexus
B512.00	Malignant neoplasm of temporal lobe
B545200	Malignant neoplasm of coccygeal body
B302000	Malignant neoplasm of cervical vertebra
B323200	Malignant melanoma of eyebrow
B625z00	Letterer-Siwe disease NOS
B017.00	Malignant overlapping lesion of tongue
B323.00	Malignant melanoma of other and unspecified parts of face
B551.00	Malignant neoplasm of thorax
B565300	Secondary and unspec malig neop sacral lymph nodes
B512z00	Malignant neoplasm of temporal lobe NOS
ByuA300	"[X]Malig neopl, overlap lesion brain & other part of CNS"
B48y100	Malignant neoplasm of tunica vaginalis
B486.00	Malignant neoplasm of scrotum
B49y000	"Malignant neoplasm, overlapping lesion of bladder"
B59..00	Malignant neoplasm of unspecified site
B545100	Malignant neoplasm of aortic body
B213300	Malignant neoplasm of thyroid cartilage
B451000	Malignant neoplasm of greater vestibular (Bartholin's) gland
B510000	Malignant neoplasm of basal ganglia
B13y.00	Malignant neoplasm of other specified sites of colon
B111000	Malignant neoplasm of prepylorus of stomach
B310200	Malignant neoplasm of soft tissue of neck
B065.00	Malignant neoplasm of junctional region of epiglottis
B17y.00	Malignant neoplasm of other specified sites of pancreas
B482.00	Malignant neoplasm of body of penis
B35zz00	Malignant neoplasm of male breast NOS
B410.00	Malignant neoplasm of endocervix
B582500	Secondary malignant neoplasm of skin of hip and leg
B304000	Malignant neoplasm of scapula
B517100	Malignant neoplasm of medulla oblongata
B58y700	Secondary malignant neoplasm of penis
B347.00	"Malignant neoplasm, overlapping lesion of breast"
B560.00	Secondary and unspec malig neop lymph nodes head/face/neck
B627200	Follicular non-Hodgkin's large cell lymphoma
Byu1300	[X]Malignant neoplsm/ill-defin sites within digestive system
B6z..00	Malignant neoplasm lymphatic or haematopoietic tissue NOS
B031.00	Malignant neoplasm of lower gum
B430211	Malignant neoplasm of endometrium
B310400	Malignant neoplasm of tarsus of eyelid
B303100	Malignant neoplasm of sternum
B59zX00	"Kaposi's sarcoma, unspecified"
B615.00	"Hodgkin's disease, mixed cellularity"
B302z00	Malignant neoplasm of vertebral column NOS
B523.00	Malignant neoplasm of spinal meninges
B64y.00	Other lymphoid leukaemia
B0zy.00	"Malignant neoplasm of other sites lip, oral cavity, pharynx"
B325000	Malignant melanoma of axilla
B441.00	Malignant neoplasm of fallopian tube
B52X.00	"Malignant neoplasm of meninges, unspecified"
B545.00	Malignant neoplasm of aortic body and other paraganglia
B306500	Malignant sacral teratoma
B563.00	Secondary and unspec malig neop axilla and upper limb LN
B311000	Malignant neoplasm of connective and soft tissue of shoulder
B410z00	Malignant neoplasm of endocervix NOS
B241z00	Malignant neoplasm of heart NOS
B6z0.00	Kaposi's sarcoma of lymph nodes
Byu2500	"[X]Malignant neoplasm of mediastinum, part unspecified"
B000100	"Malignant neoplasm of upper lip, lipstick area"
B411.00	Malignant neoplasm of exocervix
B300500	Malignant neoplasm of orbital bone
B300900	Malignant neoplasm of zygomatic bone
B307100	Malignant neoplasm of fibula
