CTV3ID	CTV3PreferredTermDesc	CTV3Source
B0622	Malignant tumour of anterior tonsillar pillar	CTV3Map_Code_And_Term
B062z	Malignant neoplasm of tonsillar fossa NOS	CTV3Map_Code_And_Term
B063.	Malignant tumour of vallecula	CTV3Map_Code_And_Term
B064.	Malignant neoplasm of anterior epiglottis	CTV3Map_Code_And_Term
B0640	Malignant neoplasm of epiglottis, free border	CTV3Map_Code_And_Term
B0641	Malignant neoplasm of glossoepiglottic fold	CTV3Map_Code_And_Term
B064z	Malignant neoplasm of anterior epiglottis NOS	CTV3Map_Code_And_Term
B065.	Malignant neoplasm of junctional region of epiglottis	CTV3Map_Code_And_Term
B066.	Malignant neoplasm of lateral wall of oropharynx	CTV3Map_Code_And_Term
B067.	Malignant tumour of posterior wall of oropharynx	CTV3Map_Code_And_Term
B06y.	Malignant neoplasm of oropharynx, other specified sites	CTV3Map_Code_And_Term
B06y0	Malignant tumour of branchial cleft	CTV3_Children
B06yz	Malignant neoplasm of other specified site of oropharynx NOS	CTV3Map_Code_And_Term
B06z.	Malignant neoplasm of oropharynx NOS	CTV3Map_Code_And_Term
B07..	Malignant tumour of nasopharynx	CTV3Map_Code_And_Term
B070.	Malignant tumour of roof of nasopharynx	CTV3Map_Code_And_Term
B071.	Malignant tumour of posterior wall of nasopharynx	CTV3Map_Code_And_Term
B0710	Malignant tumour of adenoid	CTV3Map_Code_And_Term
B071z	Malignant neoplasm of posterior wall of nasopharynx NOS	CTV3Map_Code_And_Term
B072.	Malignant tumour of lateral wall of nasopharynx	CTV3Map_Code_And_Term
B0720	Malignant tumour of pharyngeal recess	CTV3Map_Code_And_Term
B0721	Malignant tumour of opening of auditory tube	CTV3_Children
B072z	Malignant neoplasm of lateral wall of nasopharynx NOS	CTV3Map_Code_And_Term
B073.	Malignant tumour of anterior wall of nasopharynx	CTV3Map_Code_And_Term
B0730	Malignant neoplasm of floor of nasopharynx	CTV3_Children
B0731	Malignant tumour of nasopharyngeal soft palate surface	CTV3Map_Code_And_Term
B0732	Malignant tumour posterior margin nasal septum and choanae	CTV3Map_Code_And_Term
B073z	Malignant neoplasm of anterior wall of nasopharynx NOS	CTV3Map_Code_And_Term
B074.	Malignant neoplasm, overlapping lesion of nasopharynx	CTV3Map_Code_And_Term
B07y.	Malignant neoplasm of other specified site of nasopharynx	CTV3Map_Code_And_Term
B07z.	Malignant neoplasm of nasopharynx NOS	CTV3Map_Code_And_Term
B08..	Malignant tumour of hypopharynx	CTV3Map_Code_And_Term
B080.	Malignant tumour of postcricoid region	CTV3Map_Code_And_Term
B081.	Malignant tumour of pyriform fossa	CTV3Map_Code_And_Term
B082.	Malignant tumour aryepiglottic fold - hypopharyngeal aspect	CTV3Map_Code_And_Term
B083.	Malignant neoplasm of posterior pharynx	CTV3Map_Code_And_Term
B084.	Malignant neoplasm, overlapping lesion of hypopharynx	CTV3_Children
B08y.	Malignant neoplasm of other specified hypopharyngeal site	CTV3Map_Code_And_Term
B08z.	Malignant neoplasm of hypopharynx NOS	CTV3Map_Code_And_Term
B0z..	Malig neop other/ill-defined sites lip, oral cavity, pharynx	CTV3Map_Code_And_Term
B0z0.	Malignant neoplasm of pharynx unspecified	CTV3Map_Code_And_Term
B0z1.	Malignant tumour of Waldeyer's ring	CTV3Map_Code_And_Term
B0zy.	Malignant neoplasm of other sites lip, oral cavity, pharynx	CTV3Map_Code_And_Term
B0zz.	Malignant neoplasm of lip, oral cavity and pharynx NOS	CTV3Map_Code_And_Term
B1...	Malig neoplasm digest organs and peritoneum (& [carcinoma])	CTV3_Children
B10..	Malignant tumour of oesophagus	CTV3Map_Code_And_Term
B100.	Malignant tumour of cervical part of oesophagus	CTV3Map_Code_And_Term
B101.	Malignant tumour of thoracic part of oesophagus	CTV3Map_Code_And_Term
B102.	Malignant tumour of abdominal part of oesophagus	CTV3Map_Code_And_Term
B103.	Malignant tumour of upper third of oesophagus	CTV3Map_Code_And_Term
B104.	Malignant tumour of middle third of oesophagus	CTV3Map_Code_And_Term
B105.	Malignant tumour of lower third of oesophagus	CTV3Map_Code_And_Term
B106.	Malignant neoplasm, overlapping lesion of oesophagus	CTV3Map_Code_And_Term
B10y.	Malignant neoplasm of other specified part of oesophagus	CTV3Map_Code_And_Term
B10z.	(Malignant neoplasm of oesophagus NOS or oesophageal cancer	CTV3_Children
B11..	(Malignant neoplasm of stomach) or (gastric neoplasm)	CTV3_Children
B110.	Malignant tumour of cardia	CTV3Map_Code_And_Term
B1100	Malignant neoplasm of cardiac orifice of stomach	CTV3Map_Code_And_Term
B1101	Malignant neoplasm of cardio-oesophageal junction of stomach	CTV3Map_Code_And_Term
B110z	Malignant neoplasm of cardia of stomach NOS	CTV3Map_Code_And_Term
B111.	Malignant tumour of pylorus	CTV3Map_Code_And_Term
B1110	Malignant neoplasm of prepylorus of stomach	CTV3Map_Code_And_Term
B1111	Malignant neoplasm of pyloric canal of stomach	CTV3Map_Code_And_Term
B111z	Malignant neoplasm of pylorus of stomach NOS	CTV3Map_Code_And_Term
B112.	Malignant tumour of pyloric antrum	CTV3Map_Code_And_Term
B113.	Malignant tumour of fundus of stomach	CTV3Map_Code_And_Term
B114.	Malignant tumour of body of stomach	CTV3Map_Code_And_Term
B115.	Malignant neoplasm of lesser curve of stomach unspecified	CTV3Map_Code_And_Term
B116.	Malignant neoplasm of greater curve of stomach unspecified	CTV3Map_Code_And_Term
B117.	Malignant neoplasm, overlapping lesion of stomach	CTV3Map_Code_And_Term
B11y.	Malignant neoplasm of other specified site of stomach	CTV3Map_Code_And_Term
B11y0	Malignant neoplasm of anterior wall of stomach NEC	CTV3Map_Code_And_Term
B11y1	Malignant neoplasm of posterior wall of stomach NEC	CTV3Map_Code_And_Term
B11yz	Malignant neoplasm of other specified site of stomach NOS	CTV3Map_Code_And_Term
B11z.	Malignant neoplasm of stomach NOS	CTV3Map_Code_And_Term
B12..	Malignant neoplasm of small intestine and duodenum	CTV3Map_Code_And_Term
B120.	Malignant tumour of duodenum	CTV3Map_Code_And_Term
B121.	Malignant tumour of jejunum	CTV3Map_Code_And_Term
B122.	Malignant tumour of ileum	CTV3Map_Code_And_Term
B123.	Malignant tumour of Meckel's diverticulum	CTV3Map_Code_And_Term
B124.	Malignant neoplasm, overlapping lesion of small intestine	CTV3Map_Code_And_Term
B12y.	Malignant neoplasm of other specified site small intestine	CTV3Map_Code_And_Term
B12z.	Malignant neoplasm of small intestine NOS	CTV3Map_Code_And_Term
B13..	Malignant tumour of colon	CTV3Map_Code_And_Term
B130.	Malignant tumour of hepatic flexure	CTV3Map_Code_And_Term
B131.	Malignant tumour of transverse colon	CTV3Map_Code_And_Term
B132.	Malignant tumour of descending colon	CTV3Map_Code_And_Term
B133.	Malignant tumour of sigmoid colon	CTV3Map_Code_And_Term
B134.	Malignant neoplasm of caecum (& carcinoma)	CTV3_Children
B135.	Malignant tumour of appendix	CTV3Map_Code_And_Term
B136.	Malignant tumour of ascending colon	CTV3Map_Code_And_Term
B137.	Malignant tumour of splenic flexure	CTV3Map_Code_And_Term
B138.	Malignant neoplasm, overlapping lesion of colon	CTV3Map_Code_And_Term
B13y.	Malignant neoplasm of other specified sites of colon	CTV3Map_Code_And_Term
B13z.	Malignant neoplasm of colon (& NOS)	CTV3_Children
B14..	Malignant neoplasm of rectum, rectosigmoid junction and anus	CTV3Map_Code_And_Term
B140.	Malignant tumour of rectosigmoid junction	CTV3Map_Code_And_Term
B141.	Malignant neoplasm of rectum (& carcinoma)	CTV3_Children
B142.	Malignant neoplasm of anal canal (& anal carcinoma)	CTV3_Children
B143.	Malignant neoplasm of anus unspecified	CTV3Map_Code_And_Term
B14y.	Malig neop other site rectum, rectosigmoid junction and anus	CTV3Map_Code_And_Term
B14z.	Malignant neoplasm rectum,rectosigmoid junction and anus NOS	CTV3Map_Code_And_Term
B15..	Malignant neoplasm of liver and intrahepatic bile ducts	CTV3Map_Code_And_Term
B150.	Primary malignant neoplasm of liver	CTV3Map_Code_And_Term
B1500	Primary carcinoma of liver	CTV3Map_Code_And_Term
B1501	Hepatoblastoma of liver	CTV3Map_Code_And_Term
B1503	Hepatocellular carcinoma	CTV3Map_Code_And_Term
B150z	Primary malignant neoplasm of liver NOS	CTV3Map_Code_And_Term
B151.	Malignant neoplasm of intrahepatic bile ducts	CTV3Map_Code_And_Term
B1510	Malignant neoplasm of interlobular bile ducts	CTV3Map_Code_And_Term
B1511	Malignant neoplasm of interlobular biliary canals	CTV3Map_Code_And_Term
B1512	Malignant neoplasm of intrahepatic biliary passages	CTV3Map_Code_And_Term
B1513	Malignant neoplasm of intrahepatic canaliculi	CTV3_Children
B1514	Malignant neoplasm of intrahepatic gall duct	CTV3Map_Code_And_Term
B151z	Malignant neoplasm of intrahepatic bile ducts NOS	CTV3Map_Code_And_Term
B152.	Malignant neoplasm of liver unspecified	CTV3Map_Code_And_Term
B15z.	Malignant neoplasm of liver and intrahepatic bile ducts NOS	CTV3Map_Code_And_Term
B16..	Malignant tumour of biliary tract	CTV3Map_Code_And_Term
B160.	Malignant neoplasm of gallbladder (& carcinoma)	CTV3_Children
B161.	Malignant tumour of extrahepatic bile duct	CTV3Map_Code_And_Term
B1610	Malignant neoplasm of cystic duct	CTV3Map_Code_And_Term
B1611	Malignant neoplasm of hepatic duct	CTV3Map_Code_And_Term
B1612	Malignant neoplasm of common bile duct (& [carcinoma])	CTV3_Children
B1613	Malignant neoplasm of sphincter of Oddi	CTV3Map_Code_And_Term
B161z	Malignant neoplasm of extrahepatic bile ducts NOS	CTV3Map_Code_And_Term
B162.	Malignant tumour of ampulla of Vater	CTV3Map_Code_And_Term
B163.	Malignant neoplasm, overlapping lesion of biliary tract	CTV3Map_Code_And_Term
B16y.	Malignant neoplasm other gallbladder/extrahepatic bile duct	CTV3Map_Code_And_Term
B16z.	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS	CTV3Map_Code_And_Term
B17..	Malignant tumour of pancreas	CTV3Map_Code_And_Term
B170.	Malignant tumour of head of pancreas	CTV3Map_Code_And_Term
B171.	Malignant tumour of body of pancreas	CTV3Map_Code_And_Term
B172.	Malignant tumour of tail of pancreas	CTV3Map_Code_And_Term
B173.	Malignant tumour of pancreatic duct	CTV3Map_Code_And_Term
B174.	Malignant tumour of Islets of Langerhans	CTV3Map_Code_And_Term
B175.	Malignant neoplasm, overlapping lesion of pancreas	CTV3Map_Code_And_Term
B17y.	Malignant neoplasm of other specified sites of pancreas	CTV3Map_Code_And_Term
B17y0	Malignant neoplasm of ectopic pancreatic tissue	CTV3Map_Code_And_Term
B17yz	Malignant neoplasm of specified site of pancreas NOS	CTV3Map_Code_And_Term
B17z.	Malignant neoplasm of pancreas NOS	CTV3Map_Code_And_Term
B18..	Malignant tumour of peritoneum and retroperitoneum	CTV3Map_Code_And_Term
B180.	Malignant retroperitoneal tumour	CTV3Map_Code_And_Term
B1800	Malignant neoplasm of periadrenal tissue	CTV3_Children
B1801	Malignant neoplasm of perinephric tissue	CTV3Map_Code_And_Term
B1802	Malignant neoplasm of retrocaecal tissue	CTV3Map_Code_And_Term
B180z	Malignant neoplasm of retroperitoneum NOS	CTV3Map_Code_And_Term
B182.	Overlapping malign lesion of retroperitoneum and peritoneum	CTV3Map_Code_And_Term
B18y.	Malignant neoplasm of specified parts of peritoneum	CTV3Map_Code_And_Term
B18y0	Malignant neoplasm of mesocolon	CTV3_Children
B18y1	Malignant neoplasm of mesocaecum	CTV3Map_Code_And_Term
B18y2	Malignant neoplasm of mesorectum	CTV3Map_Code_And_Term
B18y3	Malignant neoplasm of omentum	CTV3Map_Code_And_Term
B18y4	Malignant neoplasm of parietal peritoneum	CTV3Map_Code_And_Term
B18y5	Malignant neoplasm of pelvic peritoneum	CTV3Map_Code_And_Term
B18y6	Malignant neoplasm of the pouch of Douglas	CTV3Map_Code_And_Term
B18yz	Malignant neoplasm of specified parts of peritoneum NOS	CTV3Map_Code_And_Term
B18z.	Malignant neoplasm of retroperitoneum and peritoneum NOS	CTV3Map_Code_And_Term
B1z..	Malig neop oth/ill-defined sites digestive tract/peritoneum	CTV3Map_Code_And_Term
B1z0.	Malignant neoplasm of intestinal tract, part unspecified	CTV3Map_Code_And_Term
B1z2.	Malignant neoplasm, overlapping lesion of digestive system	CTV3Map_Code_And_Term
B1zy.	Malignant neoplasm other spec digestive tract and peritoneum	CTV3Map_Code_And_Term
B1zz.	Malignant neoplasm of digestive tract and peritoneum NOS	CTV3Map_Code_And_Term
B2...	Malign neopl resp tract and intrathor organs (& [carcinoma])	CTV3_Children
B20..	Malig neop nasal cavities, middle ear and accessory sinuses	CTV3Map_Code_And_Term
B200.	Malignant tumour of nasal cavity	CTV3Map_Code_And_Term
B2000	Malignant neoplasm of cartilage of nose	CTV3Map_Code_And_Term
B2001	Malignant neoplasm of nasal conchae	CTV3Map_Code_And_Term
B2002	Malignant tumour of nasal septum	CTV3Map_Code_And_Term
B2003	Malignant tumour of nasal vestibule	CTV3Map_Code_And_Term
B200z	Malignant neoplasm of nasal cavities NOS	CTV3Map_Code_And_Term
B201.	Malig neop auditory tube, middle ear and mastoid air cells	CTV3Map_Code_And_Term
B2010	Malignant tumour of Eustachian tube	CTV3Map_Code_And_Term
B2011	Malignant tumour of tympanic cavity	CTV3Map_Code_And_Term
B2012	Malignant tumour of tympanic antrum	CTV3Map_Code_And_Term
B2013	Malignant tumour of mastoid air cells	CTV3Map_Code_And_Term
B201z	Malig neop auditory tube, middle ear, mastoid air cells NOS	CTV3Map_Code_And_Term
B202.	Malignant tumour of maxillary sinus	CTV3Map_Code_And_Term
B203.	Malignant tumour of ethmoid sinus	CTV3Map_Code_And_Term
B204.	Malignant tumour of frontal sinus	CTV3Map_Code_And_Term
B205.	Malignant tumour of sphenoid sinus	CTV3Map_Code_And_Term
B206.	Malignant neoplasm, overlapping lesion of accessory sinuses	CTV3Map_Code_And_Term
B20y.	Malig neop other site nasal cavity, middle ear and sinuses	CTV3Map_Code_And_Term
B20z.	Malignant neoplasm of accessory sinus NOS	CTV3Map_Code_And_Term
B21..	Malignant tumour of larynx	CTV3Map_Code_And_Term
B210.	Malignant tumour of glottis	CTV3Map_Code_And_Term
B211.	Malignant tumour of supraglottis	CTV3Map_Code_And_Term
B212.	Malignant tumour of subglottis	CTV3Map_Code_And_Term
B213.	Malignant tumour of laryngeal cartilage	CTV3Map_Code_And_Term
B2130	Malignant neoplasm of arytenoid cartilage	CTV3Map_Code_And_Term
B2131	Malignant neoplasm of cricoid cartilage	CTV3Map_Code_And_Term
B2132	Malignant neoplasm of cuneiform cartilage	CTV3Map_Code_And_Term
B2133	Malignant neoplasm of thyroid cartilage	CTV3Map_Code_And_Term
B213z	Malignant neoplasm of laryngeal cartilage NOS	CTV3Map_Code_And_Term
B214.	Malignant neoplasm, overlapping lesion of larynx	CTV3Map_Code_And_Term
B21y.	Malignant neoplasm of larynx, other specified site	CTV3Map_Code_And_Term
B21z.	Malignant neoplasm of larynx NOS	CTV3Map_Code_And_Term
B24..	Malignant neoplasm of thymus, heart and mediastinum	CTV3Map_Code_And_Term
B240.	Malignant tumour of thymus	CTV3Map_Code_And_Term
B241.	Malignant tumour of heart	CTV3Map_Code_And_Term
B2410	Malignant tumour of endocardium	CTV3Map_Code_And_Term
B2411	Malignant neoplasm of epicardium	CTV3_Children
B2412	Malignant tumour of myocardium	CTV3Map_Code_And_Term
B2413	Malignant neoplasm of pericardium	CTV3Map_Code_And_Term
B241z	Malignant neoplasm of heart NOS	CTV3Map_Code_And_Term
B242.	Malignant neoplasm of anterior mediastinum	CTV3Map_Code_And_Term
B243.	Malignant neoplasm of posterior mediastinum	CTV3Map_Code_And_Term
B24y.	Malig neop of other site of heart, thymus and mediastinum	CTV3Map_Code_And_Term
B24z.	Malignant neoplasm of heart, thymus and mediastinum NOS	CTV3Map_Code_And_Term
B25..	Malig neo, overlapping lesion of heart, mediastinum & pleura	CTV3Map_Code_And_Term
B26..	Malignant neoplasm, overlap lesion of resp & intrathor orgs	CTV3Map_Code_And_Term
B2z..	Malig neop other/ill-defined sites resp/intrathoracic organs	CTV3Map_Code_And_Term
B2z0.	Malig neop of upper respiratory tract, part unspecified	CTV3Map_Code_And_Term
B3...	[Mal neop][carc] bone (& [sarc]), connect tiss, skin, breast	CTV3_Children
B30..	Malig neopl bone and artic cartilag (& [chondroma][osteoma])	CTV3_Children
B300.	Malignant neoplasm of bones of skull and face	CTV3Map_Code_And_Term
B3000	Malignant neoplasm of ethmoid bone	CTV3Map_Code_And_Term
B3001	Malignant neoplasm of frontal bone	CTV3Map_Code_And_Term
B3002	Malignant neoplasm of malar bone	CTV3Map_Code_And_Term
B3003	Malignant neoplasm of nasal bone	CTV3Map_Code_And_Term
B3004	Malignant neoplasm of occipital bone	CTV3Map_Code_And_Term
B3005	Malignant neoplasm of orbital bone	CTV3Map_Code_And_Term
B3006	Malignant neoplasm of parietal bone	CTV3Map_Code_And_Term
B3007	Malignant neoplasm of sphenoid bone	CTV3Map_Code_And_Term
B3008	Malignant neoplasm of temporal bone	CTV3Map_Code_And_Term
B3009	Malignant neoplasm of zygomatic bone	CTV3Map_Code_And_Term
B300A	Malignant neoplasm of maxilla	CTV3Map_Code_And_Term
B300B	Malignant neoplasm of turbinate	CTV3Map_Code_And_Term
B300C	Malignant neoplasm of vomer	CTV3Map_Code_And_Term
B300z	Malignant neoplasm of bones of skull and face NOS	CTV3Map_Code_And_Term
B301.	Malignant neoplasm of mandible	CTV3Map_Code_And_Term
B302.	Malignant neoplasm of vertebral column	CTV3Map_Code_And_Term
B3020	Malignant neoplasm of cervical vertebra	CTV3Map_Code_And_Term
B3021	Malignant neoplasm of thoracic vertebra	CTV3Map_Code_And_Term
B3022	Malignant neoplasm of lumbar vertebra	CTV3Map_Code_And_Term
B302z	Malignant neoplasm of vertebral column NOS	CTV3Map_Code_And_Term
B303.	Malignant neoplasm of ribs, sternum and clavicle	CTV3Map_Code_And_Term
B3030	Malignant neoplasm of rib	CTV3Map_Code_And_Term
B3031	Malignant neoplasm of sternum	CTV3Map_Code_And_Term
B3032	Malignant neoplasm of clavicle	CTV3Map_Code_And_Term
B3033	Malignant neoplasm of costal cartilage	CTV3Map_Code_And_Term
B3034	Malignant neoplasm of costovertebral joint	CTV3Map_Code_And_Term
B3035	Malignant neoplasm of xiphoid process	CTV3Map_Code_And_Term
B303z	Malignant neoplasm of rib, sternum and clavicle NOS	CTV3Map_Code_And_Term
B304.	Malignant neoplasm of scapula and long bones of upper arm	CTV3Map_Code_And_Term
B3040	Malignant neoplasm of scapula	CTV3Map_Code_And_Term
B3041	Malignant neoplasm of acromion	CTV3Map_Code_And_Term
B3042	Malignant neoplasm of humerus	CTV3Map_Code_And_Term
B3043	Malignant neoplasm of radius	CTV3Map_Code_And_Term
B3044	Malignant neoplasm of ulna	CTV3Map_Code_And_Term
B304z	Malig neop of scapula and long bones of upper arm NOS	CTV3Map_Code_And_Term
B305.	Malign neoplasm hand bones (& [carpals] or [metacarpals])	CTV3_Children
B3050	Malignant neoplasm of carpal bone - scaphoid	CTV3Map_Code_And_Term
B3051	Malignant neoplasm of carpal bone - lunate	CTV3Map_Code_And_Term
B3052	Malignant neoplasm of carpal bone - triquetrum	CTV3_Children
B3053	Malignant neoplasm of carpal bone - pisiform	CTV3_Children
B3054	Malignant neoplasm of carpal bone - trapezium	CTV3_Children
B3055	Malignant neoplasm of carpal bone - trapezoid	CTV3_Children
B3056	Malignant neoplasm of carpal bone - capitate	CTV3_Children
B3057	Malignant neoplasm of carpal bone - hamate	CTV3_Children
B3058	Malignant neoplasm of first metacarpal bone	CTV3Map_Code_And_Term
B3059	Malignant neoplasm of second metacarpal bone	CTV3_Children
B305A	Malignant neoplasm of third metacarpal bone	CTV3Map_Code_And_Term
B305B	Malignant neoplasm of fourth metacarpal bone	CTV3_Children
B305C	Malignant neoplasm of fifth metacarpal bone	CTV3Map_Code_And_Term
B305D	Malignant neoplasm of phalanges of hand	CTV3Map_Code_And_Term
B305z	Malignant neoplasm of hand bones NOS	CTV3Map_Code_And_Term
B306.	Malignant neoplasm of pelvic bones, sacrum and coccyx	CTV3Map_Code_And_Term
B3060	Malignant neoplasm of ilium	CTV3Map_Code_And_Term
B3061	Malignant neoplasm of ischium	CTV3Map_Code_And_Term
