X78RN	Tumour of skin
Xa99a	Spindle cell melanoma
Xa99X	Lentigo maligna
Xa99X	Lentigo maligna
Xa99X	LM - Lentigo maligna
XaBAw	Malignant blue naevus of skin
XaBAw	Malignant blue naevus of skin
XE1vh	Other malignant neoplasm of skin
XE1vh	Other malignant neoplasm of skin
XE1z5	Ca skin - other NOS
XE1z5	Ca skin - other NOS
XE1zv	Malignant melanoma of eye
XM0Af	Clear cell sarcoma
XM0Af	Clear cell sarcoma
XM0Af	Malignant melanoma of soft tissue
XM1FF	Cylindroma of skin
XM1FF	Dermal cylindroma
XM1FF	Eccrine dermal cylindroma
XM1FF	Eccrine dermal cylindroma
XM1FF	Spiegler's tumour
XM1FF	Turban tumour
B7684	Melanocytic naevi of scalp and neck
B7684	Melanocytic naevi of scalp and neck
BB1..	[M]Epithelial neoplasms NOS
BB1..	[M]Epithelial neoplasms NOS
BB1z.	[M]Unspecified epithelial neoplasm
BB1z.	[M]Unspecified epithelial neoplasm
ByuGN	[X]Melanocytic naevi, unspecified
ByuGN	[X]Melanocytic naevi, unspecified
X77mu	Epithelial tumour
X77mu	Epithelial tumour
X78h1	Malignant neoplasm of sebaceous gland
X78h1	Malignant neoplasm of sebaceous gland
X78h7	Malignant neoplasm of sweat gland
X78h7	Malignant neoplasm of sweat gland
X78Uv	Benign melanocytic naevus of skin
X78Uv	Melanocytic naevus of skin
X78Uv	Pigmented naevus of skin
XM1ML	Epithelioma basal cell
XM1ML	Epithelioma basal cell
B22..	Malignant neoplasm of trachea, bronchus and lung
B22..	Malignant neoplasm of trachea, bronchus and lung
B22z.	Malignant neoplasm lung: [of bronchus or lung NOS] or [lung cancer]
B500.	Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid
B500.	Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid
B500z	Malignant neoplasm of eyeball NOS
B500z	Malignant neoplasm of eyeball NOS
B506.	Malignant neoplasm of choroid
B506.	Malignant tumour of choroid
B506.	Malignant tumour of choroid
X78QG	Adenocarcinoma of lung
X78QG	Adenocarcinoma of lung
X78QK	Large cell carcinoma of lung
X78QK	Large cell carcinoma of lung
X78QN	SCLC - Small cell lung cancer
X78QN	Small cell carcinoma of lung
X78QN	Small cell carcinoma of lung
X78QN	Small cell lung cancer
X78QS	Non-small cell lung cancer
X78QS	Non-small cell lung cancer
X78QS	NSCLC - Non-small cell lung cancer
X78Ra	Ferguson-Smith tumour
X78Ra	Multiple self-healing epithelioma of Ferguson-Smith
X78Ra	Multiple self-healing epithelioma of Ferguson-Smith
X78Um	Lymphangiosarcoma of skin
X78Um	Lymphangiosarcoma of skin
X78Um	Lymphangiosarcoma of Stewart and Treves
X78Um	Stewart-Treves syndrome
Xa0ZO	Trichoblastoma
Xa0ZO	Trichoblastoma
XaBAp	Alveolar cell carcinoma
XaBAp	Bronchiolar adenocarcinoma
XaBAp	Bronchiolar carcinoma
XaBAp	Bronchioloalveolar adenocarcinoma
XaBAp	Bronchioloalveolar adenocarcinoma of lung
XaBAp	Bronchioloalveolar adenocarcinoma of lung
XaBAp	Bronchioloalveolar carcinoma
XE1yF	(Bronchus carcinoma) or (lung carcinoma) or (Ca trachea/bronchus/lung)
XE1yF	Ca trachea/bronchus/lung
XE1yR	Ca trachea/bronchus/lung NOS
XE1yR	Ca trachea/bronchus/lung NOS
^ESCTFE534783	Ferguson-Smith tumor
^ESCTFE534784	Ferguson-Smith tumour
^ESCTLY351613	Lymphangiosarcoma of Stewart and Treves
^ESCTLY351614	Lymphangiosarcoma of skin
^ESCTMA624679	Malignant tumour of choroid
^ESCTMA624680	Malignant tumor of choroid
^ESCTNS534730	NSCLC - Non-small cell lung cancer
^ESCTPO351612	Postmastectomy lymphangiosarcoma syndrome
^ESCTSC534717	SCLC - Small cell lung cancer
^ESCTSM534716	Small cell carcinoma of lung
B33A.	Stewart-Treves syndrome
B33A.00	Stewart-Treves syndrome
B500z	Malignant neoplasm of eyeball NOS
B500z00	Malignant neoplasm of eyeball NOS
B76..	Benign neoplasm of skin
B76..00	Benign neoplasm of skin
B76..14	Mole of skin
B8...12	Erythroplasia
BB3H.	[M]Trichoblastoma
BB3H.00	[M]Trichoblastoma
BBEF.11	[M]Lentigo maligna
M2yz.11	Skin lesion
188261005	Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid (disorder)
254626006	Adenocarcinoma of lung (disorder)
254629004	Large cell carcinoma of lung (disorder)
254632001	Small cell carcinoma of lung (disorder)
254637007	Non-small cell lung cancer (disorder)
254659009	Multiple self-healing epithelioma of Ferguson-Smith (disorder)
277942005	Trichoblastoma (disorder)
363466008	Malignant tumor of choroid (disorder)
430621000	Malignant neoplasm of lower respiratory tract (disorder)
62497000	Stewart-Treves syndrome (disorder)
M21z1	Achrochordon
M21z1	Skin tag
M21z1	Skin tag
M21z1	SKT - Skin tag
M21z1	Soft fibroma
M21z1	Soft papilloma
X75uF	Naevus
X75uF	Naevus
X77nm	Hidradenoma
X77nm	Hidradenoma
X77nm	Nodular hidradenoma
X77nm	Syringadenoma
X77oP	Benign melanocytic naevus
X77oP	Benign melanocytic naevus
X78ob	Syringoadenoma
X78ob	Syringoadenoma
X78od	Skin tag NOS
X78od	Skin tag NOS
X78oe	Papilloma of skin
X78oe	Papilloma of skin
X78Tj	Fibrous histiocytoma of skin
X78Tj	Fibrous histiocytoma of skin
X78Tl	Fibrous xanthoma of skin
X78Tl	Fibrous xanthoma of skin
X78V2	Blue naevus of skin
X78V2	Blue naevus of skin
Xa07S	[M]Hairy naevus NOS
Xa07S	[M]Hairy naevus NOS
Xa07S	[M]Pigmented naevus NOS
Xa3eV	Skin - benign mole and naevus
Xa3eV	Skin - benign mole and naevus
Xa98h	Syringoma
Xa98h	Syringoma
Xa99Q	Melanocytic naevus
Xa99Q	Pigmented naevus
Xa99Q	Pigmented naevus
XE20h	(Benign naevus &/or mole [& skin]) or (skin papilloma NOS)
XE20h	(Benign naevus &/or mole [& skin]) or (skin papilloma NOS)
XE20h	Mole - benign
XE20h	Naevus - benign
XE20h	Papilloma - skin NOS
XE20h	Skin - benign mole and naevus
XE20h	Skin papilloma NOS
