bd11.	Propranolol hydrochloride 10mg tablet
bde5.	Inderetic capsule
bde6.	Inderex capsule
bde7.	Kalten capsule
bdea.	Moducren tablet
bdeA.	Metoprolol tartrate+hydrochlorothiazide 100mg/12.5mg tablet
bdeb.	Prestim tablet
bded.	Secadrex tablet
bdeg.	Tenoret 50 tablet
bdeG.	Pindolol+clopamide 10mg/5mg tablet
bdeh.	Tenoretic tablet
bdej.	Trasidrex tablet
bdek.	Viskaldix tablet
bdem.	Atenolol+chlortalidone 50mg/12.5mg tablet
bdem.	Atenolol+chlorthalidone 50mg/12.5mg tablet
bdem.	Co-tenidone 50mg/12.5mg tablet
bden.	Atenolol+chlortalidone 100mg/25mg tablet
bden.	Atenolol+chlorthalidone 100mg/25mg tablet
bden.	Co-tenidone 100mg/25mg tablet
bdeo.	AtenixCo 50mg/12.5mg tablet
bdep.	AtenixCo 100mg/25mg tablet
bdeq.	Tenchlor 50mg/12.5mg tablet
bdeQ.	Tenben capsule
bder.	Tenchlor 100mg/25mg tablet
bdes.	Beta-Adalat capsule
bdet.	Tenif capsule
bdeu.	Co-prenozide 160mg/0.25mg m/r tablet
bdex.	Acebutolol+hydrochlorothiazide 200mg/12.5mg tablet
bdf1.	Bisoprolol fumarate 5mg tablet
bdf2.	Bisoprolol fumarate 10mg tablet
bdf3.	Monocor 5mg tablet
bdf4.	Monocor 10mg tablet
bdf5.	Emcor LS 5mg tablet
bdf6.	Emcor 10mg tablet
bdf7.	Monozide 10 tablet
bdf9.	Cardicor 1.25mg tablet
bdfA.	Cardicor 2.5mg tablet
bdfB.	Cardicor 3.75mg tablet
bdfC.	Cardicor 5mg tablet
bdfD.	Cardicor 7.5mg tablet
bdfE.	Cardicor 10mg tablet
bdfF.	Bipranix 5mg tablet
bdfG.	Bipranix 10mg tablet
bdfH.	Soloc 5mg tablet
bdfI.	Soloc 10mg tablet
bdfJ.	Vivacor 10mg tablet
bdfK.	Vivacor 5mg tablet
bdfw.	Bisoprolol fumarate 1.25mg tablet
bdfx.	Bisoprolol fumarate 2.5mg tablet
bdfy.	Bisoprolol fumarate 3.75mg tablet
bdfz.	Bisoprolol fumarate 7.5mg tablet
bdj1.	Celiprolol hydrochloride 200mg tablet
bdj3.	Celectol 200mg tablet
bdj4.	Celiprolol hydrochloride 400mg tablet
bdj5.	Celectol 400mg tablet
bdl1.	Eucardic 12.5 tablet
bdl2.	Eucardic 25 tablet
bdl3.	Carvedilol 12.5mg tablet
bdl4.	Carvedilol 25mg tablet
bdl5.	Carvedilol 3.125mg tablet
bdl6.	Carvedilol 6.25mg tablet
bdl7.	Eucardic 3.125 tablet
bdl8.	Eucardic 6.25 tablet
bdm1.	Nebilet 5mg tablet
bdm2.	HYPOLOC 5mg tablets
bdmy.	NEBIVOLOL 2.5mg tablets
bdmz.	Nebivolol 5mg tablet
bdn1.	Syprol 50mg/5mL oral solution
bdn2.	Bedranol SR 80mg m/r capsule
bdn3.	Rapranol SR 80mg m/r capsule
bdn4.	Rapranol SR 160mg m/r capsule
bdn5.	SYPROL 40mg/5mL oral solution
bdn6.	PROPRANOLOL HYDROCHLORIDE 40mg/5mL sugar free oral solution
