B....11	Cancers
B205.00	Malignant neoplasm of sphenoidal sinus
B206.00	Malignant neoplasm, overlapping lesion of accessory sinuses
B20y.00	Malignant neoplasm of other sites of nasal cavity, middle ear and accessory sinuses
B20z.00	Malignant neoplasm of accessory sinus NOS
B21..00	Malignant neoplasm of larynx
B210.00	Malignant neoplasm of glottis
B211.00	Malignant neoplasm of supraglottis
B212.00	Malignant neoplasm of subglottis
B213.00	Malignant neoplasm of laryngeal cartilage
B213000	Malignant neoplasm of arytenoid cartilage
B213100	Malignant neoplasm of cricoid cartilage
B213200	Malignant neoplasm of cuneiform cartilage
B213300	Malignant neoplasm of thyroid cartilage
B213z00	Malignant neoplasm of laryngeal cartilage NOS
B214.00	Malignant neoplasm, overlapping lesion of larynx
B215.00	Malignant neoplasm of epiglottis NOS
B21y.00	Malignant neoplasm of larynx, other specified site
B21z.00	Malignant neoplasm of larynx NOS
B22..00	Malignant neoplasm of trachea, bronchus and lung
B220.00	Malignant neoplasm of trachea
B220000	Malignant neoplasm of cartilage of trachea
B220100	Malignant neoplasm of mucosa of trachea
B220z00	Malignant neoplasm of trachea NOS
B221.00	Malignant neoplasm of main bronchus
B221000	Malignant neoplasm of carina of bronchus
B221100	Malignant neoplasm of hilus of lung
B221z00	Malignant neoplasm of main bronchus NOS
B222.00	Malignant neoplasm of upper lobe, bronchus or lung
B222.11	Pancoast's syndrome
B222000	Malignant neoplasm of upper lobe bronchus
B222100	Malignant neoplasm of upper lobe of lung
B222z00	Malignant neoplasm of upper lobe, bronchus or lung NOS
B223.00	Malignant neoplasm of middle lobe, bronchus or lung
B223000	Malignant neoplasm of middle lobe bronchus
B223100	Malignant neoplasm of middle lobe of lung
B223z00	Malignant neoplasm of middle lobe, bronchus or lung NOS
B224.00	Malignant neoplasm of lower lobe, bronchus or lung
B224000	Malignant neoplasm of lower lobe bronchus
B224100	Malignant neoplasm of lower lobe of lung
B224z00	Malignant neoplasm of lower lobe, bronchus or lung NOS
B225.00	Malignant neoplasm of overlapping lesion of bronchus and lung
B22y.00	Malignant neoplasm of other sites of bronchus or lung
B22z.00	Malignant neoplasm of bronchus or lung NOS
B22z.11	Lung cancer
B23..00	Malignant neoplasm of pleura
B230.00	Malignant neoplasm of parietal pleura
B231.00	Malignant neoplasm of visceral pleura
B232.00	Mesothelioma of pleura
B23y.00	Malignant neoplasm of other specified pleura
B23z.00	Malignant neoplasm of pleura NOS
B24..00	Malignant neoplasm of thymus, heart and mediastinum
B240.00	Malignant neoplasm of thymus
B241.00	Malignant neoplasm of heart
B241000	Malignant neoplasm of endocardium
B241100	Malignant neoplasm of epicardium
B241200	Malignant neoplasm of myocardium
B241300	Malignant neoplasm of pericardium
B241400	Mesothelioma of pericardium
B241z00	Malignant neoplasm of heart NOS
B242.00	Malignant neoplasm of anterior mediastinum
B243.00	Malignant neoplasm of posterior mediastinum
B24X.00	Malignant neoplasm of mediastinum, part unspecified
B24y.00	Malignant neoplasm of other site of heart, thymus and mediastinum
B24z.00	Malignant neoplasm of heart, thymus and mediastinum NOS
B25..00	Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura
B26..00	Malignant neoplasm, overlapping lesion of respiratory and intrathoracic organs
B2z..00	Malignant neoplasm of other and ill-defined sites within the respiratory and intrathoracic organs
B2z0.00	Malignant neoplasm of upper respiratory tract, part unspecified
B2zy.00	Malignant neoplasm of other site of respiratory tract
B2zz.00	Malignant neoplasm of respiratory tract NOS
B3...00	Malignant neoplasm of bone, connective tissue, skin and breast
B3...11	Carcinoma of bone, connective tissue, skin and breast
B3...12	Sarcoma of bone and connective tissue
B30..00	Malignant neoplasm of bone and articular cartilage
B300.00	Malignant neoplasm of bones of skull and face
B300000	Malignant neoplasm of ethmoid bone
B300100	Malignant neoplasm of frontal bone
B300200	Malignant neoplasm of malar bone
B300300	Malignant neoplasm of nasal bone
B300400	Malignant neoplasm of occipital bone
B300500	Malignant neoplasm of orbital bone
B300600	Malignant neoplasm of parietal bone
B300700	Malignant neoplasm of sphenoid bone
B300800	Malignant neoplasm of temporal bone
B300900	Malignant neoplasm of zygomatic bone
B300A00	Malignant neoplasm of maxilla
B300B00	Malignant neoplasm of turbinate
B300C00	Malignant neoplasm of vomer
B300z00	Malignant neoplasm of bones of skull and face NOS
B301.00	Malignant neoplasm of mandible
B302.00	Malignant neoplasm of vertebral column
B302000	Malignant neoplasm of cervical vertebra
B302100	Malignant neoplasm of thoracic vertebra
B302200	Malignant neoplasm of lumbar vertebra
B302z00	Malignant neoplasm of vertebral column NOS
B303.00	Malignant neoplasm of ribs, sternum and clavicle
B303000	Malignant neoplasm of rib
B303100	Malignant neoplasm of sternum
B303200	Malignant neoplasm of clavicle
B303300	Malignant neoplasm of costal cartilage
B303400	Malignant neoplasm of costo-vertebral joint
B303500	Malignant neoplasm of xiphoid process
B303z00	Malignant neoplasm of rib, sternum and clavicle NOS
B304.00	Malignant neoplasm of scapula and long bones of upper arm
B304000	Malignant neoplasm of scapula
B304100	Malignant neoplasm of acromion
B304200	Malignant neoplasm of humerus
B304300	Malignant neoplasm of radius
B304400	Malignant neoplasm of ulna
B304z00	Malignant neoplasm of scapula and long bones of upper arm NOS
B305.00	Malignant neoplasm of hand bones
B305.11	Malignant neoplasm of carpal bones
B305.1212	Malignant neoplasm of metacarpal bones
B305000	Malignant neoplasm of carpal bone - scaphoid
B305100	Malignant neoplasm of carpal bone - lunate
B305200	Malignant neoplasm of carpal bone - triquetrum
B305300	Malignant neoplasm of carpal bone - pisiform
B305400	Malignant neoplasm of carpal bone - trapezium
B305500	Malignant neoplasm of carpal bone - trapezoid
B305600	Malignant neoplasm of carpal bone - capitate
B305700	Malignant neoplasm of carpal bone - hamate
B305800	Malignant neoplasm of first metacarpal bone
B305900	Malignant neoplasm of second metacarpal bone
B305A00	Malignant neoplasm of third metacarpal bone
B305B00	Malignant neoplasm of fourth metacarpal bone
B305C00	Malignant neoplasm of fifth metacarpal bone
B305D00	Malignant neoplasm of phalanges of hand
B305z00	Malignant neoplasm of hand bones NOS
B306.00	Malignant neoplasm of pelvic bones, sacrum and coccyx
B306000	Malignant neoplasm of ilium
B306100	Malignant neoplasm of ischium
B306200	Malignant neoplasm of pubis
B306300	Malignant neoplasm of sacral vertebra
B306400	Malignant neoplasm of coccygeal vertebra
B306500	Malignant sacral teratoma
B306z00	Malignant neoplasm of pelvis, sacrum or coccyx NOS
B307.00	Malignant neoplasm of long bones of leg
B307000	Malignant neoplasm of femur
B307100	Malignant neoplasm of fibula
B307200	Malignant neoplasm of tibia
B307z00	Malignant neoplasm of long bones of leg NOS
B308.00	Malignant neoplasm of short bones of leg
B308.11	Malignant neoplasm of metatarsal bones of foot
B308000	Malignant neoplasm of patella
B308100	Malignant neoplasm of talus
B308200	Malignant neoplasm of calcaneum
B308300	Malignant neoplasm of medial cuneiform
B308400	Malignant neoplasm of intermediate cuneiform
B308500	Malignant neoplasm of lateral cuneiform
B308600	Malignant neoplasm of cuboid
B308700	Malignant neoplasm of navicular
B308800	Malignant neoplasm of first metatarsal bone
B308900	Malignant neoplasm of second metatarsal bone
B308A00	Malignant neoplasm of third metatarsal bone
B308B00	Malignant neoplasm of fourth metatarsal bone
B308C00	Malignant neoplasm of fifth metatarsal bone
B308D00	Malignant neoplasm of phalanges of foot
B308z00	Malignant neoplasm of short bones of leg NOS
B309.00	Malignant neoplasm, overlapping lesion of bone and articular cartilage of limbs
B30W.00	Malignant neoplasm of overlapping lesion of bone and articular cartilage
B30X.00	Malignant neoplasm of bones and articular cartilage of limb, unspecified
B30z.00	Malignant neoplasm of bone and articular cartilage NOS
B30z000	Osteosarcoma
B31..00	Malignant neoplasm of connective and other soft tissue
B310.00	Malignant neoplasm of connective and soft tissue of head, face and neck
B310000	Malignant neoplasm of soft tissue of head
B310100	Malignant neoplasm of soft tissue of face
B310200	Malignant neoplasm of soft tissue of neck
B310300	Malignant neoplasm of cartilage of ear
B310400	Malignant neoplasm of tarsus of eyelid
B310500	Malignant neoplasm soft tissues of cervical spine
B310z00	Malignant neoplasm of connective and soft tissue of head, face, and neck
B311.00	Malignant neoplasm of connective and soft tissue of upper limb and shoulder
B311000	Malignant neoplasm of connective and soft tissue of shoulder
B311100	Malignant neoplasm of connective and soft tissue, upper arm
B311200	Malignant neoplasm of connective and soft tissue of fore-arm
B311300	Malignant neoplasm of connective and soft tissue of hand
B311400	Malignant neoplasm of connective and soft tissue of finger
B311500	Malignant neoplasm of connective and soft tissue of thumb
B311z00	Malignant neoplasm of connective and soft tissue of upper limb and shoulder NOS
B312.00	Malignant neoplasm of connective and soft tissue of hip and lower limb
B312000	Malignant neoplasm of connective and soft tissue of hip
B312100	Malignant neoplasm of connective and soft tissue of thigh and upper leg
B312200	Malignant neoplasm of connective and soft tissue of popliteal space
B312300	Malignant neoplasm of connective and soft tissue of lower leg
B312400	Malignant neoplasm of connective and soft tissue of foot
B312500	Malignant neoplasm of connective and soft tissue of toe
B312600	Malignant neoplasm of connective and soft tissue of great toe
B312z00	Malignant neoplasm of connective and soft tissue of hip and lower limb NOS
B313.00	Malignant neoplasm of connective and soft tissue of thorax
B313000	Malignant neoplasm of connective and soft tissue of axilla
B313100	Malignant neoplasm of diaphragm
B313200	Malignant neoplasm of great vessels
B313300	Malignant neoplasm of connective and soft tissues of thoracic spine
B313z00	Malignant neoplasm of connective and soft tissue of thorax NOS
B314.00	Malignant neoplasm of connective and soft tissue of abdomen
B314000	Malignant neoplasm of connective and soft tissue of abdominal wall
B314100	Malignant neoplasm of connective and soft tissues of lumbar spine
B314z00	Malignant neoplasm of connective and soft tissue of abdomen NOS
B315.00	Malignant neoplasm of connective and soft tissue of pelvis
B315000	Malignant neoplasm of connective and soft tissue of buttock
B315100	Malignant neoplasm of connective and soft tissue of inguinal region
B315200	Malignant neoplasm of connective and soft tissue of perineum
B315300	Malignant neoplasm of connective and soft tissue of sacrum or coccyx
B315z00	Malignant neoplasm of connective and soft tissue of pelvis NOS
B316.00	Malignant neoplasm of connective and soft tissue of trunk unspecified
B31y.00	Malignant neoplasm of connective and soft tissue of other specified site
B31z.00	Malignant neoplasm of connective and soft tissue, site NOS
B31z000	Kaposi's sarcoma of soft tissue
B32..00	Malignant melanoma of skin
B320.00	Malignant melanoma of lip
B321.00	Malignant melanoma of eyelid including canthus
B322.00	Malignant melanoma of ear and external auricular canal
B322000	Malignant melanoma of auricle (ear)
B322100	Malignant melanoma of external auditory meatus
B322z00	Malignant melanoma of ear and external auricular canal NOS
B323.00	Malignant melanoma of other and unspecified parts of face
B323000	Malignant melanoma of external surface of cheek
B323100	Malignant melanoma of chin
B323200	Malignant melanoma of eyebrow
B323300	Malignant melanoma of forehead
B323400	Malignant melanoma of external surface of nose
B323500	Malignant melanoma of temple
B323z00	Malignant melanoma of face NOS
B324.00	Malignant melanoma of scalp and neck
B324000	Malignant melanoma of scalp
B324100	Malignant melanoma of neck
B324z00	Malignant melanoma of scalp and neck NOS
B325.00	Malignant melanoma of trunk (excluding scrotum)
B325000	Malignant melanoma of axilla
B325100	Malignant melanoma of breast
B325200	Malignant melanoma of buttock
B325300	Malignant melanoma of groin
B325400	Malignant melanoma of perianal skin
B325500	Malignant melanoma of perineum
B325600	Malignant melanoma of umbilicus
B325700	Malignant melanoma of back
B325800	Malignant melanoma of chest wall
B325z00	Malignant melanoma of trunk, excluding scrotum, NOS
B326.00	Malignant melanoma of upper limb and shoulder
B326000	Malignant melanoma of shoulder
B326100	Malignant melanoma of upper arm
B326200	Malignant melanoma of fore-arm
B326300	Malignant melanoma of hand
B326400	Malignant melanoma of finger
B326500	Malignant melanoma of thumb
B326z00	Malignant melanoma of upper limb or shoulder NOS
B327.00	Malignant melanoma of lower limb and hip
B327000	Malignant melanoma of hip
B327100	Malignant melanoma of thigh
B327200	Malignant melanoma of knee
B327300	Malignant melanoma of popliteal fossa area
B327400	Malignant melanoma of lower leg
B327500	Malignant melanoma of ankle
B327600	Malignant melanoma of heel
B327700	Malignant melanoma of foot
B327800	Malignant melanoma of toe
B327900	Malignant melanoma of great toe
B327z00	Malignant melanoma of lower limb or hip NOS
B32y.00	Malignant melanoma of other specified skin site
B32y000	Overlapping malignant melanoma of skin
B32z.00	Malignant melanoma of skin NOS
B33..1414	Malignant neoplasm of sebaceous gland
B33..1515	Malignant neoplasm of sweat gland
B331.00	Malignant neoplasm of eyelid including canthus
