1429.	H/O: * leukaemia
B23y.	Malignant neoplasm of other specified pleura
B23z.	Malignant neoplasm of pleura NOS
B24..	Malignant neoplasm of thymus, heart and mediastinum
B240.	Malignant neoplasm of thymus
B241.	Malignant neoplasm of heart
B2410	Malignant neoplasm of endocardium
B2411	Malignant neoplasm of epicardium
B2412	Malignant neoplasm of myocardium
B2413	Malignant neoplasm of pericardium
B241z	Malignant neoplasm of heart NOS
B242.	Malignant neoplasm of anterior mediastinum
B243.	Malignant neoplasm of posterior mediastinum
B24y.	Malignant neoplasm of other site of heart, thymus and mediastinum
B24z.	Malignant neoplasm of heart, thymus and mediastinum NOS
B25..	Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura
B26..	Malignant neoplasm, overlapping lesion of respiratory and intrathoracic organs
B2z..	Malignant neoplasm of other and ill-defined sites within the respiratory and intrathoracic organs
B2z0.	Malignant neoplasm of upper respiratory tract, part unspecified
B2zy.	Malignant neoplasm of other site of respiratory tract
B2zz.	Malignant neoplasm of respiratory tract NOS
B3...	Carcinoma of bone, connective tissue, skin and breast
B30..	Malignant neoplasm of bone and articular cartilage
B300.	Malignant neoplasm of bones of skull and face
B3000	Malignant neoplasm of ethmoid bone
B3001	Malignant neoplasm of frontal bone
B3002	Malignant neoplasm of malar bone
B3003	Malignant neoplasm of nasal bone
B3004	Malignant neoplasm of occipital bone
B3005	Malignant neoplasm of orbital bone
B3006	Malignant neoplasm of parietal bone
B3007	Malignant neoplasm of sphenoid bone
B3008	Malignant neoplasm of temporal bone
B3009	Malignant neoplasm of zygomatic bone
B300A	Malignant neoplasm of maxilla
B300B	Malignant neoplasm of turbinate
B300C	Malignant neoplasm of vomer
B300z	Malignant neoplasm of bones of skull and face NOS
B301.	Malignant neoplasm of mandible
B302.	CA - Cancer of spine
B3020	Malignant neoplasm of cervical vertebra
B3021	Malignant neoplasm of thoracic vertebra
B3022	Malignant neoplasm of lumbar vertebra
B302z	Malignant neoplasm of vertebral column NOS
B303.	Malignant neoplasm of ribs, sternum and clavicle
B3030	Malignant neoplasm of rib
B3031	Malignant neoplasm of sternum
B3032	Malignant neoplasm of clavicle
B3033	Malignant neoplasm of costal cartilage
B3034	Malignant neoplasm of costovertebral joint
B3035	Malignant neoplasm of xiphoid process
B303z	Malignant neoplasm of rib, sternum and clavicle NOS
B304.	Malignant neoplasm of scapula and long bones of upper arm
B3040	Malignant neoplasm of scapula
B3041	Malignant neoplasm of acromion
B3042	Malignant neoplasm of humerus
B3043	Malignant neoplasm of radius
B3044	Malignant neoplasm of ulna
B304z	Malignant neoplasm of scapula and long bones of upper arm NOS
B305.	Malignant neoplasm of carpal bones
B3050	Malignant neoplasm of carpal bone - scaphoid
B3051	Malignant neoplasm of carpal bone - lunate
B3052	Malignant neoplasm of carpal bone - triquetrum
B3053	Malignant neoplasm of carpal bone - pisiform
B3054	Malignant neoplasm of carpal bone - trapezium
B3055	Malignant neoplasm of carpal bone - trapezoid
B3056	Malignant neoplasm of carpal bone - capitate
B3057	Malignant neoplasm of carpal bone - hamate
B3058	Malignant neoplasm of first metacarpal bone
B3059	Malignant neoplasm of second metacarpal bone
B305A	Malignant neoplasm of third metacarpal bone
B305B	Malignant neoplasm of fourth metacarpal bone
B305C	Malignant neoplasm of fifth metacarpal bone
B305D	Malignant neoplasm of phalanges of hand
B305z	Malignant neoplasm of hand bones NOS
B306.	Malignant neoplasm of pelvic bones, sacrum and coccyx
B3060	Malignant neoplasm of ilium
B3061	Malignant neoplasm of ischium
B3062	Malignant neoplasm of pubis
B3063	Malignant neoplasm of sacral vertebra
B3064	Malignant neoplasm of coccygeal vertebra
B306z	Malignant neoplasm of pelvis, sacrum or coccyx NOS
B307.	Malignant neoplasm of long bones of leg
B3070	Malignant neoplasm of femur
B3071	Malignant neoplasm of fibula
B3072	Malignant neoplasm of tibia
B307z	Malignant neoplasm of long bones of leg NOS
B308.	Malignant neoplasm of metatarsal bones of foot
B3080	Malignant neoplasm of patella
B3081	Malignant neoplasm of talus
B3082	Malignant neoplasm of calcaneum
B3083	Malignant neoplasm of medial cuneiform
B3084	Malignant neoplasm of intermediate cuneiform
B3085	Malignant neoplasm of lateral cuneiform
B3086	Malignant neoplasm of cuboid
B3087	Malignant neoplasm of navicular
B3088	Malignant neoplasm of first metatarsal bone
B3089	Malignant neoplasm of second metatarsal bone
B308A	Malignant neoplasm of third metatarsal bone
B308B	Malignant neoplasm of fourth metatarsal bone
B308C	Malignant neoplasm of fifth metatarsal bone
B308D	Malignant neoplasm of phalanges of foot
B308z	Malignant neoplasm of short bones of leg NOS
B309.	Malignant neoplasm, overlapping lesion of bone and articular cartilage of limbs
B30z.	Malignant neoplasm of bone and articular cartilage NOS
B31..	Malignant neoplasm of connective and other soft tissue
B310.	Malignant neoplasm of connective and soft tissue of head, face and neck
B3100	Malignant neoplasm of soft tissue of head
B3101	Malignant neoplasm of soft tissue of face
B3102	Malignant neoplasm of soft tissue of neck
B3103	Malignant neoplasm of cartilage of ear
B3104	Malignant neoplasm of tarsus of eyelid
B3105	Malignant neoplasm soft tissues of cervical spine
B310z	Malignant neoplasm of connective and soft tissue of head, face, and neck
B311.	Malignant neoplasm of connective and soft tissue of upper limb and shoulder
B3110	Malignant neoplasm of connective and soft tissue of shoulder
B3111	Malignant neoplasm of connective and soft tissue, upper arm
B3112	Malignant neoplasm of connective and soft tissue of fore-arm
B3113	Malignant neoplasm of connective and soft tissue of hand
B3114	Malignant neoplasm of connective and soft tissue of finger
B3115	Malignant neoplasm of connective and soft tissue of thumb
B311z	Malignant neoplasm of connective and soft tissue of upper limb and shoulder NOS
B312.	Malignant neoplasm of connective and soft tissue of hip and lower limb
B3120	Malignant neoplasm of connective and soft tissue of hip
B3121	Malignant neoplasm of connective and soft tissue of thigh and upper leg
B3122	Malignant neoplasm of connective and soft tissue of popliteal space
B3123	Malignant neoplasm of connective and soft tissue of lower leg
B3124	Malignant neoplasm of connective and soft tissue of foot
B3125	Malignant neoplasm of connective and soft tissue of toe
B3126	Malignant neoplasm of connective and soft tissue of great toe
B312z	Malignant neoplasm of connective and soft tissue of hip and lower limb NOS
B313.	Malignant neoplasm of connective and soft tissue of thorax
B3130	Malignant neoplasm of connective and soft tissue of axilla
B3131	Malignant neoplasm of diaphragm
B3132	Malignant neoplasm of great vessels
B3133	Malignant neoplasm of connective and soft tissues of thoracic spine
B313z	Malignant neoplasm of connective and soft tissue of thorax NOS
B314.	Malignant neoplasm of connective and soft tissue of abdomen
B3140	Malignant neoplasm of connective and soft tissue of abdominal wall
B3141	Malignant neoplasm of connective and soft tissues of lumbar spine
B314z	Malignant neoplasm of connective and soft tissue of abdomen NOS
B315.	Malignant neoplasm of connective and soft tissue of pelvis
B3150	Malignant neoplasm of connective and soft tissue of buttock
B3151	Malignant neoplasm of connective and soft tissue of inguinal region
B3152	Malignant neoplasm of connective and soft tissue of perineum
B3153	Malignant neoplasm of connective and soft tissue of sacrum or coccyx
B315z	Malignant neoplasm of connective and soft tissue of pelvis NOS
B316.	Malignant neoplasm of connective and soft tissue of trunk unspecified
B31y.	Malignant neoplasm of connective and soft tissue of other specified site
B31z.	Malignant neoplasm of connective and soft tissue, site NOS
B31z0	Kaposi's sarcoma of soft tissue
B32..	Cutaneous malignant melanoma
B320.	Malignant melanoma of lip
B321.	Malignant melanoma of eyelid including canthus
B322.	Malignant melanoma of ear and external auricular canal
B3220	Malignant melanoma of auricle (ear)
B3221	Malignant melanoma of external auditory meatus
B322z	Malignant melanoma of ear and external auricular canal NOS
B323.	Malignant melanoma of other and unspecified parts of face
B3230	Malignant melanoma of external surface of cheek
B3231	Malignant melanoma of chin
B3232	Malignant melanoma of eyebrow
B3233	Malignant melanoma of forehead
B3234	Malignant melanoma of external surface of nose
B3235	Malignant melanoma of temple
B323z	Malignant melanoma of face NOS
B324.	Malignant melanoma of scalp and neck
B3240	Malignant melanoma of scalp
B3241	Malignant melanoma of neck
B324z	Malignant melanoma of scalp and neck NOS
B325.	Malignant melanoma of trunk (excluding scrotum)
B3250	Malignant melanoma of axilla
B3251	Malignant melanoma of breast
B3252	Malignant melanoma of buttock
B3253	Malignant melanoma of groin
B3254	Malignant melanoma of perianal skin
B3255	Malignant melanoma of perineum
B3256	Malignant melanoma of umbilicus
B325z	Malignant melanoma of trunk, excluding scrotum, NOS
B326.	Malignant melanoma of upper limb and shoulder
B3260	Malignant melanoma of shoulder
B3261	Malignant melanoma of upper arm
B3262	Malignant melanoma of fore-arm
B3263	Malignant melanoma of hand
B3264	Malignant melanoma of finger
B3265	Malignant melanoma of thumb
B326z	Malignant melanoma of upper limb or shoulder NOS
B327.	Malignant melanoma of lower limb and hip
B3270	Malignant melanoma of hip
B3271	Malignant melanoma of thigh
B3272	Malignant melanoma of knee
B3273	Malignant melanoma of popliteal fossa area
B3274	Malignant melanoma of lower leg
B3275	Malignant melanoma of ankle
B3276	Malignant melanoma of heel
B3277	Malignant melanoma of foot
B3278	Malignant melanoma of toe
B3279	Malignant melanoma of great toe
B327z	Malignant melanoma of lower limb or hip NOS
B32y.	Malignant melanoma of other specified skin site
B32y0	Overlapping malignant melanoma of skin
B32z.	Malignant melanoma of skin NOS
B33..	Malignant neoplasm of sebaceous gland
B331.	Malignant neoplasm of eyelid including canthus
B334.	Malignant neoplasm of scalp and skin of neck
B334z	Malignant neoplasm of scalp or skin of neck NOS
B3359	Malignant neoplasm of perianal skin
B34..	Malignant neoplasm of female breast
B340.	Malignant neoplasm of nipple and areola of female breast
B3400	Malignant neoplasm of nipple of female breast
B3401	Malignant neoplasm of areola of female breast
B340z	Malignant neoplasm of nipple or areola of female breast NOS
B341.	Malignant neoplasm of central part of female breast
B342.	Malignant neoplasm of upper-inner quadrant of female breast
B343.	Malignant neoplasm of lower-inner quadrant of female breast
B344.	Malignant neoplasm of upper-outer quadrant of female breast
B345.	Malignant neoplasm of lower-outer quadrant of female breast
B346.	Malignant neoplasm of axillary tail of female breast
B347.	Malignant neoplasm, overlapping lesion of breast
B34y.	Malignant neoplasm of other site of female breast
B34y0	Malignant neoplasm of ectopic site of female breast
B34yz	Malignant neoplasm of other site of female breast NOS
B34z.	Malignant neoplasm of female breast NOS
B35..	Malignant neoplasm of male breast
B350.	Malignant neoplasm of nipple and areola of male breast
B3500	Malignant neoplasm of nipple of male breast
B3501	Malignant neoplasm of areola of male breast
B350z	Malignant neoplasm of nipple or areola of male breast NOS
B35z.	Malignant neoplasm of other site of male breast
B35z0	Malignant neoplasm of ectopic site of male breast
B35zz	Malignant neoplasm of male breast NOS
B3y..	Malignant neoplasm of bone, connective tissue, skin and breast otherwise specified
B3z..	Malignant neoplasm of bone, connective tissue, skin and breast NOS
B4...	Carcinoma of genitourinary organ
B40..	Malignant neoplasm of uterus, part unspecified
B41..	Cervical carcinoma (uterus)
B410.	Malignant neoplasm of endocervix
B4100	Malignant neoplasm of endocervical canal
B4101	Malignant neoplasm of endocervical gland
B410z	Malignant neoplasm of endocervix NOS
B411.	Malignant neoplasm of exocervix
B412.	Malignant neoplasm, overlapping lesion of cervix uteri
B41y.	Malignant neoplasm of other site of cervix
B41y0	Malignant neoplasm of cervical stump
B41y1	Malignant neoplasm of squamocolumnar junction of cervix
B41yz	Malignant neoplasm of other site of cervix NOS
B41z.	Malignant neoplasm of cervix uteri NOS
B42..	Malignant neoplasm of placenta
B420.	Choriocarcinoma
B43..	Body of uterus Ca
B430.	Malignant neoplasm of corpus uteri, excluding isthmus
B4300	Malignant neoplasm of cornu of corpus uteri
B4301	Malignant neoplasm of fundus of corpus uteri
B4302	Malignant neoplasm of endometrium
B4303	Malignant neoplasm of myometrium of corpus uteri
B430z	Malignant neoplasm of corpus uteri NOS
B431.	Malignant neoplasm of isthmus of uterine body
B4310	Malignant neoplasm of lower uterine segment
B431z	Malignant neoplasm of isthmus of uterine body NOS
B432.	Malignant neoplasm of overlapping lesion of corpus uteri
B43y.	Malignant neoplasm of other site of uterine body
B43z.	Malignant neoplasm of body of uterus NOS
B44..	Malignant neoplasm of ovary and other uterine adnexa
B440.	CA - Cancer of ovary
B441.	Fallopian tube Ca
B442.	Malignant neoplasm of broad ligament
B443.	Malignant neoplasm of parametrium
B444.	Malignant neoplasm of round ligament
B44y.	Malignant neoplasm of other site of uterine adnexa
