16A..	Stiff neck symptom
7J42f	Revision to open reduction spinal fracture alone
7J42F	Revision to cast stabilisation of spinal fracture
7J42g	Revision to open reduction spinal fracture and collar stabilisation
7J42G	Revision to external fixation stabilisation of spinal fracture
7J42h	Revision to open reduction spinal fracture and bedrest stabilisation
7J42H	Revision to other external stabilisation of spinal fracture
7J42j	Revision to open reduction spinal fracture and skull traction stabilisation
7J42J	Primary closed reduction spinal fracture alone
7J42k	Revision to open reduction spinal fracture and cast stabilisation
7J42K	Primary closed reduction spinal fracture and collar stabilisation
7J42l	Revision to open reduction spinal fracture and external fixation
7J42L	Primary closed reduction spinal fracture and bedrest stabilisation
7J42m	Revision to open reduction spinal fracture and other external stabilisation
7J42M	Primary closed reduction spinal fracture and skull traction stabilisation
7J42N	Primary closed reduction spinal fracture and cast stabilisation
7J42P	Primary closed reduction spinal fracture and external fixation
7J42Q	Primary closed reduction spinal fracture and other external stabilisation
7J42R	Revision to closed reduction spinal fracture alone
7J42S	Revision to closed reduction spinal fracture and collar stabilisation
7J42T	Revision to closed reduction spinal fracture and bedrest stabilisation
7J42U	Revision to closed reduction spinal fracture and skull traction stabilisation
7J42V	Revision to closed reduction spinal fracture and cast stabilisation
7J42W	Revision to closed reduction spinal fracture and external fixation
7J42X	Revision to closed reduction spinal fracture and other external stabilisation
7J42y	Other specified other reduction of fracture of spine
7J42Y	Primary open reduction spinal fracture alone
7J42z	Other reduction of fracture of spine NOS
7J42Z	Primary open reduction spinal fracture and collar stabilisation
7J430	Primary open reduction spinal fracture and internal fixation with plate
7J431	Fixation of fracture of spine using Harrington rod
7J432	Skull traction for spinal fracture (& [HFQ] or [Barr] or [Crutchfield])
7J433	Primary open reduction spinal fracture and internal fixation with wire
7J434	Primary open reduction spinal fracture and internal fixation with rod system
7J437	Primary open reduction spinal fracture and other internal fixation
7J438	Revision to open reduction spinal fracture and internal fixation with wire
7J439	Revision to open reduction spinal fracture and internal fixation with plate
7J43A	Revision to open reduction spinal fracture and internal fixation with rod system
7J43C	Revision to open reduction spinal fracture and internal fixation with internal fixator
7J43D	Revision to open reduction spinal fracture and other internal fixation
7J43y	Other specified fixation of fracture of spine
7J43z	Fixation of fracture of spine NOS
8H69.	Refer to pain clinic
8HTH.	Referral to back pain clinic
A0223	Salmonella arthritis
A15y.	Tuberculosis of other specified joint
A5313	Post-herpetic polyneuropathy
A56x0	Arthritis due to rubella
A72x1	Mumps polyneuropathy
A78y2	Epidemic cervical myalgia
A993.	Reiter's disease
B74y0	Lipoma of spinal column
B74y1	Lipoma of spinal canal - extradural
B74y2	Lipoma of spinal canal - intradural
B74y3	Lipoma of spinal cord
C32y2	Multicentric reticulohistiocytosis
C3732	Familial neuropathic amyloidosis
E0111	Korsakov's alcoholic psychosis with peripheral neuritis
E278.	Somatoform pain disorder
E2780	Psychogenic pain unspecified
E278z	Psychalgia NOS
F170.	Idiopathic peripheral autonomic neuropathy
F170z	Idiopathic peripheral autonomic neuropathy NOS
F171.	Peripheral autonomic neuropathy disease EC
F171z	Peripheral autonomic neuropathy due to disease NOS
F203.	Exacerbation of multiple sclerosis
F26..	Migraine
F261.	Migraine without aura
F2610	Atypical migraine
F2611	Sick headache
F261z	Common migraine NOS
F262.	Migraine variants
F2620	Cluster headache syndrome
F2622	Abdominal migraine
F2623	Basilar migraine
F2624	Ophthalmic migraine
F262z	Migraine variant NOS
F26y.	Other forms of migraine
F26y0	Hemiplegic migraine
F26y1	Ophthalmoplegic migraine
F26y3	Complicated migraine
F26yz	Other forms of migraine NOS
F26z.	Migraine NOS
F300.	Post-herpetic trigeminal neuralgia
F301.	Other specified trigeminal neuralgia
F3010	Trigeminal neuralgia
F301z	Trigeminal neuralgia NOS
F321.	Glossopharyngeal neuralgia
F3261	Polyneuritis cranialis
F336.	Phantom limb
F3360	Phantom limb syndrome with pain
F34..	Mononeuritis of upper limb and mononeuritis multiplex
F3410	Median nerve neuritis
F344.	Complex regional pain syndrome type II
F345.	Mononeuritis multiplex
F3450	Diabetic mononeuritis multiplex
F34z.	Mononeuritis upper limb NOS
F35..	Mononeuritis lower limb
F350.	Sciatic nerve lesion
F3560	Interdigital neuralgia
F35x.	Other mononeuritis lower limb
F35y.	Unspecified mononeuritis lower limb
F35z0	Diabetic mononeuritis NOS
F36..	Hereditary and idiopathic peripheral neuropathy
F3600	Hereditary motor and sensory neuropathy type III
F360z	Hereditary peripheral neuropathy NOS
F361z	Peroneal muscular atrophy NOS
F362.	Hereditary sensory neuropathy
F363.	Refsum's disease
F364.	Idiopathic progressive polyneuropathy
F365.	Neuropathy in association with hereditary ataxia
F366.	Polyneuropathy
F36y.	Other idiopathic peripheral neuropathy
F36yz	Other idiopathic peripheral neuropathy NOS
F36z.	Hereditary or idiopathic peripheral neuropathy NOS
F37..	Inflammatory &/or toxic neuropathy
F370.	Acute infective polyneuritis
F3701	Post-infectious polyneuritis
F370z	Acute infective polyneuritis NOS
F371.	Polyneuropathy in collagen vascular disease
F3710	Polyneuropathy in disseminated lupus erythematosus
F3711	Polyneuropathy in polyarteritis nodosa
F3712	Polyneuropathy in rheumatoid arthritis
F371z	Polyneuropathy in collagen vascular disease NOS
F3720	Acute painful diabetic neuropathy
F3721	Chronic painful diabetic neuropathy
F3722	Asymptomatic diabetic neuropathy
F373.	Carcinomatous neuropathy
F374.	Polyneuropathy in disease EC
F3740	Polyneuropathy in amyloidosis
F3741	Neuropathy due to vitamin B1 deficiency
F3742	Polyneuropathy in vitamin B deficiency
F3744	Polyneuropathy in herpes zoster
F3745	Neuropathy associated with hypoglycaemia
F3746	Polyneuropathy in mumps
F3747	Polyneuropathy in pellagra
F3748	Polyneuropathy in porphyria
F3749	Sarcoid neuropathy
F374A	Uraemic polyneuropathy
F374z	Polyneuropathy in disease NOS
F375.	Alcohol-related polyneuropathy
F376.	Drug-related polyneuropathy
F377.	Other toxic agent polyneuropathy
F37y.	Other toxic or inflammatory neuropathy
F3964	Myopathy due to rheumatoid arthritis
F4H3.	Optic neuritis
F4H30	Unspecified optic neuritis
F4H3z	Optic neuritis NOS
F5520	Malleus ankylosis
Fyu13	[X]Paraneoplastic neuromyopathy and neuropathy
Fyu53	[X]Other migraine
Fyu54	[X]Other specified headache syndromes
Fyu5A	[X]Vascular headache, not elsewhere classified
Fyu66	[X]Nerve root and plexus compressions in neoplastic disease classified elsewhere
Fyu68	[X]Nerve root and plexus compressions in other diseases classified elsewhere
Fyu6A	[X]Other mononeuropathies of upper limb
Fyu6B	[X]Other mononeuropathies of lower limb
Fyu6C	[X]Other specified mononeuropathies
Fyu6D	[X]Other mononeuropathies in diseases classified elsewhere
Fyu70	[X]Other hereditary and idiopathic neuropathies
Fyu72	[X]Other specified polyneuropathies
Fyu73	[X]Polyneuropathy in infectious and parasitic diseases classified elsewhere
Fyu74	[X]Polyneuropathy in neoplastic disease classified elsewhere
Fyu75	[X]Polyneuropathy in other endocrine and metabolic diseases classified elsewhere
Fyu76	[X]Polyneuropathy in nutritional deficiency classified elsewhere
Fyu77	[X]Polyneuropathy in systemic connective tissue disorders classified elsewhere
Fyu78	[X]Polyneuropathy in other musculoskeletal disorders classified elsewhere
Fyu79	[X]Polyneuropathy in other diseases classified elsewhere
Fyu7A	[X]Other disorders of the peripheral nervous system
Fyu7B	[X]Inflammatory polyneuropathy, unspecified
Fyu7C	[X]Polyneuropathy, unspecified
J3A3.	Simple sciatic hernia
K5A22	Menopausal headache
KyuA0	[X]Other postprocedural disorders of the genitourinary system
M160z	Psoriatic arthropathy NOS
M2711	Neuropathic diabetic ulcer - foot
Myu79	[X]Other specified localised connective tissue disorders
Myu7F	[X]Localised connective tissue disorder, unspecified
N0...	Arthropathies and related disorders
N00..	Diseases: [diffuse, of connective tissue] or [collagen]
N0102	Pyogenic arthritis of: [upper arm] or [elbow]
N0109	Pneumococcal arthritis and polyarthritis
N0110	Sexually acquired reactive arthropathy of unspecified site
N0111	Sexually acquired reactive arthropathy of the shoulder region
N0112	Sexually acquired reactive arthropathy of the upper arm
N0113	Sexually acquired reactive arthropathy of the forearm
N0114	Sexually acquired reactive arthropathy of the hand
N0115	Sexually acquired reactive arthropathy of the pelvic region and thigh
N0116	Sexually acquired reactive arthropathy of the lower leg
N0117	Sexually acquired reactive arthropathy of the ankle and foot
N011x	Sexually acquired reactive arthropathy of multiple sites
N011y	Sexually acquired reactive arthropathy of other specified site
N011z	Sexually acquired reactive arthropathy NOS
N012.	Arthropathy in Behcet's syndrome
N0120	Arthropathy in Behcet's syndrome (& [unspecified site])
N0121	Arthropathy in Behcet's syndrome of the shoulder region
N0122	Arthropathy in Behcet's syndrome of the upper arm
N0123	Arthropathy in Behcet's syndrome of the forearm
N0124	Arthropathy in Behcet's syndrome of the hand
N0125	Arthropathy in Behcet's syndrome of the pelvic region and thigh
N0126	Arthropathy in Behcet's syndrome of the lower leg
N0127	Arthropathy in Behcet's syndrome of the ankle and foot
N012x	Arthropathy in Behcet's syndrome of multiple sites
N012y	Arthropathy in Behcet's syndrome of other specified sites
N012z	Arthropathy in Behcet's syndrome NOS
N013.	Post-dysenteric reactive arthropathy (AND/OR [?enteropathic arthritis])
N0130	Post-dysenteric reactive arthropathy of unspecified site
N0131	Post-dysenteric reactive arthropathy of the shoulder region
N0132	Post-dysenteric reactive arthropathy of the upper arm
N0133	Post-dysenteric reactive arthropathy of the forearm
N0134	Post-dysenteric reactive arthropathy of the hand
N0135	Post-dysenteric reactive arthropathy of the pelvic region and thigh
N0136	Post-dysenteric reactive arthropathy of the lower leg
N0137	Post-dysenteric reactive arthropathy of the ankle and foot
N013x	Post-dysenteric reactive arthropathy of multiple sites
N013y	Post-dysenteric reactive arthropathy of other specified sites
N013z	Post-dysenteric reactive arthropathy NOS
N014.	Arthropathy associated with other bacterial diseases
N0140	Arthropathy associated with other bacterial disease, of unspecified site
N0141	Arthropathy associated with other bacterial disease, of the shoulder region
N0142	Arthropathy associated with other bacterial disease, of the upper arm
N0143	Arthropathy associated with other bacterial disease, of the forearm
N0144	Arthropathy associated with other bacterial disease, of the hand
N0145	Arthropathy associated with other bacterial disease, of the pelvic region and thigh
N0146	Arthropathy associated with other bacterial disease, of the lower leg
N0147	Arthropathy associated with other bacterial disease, of the ankle and foot
N0148	Seronegative arthritis secondary to Whipple's disease
N014x	Arthropathy associated with other bacterial disease, of multiple sites
N014y	Arthropathy associated with other bacterial disease, of other specified site
N014z	Arthropathy associated with other bacterial disease NOS
N015.	Arthropathy associated with other viral diseases
N0150	Arthropathy associated with other viral disease, of unspecified site
N0151	Arthropathy associated with other viral disease, of the shoulder region
N0152	Arthropathy associated with other viral disease, of the upper arm
N0153	Arthropathy associated with other viral disease, of the forearm
N0154	Arthropathy with other viral disease, of hand
N0155	Arthropathy associated with other viral disease, of the pelvic region and thigh
N0156	Arthropathy associated with other viral disease, of the lower leg
N0157	Arthropathy associated with other viral disease, of the ankle and foot
N015x	Arthropathy associated with other viral disease, of multiple sites
N015y	Arthropathy associated with other viral disease, of other specified site
N015z	Arthropathy associated with other viral disease NOS
N016.	Arthritis due to fungal infection
N0160	Arthropathy associated with mycoses, of unspecified site
N0161	Arthropathy associated with mycoses, of the shoulder region
N0162	Arthropathy associated with mycoses, of the upper arm
N0163	Arthropathy associated with mycoses, of the forearm
N0164	Arthropathy associated with mycoses, of the hand
N0165	Arthropathy associated with mycoses, of the pelvic region and thigh
N0166	Arthropathy associated with mycoses, of the lower leg
N0167	Arthropathy associated with mycoses, of the ankle and foot
N016x	Arthropathy associated with mycoses, of multiple sites
N016y	Arthropathy associated with mycoses, of other specified site
N016z	Arthropathy associated with mycoses NOS
N01w.	Reactive arthropathy, unspecified
N01w0	Reactive arthropathy of shoulder
N01w1	Reactive arthropathy of sternoclavicular joint
N01w2	Reactive arthropathy of acromioclavicular joint
N01w3	Reactive arthropathy of elbow
N01w4	Reactive arthropathy of distal radioulnar joint
N01w5	Reactive arthropathy of wrist
N01w6	Reactive arthropathy of metacarpophalangeal joint
N01w7	Reactive arthropathy of proximal interphalangeal joint of finger
N01w8	Reactive arthropathy of distal interphalangeal joint of finger
N01w9	Reactive arthropathy of hip
N01wA	Reactive arthropathy of sacroiliac joint
N01wB	Reactive arthropathy of knee
N01wC	Reactive arthropathy of tibiofibular joint
N01wD	Reactive arthropathy of ankle
N01wE	Reactive arthropathy of subtalar joint
N01wF	Reactive arthropathy of talonavicular joint
N01wG	Reactive arthropathy of other tarsal joint
N01wH	Reactive arthropathy of 1st metatarsophalangeal joint
N01wJ	Reactive arthropathy of lesser metatarsophalangeal joint
N01wK	Reactive arthropathy of interphalangeal joint of toe
N01y1	Other infectious and parasitic diseases with arthropathy of the shoulder region
N01zK	Infective arthritis NOS, of knee
N03..	Arthropathy associated with disorders EC
N030.	Arthropathy associated with endocrine and metabolic disorder
N0300	Diabetic hand syndrome
N0301	Diabetic neuropathic arthropathy
N031.	Arthropathy associated with non-infective gastrointestinal disorders
N0310	Arthropathy in ulcerative colitis
N0311	Arthropathy in Crohn's disease
N032.	Arthropathy associated with haematological disorders
N0320	Haemophilic arthropathy
N033.	Arthropathy associated with dermatological disorders
N034.	Arthropathy associated with respiratory disorders
N036.	Arthropathy due to hypersensitivity reaction
N0381	Post-infective arthropathy in syphilis
N03x.	Other general diseases with associated arthropathy
N03x0	Arthritis associated with other disease, shoulder
N03x1	Arthritis associated with other disease, sternoclavicular joint
N03x2	Arthritis associated with other disease, acromioclavicular joint
N03x3	Arthritis associated with other disease, elbow
N03x4	Arthritis associated with other disease, distal radioulnar joint
N03x5	Arthritis associated with other disease, wrist
N03x6	Arthritis associated with other disease, metacarpophalangeal joint
N03x7	Arthritis associated with other disease, proximal interphalangeal joint of finger
N03x8	Arthritis associated with other disease, distal interphalangeal joint of finger
N03x9	Arthritis associated with other disease, hip
N03xA	Arthritis associated with other disease, sacroiliac joint
N03xB	Arthritis associated with other disease, knee
N03xC	Arthritis associated with other disease, tibiofibular joint
N03xD	Arthritis associated with other disease, ankle
N03xE	Arthritis associated with other disease, subtalar joint
N03xF	Arthritis associated with other disease, talonavicular joint
N03xG	Arthritis associated with other disease, other tarsal joint
N03xH	Arthritis associated with other disease, 1st metatarsophalangeal joint
N03xJ	Arthritis associated with other disease, lesser metatarsophalangeal joint
N03xK	Arthritis associated with other disease, interphalangeal joint of toe
N03y.	Arthropathy associated with other conditions EC
N03z.	Arthropathy associated with disorders EC NOS
N040.	Rheumatoid arthritis
N0400	Rheumatoid arthritis of cervical spine
N0401	Other rheumatoid arthritis of spine
N0402	Rheumatoid arthritis of shoulder
N0403	Rheumatoid arthritis of sternoclavicular joint
N0404	Rheumatoid arthritis of acromioclavicular joint
N0405	Rheumatoid arthritis of elbow
N0406	Rheumatoid arthritis of distal radioulnar joint
N0407	Rheumatoid arthritis of wrist
N0408	Rheumatoid arthritis of metacarpophalangeal joint
N0409	Rheumatoid arthritis of proximal interphalangeal joint of finger
N040A	Rheumatoid arthritis of distal interphalangeal joint of finger
N040B	Rheumatoid arthritis of hip
N040C	Rheumatoid arthritis of sacroiliac joint
N040D	Rheumatoid arthritis of knee
N040E	Rheumatoid arthritis of tibiofibular joint
N040F	Rheumatoid arthritis of ankle
N040G	Rheumatoid arthritis of subtalar joint
N040H	Rheumatoid arthritis of talonavicular joint
N040J	Rheumatoid arthritis of other tarsal joint
N040K	Rheumatoid arthritis of first metatarsophalangeal joint
N040L	Rheumatoid arthritis of lesser metatarsophalangeal joint
N040M	Rheumatoid arthritis of interphalangeal joint of toe
N040T	Flare of rheumatoid arthritis
N042.	Other rheumatoid arthropathy with visceral or systemic involvement
N042z	Rheumatoid arthropathy with visceral or systemic involvement NOS
N0430	Juvenile rheumatoid arthropathy unspecified
N0431	Acute polyarticular juvenile rheumatoid arthritis
N0432	Pauciarticular onset juvenile chronic arthritis
N0433	Monarticular juvenile rheumatoid arthritis
N043z	Juvenile rheumatoid arthritis NOS
N044.	Jaccoud's syndrome
N045.	Other juvenile arthritis
N0453	Juvenile arthritis in Crohn's disease
N0454	Juvenile arthritis in ulcerative colitis
N04y.	Other specified inflammatory polyarthropathy
N04y1	Seronegative arthritis
N04yz	Other specified inflammatory polyarthropathy NOS
N04z.	Inflammatory polyarthropathy NOS
N05..	Osteoarthritis (& [allied disorders])
N050.	Generalised osteoarthritis
N0500	Generalised osteoarthritis of unspecified site
N0502	Generalised osteoarthritis of multiple sites
N0503	Bouchard's nodes with arthropathy
N050z	Generalised osteoarthritis NOS
N051.	Localised, primary osteoarthritis
N0510	Localised, primary osteoarthritis of unspecified site
N0511	Localised, primary osteoarthritis of the shoulder region
N0512	Localised, primary osteoarthritis of the upper arm
N0513	Localised, primary osteoarthritis of the forearm
N0514	Localised, primary osteoarthritis of the hand
N0515	Localised, primary osteoarthritis of the pelvic region and thigh
N0516	Localised, primary osteoarthritis of the lower leg
N0517	Localised, primary osteoarthritis of the ankle and foot
N0518	Localised, primary osteoarthritis of other specified site
N051z	Localised, primary osteoarthritis NOS
N052.	Localised, secondary osteoarthritis
N0520	Localised, secondary osteoarthritis of unspecified site
N0521	Localised, secondary osteoarthritis of the shoulder region
N0522	Localised, secondary osteoarthritis of the upper arm
N0523	Localised, secondary osteoarthritis of the forearm
N0524	Localised, secondary osteoarthritis of the hand
N0526	Localised, secondary osteoarthritis of the lower leg
N0527	Localised, secondary osteoarthritis of the ankle and foot
N0528	Localised, secondary osteoarthritis of other specified site
N052z	Localised, secondary osteoarthritis NOS
N053.	Localised osteoarthritis, unspecified
N0530	Localised osteoarthritis, unspecified, of unspecified site
N0531	Localised osteoarthritis, unspecified, of the shoulder region
N0532	Localised osteoarthritis, unspecified, of the upper arm
N0533	Localised osteoarthritis, unspecified, of the forearm
N0534	Localised osteoarthritis, unspecified, of the hand
N0537	Localised osteoarthritis, unspecified, of the ankle and foot
N0538	Localised osteoarthritis, unspecified, of other specified site
N0539	Arthrosis of first carpometacarpal joint, unspecified
N053z	Localised osteoarthritis, unspecified, NOS
N054.	Oligoarticular osteoarthritis, unspecified
N0540	Oligoarticular osteoarthritis, unspecified, of unspecified sites
N0541	Oligoarticular osteoarthritis, unspecified, of the shoulder region
N0542	Oligoarticular osteoarthritis, unspecified, of upper arm
N0543	Oligoarticular osteoarthritis, unspecified, of forearm
N0544	Oligoarticular osteoarthritis, unspecified, of hand
N0545	Oligoarticular osteoarthritis, unspecified, of the pelvic region and thigh
N0546	Oligoarticular osteoarthritis, unspecified, of lower leg
N0547	Oligoarticular osteoarthritis, unspecified, of ankle and foot
N0548	Oligoarticular osteoarthritis, unspecified, of other specified sites
N0549	Oligoarticular osteoarthritis, unspecified, of multiple sites
N054z	Osteoarthritis of more than one site, unspecified, NOS
N05z.	[Joint degeneration] or [osteoarthritis NOS]
N05z0	Osteoarthritis NOS, of unspecified site
N05z1	Osteoarthritis NOS, of shoulder region
N05z8	Osteoarthritis NOS, other specified site
N05z9	Osteoarthritis NOS, of shoulder
N05zA	Osteoarthritis NOS, of sternoclavicular joint
N05zB	Osteoarthritis NOS, of acromioclavicular joint
N05zC	Osteoarthritis NOS, of elbow
N05zD	Osteoarthritis NOS, of distal radioulnar joint
N05zE	Osteoarthritis NOS, of wrist
N05zF	Osteoarthritis NOS, of metacarpophalangeal joint
N05zG	Osteoarthritis NOS, of proximal interphalangeal joint of finger
N05zH	Osteoarthritis NOS, of distal interphalangeal joint of finger
N05zJ	Osteoarthritis NOS, of hip
N05zK	Osteoarthritis NOS, of sacroiliac joint
N05zL	Osteoarthritis NOS, of knee
N05zM	Osteoarthritis NOS, of tibiofibular joint
N05zN	Osteoarthritis NOS, of ankle
N05zP	Osteoarthritis NOS, of subtalar joint
N05zQ	Osteoarthritis NOS, of talonavicular joint
N05zR	Osteoarthritis NOS, of other tarsal joint
N05zS	Osteoarthritis NOS, of 1st metatarsophalangeal joint
N05zT	Osteoarthritis NOS, of lesser metatarsophalangeal joint
N05zU	Osteoarthritis NOS, of interphalangeal joint of toe
N06..	Other and unspecified arthropathies
N060.	(Kaschin-Beck disease) or (endemic polyarthritis)
N0600	Kaschin-Beck disease of unspecified site
N0603	Kaschin-Beck disease of the forearm
N0606	Kaschin-Beck disease of the lower leg
N0608	Kaschin-Beck disease of other specified site
N060z	Kaschin-Beck disease NOS
N061.	Arthritis secondary to trauma
N0610	Traumatic arthropathy of unspecified site
N0611	Traumatic arthropathy of the shoulder region
N0612	Traumatic arthropathy of the upper arm
N0613	Traumatic arthropathy of the forearm
N0614	Traumatic arthropathy of the hand
N0615	Traumatic arthropathy of the pelvic region and thigh
N0616	Traumatic arthropathy of the lower leg
N0617	Traumatic arthropathy of the ankle and foot
N0618	Traumatic arthropathy of other specified site
N0619	Traumatic arthropathy of multiple sites
N061A	Traumatic arthropathy of shoulder
N061B	Traumatic arthropathy of sternoclavicular joint
N061C	Traumatic arthropathy of acromioclavicular joint
N061D	Traumatic arthropathy-elbow
N061E	Traumatic arthropathy of distal radioulnar joint
N061F	Traumatic arthropathy-wrist
N061G	Traumatic arthropathy of metacarpophalangeal joint
N061H	Traumatic arthropathy of proximal interphalangeal joint of finger
N061J	Traumatic arthropathy of distal interphalangeal joint of finger
N061K	Traumatic arthropathy-hip
N061L	Traumatic arthropathy of sacroiliac joint
N061M	Traumatic arthropathy-knee
N061N	Traumatic arthropathy of tibiofibular joint
N061P	Traumatic arthropathy-ankle
N061Q	Traumatic arthropathy of subtalar joint
N061R	Traumatic arthropathy of talonavicular joint
N061S	Traumatic arthropathy of other tarsal joint
N061T	Traumatic arthropathy of 1st metatarsophalangeal joint
N061U	Traumatic arthropathy of lesser metatarsophalangeal joint
N061V	Traumatic arthropathy of interphalangeal joint of toe
N061z	Traumatic arthropathy NOS
N062.	Allergic arthritis
N0620	Allergic arthritis of unspecified site
N0621	Allergic arthritis of the shoulder region
N0622	Allergic arthritis of the upper arm
N0623	Allergic arthritis of the forearm
N0624	Allergic arthritis of the hand
N0625	Allergic arthritis of the pelvic region and thigh
N0626	Allergic arthritis of the lower leg
N0627	Allergic arthritis of the ankle and foot
N0628	Allergic arthritis of other specified site
N0629	Allergic arthritis of multiple sites
N062z	Allergic arthritis NOS
N063.	Climacteric arthritis
N0630	Climacteric arthritis of unspecified site
N0631	Climacteric arthritis of the shoulder region
N0632	Climacteric arthritis of the upper arm
N0633	Climacteric arthritis of the forearm
N0634	Climacteric arthritis of the hand
N0635	Climacteric arthritis of the pelvic region and thigh
N0636	Climacteric arthritis of the lower leg
N0637	Climacteric arthritis of the ankle and foot
N0638	Climacteric arthritis of other specified site
N0639	Climacteric arthritis of multiple sites
N063z	Climacteric arthritis NOS
N065.	(Polyarthropathy: [unspecified] or [NEC]) or (polyarthritis)
N0650	Unspecified polyarthropathy of unspecified site
N0651	Unspecified polyarthropathy of the shoulder region
N0652	Unspecified polyarthropathy of the upper arm
N0653	Unspecified polyarthropathy of the forearm
N0654	Unspecified polyarthropathy of the hand
N0655	Unspecified polyarthropathy of the pelvic region and thigh
N0656	Unspecified polyarthropathy of the lower leg
N0657	Unspecified polyarthropathy of the ankle and foot
N0658	Unspecified polyarthropathy of other specified site
N0659	Unspecified polyarthropathy of multiple sites
N065A	Generalised arthritis
N0660	Unspecified monoarthritis of unspecified site
N0661	Unspecified monoarthritis of the shoulder region
N0662	Unspecified monoarthritis of the upper arm
N0663	Unspecified monoarthritis of the forearm
N0664	Unspecified monoarthritis of the hand
N0665	Unspecified monoarthritis of the pelvic region and thigh
N0666	Unspecified monoarthritis of the lower leg
N0667	Unspecified monoarthritis of the ankle and foot
N0668	Unspecified monoarthritis of other specified site
N066z	Unspecified monoarthritis NOS
N067.	Ochronotic arthropathy
N069.	Arthritis secondary to malignancy
N06y.	Other specified arthropathy
N06y0	Other specified arthropathy of unspecified site
N06y1	Other specified arthropathy of the shoulder region
N06y2	Other specified arthropathy of the upper arm
N06y3	Other specified arthropathy of the forearm
N06y4	Other specified arthropathy of the hand
N06y5	Other specified arthropathy of the pelvic region and thigh
N06y6	Other specified arthropathy of the lower leg
N06y7	Other specified arthropathy of the ankle and foot
N06y8	Other specified arthropathy of other specified site
N06y9	Other specified arthropathy of multiple sites
N06yz	Other specified arthropathy NOS
N06z0	Arthropathy NOS, of unspecified site
N06z8	Arthropathy NOS, of other specified site
N06z9	Arthropathy NOS, of multiple sites
N06zA	Acute arthritis
N06zB	Chronic arthritis
N0849	Contracture of multiple joints
N085.	Ankylosis of joint
N0850	Joint ankylosis of unspecified site
N0851	Joint ankylosis of the shoulder region
N0853	Joint ankylosis of the forearm (& [wrist])
N0854	Joint ankylosis of the hand
N0858	Joint ankylosis of other specified site
N0859	Ankylosis of multiple joints
N085A	Ankylosis of the shoulder joint
N085B	Ankylosis of other joint of the shoulder girdle
N085C	Ankylosis of the elbow joint
N085D	Ankylosis of the superior radioulnar joint
N085E	Ankylosis of the inferior radioulnar joint
N085F	Ankylosis of the wrist joint
N085G	Ankylosis of the first carpometacarpal joint
N085H	Ankylosis of other carpometacarpal joint
N085J	Ankylosis of metacarpophalangeal joint
N085K	Ankylosis of proximal interphalangeal joint
N085L	Ankylosis of distal interphalangeal joint
N085M	Hip joint ankylosis
N085N	Ankylosis of other pelvic joint
N085P	Knee joint ankylosis
N085Q	Ankle joint ankylosis
N085R	Ankylosis of the subtalar joint
N085S	Ankylosis of other tarsal joint
N085T	Ankylosis of metatarsophalangeal joint
N085U	Ankylosis of toe joint
N085z	Ankylosis of joint NOS
N09..	Other and unspecified joint disorders
N093.	(Palindromic rheumatism) or (intermittent joint effusion)
N0930	Palindromic rheumatism of unspecified site
N0931	Palindromic rheumatism of the shoulder region
N0932	Palindromic rheumatism of the upper arm
N0933	Palindromic rheumatism of the forearm
