^ESCT1170449	Pyelonephritis in pregnancy
^ESCTCY337636	Cystitis with Echinococcus infestation
^ESCTCY337639	Cystitis in Echinococcus infestation
^ESCTCY478980	Cystitis in gonorrhea
^ESCTCY846185	Cystitis due to Chlamydia
^ESCTCY846187	Cystitis caused by Chlamydia
^ESCTDI435551	Diffuse pyelonephritis
^ESCTDI782370	Disorder of kidney and/or ureter caused by Schistosoma haematobium
^ESCTDI846431	Diphtheria tubulointerstitial nephropathy
^ESCTEC337638	Echinococcal cystitis
^ESCTEM334484	Emphysematous cystitis
^ESCTES588802	Escherichia coli urinary tract infection
^ESCTFA358767	Failed attempted termination of pregnancy with urinary tract infection
^ESCTFA358768	Failed attempted abortion with urinary tract infection
^ESCTFA761379	Familial non-obstructive reflux-associated chronic pyelonephritis
^ESCTFA761380	Familial reflux nephropathy
^ESCTFE803134	Febrile urinary tract infection
^ESCTFO435549	Focal pyelonephritis
^ESCTFU509328	Fungal infection of kidney
^ESCTGO478979	Gonococcal cystitis
^ESCTGO509749	Gonococcal urethral abscess
^ESCTGO514974	Gonococcal Littr? gland abscess
^ESCTGO514975	Gonococcal Littre's gland abscess
^ESCTGO514976	Gonococcal paraurethral gland abscess
^ESCTGO729857	Gonococcal urethral gland abscess
^ESCTHY474461	Hydatid cyst of kidney
^ESCTIN509327	Infected renal cyst
^ESCTIN509671	Infective cystitis
^ESCTIN509672	Infection of bladder
^ESCTIN509741	Infective urethritis
^ESCTIN557299	Infected diverticulum of bladder
^ESCTIN601389	Infective ureteritis
^ESCTIN634856	Infection of bladder catheter
^ESCTIN749910	Induced termination of pregnancy complicated by urinary tract infection
^ESCTKI771096	Kidney disease caused by BK polyomavirus
^ESCTKL348875	Klebsiella cystitis
^ESCTLO256308	Lower urinary tract infectious disease
^ESCTLO256309	Lower urinary tract infection
^ESCTLO714473	Lower urinary tract infection of sudden onset AND/OR short duration
^ESCTMA478846	Malarial nephrosis
^ESCTMI252178	Miscarriage with urinary tract infection
^ESCTMO478982	Monilial cystitis
^ESCTMU277169	Mumps nephritis
^ESCTMY406384	Mycoplasmal pyelonephritis
^ESCTNE478925	Nephropathy associated with vesicoureteral reflux
^ESCTNE771097	Nephropathy caused by BK polyomavirus
^ESCTNG332819	NGU due to ureaplasma urealyticum
^ESCTNG332820	NGU caused by ureaplasma urealyticum
^ESCTNG387638	NGU
^ESCTNG387639	NGU - Non-gonococcal urethritis
^ESCTNO332818	Nongonococcal urethritis due to Ureaplasma urealyticum
^ESCTNO332821	Nongonococcal urethritis caused by Ureaplasma urealyticum
^ESCTNO387636	Nongonococcal urethritis
^ESCTNO387643	Nonspecific genital infection
^ESCTNO478923	Non-obstructive reflux-associated chronic pyelonephritis
^ESCTNS387641	NSU - Nonspecific urethritis
^ESCTNS387642	NSGI - Nonspecific genital infection
^ESCTOB797819	Obstructive pyelonephritis
^ESCTPO479565	Postpartum urinary tract infection
^ESCTPR252180	Pregnancy loss with urinary tract infection
^ESCTPR588803	Proteus urinary tract infection
^ESCTPR588804	Proteus UTI (urinary tract infection)
^ESCTPS315404	Pseudomonal cystitis
^ESCTPY389592	Pyoureter
^ESCTPY478933	Pyelonephritis associated with another disorder
^ESCTPY638326	Pyocystis
^ESCTRE373109	Renal coccidiosis
^ESCTRE474462	Renal hydatid cyst
^ESCTRE478927	Reflux nephropathy
^ESCTRE479024	Recurrent UTI - urinary tract infection
^ESCTRE509329	Renal mycosis
^ESCTRE509752	Reiter's urethritis
^ESCTRE509753	Reiter urethritis
^ESCTRE509769	Recurrent infective cystitis
^ESCTRE509770	Recurrent culture positive cystitis
^ESCTRE515143	Renal tract candidiasis
^ESCTRE634083	Renal candidiasis
^ESCTRE634084	Renal candidosis
^ESCTRE700545	Recurrent obstructive pyelonephritis
^ESCTRE704620	Recurrent bacterial cystitis
^ESCTRE770430	Renal impairment caused by Polyomavirus
^ESCTRE803481	Reactive arthritis co-occurrent and due to nonspecific urethritis
^ESCTRN478926	RN - Reflux nephropathy
^ESCTSA846721	Salmonella pyelonephritis
^ESCTSC349070	Schistosoma haematobium infection
^ESCTSC349073	Schistosomiasis of bladder
^ESCTSC509641	Schistosomiasis of ureter
^ESCTSC509745	Schistosomiasis of the urethra
^ESCTSC509747	Schistosomal urethral fistula
^ESCTSE478935	Secondary pyelonephritis
^ESCTSP252179	Spontaneous abortion with urinary tract infection
^ESCTSU435372	Subacute pyelonephritis
^ESCTSU605174	Suspected UTI (urinary tract infection)
^ESCTSU605176	Suspected urinary tract infection
^ESCTTB301956	TB - Tuberculous cystitis
^ESCTTB321405	TB - Renal tuberculosis
^ESCTTB382304	TB - Tuberculosis of ureter
^ESCTTB420023	TB - Urinary tuberculosis
^ESCTTE749911	Termination of pregnancy complicated by urinary tract infection
^ESCTTO846753	Toxoplasma tubulointerstitial nephropathy
^ESCTTR478984	Trichomonal cystitis
^ESCTTU509645	Tuberculous stricture of ureter
^ESCTTU509744	Tuberculous urethritis
^ESCTUP699511	Upper urinary tract infection
^ESCTUP713500	Upper urinary tract infection of sudden onset AND/OR short duration
^ESCTUR361568	Urinary tract infectious disease
^ESCTUR387640	Urethritis-non-specific
^ESCTUR420022	Urinary tuberculosis
^ESCTUR509772	Urinary schistosomiasis
^ESCTUR515144	Urinary tract candidosis
^ESCTUR705968	Urethral wart
^ESCTUR713503	Urinary tract infection of sudden onset AND/OR short duration
^ESCTUR753430	Urinary tract infection associated with catheter
^ESCTUR812062	Urinary tract infection caused by Enterococcus
^ESCTUR812063	Urinary tract infection caused by Klebsiella
^ESCTUR812064	Urinary tract infection caused by Pseudomonas
^ESCTUR932406	Urinary tract infection due to ectopic pregnancy
^ESCTUR933170	Urinary tract infection due to incomplete miscarriage
^ESCTUR933171	Urinary tract infection due to incomplete spontaneous abortion
^ESCTUT256310	UTI - Lower urinary tract infection
^ESCTUT361570	UTI - Urinary tract infection
EMISNQTU1	Tuberculosis of urinary tract
