d1c..00	TRICLOFOS SODIUM
c8kz.00	ALIMEMAZINE 30mg/5mL syrup
c8ky.00	ALIMEMAZINE 7.5mg/5mL syrup
c8kx.00	ALIMEMAZINE 10mg tablets
d2c..00	MEPROBAMATE
d2c2.00	MEPROBAMATE 400mg tablets
d2c1.00	*MEPROBAMATE 200mg tablets
d28..00	HYDROXYZINE HCL [ANXIOLYTIC]
d28z.00	HYDROXYZINE HCL 10mg/5mL syrup
d28y.00	HYDROXYZINE HCL 25mg tablets
d28x.00	HYDROXYZINE HCL 10mg tablets
d25..00	CHLORMEZANONE
d25z.00	*CHLORMEZANONE 200mg tablets
d2f..00	BUSPIRONE HYDROCHLORIDE
d2f5.00	BUSPIRONE 10mg tablets
d2f1.00	BUSPIRONE 5mg tablets
dhg..00	PROMETHAZINE THEOCLATE
dhgz.00	PROMETHAZINE THEOCLATE 25mg tablets
dhf..00	PROMETHAZINE [nausea] [see c8i..]
dh6..00	DIPHENHYDRAMINE HYDROCHLORIDE [NAUSEA]
o59..00	PROMETHAZINE HCL [ANAESTHESIA]
o51..00	CLOMETHIAZOLE EDISYLATE [ANAESTHESIA]
o51z.00	CLOMETHIAZOLE EDISYLATE 8mg/mL intravenous infusion
do3..00	CLOMETHIAZOLE EDISYLATE [CENTRAL NERVOUS SYSTEM USE]
do3z.00	CLOMETHIAZOLE EDISYLATE 8mg/mL intravenous infusion
dibT.00	PARACETAMOL+DIPHENHYDRAMINE HYDROCHLORIDE 120mg/12.5mg/5mL sugar free oral solution
dibO.00	PARACETAMOL+DIPHENHYDRAMINE HYDROCHLORIDE 500mg/25mg tablets
d3...00	BARBITURATES/METHYPRYLONE
d32..00	*METHYPRYLONE
dC1..00	SODIUM OXYBATE
dC1z.00	SODIUM OXYBATE 500mg/mL oral solution
m347.00	DIPHENHYDRAMINE HYDROCHLORIDE 2% cream
dic1.00	PARACETAMOL+PROMETHAZINE HYDROCHLORIDE 120mg/1.5mg/5mL colour free sugar free suspension
c8kz.11	TRIMEPRAZINE 30mg/5mL syrup
c8ky.11	TRIMEPRAZINE 7.5mg/5mL syrup
c8kx.11	TRIMEPRAZINE 10mg tablets
c8k4.00	*VALLERGAN 10mg tablets 28CP
c8k3.00	*VALLERGAN FORTE 30mg/5mL syrp
c8k2.00	*VALLERGAN 7.5mg/5mL syrup
c8k1.00	*VALLERGAN 10mg tablets
c8k..11	TRIMEPRAZINE TARTRATE [ANTIHISTAMINE]
o5b..00	TRIMEPRAZINE TARTRATE [ANAESTHESIA]
d2f4.00	*BUSPAR 10mg tablets
d2f3.00	*BUSPAR 5mg tablets x126
d2f2.00	*BUSPAR 5mg tablets
d12z.00	CHLORMETHIAZOLE EDISYLATE 8mg/mL infusion
d12w.11	CHLORMETHIAZOLE EDISILATE 250mg/5mL syrup
d12v.11	CHLORMETHIAZOLE(base) 192mg capsules
d123.00	*HEMINEVRIN 8mg/mL infusion
d122.00	*HEMINEVRIN 250mg/5mL syrup
d121.00	*HEMINEVRIN 192mg capsules
do3z.11	CHLORMETHIAZOLE EDISYLATE 8mg/mL intravenous infusion
do31.00	HEMINEVRIN [CNS] 8mg/mL intravenous infusion
o51z.11	CHLORMETHIAZOLE EDISYLATE 8mg/mL intravenous infusion
o511.00	HEMINEVRIN 8mg/mL intravenous infusion
d12..11	CHLORMETHIAZOLE EDISYLATE [HYPNOTIC]
do3..11	CHLORMETHIAZOLE EDISYLATE [CENTRAL NERVOUS SYSTEM USE]
o51..11	CHLORMETHIAZOLE EDISYLATE [ANAESTHESIA]
d132.00	*WELLDORM 225mg/5mL elixir
d131.00	*WELLDORM 650mg tablets
d115.00	*WELLDORM 143mg/5mL elixir
d116.00	*WELLDORM tablets
d285.00	UCERAX 10mg/5mL syrup
d284.00	UCERAX 25mg tablets
d283.00	*ATARAX 10mg/5mL syrup
d282.00	ATARAX 25mg tablets
d281.00	ATARAX 10mg tablets
d1h1.00	CIRCADIN 2mg m/r tablets
daD..00	AGOMELATINE
daD2.00	AGOMELATINE 25mg tablets
daD1.00	VALDOXAN 25mg tablets
d2c6.00	*TENAVOID tablets
d2c5.00	MEPRATE 400mg tablets
d2c4.00	*EQUANIL 400mg tablets
d2c3.00	*EQUANIL 200mg tablets
c8i9.00	SOMINEX 20mg tablets
c8i8.00	ZIZ FORTE 25mg tablets
c8i6.00	PHENERGAN NIGHTIME 25mg tablets
c8i5.00	*PHENERGAN 50mg/2mL injection
c8i4.00	PHENERGAN 25mg/1mL injection
c8i3.00	PHENERGAN 5mg/5mL elixir
c8i2.00	PHENERGAN 25mg tablets
c8i1.00	PHENERGAN 10mg tablets
dhg2.00	VERTIGON 25mg tablets
dhg1.00	AVOMINE 25mg tablets
ch35.00	*PHENERGAN comp expect linctus
dhe8.00	*VERTIGON 10mg m/r capsules
dhe9.00	*VERTIGON 15mg m/r capsules
djg5.00	PAMERGAN P100 100mg/2mL injection
o485.00	PAMERGAN-P100 100mg/2mL injection
c886.00	NYTOL ONE-A-NIGHT 50mg tablets
c888.00	*NIGHTCALM 25mg tablets
c88B.00	DREEMON 25mg tablets
ch2n.00	COVONIA NIGHT TIME FORMULA syrup
dC11.00	XYREM 500mg/mL oral solution
lf1D.00	FRADOR tincture
