1914.	Dental swelling
S8373	Broken tooth injury with complication 
XA0IE	Broken teeth injury without complication 
S8363	Broken tooth injury (& [without complication]) 
S8367	Dislocation of tooth 
XA0IQ	Intrusive luxation of tooth 
XA0IP	Subluxation of tooth 
XA0IS	Lateral luxation of tooth 
XA0IR	Extrusive luxation of tooth 
XA0IT	Exarticulation of tooth 
XA0IN	Injury of periodontal tissue 
XA0IO	Concussion of periodontal ligament 
XA0IT	Exarticulation of tooth 
S8367	Dislocation of tooth 
XA0IQ	Intrusive luxation of tooth 
XA0IP	Subluxation of tooth 
XA0IS	Lateral luxation of tooth 
XA0IR	Extrusive luxation of tooth 
XE1qf	(Open wound - inside mouth (& [palate] or [tongue])) or (broken teeth) 
Xa7Pi	Infected tooth socket 
J0650	Dry tooth socket 
J065z	Alveolitis of jaw NOS 
Xa7I4	Dental abscess 
J0251	Periapical abscess 
J025.	Periapical abscess without a sinus 
J025z	Periapical abscess without a sinus NOS 
J0270	Periapical abscess with a sinus 
J027z	Periapical abscess with a fistula NOS 
J0332	Periodontal abscess 
X20QD	Migratory dental abscess 
J0200	Pulpal abscess 
XaDu4	Infection of oral cavity, teeth and salivary gland 
J0640	Abscess of jaw 
J0251	Periapical abscess 
J025.	Periapical abscess without a sinus 
J025z	Periapical abscess without a sinus NOS 
J0270	Periapical abscess with a sinus 
J027z	Periapical abscess with a fistula NOS 
XE0Zz	Pulp and periapical tissue disease 
J02z.	Pulp and periapical tissue disease NOS 
Jyu03	[X]Other and unspecified diseases of pulp and periapical tissues 
J02..	Pulp &/or periapical tissue disease 
J024.	(Acute apical periodontitis) or (dental infection) 
J05y.	Other specified dental disorder &/or toothache
